Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,592082.2000000477,1,37,4963,blue,true,left,44,37,left,blue,2312,0
2,597022.9000000954,1,12,4951,blue,true,right,66,12,right,blue,1320,0
3,600973.7999999523,0,0,4951,blue,true,left,98,9,right,orange,2180,0
4,605753.5,1,20,4931,blue,false,left,20,91,right,orange,1515,0
5,609887.7999999523,1,8,4923,blue,true,right,28,8,right,blue,968,0
6,613460.4000000954,1,33,4890,blue,true,left,30,33,left,blue,1011,0
7,617101,1,24,4866,blue,true,right,27,24,right,blue,602,0
8,620336.7999999523,0,0,4866,blue,false,left,58,43,left,blue,1028,0
9,623971.4000000954,0,0,4866,blue,true,right,72,47,left,orange,1071,0
10,627635.4000000954,1,44,4822,blue,false,left,44,44,right,orange,876,0
11,631124.2999999523,1,26,4796,blue,true,left,69,26,left,blue,1647,0
12,635383.9000000954,1,41,4755,blue,true,right,6,41,right,blue,659,0
13,638644.2000000477,0,0,4755,blue,true,right,88,34,left,orange,1211,0
14,642474.0999999046,0,0,4755,blue,false,left,73,18,left,blue,1053,0
15,646110.9000000954,0,0,4755,blue,true,left,60,25,right,orange,1303,0
16,650003.7000000477,0,0,4755,blue,true,left,68,6,right,orange,1339,0
17,653925.9000000954,0,0,4755,blue,false,left,48,39,left,blue,1538,0
18,658057,0,0,4755,blue,true,right,35,76,left,orange,1413,0
19,662074,0,0,4755,blue,true,left,23,85,right,orange,861,0
20,665546.2000000477,1,22,4733,blue,true,left,54,22,left,blue,616,0
21,668771.7000000477,1,66,4667,blue,false,right,66,58,left,orange,1251,0
22,672630.5,1,41,4626,blue,true,right,98,41,right,blue,534,0
23,675758.7999999523,1,80,4546,blue,true,left,58,80,left,blue,598,0
24,678959.9000000954,0,0,4546,blue,true,right,32,85,left,orange,648,0
25,682166.4000000954,0,0,4546,blue,false,left,83,15,left,blue,983,0
26,685758.4000000954,0,0,4546,blue,true,right,18,16,left,orange,1730,0
27,690084.4000000954,0,0,4546,blue,true,left,56,99,right,orange,909,0
28,693549.2999999523,0,0,4546,blue,true,left,23,75,right,orange,869,0
29,697005.5999999046,1,18,4528,blue,true,right,68,18,right,blue,1121,0
30,700734.9000000954,1,16,4512,blue,true,left,30,16,left,blue,645,0
31,703983.2999999523,1,37,4475,blue,true,right,86,37,right,blue,755,0
32,707331.4000000954,1,44,4431,blue,true,right,47,44,right,blue,894,0
33,710848.5,1,91,4340,blue,true,left,3,91,left,blue,846,0
34,714280.9000000954,0,0,4340,blue,false,right,60,14,right,blue,940,0
35,717834.7000000477,1,84,4256,blue,true,right,54,84,right,blue,560,0
36,720995.5999999046,0,0,4256,blue,true,right,34,23,left,orange,532,0
37,724107.2000000477,0,0,4256,blue,true,left,96,28,right,orange,1087,0
38,727765.7000000477,1,83,4173,blue,false,left,83,94,right,orange,805,0
39,731178.7999999523,0,0,4173,blue,true,right,63,86,left,orange,712,0
40,734493.5999999046,0,0,4173,blue,true,left,99,53,right,orange,640,0
41,737706.7000000477,1,91,4082,blue,true,right,29,91,right,blue,728,0
42,741023.2999999523,0,0,4082,blue,true,right,88,64,left,orange,1054,0
43,744657.7999999523,0,0,4082,blue,true,right,84,70,left,orange,710,0
44,747941.2999999523,1,61,4021,blue,false,right,61,88,left,orange,805,0
45,751328.5999999046,0,0,4021,blue,true,left,61,43,right,orange,685,0
46,754573.5,0,0,4021,blue,true,left,87,54,right,orange,762,0
