Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,188535,1,37,4963,blue,true,right,44,37,right,blue,1402,1
2,192473,1,12,4951,blue,true,right,66,12,right,blue,1567,0
3,196581,0,0,4951,blue,true,left,98,9,right,orange,1434,0
4,200553,1,20,4931,blue,false,right,20,91,left,orange,721,0
5,203809,0,0,4931,blue,true,left,28,8,right,orange,926,0
6,207251,0,0,4931,blue,true,right,30,33,left,orange,541,0
7,210319,0,0,4931,blue,true,left,27,24,right,orange,435,0
8,213272,1,58,4873,blue,false,left,58,43,right,orange,410,0
9,216218,0,0,4873,blue,true,right,72,47,left,orange,446,0
10,219187,1,44,4829,blue,false,right,44,44,left,orange,366,0
11,222084,0,0,4829,blue,true,right,69,26,left,orange,396,0
12,224996,0,0,4829,blue,true,right,6,41,left,orange,371,0
13,227891,0,0,4829,blue,true,right,88,34,left,orange,479,0
14,230904,1,73,4756,blue,false,left,73,18,right,orange,1401,0
15,234846,0,0,4756,blue,true,left,60,25,right,orange,867,0
16,238234,1,6,4750,blue,true,left,68,6,left,blue,1928,0
17,242687,1,48,4702,blue,false,left,48,39,right,orange,611,0
18,245837,0,0,4702,blue,true,right,35,76,left,orange,1540,0
19,249916,0,0,4702,blue,true,right,23,85,left,orange,581,0
20,253024,1,22,4680,blue,true,right,54,22,right,blue,953,0
21,256508,1,66,4614,blue,false,left,66,58,right,orange,636,0
22,259669,0,0,4614,blue,true,left,98,41,right,orange,540,0
23,262736,0,0,4614,blue,true,left,58,80,right,orange,434,0
24,265709,0,0,4614,blue,true,left,32,85,right,orange,452,0
25,268684,1,83,4531,blue,false,right,83,15,left,orange,421,0
26,271627,0,0,4531,blue,true,right,18,16,left,orange,486,0
27,274649,1,99,4432,blue,true,left,56,99,left,blue,281,0
28,277470,0,0,4432,blue,true,left,23,75,right,orange,667,0
29,280677,0,0,4432,blue,true,left,68,18,right,orange,372,0
30,283580,1,16,4416,blue,true,right,30,16,right,blue,406,0
31,286518,0,0,4416,blue,true,left,86,37,right,orange,500,0
32,289537,0,0,4416,blue,true,right,47,44,left,orange,1048,0
33,293107,0,0,4416,blue,true,right,3,91,left,orange,566,0
34,296203,0,0,4416,blue,false,right,60,14,right,blue,390,0
35,299122,0,0,4416,blue,true,right,54,84,left,orange,773,0
36,302428,0,0,4416,blue,true,left,34,23,right,orange,756,0
37,305722,0,0,4416,blue,true,left,96,28,right,orange,693,0
38,308946,0,0,4416,blue,false,right,83,94,right,blue,815,0
39,312284,0,0,4416,blue,true,left,63,86,right,orange,827,0
40,315651,0,0,4416,blue,true,left,99,53,right,orange,501,0
41,318691,0,0,4416,blue,true,right,29,91,left,orange,990,0
42,322209,1,64,4352,blue,true,right,88,64,right,blue,694,0
43,325430,0,0,4352,blue,true,right,84,70,left,orange,523,0
44,328479,1,61,4291,blue,false,right,61,88,left,orange,466,0
45,331472,0,0,4291,blue,true,left,61,43,right,orange,720,0
46,334729,0,0,4291,blue,true,right,87,54,left,orange,374,0
47,337643,1,5,4286,blue,false,left,5,90,right,orange,462,0
48,344642,0,0,4286,blue,true,right,71,44,left,orange,3440,0
49,350602,0,0,4286,blue,true,left,42,52,right,orange,582,0
50,353721,0,0,4286,blue,true,left,39,93,right,orange,465,0
51,356707,1,24,4262,blue,true,left,39,24,left,blue,484,0
52,359731,1,20,4242,blue,false,right,20,10,left,orange,750,0
53,363015,1,85,4157,blue,false,right,85,43,left,orange,602,0
54,366148,0,0,4157,blue,false,left,77,7,left,blue,1491,0
55,370178,1,90,4067,blue,true,right,95,90,right,blue,573,0
56,373293,0,0,4067,blue,true,left,56,7,right,orange,1900,0
57,377717,1,69,3998,blue,true,left,50,69,left,blue,580,0
58,380844,0,0,3998,blue,true,left,4,83,right,orange,381,0
59,383761,1,40,3958,blue,false,left,40,8,right,orange,376,0
60,386678,1,86,3872,blue,true,right,47,86,right,blue,2378,0
61,391591,1,49,3823,blue,true,left,15,49,left,blue,2314,0
62,396441,0,0,3823,blue,true,left,17,39,right,orange,543,0
63,399509,1,76,3747,blue,false,right,76,97,left,orange,443,0
64,402486,0,0,3747,blue,true,left,73,14,right,orange,980,0
65,405989,1,29,3718,blue,true,right,67,29,right,blue,635,0
66,409159,1,39,3679,blue,true,left,48,39,left,blue,715,0
67,412414,0,0,3679,blue,true,left,30,99,right,orange,371,0
68,415309,1,13,3666,blue,false,right,13,20,left,orange,916,0
69,418757,1,59,3607,blue,true,right,66,59,right,blue,436,0
70,421729,0,0,3607,blue,true,right,20,60,left,orange,1287,0
71,425541,0,0,3607,blue,true,left,41,25,right,orange,1395,0
72,429469,0,0,3607,blue,false,left,76,70,left,blue,420,0
