Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,364787.015000009,1,37,4963,blue,true,right,44,37,right,blue,2074,0
2,369418.3750000084,1,12,4951,blue,true,left,66,12,left,blue,597,0
3,372555.8200000087,1,9,4942,blue,true,right,98,9,right,blue,722,0
4,375816.7550000362,0,0,4942,blue,false,left,20,91,left,blue,772,0
5,379124.1700000828,0,0,4942,blue,true,right,28,8,left,orange,616,0
6,382282.0200000424,0,0,4942,blue,true,right,30,33,left,orange,565,0
7,385390.42000006884,0,0,4942,blue,true,right,27,24,left,orange,1108,0
8,389027.02999999747,1,58,4884,blue,false,right,58,43,left,orange,644,0
9,392233.7650000118,1,47,4837,blue,true,right,72,47,right,blue,759,0
10,395560.29500009026,1,44,4793,blue,false,right,44,44,left,orange,319,0
11,398434.16000006255,1,26,4767,blue,true,right,69,26,right,blue,649,0
12,401652.20000001136,1,41,4726,blue,true,right,6,41,right,blue,1259,0
13,405462.4400000321,0,0,4726,blue,true,right,88,34,left,orange,536,0
14,408536.40500002075,1,73,4653,blue,false,right,73,18,left,orange,958,0
15,412047.26500005927,0,0,4653,blue,true,left,60,25,right,orange,1011,0
16,415603.7350000115,0,0,4653,blue,true,right,68,6,left,orange,888,0
17,419040.57000007015,1,48,4605,blue,false,right,48,39,left,orange,1207,0
18,422798.4150000848,0,0,4605,blue,true,left,35,76,right,orange,949,0
19,426298.0100000277,1,85,4520,blue,true,right,23,85,right,blue,1131,0
20,429972.7750000311,0,0,4520,blue,true,left,54,22,right,orange,1417,0
21,433941.42500008456,1,66,4454,blue,false,right,66,58,left,orange,879,0
22,437386.62500004284,1,41,4413,blue,true,right,98,41,right,blue,650,0
23,440588.7450000737,0,0,4413,blue,true,left,58,80,right,orange,767,0
24,443891.21500006877,1,85,4328,blue,true,left,32,85,left,blue,1497,0
25,447940.72000007145,1,83,4245,blue,false,left,83,15,right,orange,607,0
26,451106.7350000376,0,0,4245,blue,true,left,18,16,right,orange,435,0
27,454093.9650000073,1,99,4146,blue,true,left,56,99,left,blue,485,0
28,457134.6050000284,0,0,4146,blue,true,right,23,75,left,orange,784,0
29,460456.845000037,0,0,4146,blue,true,left,68,18,right,orange,548,0
