Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,191335.5750000337,1,37,4963,blue,true,left,44,37,left,blue,1456,0
2,195348.1449999963,1,12,4951,blue,true,right,66,12,right,blue,1079,0
3,198986.73500004224,1,9,4942,blue,true,left,98,9,left,blue,2063,0
4,203614.3400000292,1,20,4922,blue,false,right,20,91,left,orange,2434,0
5,208595.40000004927,1,8,4914,blue,true,right,28,8,right,blue,1108,0
6,212245.51000003703,0,0,4914,blue,true,right,30,33,left,orange,1888,0
7,216678.18000004627,1,24,4890,blue,true,right,27,24,right,blue,2889,0
8,222110.91500002658,0,0,4890,blue,false,left,58,43,left,blue,1539,0
9,226192.0500000124,1,47,4843,blue,true,left,72,47,left,blue,1559,0
10,230291.75000003306,0,0,4843,blue,false,left,44,44,left,blue,1775,0
11,234614.7400000482,1,26,4817,blue,true,right,69,26,right,blue,1444,0
12,238620.7150000264,0,0,4817,blue,true,left,6,41,right,orange,1436,0
13,242604.56000000704,1,34,4783,blue,true,right,88,34,right,blue,1097,0
14,246252.63000000268,0,0,4783,blue,false,left,73,18,left,blue,2820,0
15,251607.32000001008,1,25,4758,blue,true,left,60,25,left,blue,1945,0
16,256107.2700000368,1,6,4752,blue,true,right,68,6,right,blue,899,0
17,259544.5550000295,1,48,4704,blue,false,left,48,39,right,orange,2332,0
18,264428.515000036,0,0,4704,blue,true,left,35,76,right,orange,1574,0
19,268545.19500001334,0,0,4704,blue,true,right,23,85,left,orange,944,0
20,272043.24000002816,1,22,4682,blue,true,left,54,22,left,blue,1021,0
21,275591.71500004595,0,0,4682,blue,false,right,66,58,right,blue,1504,0
22,279650.3200000152,1,41,4641,blue,true,right,98,41,right,blue,1322,0
23,283524.3250000058,0,0,4641,blue,true,right,58,80,left,orange,2177,0
24,288246.1750000366,0,0,4641,blue,true,left,32,85,right,orange,1521,0
25,292330.1650000503,0,0,4641,blue,false,left,83,15,left,blue,1078,0
26,295954.9700000207,0,0,4641,blue,true,right,18,16,left,orange,3085,0
27,301588.5600000038,0,0,4641,blue,true,left,56,99,right,orange,1056,0
28,305181.75000004703,0,0,4641,blue,true,right,23,75,left,orange,1074,0
29,308800.87500001537,1,18,4623,blue,true,left,68,18,left,blue,1945,0
30,313298.9150000503,1,16,4607,blue,true,right,30,16,right,blue,1135,0
31,316977.275000012,1,37,4570,blue,true,left,86,37,left,blue,2089,0
32,321619.3450000137,0,0,4570,blue,true,left,47,44,right,orange,1749,0
33,325912.85000002244,0,0,4570,blue,true,right,3,91,left,orange,1041,0
34,329510.98000002094,0,0,4570,blue,false,right,60,14,right,blue,2048,0
35,334111.5550000104,0,0,4570,blue,true,left,54,84,right,orange,2400,0
36,339059.06500003766,0,0,4570,blue,true,left,34,23,right,orange,2398,0
37,343983.915000048,1,28,4542,blue,true,left,96,28,left,blue,929,0
38,347459.74000002025,1,83,4459,blue,false,left,83,94,right,orange,2343,0
39,352369.8849999928,0,0,4459,blue,true,left,63,86,right,orange,1718,0
40,356622.0949999988,0,0,4459,blue,true,left,99,53,right,orange,1640,0
41,360783.9050000184,0,0,4459,blue,true,right,29,91,left,orange,2953,0
42,366287.8999999957,1,64,4395,blue,true,right,88,64,right,blue,1429,0
43,370283.56500004884,0,0,4395,blue,true,left,84,70,right,orange,1446,0
44,374279.00000003865,1,61,4334,blue,false,left,61,88,right,orange,1587,0
45,378411.7200000328,1,43,4291,blue,true,right,61,43,right,blue,1056,0
46,382015.4150000308,0,0,4291,blue,true,left,87,54,right,orange,1101,0
47,385661.380000005,1,5,4286,blue,false,right,5,90,left,orange,1066,0
48,393290.49500002293,1,44,4242,blue,true,left,71,44,left,blue,1894,0
49,397748.0649999925,1,52,4190,blue,true,right,42,52,right,blue,1372,0
50,401651.26499999315,0,0,4190,blue,true,right,39,93,left,orange,753,0
51,404956.00500004366,0,0,4190,blue,true,left,39,24,right,orange,1306,0
52,408823.7350000418,1,20,4170,blue,false,right,20,10,left,orange,963,0
53,412319.9350000359,0,0,4170,blue,false,right,85,43,right,blue,1359,0
54,416215.6750000431,0,0,4170,blue,false,left,77,7,left,blue,672,0
55,419423.5700000427,1,90,4080,blue,true,left,95,90,left,blue,2327,0
56,424315.72000001324,0,0,4080,blue,true,right,56,7,left,orange,1324,0
57,428188.95000003977,0,0,4080,blue,true,right,50,69,left,orange,2054,0
58,432789.46500003804,0,0,4080,blue,true,left,4,83,right,orange,1233,0
59,436577.99499999965,1,40,4040,blue,false,left,40,8,right,orange,682,0
60,439806.6800000379,0,0,4040,blue,true,right,47,86,left,orange,1157,0
61,443514.1650000005,0,0,4040,blue,true,right,15,49,left,orange,818,0
62,446881.9900000235,0,0,4040,blue,true,left,17,39,right,orange,743,0
63,450172.2450000234,1,76,3964,blue,false,left,76,97,right,orange,723,0
64,453458.4100000211,0,0,3964,blue,true,left,73,14,right,orange,752,0
65,456755.4700000328,0,0,3964,blue,true,right,67,29,left,orange,517,0
66,459816.88500003656,0,0,3964,blue,true,left,48,39,right,orange,473,0
67,462834.03500000713,0,0,3964,blue,true,right,30,99,left,orange,1045,0
68,466427.77000000933,1,13,3951,blue,false,right,13,20,left,orange,765,0
69,469763.3849999984,0,0,3951,blue,true,right,66,59,left,orange,932,0
70,473231.75500001526,0,0,3951,blue,true,left,20,60,right,orange,620,0
71,476410.5250000139,0,0,3951,blue,true,left,41,25,right,orange,532,0
72,479478.1850000145,1,76,3875,blue,false,left,76,70,right,orange,1143,0
73,483175.5750000011,0,0,3875,blue,false,right,73,18,right,blue,1726,0
74,487445.74500003364,1,41,3834,blue,false,right,41,80,left,orange,1195,0
75,491185.9950000071,0,0,3834,blue,true,left,25,76,right,orange,1781,0
76,495519.3600000348,1,34,3800,blue,false,right,34,52,left,orange,928,0
77,498994.29000000237,1,30,3770,blue,false,right,30,60,left,orange,978,0
78,502522.9500000132,0,0,3770,blue,false,left,91,36,left,blue,729,0
79,505809.030000004,0,0,3770,blue,false,right,70,59,right,blue,841,0
80,509195.9650000208,1,47,3723,blue,true,right,64,47,right,blue,760,0
81,512507.265000022,0,0,3723,blue,false,left,28,44,left,blue,652,0
82,515687.05000000773,1,2,3721,blue,false,right,2,80,left,orange,1702,0
83,519954.2450000299,0,0,3721,blue,false,right,20,39,right,blue,578,0
84,523082.6900000102,0,0,3721,blue,false,left,32,61,left,blue,1997,0
85,527618.6050000251,0,0,3721,blue,false,right,90,61,right,blue,807,0
86,530977.8650000226,1,70,3651,blue,true,right,62,70,right,blue,814,0
87,534348.9200000186,0,0,3651,blue,false,left,17,33,left,blue,558,0
88,537449.6450000443,0,0,3651,blue,false,left,74,17,left,blue,839,0
89,540842.4499999965,0,0,3651,blue,false,right,2,85,right,blue,708,0
90,544099.1750000394,0,0,3651,blue,false,left,39,76,left,blue,1695,0
91,548322.6650000433,0,0,3651,blue,false,right,70,20,right,blue,648,0
92,551511.8300000322,1,69,3582,blue,true,left,24,69,left,blue,708,0
93,554778.6000000197,1,52,3530,blue,true,right,59,52,right,blue,522,0
94,561859.2749999953,1,15,3515,blue,false,left,15,43,right,orange,1540,0
95,565948.8850000198,0,0,3515,blue,true,right,50,34,left,orange,505,0
96,568989.9399999995,1,43,3472,blue,false,left,43,48,right,orange,558,0
97,572105.4149999982,0,0,3472,blue,true,right,14,35,left,orange,541,0
98,575179.1700000176,0,0,3472,blue,true,left,12,42,right,orange,761,0
99,578494.6650000056,0,0,3472,blue,true,left,40,44,right,orange,780,0
100,581812.6749999938,0,0,3472,blue,true,left,88,50,right,orange,987,0
101,585335.8449999942,0,0,3472,blue,true,right,51,19,left,orange,1095,0
102,588975.2699999954,0,0,3472,blue,true,left,44,59,right,orange,671,0
103,592180.1550000091,0,0,3472,blue,true,left,23,9,right,orange,883,0
104,595631.1250000144,0,0,3472,blue,true,right,23,76,left,orange,1043,0
105,599232.6150000445,0,0,3472,blue,true,left,94,47,right,orange,493,0
106,602268.2200000272,1,67,3405,blue,false,right,67,56,left,orange,848,0
107,605679.1950000334,0,0,3405,blue,true,left,50,16,right,orange,659,0
108,608890.9900000435,0,0,3405,blue,true,right,83,7,left,orange,682,0
109,612128.8850000128,0,0,3405,blue,true,left,86,41,right,orange,415,0
110,615111.3150000456,0,0,3405,blue,true,left,61,37,right,orange,501,0
111,618158.4500000463,1,82,3323,blue,false,right,82,57,left,orange,673,0
112,621384.9100000225,1,68,3255,blue,false,left,68,28,right,orange,814,0
113,624753.1550000422,0,0,3255,blue,false,right,65,76,right,blue,903,0
114,628200.8000000496,0,0,3255,blue,false,left,25,19,left,blue,695,0
115,631447.0150000416,0,0,3255,blue,false,left,67,68,left,blue,593,0
116,634585.2200000081,0,0,3255,blue,false,left,82,68,left,blue,537,0
117,637682.3250000016,0,0,3255,blue,false,left,88,19,left,blue,444,0
118,640685.1250000182,1,11,3244,blue,true,right,55,11,right,blue,611,0
119,643847.5850000395,1,36,3208,blue,true,left,74,36,left,blue,512,0
120,646916.4050000254,1,18,3190,blue,false,right,18,64,left,orange,538,0
121,650008.850000042,1,15,3175,blue,false,right,15,3,left,orange,456,0
122,653008.8100000285,1,91,3084,blue,false,left,91,76,right,orange,770,0
123,656332.0100000128,1,66,3018,blue,false,left,66,92,right,orange,1541,0
124,660421.1300000316,0,0,3018,blue,false,left,67,14,left,blue,785,0
125,663746.5050000465,1,77,2941,blue,true,left,11,77,left,blue,1357,0
126,667674.7450000257,0,0,2941,blue,false,right,36,20,right,blue,978,0
127,671194.0100000356,0,0,2941,blue,false,left,44,61,left,blue,898,0
128,674643.5500000371,0,0,2941,blue,false,right,4,34,right,blue,764,0
129,677942.7550000255,0,0,2941,blue,false,right,86,63,right,blue,712,0
130,681198.7000000081,0,0,2941,blue,false,right,99,43,right,blue,548,0
131,684299.6300000232,1,56,2885,blue,true,left,95,56,left,blue,750,0
132,687601.5050000278,0,0,2885,blue,false,right,89,63,right,blue,565,0
133,690705.5399999954,1,80,2805,blue,true,left,88,80,left,blue,499,0
134,693761.4100000355,0,0,2805,blue,false,left,5,10,left,blue,583,0
135,696886.8950000033,1,80,2725,blue,true,left,35,80,left,blue,611,0
136,700070.24000003,1,57,2668,blue,true,left,8,57,left,blue,607,0
137,703214.0350000118,0,0,2668,blue,true,right,78,47,left,orange,623,0
138,706383.2850000472,0,0,2668,blue,true,left,5,99,right,orange,640,0
139,709571.7500000028,0,0,2668,blue,true,left,62,67,right,orange,549,0
140,712664.6100000362,1,95,2573,blue,false,right,95,27,left,orange,704,0
