Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,339890.5400000003,1,10,4990,blue,true,right,23,10,right,blue,771,0
2,343193.7999999991,1,97,4893,blue,true,right,45,97,right,blue,1194,0
3,346939.65500000014,1,62,4831,blue,true,right,54,62,right,blue,1095,0
4,350582.9649999996,0,0,4831,blue,false,right,99,16,right,blue,1529,0
5,354675.6949999999,1,40,4791,blue,true,right,72,40,right,blue,1065,0
6,358292.5099999993,0,0,4791,blue,true,right,98,88,left,orange,1128,0
7,361971.9349999996,0,0,4791,blue,true,left,6,54,right,orange,1240,0
8,365754.32,0,0,4791,blue,true,left,64,55,right,orange,1170,0
9,369475.3499999988,1,96,4695,blue,false,right,96,45,left,orange,1406,0
10,373411.184999999,0,0,4695,blue,true,left,28,19,right,orange,896,0
11,376847.05500000017,0,0,4695,blue,true,left,95,26,right,orange,1152,0
12,380550.6499999992,0,0,4695,blue,true,right,90,29,left,orange,1022,0
13,384113.4999999995,0,0,4695,blue,true,left,20,53,right,orange,923,0
14,387584.43499999883,0,0,4695,blue,true,right,74,56,left,orange,817,0
15,390937.14999999973,0,0,4695,blue,true,left,18,42,right,orange,1121,0
16,394590.9499999998,0,0,4695,blue,true,left,11,91,right,orange,762,0
17,397877.51000000024,1,32,4663,blue,false,left,32,31,right,orange,893,0
18,401319.23499999905,0,0,4663,blue,true,left,36,65,right,orange,925,0
19,404779.93499999866,1,40,4623,blue,false,left,40,30,right,orange,946,0
20,408277.33499999886,0,0,4623,blue,true,left,29,26,right,orange,1049,0
21,411866.78500000015,1,32,4591,blue,false,left,32,36,right,orange,1109,0
22,415515.0749999994,0,0,4591,blue,true,left,72,81,right,orange,1128,0
23,419178.1899999987,1,95,4496,blue,false,right,95,54,left,orange,1956,0
24,423684.2649999999,1,40,4456,blue,false,right,40,59,left,orange,1043,0
25,427257.64999999956,1,29,4427,blue,false,right,29,24,left,orange,555,0
26,430346.19999999995,1,60,4367,blue,false,right,60,51,left,orange,910,0
27,433821.35000000015,1,83,4284,blue,false,right,83,65,left,orange,1135,0
28,437512.59000000026,0,0,4284,blue,true,right,78,98,left,orange,690,0
29,440740.00499999966,1,56,4228,blue,false,right,56,51,left,orange,1243,0
30,444519.79500000016,1,5,4223,blue,false,left,5,20,right,orange,1341,0
31,448428.3299999988,1,67,4156,blue,false,right,67,2,left,orange,587,0
32,451554.51999999967,1,85,4071,blue,false,right,85,84,left,orange,976,0
33,455077.5599999997,0,0,4071,blue,true,left,7,49,right,orange,881,0
34,458496.97000000015,1,37,4034,blue,false,right,37,47,left,orange,1149,0
35,462201.4600000002,0,0,4034,blue,false,left,27,91,left,blue,794,0
36,465520.9249999989,0,0,4034,blue,false,right,44,42,right,blue,727,0
37,468801.5699999996,1,55,3979,blue,true,left,31,55,left,blue,700,0
38,472034.6300000001,0,0,3979,blue,false,left,97,70,left,blue,882,0
39,475451.9049999999,0,0,3979,blue,false,right,14,9,right,blue,1098,0
40,479095.3099999988,0,0,3979,blue,true,left,23,51,right,orange,1116,0
41,482764.92999999935,1,79,3900,blue,true,right,89,79,right,blue,1336,0
42,486652.4849999987,0,0,3900,blue,true,left,83,86,right,orange,1280,0
43,490461.9249999996,0,0,3900,blue,true,right,40,62,left,orange,922,0
44,493933.8399999997,1,23,3877,blue,true,right,36,23,right,blue,1658,0
45,498120.14499999897,0,0,3877,blue,true,left,65,61,right,orange,1462,0
46,502118.0299999996,0,0,3877,blue,true,left,74,67,right,orange,1250,0
47,505915.8950000001,0,0,3877,blue,true,left,73,41,right,orange,1241,0
48,513709.90999999957,0,0,3877,blue,false,right,96,54,right,blue,1604,0
49,517844.2249999989,1,88,3789,blue,true,left,86,88,left,blue,1384,0
50,521778.0800000001,0,0,3789,blue,true,right,43,66,left,orange,790,0
51,525109.3949999996,0,0,3789,blue,true,left,72,79,right,orange,939,0
52,528589.2899999999,1,71,3718,blue,false,left,71,13,right,orange,808,0
53,531970.4349999992,1,53,3665,blue,true,right,78,53,right,blue,781,0
54,535303.7349999995,0,0,3665,blue,true,right,57,90,left,orange,862,0
55,538694.5049999994,1,3,3662,blue,false,left,3,12,right,orange,835,0
56,542072.6249999988,0,0,3662,blue,true,right,2,64,left,orange,962,0
57,545571.14,1,9,3653,blue,true,right,99,9,right,blue,1045,0
58,549155.9699999997,0,0,3653,blue,true,right,21,42,left,orange,751,0
59,552439.3349999991,0,0,3653,blue,true,right,83,72,left,orange,957,0
60,555938.834999999,1,11,3642,blue,true,right,37,11,right,blue,1298,0
61,559786.4599999994,1,67,3575,blue,false,left,67,81,right,orange,912,0
62,563246.1750000003,1,14,3561,blue,true,left,12,14,left,blue,1048,0
63,566838.3599999998,1,78,3483,blue,false,right,78,90,left,orange,1392,0
64,570774.8649999994,1,46,3437,blue,false,left,46,53,right,orange,880,0
65,574200.8800000004,0,0,3437,blue,false,right,30,42,right,blue,646,0
66,577395.7849999988,1,36,3401,blue,false,right,36,65,left,orange,1305,0
67,581267.2449999991,1,49,3352,blue,false,right,49,49,left,orange,810,0
68,584620.39,0,0,3352,blue,false,right,44,10,right,blue,1196,0
69,588351.8750000002,0,0,3352,blue,false,left,70,64,left,blue,2080,0
70,592975.5850000002,0,0,3352,blue,false,right,68,95,right,blue,1786,0
71,597305.479999999,0,0,3352,blue,false,right,38,46,right,blue,1296,0
72,601145.7250000003,1,18,3334,blue,false,left,18,24,right,orange,1320,0
73,605026.8399999987,1,82,3252,blue,false,right,82,78,left,orange,1610,0
74,609181.3700000002,1,59,3193,blue,false,right,59,54,left,orange,1214,0
75,612942.8549999993,1,36,3157,blue,false,left,36,33,right,orange,913,0
76,616407.4,1,56,3101,blue,true,left,49,56,left,blue,538,0
77,619504.6199999996,0,0,3101,blue,false,left,26,83,left,blue,1135,0
