Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,290416,1,37,4963,blue,true,right,44,37,right,blue,1055,0
2,294005,1,12,4951,blue,true,left,66,12,left,blue,1096,0
3,297636,0,0,4951,blue,true,left,98,9,right,orange,1242,0
4,301422,1,20,4931,blue,false,right,20,91,left,orange,1617,0
5,305577,0,0,4931,blue,true,left,28,8,right,orange,1718,0
6,309822,0,0,4931,blue,true,right,30,33,left,orange,1122,0
7,313471,0,0,4931,blue,true,right,27,24,left,orange,1311,0
8,317312,1,58,4873,blue,false,right,58,43,left,orange,1168,0
9,321016,0,0,4873,blue,true,left,72,47,right,orange,1575,0
10,325118,1,44,4829,blue,false,left,44,44,right,orange,1250,0
11,328892,1,26,4803,blue,true,left,69,26,left,blue,1428,0
12,332837,0,0,4803,blue,true,left,6,41,right,orange,2253,0
13,337617,0,0,4803,blue,true,right,88,34,left,orange,992,0
14,341147,1,73,4730,blue,false,left,73,18,right,orange,1048,0
15,344728,0,0,4730,blue,true,left,60,25,right,orange,1018,0
16,348280,0,0,4730,blue,true,left,68,6,right,orange,1835,0
17,352638,1,48,4682,blue,false,left,48,39,right,orange,1062,0
18,356229,0,0,4682,blue,true,left,35,76,right,orange,1166,0
19,359942,0,0,4682,blue,true,right,23,85,left,orange,1260,0
20,363750,0,0,4682,blue,true,left,54,22,right,orange,1182,0
21,367462,1,66,4616,blue,false,left,66,58,right,orange,1103,0
22,371105,0,0,4616,blue,true,right,98,41,left,orange,1381,0
23,375015,0,0,4616,blue,true,right,58,80,left,orange,1104,0
24,378642,0,0,4616,blue,true,right,32,85,left,orange,1636,0
25,382809,0,0,4616,blue,false,right,83,15,right,blue,3180,0
26,388509,0,0,4616,blue,true,right,18,16,left,orange,1403,0
27,392442,0,0,4616,blue,true,right,56,99,left,orange,2111,0
28,397101,0,0,4616,blue,true,right,23,75,left,orange,1388,0
29,401029,1,18,4598,blue,true,right,68,18,right,blue,1331,0
30,404896,0,0,4598,blue,true,right,30,16,left,orange,1147,0
31,408575,0,0,4598,blue,true,left,86,37,right,orange,1372,0
32,412465,0,0,4598,blue,true,right,47,44,left,orange,1118,0
33,416121,0,0,4598,blue,true,right,3,91,left,orange,1506,0
34,420149,1,60,4538,blue,false,right,60,14,left,orange,1303,0
35,423975,0,0,4538,blue,true,right,54,84,left,orange,1157,0
36,427673,0,0,4538,blue,true,left,34,23,right,orange,1459,0
37,431656,1,28,4510,blue,true,left,96,28,left,blue,1316,0
38,435503,1,83,4427,blue,false,right,83,94,left,orange,1327,0
39,439358,0,0,4427,blue,true,right,63,86,left,orange,1984,0
40,443881,0,0,4427,blue,true,left,99,53,right,orange,1557,0
41,447959,0,0,4427,blue,true,right,29,91,left,orange,2136,0
42,452635,0,0,4427,blue,true,left,88,64,right,orange,1940,0
43,457101,0,0,4427,blue,true,right,84,70,left,orange,1298,0
44,460933,1,61,4366,blue,false,right,61,88,left,orange,1275,0
45,464741,0,0,4366,blue,true,right,61,43,left,orange,1516,0
46,468779,0,0,4366,blue,true,left,87,54,right,orange,1463,0
47,472769,1,5,4361,blue,false,left,5,90,right,orange,1569,0
48,480871,0,0,4361,blue,true,right,71,44,left,orange,2924,0
49,486319,0,0,4361,blue,true,right,42,52,left,orange,1283,0
50,490132,0,0,4361,blue,true,right,39,93,left,orange,911,0
51,493578,0,0,4361,blue,true,right,39,24,left,orange,1403,0
52,497514,1,20,4341,blue,false,right,20,10,left,orange,1322,0
53,501380,1,85,4256,blue,false,right,85,43,left,orange,928,0
54,504842,0,0,4256,blue,false,right,77,7,right,blue,1194,0
55,508559,1,90,4166,blue,true,left,95,90,left,blue,917,0
56,512010,1,7,4159,blue,true,left,56,7,left,blue,1196,0
57,515734,0,0,4159,blue,true,right,50,69,left,orange,960,0
58,519228,0,0,4159,blue,true,left,4,83,right,orange,1259,0
59,523016,1,40,4119,blue,false,right,40,8,left,orange,718,0
60,526250,0,0,4119,blue,true,right,47,86,left,orange,846,0
61,529618,0,0,4119,blue,true,left,15,49,right,orange,870,0
62,533024,0,0,4119,blue,true,left,17,39,right,orange,648,0
63,536207,1,76,4043,blue,false,left,76,97,right,orange,905,0
64,539630,1,14,4029,blue,true,right,73,14,right,blue,1402,0
65,543570,0,0,4029,blue,true,right,67,29,left,orange,1144,0
66,547237,0,0,4029,blue,true,right,48,39,left,orange,1013,0
67,550774,0,0,4029,blue,true,left,30,99,right,orange,1477,0
68,554793,1,13,4016,blue,false,right,13,20,left,orange,1027,0
69,558350,0,0,4016,blue,true,left,66,59,right,orange,829,0
70,561708,0,0,4016,blue,true,left,20,60,right,orange,976,0
71,565197,0,0,4016,blue,true,right,41,25,left,orange,862,0
72,568584,1,76,3940,blue,false,left,76,70,right,orange,741,0
73,571861,1,73,3867,blue,false,left,73,18,right,orange,1703,0
74,576092,1,41,3826,blue,false,left,41,80,right,orange,930,0
75,579561,0,0,3826,blue,true,right,25,76,left,orange,997,0
76,583101,1,34,3792,blue,false,left,34,52,right,orange,1008,0
77,586634,1,30,3762,blue,false,right,30,60,left,orange,1315,0
78,590482,0,0,3762,blue,false,left,91,36,left,blue,1117,0
79,594130,0,0,3762,blue,false,right,70,59,right,blue,796,0
80,597451,1,47,3715,blue,true,left,64,47,left,blue,865,0
81,600871,1,28,3687,blue,false,left,28,44,right,orange,1322,0
82,604726,1,2,3685,blue,false,right,2,80,left,orange,1002,0
83,608274,0,0,3685,blue,false,right,20,39,right,blue,848,0
84,611639,0,0,3685,blue,false,right,32,61,right,blue,841,0
85,614998,0,0,3685,blue,false,left,90,61,left,blue,731,0
86,618280,1,70,3615,blue,true,left,62,70,left,blue,955,0
87,621767,0,0,3615,blue,false,left,17,33,left,blue,605,0
88,624916,0,0,3615,blue,false,right,74,17,right,blue,750,0
89,628212,0,0,3615,blue,false,right,2,85,right,blue,800,0
90,631530,0,0,3615,blue,false,right,39,76,right,blue,842,0
91,634889,0,0,3615,blue,false,right,70,20,right,blue,713,0
92,638124,1,69,3546,blue,true,right,24,69,right,blue,952,0
93,641604,1,52,3494,blue,true,right,59,52,right,blue,575,0
94,648707,0,0,3494,blue,false,left,15,43,left,blue,1938,0
95,653178,1,34,3460,blue,true,right,50,34,right,blue,699,0
96,656401,0,0,3460,blue,false,right,43,48,right,blue,630,0
97,659564,1,35,3425,blue,true,right,14,35,right,blue,634,0
98,662739,1,42,3383,blue,true,right,12,42,right,blue,532,0
99,665817,1,44,3339,blue,true,left,40,44,left,blue,1599,0
100,669946,0,0,3339,blue,true,right,88,50,left,orange,638,0
101,673103,0,0,3339,blue,true,right,51,19,left,orange,475,0
102,676101,0,0,3339,blue,true,right,44,59,left,orange,611,0
103,679246,0,0,3339,blue,true,left,23,9,right,orange,668,0
104,682446,0,0,3339,blue,true,left,23,76,right,orange,586,0
105,685558,0,0,3339,blue,true,left,94,47,right,orange,516,0
106,688590,1,67,3272,blue,false,left,67,56,right,orange,460,0
107,691570,0,0,3272,blue,true,left,50,16,right,orange,1146,0
108,695247,0,0,3272,blue,true,left,83,7,right,orange,779,0
109,698557,0,0,3272,blue,true,left,86,41,right,orange,1069,0
110,702166,0,0,3272,blue,true,left,61,37,right,orange,965,0
111,705669,1,82,3190,blue,false,left,82,57,right,orange,598,0
