Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,134167.67500014976,0,0,5000,blue,true,right,23,10,left,orange,1433,0
2,138143.9050002955,0,0,5000,blue,true,left,45,97,right,orange,1616,0
3,142313.39500006288,0,0,5000,blue,true,right,54,62,left,orange,2190,0
4,147046.2150000967,0,0,5000,blue,false,left,99,16,left,blue,1477,0
5,151061.68000027537,1,40,4960,blue,true,left,72,40,left,blue,1668,0
6,155288.36000012234,1,88,4872,blue,true,right,98,88,right,blue,1525,0
7,159361.82500002906,0,0,4872,blue,true,left,6,54,right,orange,2452,0
8,164349.3900001049,0,0,4872,blue,true,right,64,55,left,orange,1457,0
9,168341.1400001496,1,96,4776,blue,false,right,96,45,left,orange,1373,0
10,172266.51500025764,0,0,4776,blue,true,right,28,19,left,orange,1558,0
11,176364.5999999717,0,0,4776,blue,true,right,95,26,left,orange,1927,0
12,180826.0400001891,0,0,4776,blue,true,left,90,29,right,orange,1331,0
13,184697.685000021,0,0,4776,blue,true,right,20,53,left,orange,1706,0
14,188936.71500030905,0,0,4776,blue,true,left,74,56,right,orange,1251,0
15,192725.60500027612,1,42,4734,blue,true,right,18,42,right,blue,1545,0
16,196818.42500017956,0,0,4734,blue,true,right,11,91,left,orange,809,0
17,200159.40500004217,1,32,4702,blue,false,right,32,31,left,orange,2621,0
18,205320.65000012517,0,0,4702,blue,true,left,36,65,right,orange,2851,0
19,210704.47000022978,1,40,4662,blue,false,right,40,30,left,orange,1663,0
20,214910.32500006258,1,26,4636,blue,true,right,29,26,right,blue,853,0
21,218310.6900001876,1,32,4604,blue,false,right,32,36,left,orange,872,0
22,221731.93999985233,0,0,4604,blue,true,left,72,81,right,orange,1026,0
23,225290.12500029057,1,95,4509,blue,false,left,95,54,right,orange,777,0
24,228611.30500026047,1,40,4469,blue,false,right,40,59,left,orange,694,0
25,231865.79000018537,1,29,4440,blue,false,right,29,24,left,orange,1730,0
26,236139.52500000596,1,60,4380,blue,false,left,60,51,right,orange,952,0
27,239632.84000009298,0,0,4380,blue,false,left,83,65,left,blue,410,0
28,242597.7099998854,1,98,4282,blue,true,left,78,98,left,blue,867,0
29,246009.04500018805,1,56,4226,blue,false,right,56,51,left,orange,1240,0
30,249790.99000012502,1,5,4221,blue,false,right,5,20,left,orange,1408,0
31,253747.4799999036,0,0,4221,blue,false,right,67,2,right,blue,618,0
32,256902.10499987006,1,85,4136,blue,false,left,85,84,right,orange,1465,0
33,260908.79999985918,1,49,4087,blue,true,left,7,49,left,blue,480,0
34,263932.860000059,0,0,4087,blue,false,left,37,47,left,blue,732,0
35,267195.2100000344,0,0,4087,blue,false,right,27,91,right,blue,2088,0
36,271817.37000029534,1,44,4043,blue,false,left,44,42,right,orange,844,0
37,275207.26499985904,1,55,3988,blue,true,left,31,55,left,blue,316,0
