Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,208252.7000000002,0,0,5000,blue,true,left,23,10,right,orange,1788,0
2,212567.89999999944,0,0,5000,blue,true,right,45,97,left,orange,1836,0
3,216933.5,1,62,4938,blue,true,left,54,62,left,blue,2813,0
4,222280.7999999998,1,99,4839,blue,false,right,99,16,left,orange,2744,0
5,227546.2000000002,0,0,4839,blue,true,left,72,40,right,orange,2932,0
6,233013,0,0,4839,blue,true,right,98,88,left,orange,2161,0
7,237711.59999999963,0,0,4839,blue,true,right,6,54,left,orange,1430,0
8,241677.7999999998,1,55,4784,blue,true,right,64,55,right,blue,2450,0
9,246658.59999999963,0,0,4784,blue,false,left,96,45,left,blue,1460,0
10,250659.7000000002,1,19,4765,blue,true,right,28,19,right,blue,2212,0
11,255407.5,0,0,4765,blue,true,right,95,26,left,orange,2090,0
12,260023,0,0,4765,blue,true,right,90,29,left,orange,1250,0
13,263805.89999999944,0,0,4765,blue,true,right,20,53,left,orange,1429,0
14,267770.0999999996,0,0,4765,blue,true,right,74,56,left,orange,456,0
15,270754.0999999996,0,0,4765,blue,true,left,18,42,right,orange,2122,0
16,275403.0999999996,0,0,4765,blue,true,right,11,91,left,orange,1549,0
17,279486.0999999996,1,32,4733,blue,false,right,32,31,left,orange,697,0
18,282718.0999999996,0,0,4733,blue,true,left,36,65,right,orange,1251,0
19,286500.2000000002,0,0,4733,blue,false,right,40,30,right,blue,2062,0
20,296622,0,0,4733,blue,true,right,29,26,left,orange,837,1
21,299997.2999999998,1,32,4701,blue,false,right,32,36,left,orange,2046,0
22,304596.2000000002,0,0,4701,blue,true,right,72,81,left,orange,1755,0
23,308878.39999999944,0,0,4701,blue,false,right,95,54,right,blue,2105,0
24,313510.89999999944,1,40,4661,blue,false,right,40,59,left,orange,1314,0
25,317359.7999999998,0,0,4661,blue,false,left,29,24,left,blue,1157,0
26,321039.5,1,60,4601,blue,false,left,60,51,right,orange,2217,0
27,325791.39999999944,0,0,4601,blue,false,left,83,65,left,blue,1912,0
28,330228.0999999996,0,0,4601,blue,true,left,78,98,right,orange,1915,0
29,334672.7000000002,0,0,4601,blue,false,left,56,51,left,blue,1948,0
30,339138.0999999996,1,5,4596,blue,false,right,5,20,left,orange,1371,0
31,343040.0999999996,0,0,4596,blue,false,right,67,2,right,blue,1313,0
32,346886.5999999996,1,85,4511,blue,false,left,85,84,right,orange,2618,0
33,352035.0999999996,0,0,4511,blue,true,right,7,49,left,orange,697,0
34,355268.0999999996,1,37,4474,blue,false,left,37,47,right,orange,2111,0
35,359918.2999999998,1,27,4447,blue,false,right,27,91,left,orange,1595,0
36,364048.89999999944,1,44,4403,blue,false,right,44,42,left,orange,1293,0
37,367881.5999999996,0,0,4403,blue,true,left,31,55,right,orange,994,0
38,371414.2000000002,0,0,4403,blue,false,left,97,70,left,blue,1690,0
39,375629.7000000002,1,14,4389,blue,false,right,14,9,left,orange,686,0
40,378845.5999999996,0,0,4389,blue,true,right,23,51,left,orange,1093,0
41,382461.7000000002,1,79,4310,blue,true,right,89,79,right,blue,2120,0
42,387110.5999999996,0,0,4310,blue,true,left,83,86,right,orange,2464,0
43,392109.0999999996,0,0,4310,blue,true,right,40,62,left,orange,1478,0
44,396125.0999999996,1,23,4287,blue,true,left,36,23,left,blue,1346,0
45,400007.5999999996,1,61,4226,blue,true,right,65,61,right,blue,1901,0
46,404438.5999999996,1,67,4159,blue,true,left,74,67,left,blue,1824,0
47,408789,1,41,4118,blue,true,right,73,41,right,blue,2421,0
48,417739.7000000002,0,0,4118,blue,false,right,96,54,right,blue,1678,0
49,421952.5999999996,0,0,4118,blue,true,right,86,88,left,orange,1841,0
50,426334.7000000002,0,0,4118,blue,true,left,43,66,right,orange,1637,0
51,430500.5999999996,1,79,4039,blue,true,left,72,79,left,blue,2076,0
52,435099.5,0,0,4039,blue,false,left,71,13,left,blue,1450,0
53,439081.89999999944,1,53,3986,blue,true,left,78,53,left,blue,1405,0
54,443014.5,0,0,3986,blue,true,left,57,90,right,orange,1134,0
55,446680.2000000002,1,3,3983,blue,false,right,3,12,left,orange,899,0
56,450112.2999999998,0,0,3983,blue,true,right,2,64,left,orange,676,0
57,453312,1,9,3974,blue,true,left,99,9,left,blue,1124,0
58,456959.7000000002,0,0,3974,blue,true,left,21,42,right,orange,1202,0
59,460693.2000000002,1,72,3902,blue,true,left,83,72,left,blue,1352,0
60,464576,1,11,3891,blue,true,left,37,11,left,blue,1711,0
61,468825,1,67,3824,blue,false,left,67,81,right,orange,1248,0
62,472607.5,0,0,3824,blue,true,left,12,14,right,orange,950,0
63,476090.0999999996,1,78,3746,blue,false,left,78,90,right,orange,991,0
64,479606,1,46,3700,blue,false,left,46,53,right,orange,1326,0
65,483471.5999999996,1,30,3670,blue,false,right,30,42,left,orange,1544,0
66,487537.39999999944,1,36,3634,blue,false,left,36,65,right,orange,1435,0
67,491504.2000000002,0,0,3634,blue,false,left,49,49,left,blue,2335,0
68,496363.7999999998,0,0,3634,blue,false,right,44,10,right,blue,1304,0
69,500202.7000000002,1,70,3564,blue,false,left,70,64,right,orange,1803,0
70,504532.0999999996,1,68,3496,blue,false,left,68,95,right,orange,1193,0
71,508249.2999999998,0,0,3496,blue,false,left,38,46,left,blue,934,0
72,511715.0999999996,0,0,3496,blue,false,left,18,24,left,blue,1615,0
73,515862.7999999998,1,82,3414,blue,false,left,82,78,right,orange,1224,0
74,519613.7999999998,1,59,3355,blue,false,right,59,54,left,orange,702,0
75,522845.7000000002,0,0,3355,blue,false,right,36,33,right,blue,637,0
76,526012.5,1,56,3299,blue,true,left,49,56,left,blue,838,0
77,529376.2000000002,0,0,3299,blue,false,right,26,83,right,blue,1290,0
78,533192,1,38,3261,blue,false,left,38,81,right,orange,1395,0
79,537126,0,0,3261,blue,false,left,12,3,left,blue,1690,0
80,541341.7000000002,0,0,3261,blue,false,left,62,38,left,blue,1486,0
81,545357.3999999994,0,0,3261,blue,false,right,43,50,right,blue,2249,0
82,550139.5,0,0,3261,blue,false,left,50,47,left,blue,1537,0
83,554205.2999999998,1,35,3226,blue,true,left,41,35,left,blue,1183,0
84,557921.2000000002,1,9,3217,blue,false,right,9,62,left,orange,916,0
85,561368.8999999994,0,0,3217,blue,false,left,60,58,left,blue,1876,0
86,565768,0,0,3217,blue,false,left,88,31,left,blue,1905,0
87,570201.2999999998,0,0,3217,blue,false,left,56,44,left,blue,3259,0
88,575985.3999999994,1,15,3202,blue,true,left,31,15,left,blue,1407,0
89,579914.5,0,0,3202,blue,false,left,90,31,left,blue,1526,0
90,583965.0999999996,0,0,3202,blue,false,right,80,76,right,blue,1830,0
91,588330.5999999996,0,0,3202,blue,false,left,78,4,left,blue,1367,0
92,592229.7999999998,0,0,3202,blue,false,right,60,28,right,blue,1363,0
93,596129,0,0,3202,blue,true,left,56,99,right,orange,1132,0
94,603789.5999999996,1,31,3171,blue,false,left,31,45,right,orange,1240,0
95,607559.5999999996,0,0,3171,blue,false,right,55,16,right,blue,795,0
96,610877.2000000002,1,89,3082,blue,true,right,12,89,right,blue,864,0
97,614273.2000000002,0,0,3082,blue,false,left,49,4,left,blue,1395,0
98,618206.7999999998,0,0,3082,blue,false,left,69,12,left,blue,758,0
99,621489.7999999998,1,26,3056,blue,true,left,49,26,left,blue,1144,0
100,625172.2999999998,1,75,2981,blue,false,left,75,76,right,orange,1675,0
101,629375.5,1,22,2959,blue,false,right,22,90,left,orange,493,0
102,632403.7000000002,1,23,2936,blue,true,left,26,23,left,blue,2210,0
103,637152.5,1,11,2925,blue,false,left,11,68,right,orange,1275,0
104,640952,0,0,2925,blue,true,right,71,82,left,orange,1389,0
105,644867.2999999998,1,86,2839,blue,false,left,86,95,right,orange,1895,0
