Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,315668.49999999977,1,37,4963,blue,true,right,44,37,right,blue,1713,0
2,319949.2049999999,0,0,4963,blue,true,right,66,12,left,orange,792,0
3,323286.88999999943,0,0,4963,blue,true,left,98,9,right,orange,789,0
4,326632.2650000002,1,20,4943,blue,false,left,20,91,right,orange,1245,0
5,330454.0849999994,0,0,4943,blue,true,right,28,8,left,orange,692,0
6,333723.50000000006,0,0,4943,blue,true,right,30,33,left,orange,1305,0
7,337583.3149999998,0,0,4943,blue,true,right,27,24,left,orange,792,0
8,340933.0199999995,1,58,4885,blue,false,left,58,43,right,orange,417,0
9,343902.36000000004,1,47,4838,blue,true,left,72,47,left,blue,1156,0
10,347634.27999999933,1,44,4794,blue,false,left,44,44,right,orange,847,0
11,351052.0849999994,0,0,4794,blue,true,right,69,26,left,orange,579,0
12,354184.01499999984,0,0,4794,blue,true,left,6,41,right,orange,878,0
13,357615.4749999996,0,0,4794,blue,true,right,88,34,left,orange,923,0
14,361094.83999999973,1,73,4721,blue,false,left,73,18,right,orange,720,0
15,364378.5799999996,0,0,4721,blue,true,left,60,25,right,orange,1125,0
16,368060.10999999946,0,0,4721,blue,true,right,68,6,left,orange,634,0
17,371251.98499999987,1,48,4673,blue,false,left,48,39,right,orange,703,0
18,374529.5499999993,0,0,4673,blue,true,left,35,76,right,orange,1347,0
19,378444.5349999996,0,0,4673,blue,true,left,23,85,right,orange,552,0
20,381549.7749999995,0,0,4673,blue,true,left,54,22,right,orange,437,0
21,384543.17999999964,1,66,4607,blue,false,right,66,58,left,orange,796,0
22,387909.0099999994,0,0,4607,blue,true,left,98,41,right,orange,485,0
23,390926.35499999963,0,0,4607,blue,true,left,58,80,right,orange,665,0
24,394137.6499999997,0,0,4607,blue,true,left,32,85,right,orange,633,0
25,397324.4850000001,0,0,4607,blue,false,right,83,15,right,blue,2323,0
26,402200.065,0,0,4607,blue,true,left,18,16,right,orange,777,0
27,405517.61499999976,0,0,4607,blue,true,left,56,99,right,orange,585,0
28,408666.78999999934,0,0,4607,blue,true,left,23,75,right,orange,647,0
29,411864.6749999998,1,18,4589,blue,true,left,68,18,left,blue,1379,0
30,415821.8999999999,0,0,4589,blue,true,left,30,16,right,orange,772,0
31,419134.82500000007,0,0,4589,blue,true,right,86,37,left,orange,696,0
32,422384.1999999995,0,0,4589,blue,true,right,47,44,left,orange,493,0
33,425434.5800000001,0,0,4589,blue,true,left,3,91,right,orange,389,0
34,428380.1949999997,1,60,4529,blue,false,right,60,14,left,orange,561,0
35,431522.5599999994,0,0,4529,blue,true,right,54,84,left,orange,1284,0
36,435375.1199999997,0,0,4529,blue,true,left,34,23,right,orange,1071,0
37,439018.76999999967,1,28,4501,blue,true,left,96,28,left,blue,2350,0
38,443930.3199999995,1,83,4418,blue,false,left,83,94,right,orange,840,0
39,447329.565,0,0,4418,blue,true,right,63,86,left,orange,1230,0
40,451123.955,0,0,4418,blue,true,left,99,53,right,orange,1613,0
41,455295.255,0,0,4418,blue,true,right,29,91,left,orange,741,0
42,458587.1449999995,0,0,4418,blue,true,right,88,64,left,orange,592,0
43,461737.78499999933,0,0,4418,blue,true,left,84,70,right,orange,514,0
44,464806.2749999999,1,61,4357,blue,false,right,61,88,left,orange,774,0
45,468151.0099999996,0,0,4357,blue,true,left,61,43,right,orange,484,0
46,471195.2849999998,0,0,4357,blue,true,left,87,54,right,orange,487,0
47,474233.6249999998,1,5,4352,blue,false,left,5,90,right,orange,531,0
48,481340.25500000006,0,0,4352,blue,true,left,71,44,right,orange,1810,0
49,485695.4599999999,0,0,4352,blue,true,left,42,52,right,orange,565,0
50,488814.33000000013,0,0,4352,blue,true,right,39,93,left,orange,610,0
51,491973.8299999999,0,0,4352,blue,true,right,39,24,left,orange,1177,0
52,495703.03499999957,1,20,4332,blue,false,left,20,10,right,orange,408,0
53,498679.8449999997,1,85,4247,blue,false,left,85,43,right,orange,550,0
