Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,384014,1,10,4990,blue,true,left,23,10,left,blue,2095,0
2,388625,0,0,4990,blue,true,left,45,97,right,orange,1763,0
3,392900.00000000006,1,62,4928,blue,true,right,54,62,right,blue,2412,0
4,397825,0,0,4928,blue,false,left,99,16,left,blue,2078,0
5,402415,1,40,4888,blue,true,left,72,40,left,blue,1914,0
6,406843,0,0,4888,blue,true,left,98,88,right,orange,2381,0
7,411735,0,0,4888,blue,true,left,6,54,right,orange,1795,0
8,416041,0,0,4888,blue,true,right,64,55,left,orange,3044,0
9,421595,0,0,4888,blue,false,left,96,45,left,blue,2050,0
10,426156,1,19,4869,blue,true,left,28,19,left,blue,1339,0
11,430010,1,26,4843,blue,true,right,95,26,right,blue,2533,0
12,435056,1,29,4814,blue,true,right,90,29,right,blue,1693,0
13,439264,0,0,4814,blue,true,right,20,53,left,orange,944,0
14,442720,0,0,4814,blue,true,right,74,56,left,orange,1128,0
15,446357,0,0,4814,blue,true,right,18,42,left,orange,1170,0
16,450038,0,0,4814,blue,true,left,11,91,right,orange,1467,0
17,454016,1,32,4782,blue,false,left,32,31,right,orange,1688,0
18,458218,0,0,4782,blue,true,left,36,65,right,orange,1649,0
19,462379,1,40,4742,blue,false,left,40,30,right,orange,1357,0
20,466250,0,0,4742,blue,true,right,29,26,left,orange,1365,0
21,470126.00000000006,1,32,4710,blue,false,left,32,36,right,orange,1195,0
22,473836,0,0,4710,blue,true,right,72,81,left,orange,2045,0
23,478397,1,95,4615,blue,false,left,95,54,right,orange,1521,0
24,482432,0,0,4615,blue,false,right,40,59,right,blue,2090,0
25,487032,1,29,4586,blue,false,left,29,24,right,orange,2269,0
26,491817,0,0,4586,blue,false,left,60,51,left,blue,1500,0
27,495828.00000000006,0,0,4586,blue,false,right,83,65,right,blue,2063,0
28,500403,0,0,4586,blue,true,left,78,98,right,orange,1763,0
29,504677,1,56,4530,blue,false,right,56,51,left,orange,2121,0
30,509310,1,5,4525,blue,false,right,5,20,left,orange,1282,0
31,513105,0,0,4525,blue,false,left,67,2,left,blue,1518,0
32,517135,1,85,4440,blue,false,right,85,84,left,orange,1866,0
33,521514,0,0,4440,blue,true,right,7,49,left,orange,1237,0
34,525262,0,0,4440,blue,false,right,37,47,right,blue,1709,0
35,529481,1,27,4413,blue,false,right,27,91,left,orange,1708,0
36,533703,1,44,4369,blue,false,left,44,42,right,orange,1839,0
37,538053,0,0,4369,blue,true,left,31,55,right,orange,1370,0
38,541934,1,97,4272,blue,false,right,97,70,left,orange,1465,0
39,545914,0,0,4272,blue,false,left,14,9,left,blue,924,0
40,549348,1,51,4221,blue,true,right,23,51,right,blue,1318,0
41,553179,0,0,4221,blue,true,left,89,79,right,orange,988,0
42,556679,0,0,4221,blue,true,left,83,86,right,orange,1087,0
43,560276.0000000001,1,62,4159,blue,true,right,40,62,right,blue,989,0
44,563779,1,23,4136,blue,true,right,36,23,right,blue,2111,0
45,568403,0,0,4136,blue,true,right,65,61,left,orange,543,0
46,571457,0,0,4136,blue,true,right,74,67,left,orange,854,0
47,574823,0,0,4136,blue,true,left,73,41,right,orange,1768,0
48,583105,1,96,4040,blue,false,left,96,54,right,orange,2481,0
49,588100,0,0,4040,blue,true,right,86,88,left,orange,1176,0
50,591786,1,66,3974,blue,true,right,43,66,right,blue,992,0
51,595293,1,79,3895,blue,true,right,72,79,right,blue,1165,0
52,598972,0,0,3895,blue,false,right,71,13,right,blue,763,0
53,602249,0,0,3895,blue,true,right,78,53,left,orange,903,0
54,605663,0,0,3895,blue,true,right,57,90,left,orange,1038,0
55,609212,1,3,3892,blue,false,left,3,12,right,orange,1142,0
56,612867,0,0,3892,blue,true,left,2,64,right,orange,1364,0
57,616742,1,9,3883,blue,true,right,99,9,right,blue,1662,0
58,620917,0,0,3883,blue,true,right,21,42,left,orange,2071,0
59,625498,0,0,3883,blue,true,left,83,72,right,orange,835,0
60,628844,0,0,3883,blue,true,left,37,11,right,orange,1211,0
61,632565,0,0,3883,blue,false,left,67,81,left,blue,1190,0
62,636266,0,0,3883,blue,true,right,12,14,left,orange,1640,0
63,640417,0,0,3883,blue,false,right,78,90,right,blue,1305,0
64,644233.0000000001,1,46,3837,blue,false,right,46,53,left,orange,941,0
65,647688,1,30,3807,blue,false,right,30,42,left,orange,1593,0
66,651795,1,36,3771,blue,false,left,36,65,right,orange,1062,0
67,655370,0,0,3771,blue,false,right,49,49,right,blue,873,0
68,658754,0,0,3771,blue,false,left,44,10,left,blue,987,0
69,662252.0000000001,0,0,3771,blue,false,left,70,64,left,blue,1237,0
70,665999,1,68,3703,blue,false,right,68,95,left,orange,1020,0
71,669531.0000000001,1,38,3665,blue,false,left,38,46,right,orange,800,0
72,672846,0,0,3665,blue,false,left,18,24,left,blue,809,0
73,676165,0,0,3665,blue,false,right,82,78,right,blue,1399,0
74,680075,0,0,3665,blue,false,left,59,54,left,blue,1685,0
75,684270,1,36,3629,blue,false,right,36,33,left,orange,1220,0
76,688005,1,56,3573,blue,true,left,49,56,left,blue,899,0
