Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,368295.6949999789,0,0,5000,blue,true,right,44,37,left,orange,2211,0
2,373047.1499999985,0,0,5000,blue,true,right,66,12,left,orange,2364,0
3,377958.0599999754,1,9,4991,blue,true,right,98,9,right,blue,2697,0
4,383216.40999999363,1,20,4971,blue,false,left,20,91,right,orange,1126,0
5,386879.91000001784,0,0,4971,blue,true,right,28,8,left,orange,1303,0
6,390714.8199999938,0,0,4971,blue,true,right,30,33,left,orange,1252,0
7,394492.6749999868,0,0,4971,blue,true,right,27,24,left,orange,1940,0
8,398974.56499992404,1,58,4913,blue,false,left,58,43,right,orange,3781,0
9,405327.47499994,0,0,4913,blue,true,left,72,47,right,orange,1496,0
10,409365.9500000067,1,44,4869,blue,false,right,44,44,left,orange,558,0
11,412486.3999999361,1,26,4843,blue,true,left,69,26,left,blue,2011,0
12,417051.96499999147,0,0,4843,blue,true,left,6,41,right,orange,3182,0
13,422782.6649999479,0,0,4843,blue,true,right,88,34,left,orange,2085,0
14,427431.0950000072,1,73,4770,blue,false,left,73,18,right,orange,1934,0
15,431916.3149999222,1,25,4745,blue,true,left,60,25,left,blue,1658,0
16,436135.3249999229,0,0,4745,blue,true,left,68,6,right,orange,2943,0
17,441615.20499992184,1,48,4697,blue,false,left,48,39,right,orange,730,0
18,444888.87999998406,0,0,4697,blue,true,left,35,76,right,orange,1417,0
19,448846.4049999602,0,0,4697,blue,true,left,23,85,right,orange,942,0
20,452337.3549999669,1,22,4675,blue,true,right,54,22,right,blue,2325,0
21,457211.32000000216,1,66,4609,blue,false,right,66,58,left,orange,2240,0
22,461995.0199999148,0,0,4609,blue,true,left,98,41,right,orange,1301,0
23,465856.68999992777,0,0,4609,blue,true,left,58,80,right,orange,489,0
24,468874.43999992684,0,0,4609,blue,true,left,32,85,right,orange,1312,0
25,472731.27499991097,1,83,4526,blue,false,left,83,15,right,orange,3598,0
26,478877.46499991044,0,0,4526,blue,true,right,18,16,left,orange,3419,0
27,484850.51499994006,0,0,4526,blue,true,right,56,99,left,orange,1728,0
28,489115.43499992695,0,0,4526,blue,true,right,23,75,left,orange,612,0
29,492279.2399999453,0,0,4526,blue,true,right,68,18,left,orange,1678,0
30,496512.2899999842,1,16,4510,blue,true,left,30,16,left,blue,1950,0
31,501019.34999995865,0,0,4510,blue,true,right,86,37,left,orange,1686,0
32,505250.9399999399,0,0,4510,blue,true,right,47,44,left,orange,548,0
33,508358.3549999166,0,0,4510,blue,true,left,3,91,right,orange,2241,0
34,513154.2049999116,1,60,4450,blue,false,right,60,14,left,orange,2670,0
35,523936.5449999459,0,0,4450,blue,true,right,54,84,left,orange,1908,1
36,528397.6949999342,0,0,4450,blue,true,left,34,23,right,orange,1922,0
37,532859.2499999795,0,0,4450,blue,true,right,96,28,left,orange,1321,0
38,536720.1849999838,0,0,4450,blue,false,left,83,94,left,blue,791,0
39,540048.0250000255,0,0,4450,blue,true,left,63,86,right,orange,861,0
40,543477.034999989,0,0,4450,blue,true,left,99,53,right,orange,500,0
41,546512.0249999454,0,0,4450,blue,true,left,29,91,right,orange,728,0
42,549779.4149999972,0,0,4450,blue,true,right,88,64,left,orange,390,0
43,552729.7199999448,1,70,4380,blue,true,left,84,70,left,blue,451,0
44,555738.0750000011,1,61,4319,blue,false,left,61,88,right,orange,1161,0
45,559471.9249999616,0,0,4319,blue,true,left,61,43,right,orange,1131,0
46,563130.4099999834,0,0,4319,blue,true,left,87,54,right,orange,489,0
47,566168.7599999132,1,5,4314,blue,false,left,5,90,right,orange,642,0
48,573385.3499999968,0,0,4314,blue,true,right,71,44,left,orange,2900,0
49,578836.5849999245,0,0,4314,blue,true,right,42,52,left,orange,1661,0
50,583032.2849999648,0,0,4314,blue,true,left,39,93,right,orange,3652,0
51,589229.4249999104,0,0,4314,blue,true,left,39,24,right,orange,1392,0
52,593183.9499999769,0,0,4314,blue,false,left,20,10,left,blue,888,0
53,596638.6850000126,1,85,4229,blue,false,right,85,43,left,orange,614,0
54,599806.3599999296,0,0,4229,blue,false,left,77,7,left,blue,1836,0
55,604179.1049999883,1,90,4139,blue,true,left,95,90,left,blue,1139,0
56,607861.3399999449,1,7,4132,blue,true,right,56,7,right,blue,2295,0
57,612709.814999951,0,0,4132,blue,true,left,50,69,right,orange,1543,0
58,616813.4899999714,0,0,4132,blue,true,right,4,83,left,orange,1450,0
59,620813.1499999436,1,40,4092,blue,false,left,40,8,right,orange,1211,0
60,624574.729999993,0,0,4092,blue,true,right,47,86,left,orange,1726,0
61,628846.3399999309,0,0,4092,blue,true,right,15,49,left,orange,1576,0
62,632967.7349999547,0,0,4092,blue,true,left,17,39,right,orange,2096,0
63,637632.4000000022,0,0,4092,blue,false,left,76,97,left,blue,2729,0
64,642921.2650000118,0,0,4092,blue,true,left,73,14,right,orange,1619,0
65,647091.0900000017,0,0,4092,blue,true,right,67,29,left,orange,1256,0
66,650901.104999939,1,39,4053,blue,true,left,48,39,left,blue,2333,0
67,655790.709999972,1,99,3954,blue,true,left,30,99,left,blue,963,0
68,659316.2499999162,0,0,3954,blue,false,left,13,20,left,blue,1927,0
69,663793.1249999674,0,0,3954,blue,true,right,66,59,left,orange,862,0
70,667186.7649999913,0,0,3954,blue,true,left,20,60,right,orange,368,0
71,670089.8349999916,0,0,3954,blue,true,left,41,25,right,orange,782,0
72,673419.6150000207,1,76,3878,blue,false,right,76,70,left,orange,688,0
73,676673.5099999933,1,73,3805,blue,false,right,73,18,left,orange,3151,0
74,682372.7899999358,1,41,3764,blue,false,right,41,80,left,orange,2285,0
75,687218.2999999495,0,0,3764,blue,true,left,25,76,right,orange,1627,0
76,691390.3899999568,1,34,3730,blue,false,left,34,52,right,orange,486,0
77,694415.0949999457,0,0,3730,blue,false,right,30,60,right,blue,611,0
78,697567.1350000193,0,0,3730,blue,false,left,91,36,left,blue,597,0
79,700712.8950000042,0,0,3730,blue,false,left,70,59,left,blue,1394,0
80,704666.9899999397,1,47,3683,blue,true,left,64,47,left,blue,2281,0
81,709490.039999946,0,0,3683,blue,false,right,28,44,right,blue,2777,0
82,714809.8549999995,0,0,3683,blue,false,left,2,80,left,blue,735,0
83,718083.6849999614,0,0,3683,blue,false,right,20,39,right,blue,1165,0
84,721801.9699999131,1,32,3651,blue,false,right,32,61,left,orange,633,0
85,724991.8099999195,0,0,3651,blue,false,left,90,61,left,blue,1143,0
86,728667.2199999448,0,0,3651,blue,true,right,62,70,left,orange,2094,0
87,733299.944999977,0,0,3651,blue,false,right,17,33,right,blue,1528,0
88,737382.8799999319,0,0,3651,blue,false,left,74,17,left,blue,3640,0
89,743582.6649999944,0,0,3651,blue,false,left,2,85,left,blue,2097,0
90,748224.6599999489,0,0,3651,blue,false,right,39,76,right,blue,2024,0
91,752790.8499999903,1,70,3581,blue,false,right,70,20,left,orange,3198,0
92,758559.030000004,0,0,3581,blue,true,right,24,69,left,orange,468,0
93,761575.1150000142,1,52,3529,blue,true,right,59,52,right,blue,1205,0
94,769345.3749999171,0,0,3529,blue,false,left,15,43,left,blue,305,0
95,772203.024999937,1,34,3495,blue,true,right,50,34,right,blue,1095,0
96,775840.8949999139,0,0,3495,blue,false,right,43,48,right,blue,2681,0
97,781073.9149999572,1,35,3460,blue,true,right,14,35,right,blue,1031,0
98,784642.3199999845,1,42,3418,blue,true,left,12,42,left,blue,1509,0
99,788705.7299999287,1,44,3374,blue,true,left,40,44,left,blue,1035,0
100,792294.1649999702,1,50,3324,blue,true,left,88,50,left,blue,1867,0
101,796725.2249999437,1,19,3305,blue,true,left,51,19,left,blue,3468,0
102,802744.7549999924,1,59,3246,blue,true,right,44,59,right,blue,1951,0
103,807242.2099999385,0,0,3246,blue,true,left,23,9,right,orange,2797,0
104,812599.9300000258,0,0,3246,blue,true,right,23,76,left,orange,468,0
105,815622.854999965,0,0,3246,blue,true,right,94,47,left,orange,492,0
