Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,222328,1,37,4963,blue,true,right,44,37,right,blue,2157,0
2,227013,1,12,4951,blue,true,left,66,12,left,blue,1686,0
3,231224.00000000003,1,9,4942,blue,true,left,98,9,left,blue,1031,0
4,234778,1,20,4922,blue,false,right,20,91,left,orange,1286,0
5,238589,1,8,4914,blue,true,left,28,8,left,blue,665,0
6,241775,0,0,4914,blue,true,left,30,33,right,orange,1992,0
7,246295.00000000003,0,0,4914,blue,true,left,27,24,right,orange,1430,0
8,250242.00000000003,1,58,4856,blue,false,right,58,43,left,orange,2626,0
9,255390.00000000003,1,47,4809,blue,true,left,72,47,left,blue,2027,0
10,259945,0,0,4809,blue,false,right,44,44,right,blue,3239,0
11,265702,1,26,4783,blue,true,right,69,26,right,blue,945,0
12,269170,0,0,4783,blue,true,right,6,41,left,orange,593,0
13,272280.00000000006,1,34,4749,blue,true,left,88,34,left,blue,1004,0
14,275807,0,0,4749,blue,false,right,73,18,right,blue,1430,0
15,279754,1,25,4724,blue,true,left,60,25,left,blue,1059,0
16,283334,1,6,4718,blue,true,left,68,6,left,blue,482,0
17,286341,0,0,4718,blue,false,right,48,39,right,blue,768,0
18,289626.00000000006,0,0,4718,blue,true,left,35,76,right,orange,687,0
19,292831,0,0,4718,blue,true,right,23,85,left,orange,554,0
20,295901,1,22,4696,blue,true,right,54,22,right,blue,952,0
21,299373,1,66,4630,blue,false,right,66,58,left,orange,1606,0
22,303510,1,41,4589,blue,true,right,98,41,right,blue,756,0
23,306788,0,0,4589,blue,true,left,58,80,right,orange,1189,0
24,310501.00000000006,0,0,4589,blue,true,left,32,85,right,orange,679,0
25,313697,0,0,4589,blue,false,right,83,15,right,blue,782,0
26,316997,0,0,4589,blue,true,right,18,16,left,orange,641,0
27,320155.00000000006,0,0,4589,blue,true,left,56,99,right,orange,625,0
28,323302,0,0,4589,blue,true,right,23,75,left,orange,568,0
29,326388.00000000006,1,18,4571,blue,true,left,68,18,left,blue,628,0
30,329537.00000000006,1,16,4555,blue,true,left,30,16,left,blue,667,0
31,332732,0,0,4555,blue,true,left,86,37,right,orange,1197,0
32,336451,0,0,4555,blue,true,right,47,44,left,orange,1369,0
33,340338,0,0,4555,blue,true,right,3,91,left,orange,545,0
34,343400.00000000006,0,0,4555,blue,false,left,60,14,left,blue,695,0
35,346611,1,84,4471,blue,true,left,54,84,left,blue,1520,0
36,350654,1,23,4448,blue,true,left,34,23,left,blue,679,0
