Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,217562.10000002384,1,37,4963,blue,true,left,44,37,left,blue,839,1
2,220925.89999997616,1,12,4951,blue,true,right,66,12,right,blue,524,0
3,223979.30000001192,1,9,4942,blue,true,left,98,9,left,blue,399,0
4,226901,1,20,4922,blue,false,right,20,91,left,orange,342,0
5,229771.60000002384,0,0,4922,blue,true,right,28,8,left,orange,376,0
6,232671.80000001192,0,0,4922,blue,true,right,30,33,left,orange,398,0
7,235593.19999998808,0,0,4922,blue,true,left,27,24,right,orange,461,0
8,238584.30000001192,1,58,4864,blue,false,right,58,43,left,orange,1085,0
9,242196.69999998808,0,0,4864,blue,true,left,72,47,right,orange,386,0
10,245109.5,1,44,4820,blue,false,left,44,44,right,orange,462,0
11,248100.30000001192,0,0,4820,blue,true,right,69,26,left,orange,440,0
12,251059,0,0,4820,blue,true,right,6,41,left,orange,1313,0
13,254893.60000002384,1,34,4786,blue,true,right,88,34,right,blue,2251,0
14,259673.30000001192,0,0,4786,blue,false,left,73,18,left,blue,489,0
15,262696.1999999881,1,25,4761,blue,true,right,60,25,right,blue,868,0
16,266087.10000002384,1,6,4755,blue,true,right,68,6,right,blue,928,0
17,269541,1,48,4707,blue,false,left,48,39,right,orange,1212,0
18,273274.8000000119,1,76,4631,blue,true,right,35,76,right,blue,1583,0
19,277388.8000000119,0,0,4631,blue,true,right,23,85,left,orange,313,0
20,280218.6999999881,0,0,4631,blue,true,right,54,22,left,orange,402,0
21,283144.89999997616,1,66,4565,blue,false,right,66,58,left,orange,458,0
22,286130.39999997616,0,0,4565,blue,true,right,98,41,left,orange,995,0
23,289645.6999999881,1,80,4485,blue,true,right,58,80,right,blue,768,0
24,292942,0,0,4485,blue,true,right,32,85,left,orange,707,0
25,296169.5,1,83,4402,blue,false,right,83,15,left,orange,835,0
26,299527.60000002384,0,0,4402,blue,true,left,18,16,right,orange,496,0
27,302544.1999999881,1,99,4303,blue,true,left,56,99,left,blue,365,0
28,305436.5,0,0,4303,blue,true,left,23,75,right,orange,369,0
29,308326.10000002384,0,0,4303,blue,true,right,68,18,left,orange,746,0
30,311590,1,16,4287,blue,true,right,30,16,right,blue,1254,0
31,315370.39999997616,1,37,4250,blue,true,left,86,37,left,blue,337,0
32,318236.10000002384,0,0,4250,blue,true,left,47,44,right,orange,707,0
33,321466.3000000119,0,0,4250,blue,true,left,3,91,right,orange,476,0
34,324468.60000002384,0,0,4250,blue,false,left,60,14,left,blue,422,0
35,327407.6999999881,1,84,4166,blue,true,left,54,84,left,blue,409,0
36,330342.60000002384,0,0,4166,blue,true,left,34,23,right,orange,344,0
37,333209.3000000119,1,28,4138,blue,true,right,96,28,right,blue,430,0
38,336170.3000000119,0,0,4138,blue,false,left,83,94,left,blue,391,0
39,339082,1,86,4052,blue,true,left,63,86,left,blue,522,0
40,342132.8000000119,1,53,3999,blue,true,right,99,53,right,blue,446,0
41,345104.1999999881,1,91,3908,blue,true,left,29,91,left,blue,1391,0
42,349022,0,0,3908,blue,true,right,88,64,left,orange,815,0
43,352356.10000002384,0,0,3908,blue,true,left,84,70,right,orange,903,0
44,355779.89999997616,1,61,3847,blue,false,right,61,88,left,orange,2042,0
45,360351,0,0,3847,blue,true,left,61,43,right,orange,637,0
46,363509.39999997616,0,0,3847,blue,true,right,87,54,left,orange,817,0
47,366843.6999999881,0,0,3847,blue,false,left,5,90,left,blue,715,0
48,374090.89999997616,1,44,3803,blue,true,left,71,44,left,blue,1399,0
49,378015.6999999881,1,52,3751,blue,true,right,42,52,right,blue,754,0
50,381294.89999997616,0,0,3751,blue,true,left,39,93,right,orange,424,0
51,384240.8000000119,0,0,3751,blue,true,left,39,24,right,orange,439,0
52,387200.6999999881,0,0,3751,blue,false,left,20,10,left,blue,928,0
53,390647.3000000119,1,85,3666,blue,false,right,85,43,left,orange,844,0
54,394015.8000000119,0,0,3666,blue,false,right,77,7,right,blue,466,0
55,397002.39999997616,0,0,3666,blue,true,left,95,90,right,orange,1193,0
56,400716.89999997616,1,7,3659,blue,true,left,56,7,left,blue,1826,0
57,405071.6999999881,0,0,3659,blue,true,right,50,69,left,orange,502,0
58,408095.89999997616,0,0,3659,blue,true,left,4,83,right,orange,396,0
59,411009.10000002384,1,40,3619,blue,false,right,40,8,left,orange,1016,0
60,414553.3000000119,1,86,3533,blue,true,right,47,86,right,blue,383,0
61,417467.1999999881,1,49,3484,blue,true,left,15,49,left,blue,276,0
62,420271.8000000119,0,0,3484,blue,true,right,17,39,left,orange,384,0
63,423175.1999999881,1,76,3408,blue,false,right,76,97,left,orange,359,0
64,426061.5,0,0,3408,blue,true,left,73,14,right,orange,443,0
65,429025.3000000119,1,29,3379,blue,true,left,67,29,left,blue,584,0
66,432132.39999997616,0,0,3379,blue,true,right,48,39,left,orange,434,0
67,435085.3000000119,0,0,3379,blue,true,right,30,99,left,orange,347,0
68,437955.6999999881,1,13,3366,blue,false,left,13,20,right,orange,732,0
69,441216.39999997616,1,59,3307,blue,true,left,66,59,left,blue,380,0
70,444125.39999997616,0,0,3307,blue,true,left,20,60,right,orange,426,0
71,447079.10000002384,0,0,3307,blue,true,right,41,25,left,orange,398,0
72,450000.10000002384,1,76,3231,blue,false,right,76,70,left,orange,915,0
73,453441.8000000119,0,0,3231,blue,false,right,73,18,right,blue,925,0
74,456887.10000002384,0,0,3231,blue,false,left,41,80,left,blue,1020,0
75,460427,1,76,3155,blue,true,right,25,76,right,blue,650,0
76,463608.39999997616,0,0,3155,blue,false,left,34,52,left,blue,301,0
77,466427.5,0,0,3155,blue,false,left,30,60,left,blue,446,0
78,469391.8000000119,1,91,3064,blue,false,right,91,36,left,orange,822,0
79,472739.60000002384,0,0,3064,blue,false,left,70,59,left,blue,566,0
80,475829.5,0,0,3064,blue,true,right,64,47,left,orange,991,0
81,479341.6999999881,0,0,3064,blue,false,left,28,44,left,blue,777,0
82,482642.10000002384,1,2,3062,blue,false,right,2,80,left,orange,1573,0
83,486740,0,0,3062,blue,false,left,20,39,left,blue,472,0
84,489732.1999999881,0,0,3062,blue,false,left,32,61,left,blue,517,0
85,492767.5,0,0,3062,blue,false,left,90,61,left,blue,392,0
86,495685.3000000119,0,0,3062,blue,true,left,62,70,right,orange,493,0
87,498696.8000000119,1,17,3045,blue,false,left,17,33,right,orange,419,0
88,501638.8000000119,0,0,3045,blue,false,left,74,17,left,blue,380,0
89,504540.8000000119,0,0,3045,blue,false,right,2,85,right,blue,612,0
90,507676.60000002384,0,0,3045,blue,false,left,39,76,left,blue,1776,0
91,511975,1,70,2975,blue,false,right,70,20,left,orange,1532,0
92,516031.1999999881,0,0,2975,blue,true,right,24,69,left,orange,515,0
93,519067.60000002384,1,52,2923,blue,true,right,59,52,right,blue,1058,0
94,526655.1000000238,0,0,2923,blue,false,left,15,43,left,blue,740,0
95,529917.6999999881,1,34,2889,blue,true,right,50,34,right,blue,354,0
96,532797,0,0,2889,blue,false,right,43,48,right,blue,408,0
97,535728.3000000119,1,35,2854,blue,true,right,14,35,right,blue,399,0
98,538651.1000000238,1,42,2812,blue,true,right,12,42,right,blue,418,0
99,541592.8999999762,0,0,2812,blue,true,right,40,44,left,orange,245,0
100,544357.8999999762,1,50,2762,blue,true,left,88,50,left,blue,1544,0
101,548430.8000000119,1,19,2743,blue,true,right,51,19,right,blue,406,0
102,551361.1000000238,1,59,2684,blue,true,left,44,59,left,blue,629,0
103,554516.3999999762,0,0,2684,blue,true,left,23,9,right,orange,354,0
104,557388.1000000238,0,0,2684,blue,true,right,23,76,left,orange,362,0
105,560274,1,47,2637,blue,true,left,94,47,left,blue,627,0
106,563430,1,67,2570,blue,false,right,67,56,left,orange,567,0
107,566524.6999999881,0,0,2570,blue,true,left,50,16,right,orange,1118,0
108,570163.3000000119,0,0,2570,blue,true,left,83,7,right,orange,495,0
109,573178.8999999762,1,41,2529,blue,true,right,86,41,right,blue,674,0
110,576378.3999999762,0,0,2529,blue,true,right,61,37,left,orange,394,0
111,579295.1999999881,1,82,2447,blue,false,left,82,57,right,orange,547,0
112,582370.5,1,68,2379,blue,false,right,68,28,left,orange,494,0
