Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,770454.8999999989,0,0,5000,blue,true,right,23,10,left,orange,3170,0
2,776162.9699999994,0,0,5000,blue,true,right,45,97,left,orange,1236,0
3,779941.8800000004,0,0,5000,blue,true,right,54,62,left,orange,602,0
4,783081.6799999994,1,99,4901,blue,false,right,99,16,left,orange,494,0
5,786118.7849999988,1,40,4861,blue,true,right,72,40,right,blue,512,0
6,789170.9099999989,1,88,4773,blue,true,left,98,88,left,blue,1439,0
7,793159.1499999994,0,0,4773,blue,true,left,6,54,right,orange,512,0
8,796205.645,0,0,4773,blue,true,left,64,55,right,orange,632,0
9,799370.9449999988,1,96,4677,blue,false,right,96,45,left,orange,1180,0
10,803095.6449999994,1,19,4658,blue,true,left,28,19,left,blue,2179,0
11,807819.7149999996,0,0,4658,blue,true,right,95,26,left,orange,603,0
12,810958.709999999,0,0,4658,blue,true,right,90,29,left,orange,1252,0
13,814750.7699999987,0,0,4658,blue,true,left,20,53,right,orange,2936,0
14,820219.869999999,0,0,4658,blue,true,left,74,56,right,orange,1311,0
15,824062.5099999998,0,0,4658,blue,true,left,18,42,right,orange,2312,0
16,828913.2799999989,0,0,4658,blue,true,left,11,91,right,orange,3806,0
17,835256.9149999999,1,32,4626,blue,false,left,32,31,right,orange,3470,0
18,841276.4349999998,0,0,4626,blue,true,right,36,65,left,orange,1954,0
19,845763.0099999987,1,40,4586,blue,false,right,40,30,left,orange,1274,0
20,849577.2949999991,0,0,4586,blue,true,left,29,26,right,orange,2990,0
21,860621.7699999998,1,32,4554,blue,false,left,32,36,right,orange,900,1
22,864065.0800000003,0,0,4554,blue,true,left,72,81,right,orange,1166,0
23,867764.8699999991,1,95,4459,blue,false,left,95,54,right,orange,2574,0
24,872879.03,1,40,4419,blue,false,right,40,59,left,orange,1448,0
25,876874.2199999997,0,0,4419,blue,false,left,29,24,left,blue,533,0
26,879940.8599999988,0,0,4419,blue,false,right,60,51,right,blue,610,0
27,883084.9449999987,0,0,4419,blue,false,right,83,65,right,blue,403,0
28,886024.5849999993,1,98,4321,blue,true,left,78,98,left,blue,710,0
29,894806.9500000002,1,56,4265,blue,false,left,56,51,right,orange,1469,1
