Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,176504.270000034,1,10,4990,blue,true,right,23,10,right,blue,1887,0
2,180970.60000000056,1,97,4893,blue,true,left,45,97,left,blue,2602,0
3,186139.21000005212,0,0,4893,blue,true,left,54,62,right,orange,1745,0
4,190455.31999995,0,0,4893,blue,false,right,99,16,right,blue,555,0
5,193573.06500000414,0,0,4893,blue,true,right,72,40,left,orange,799,0
6,196935.05500000902,1,88,4805,blue,true,right,98,88,right,blue,1667,0
7,201174.58500002977,0,0,4805,blue,true,right,6,54,left,orange,838,0
8,204566.1250000121,0,0,4805,blue,true,right,64,55,left,orange,1364,0
9,208494.24999998882,0,0,4805,blue,false,right,96,45,right,blue,1075,0
10,212120.86500006262,1,19,4786,blue,true,left,28,19,left,blue,721,0
11,215422.41999995895,1,26,4760,blue,true,left,95,26,left,blue,1043,0
12,219037.67999995034,1,29,4731,blue,true,right,90,29,right,blue,1410,0
13,223017.69000000786,0,0,4731,blue,true,right,20,53,left,orange,1176,0
14,226737.88499995135,1,56,4675,blue,true,right,74,56,right,blue,750,0
15,230061.88000005204,0,0,4675,blue,true,left,18,42,right,orange,1571,0
16,234187.6700000139,1,91,4584,blue,true,left,11,91,left,blue,1249,0
17,238007.05000001471,1,32,4552,blue,false,left,32,31,right,orange,587,0
18,241156.24000004027,0,0,4552,blue,true,right,36,65,left,orange,963,0
19,244671.68499995023,0,0,4552,blue,false,left,40,30,left,blue,1091,0
20,248322.4700000137,1,26,4526,blue,true,left,29,26,left,blue,3003,0
21,253894.78500001132,1,32,4494,blue,false,left,32,36,right,orange,2681,0
22,259146.42000000458,1,81,4413,blue,true,left,72,81,left,blue,1860,0
23,263572.73999997415,0,0,4413,blue,false,right,95,54,right,blue,1150,0
24,267283.6799999932,1,40,4373,blue,false,left,40,59,right,orange,548,0
25,270411.3549999893,0,0,4373,blue,false,right,29,24,right,blue,1585,0
26,274550.5150000099,1,60,4313,blue,false,left,60,51,right,orange,1986,0
27,279088.11999997124,0,0,4313,blue,false,left,83,65,left,blue,997,0
28,282631.1249999562,0,0,4313,blue,true,left,78,98,right,orange,796,0
29,285973.3750000596,0,0,4313,blue,false,left,56,51,left,blue,1010,0
30,289534.71499995794,1,5,4308,blue,false,left,5,20,right,orange,744,0
31,292838.3600000525,0,0,4308,blue,false,right,67,2,right,blue,523,0
32,295902.91000006255,1,85,4223,blue,false,left,85,84,right,orange,1247,0
33,299734.2550000176,0,0,4223,blue,true,left,7,49,right,orange,453,0
34,302741.4250000147,1,37,4186,blue,false,right,37,47,left,orange,960,0
35,306268.4499999741,1,27,4159,blue,false,left,27,91,right,orange,755,0
36,309596.9650000334,0,0,4159,blue,false,right,44,42,right,blue,1150,0
37,313307.2949999478,1,55,4104,blue,true,right,31,55,right,blue,915,0
38,316798.62000001594,1,97,4007,blue,false,left,97,70,right,orange,957,0
39,320316.8750000186,0,0,4007,blue,false,left,14,9,left,blue,591,0
40,323466.28499997314,0,0,4007,blue,true,right,23,51,left,orange,1012,0
41,327034.8450000165,1,79,3928,blue,true,left,89,79,left,blue,1032,0
42,330638.6150000617,0,0,3928,blue,true,left,83,86,right,orange,1585,0
43,334782.6349999523,1,62,3866,blue,true,left,40,62,left,blue,1139,0
44,338491.70999997295,1,23,3843,blue,true,left,36,23,left,blue,679,0
