Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,688488,1,10,4990,blue,true,left,23,10,left,blue,1230,0
2,692267,0,0,4990,blue,true,right,45,97,left,orange,1288,0
3,696087,0,0,4990,blue,true,right,54,62,left,orange,802,0
4,699469,0,0,4990,blue,false,right,99,16,right,blue,948,0
5,702971,1,40,4950,blue,true,left,72,40,left,blue,1593,0
6,707120,1,88,4862,blue,true,right,98,88,right,blue,1912,0
7,711593,0,0,4862,blue,true,left,6,54,right,orange,1066,0
8,715211,0,0,4862,blue,true,left,64,55,right,orange,1265,0
9,719029,1,96,4766,blue,false,left,96,45,right,orange,965,0
10,722547,1,19,4747,blue,true,left,28,19,left,blue,1084,0
11,726181,0,0,4747,blue,true,right,95,26,left,orange,2477,0
12,731198,1,29,4718,blue,true,right,90,29,right,blue,1457,0
13,735214,0,0,4718,blue,true,left,20,53,right,orange,1562,0
14,739316,0,0,4718,blue,true,left,74,56,right,orange,1115,0
15,742987,0,0,4718,blue,true,right,18,42,left,orange,794,0
16,746321,0,0,4718,blue,true,right,11,91,left,orange,725,0
17,749593,1,32,4686,blue,false,right,32,31,left,orange,702,0
18,752858,0,0,4686,blue,true,right,36,65,left,orange,1191,0
19,756597,1,40,4646,blue,false,right,40,30,left,orange,1055,0
20,760211,1,26,4620,blue,true,left,29,26,left,blue,1488,0
21,764248,1,32,4588,blue,false,left,32,36,right,orange,1099,0
22,767882,1,81,4507,blue,true,right,72,81,right,blue,1603,0
23,772037,1,95,4412,blue,false,right,95,54,left,orange,902,0
24,775488,0,0,4412,blue,false,left,40,59,left,blue,1497,0
25,779522,0,0,4412,blue,false,right,29,24,right,blue,732,0
26,782803,0,0,4412,blue,false,right,60,51,right,blue,568,0
27,785906,0,0,4412,blue,false,right,83,65,right,blue,887,0
28,789361,1,98,4314,blue,true,right,78,98,right,blue,925,0
29,792826,1,56,4258,blue,false,left,56,51,right,orange,2191,0
30,797576,1,5,4253,blue,false,left,5,20,right,orange,2034,0
31,802164,0,0,4253,blue,false,right,67,2,right,blue,991,0
32,805698,0,0,4253,blue,false,left,85,84,left,blue,622,0
33,808870,1,49,4204,blue,true,right,7,49,right,blue,742,0
34,812152,0,0,4204,blue,false,right,37,47,right,blue,1052,0
35,815754,1,27,4177,blue,false,right,27,91,left,orange,1364,0
36,819674,0,0,4177,blue,false,right,44,42,right,blue,1095,0
37,823292,1,55,4122,blue,true,left,31,55,left,blue,2200,0
38,828042,0,0,4122,blue,false,left,97,70,left,blue,1340,0
39,831930,0,0,4122,blue,false,left,14,9,left,blue,609,0
40,835095,1,51,4071,blue,true,right,23,51,right,blue,1272,0
41,838913,0,0,4071,blue,true,left,89,79,right,orange,1957,0
42,843416,0,0,4071,blue,true,right,83,86,left,orange,1029,0
43,847003,0,0,4071,blue,true,left,40,62,right,orange,921,0
44,850467,0,0,4071,blue,true,right,36,23,left,orange,1023,0
45,854038,0,0,4071,blue,true,left,65,61,right,orange,989,0
46,857592,0,0,4071,blue,true,left,74,67,right,orange,1019,0
47,861157,0,0,4071,blue,true,left,73,41,right,orange,1603,0
48,869325,0,0,4071,blue,false,left,96,54,left,blue,1204,0
49,873094,1,88,3983,blue,true,right,86,88,right,blue,1281,0
50,876917,0,0,3983,blue,true,left,43,66,right,orange,809,0
51,880266,0,0,3983,blue,true,left,72,79,right,orange,470,0
52,883283,0,0,3983,blue,false,left,71,13,left,blue,1016,0
53,886856,1,53,3930,blue,true,left,78,53,left,blue,1778,0
54,891191,0,0,3930,blue,true,left,57,90,right,orange,1250,0
55,894972,1,3,3927,blue,false,left,3,12,right,orange,1136,0
56,898658,0,0,3927,blue,true,right,2,64,left,orange,973,0
57,902192,1,9,3918,blue,true,right,99,9,right,blue,889,0
58,905631,0,0,3918,blue,true,right,21,42,left,orange,980,0
59,909164,0,0,3918,blue,true,left,83,72,right,orange,1515,0
60,913230,0,0,3918,blue,true,left,37,11,right,orange,785,0
61,916585,1,67,3851,blue,false,right,67,81,left,orange,1008,0
62,920135,1,14,3837,blue,true,right,12,14,right,blue,1533,0
63,924221,1,78,3759,blue,false,right,78,90,left,orange,1092,0
64,927854,1,46,3713,blue,false,left,46,53,right,orange,1162,0
65,931573,0,0,3713,blue,false,right,30,42,right,blue,842,0
66,934960,0,0,3713,blue,false,right,36,65,right,blue,662,0
67,938163,0,0,3713,blue,false,left,49,49,left,blue,556,0
68,941246,0,0,3713,blue,false,right,44,10,right,blue,531,0
69,944297,0,0,3713,blue,false,left,70,64,left,blue,658,0
70,947513,0,0,3713,blue,false,left,68,95,left,blue,1303,0
71,951385,0,0,3713,blue,false,right,38,46,right,blue,586,0
72,954504,0,0,3713,blue,false,right,18,24,right,blue,559,0
73,957621,0,0,3713,blue,false,right,82,78,right,blue,903,0
74,961070,0,0,3713,blue,false,left,59,54,left,blue,656,0
75,964288,0,0,3713,blue,false,right,36,33,right,blue,598,0
76,967444,1,56,3657,blue,true,right,49,56,right,blue,646,0
77,970639,1,26,3631,blue,false,left,26,83,right,orange,660,0
78,973841,1,38,3593,blue,false,right,38,81,left,orange,1039,0
79,977412,0,0,3593,blue,false,right,12,3,right,blue,619,0
80,980581,0,0,3593,blue,false,right,62,38,right,blue,748,0
81,983877,0,0,3593,blue,false,left,43,50,left,blue,933,0
82,987365,0,0,3593,blue,false,left,50,47,left,blue,473,0
83,990382,1,35,3558,blue,true,left,41,35,left,blue,550,0
84,993481,1,9,3549,blue,false,left,9,62,right,orange,545,0
85,996551,0,0,3549,blue,false,left,60,58,left,blue,1407,0
86,1000522,0,0,3549,blue,false,left,88,31,left,blue,417,0
87,1003472,0,0,3549,blue,false,left,56,44,left,blue,463,0
88,1006474,1,15,3534,blue,true,left,31,15,left,blue,469,0
89,1009492,0,0,3534,blue,false,left,90,31,left,blue,1077,0
90,1013109,0,0,3534,blue,false,left,80,76,left,blue,1177,0
91,1016829,0,0,3534,blue,false,left,78,4,left,blue,640,0
92,1020032,0,0,3534,blue,false,right,60,28,right,blue,764,0
93,1023349,0,0,3534,blue,true,left,56,99,right,orange,1379,0
94,1031284,1,31,3503,blue,false,right,31,45,left,orange,1282,0
95,1035118,0,0,3503,blue,false,left,55,16,left,blue,654,0
96,1038305,0,0,3503,blue,true,right,12,89,left,orange,765,0
97,1041625,0,0,3503,blue,false,left,49,4,left,blue,773,0
98,1044957,0,0,3503,blue,false,right,69,12,right,blue,715,0
99,1048228,1,26,3477,blue,true,left,49,26,left,blue,665,0
100,1051445,1,75,3402,blue,false,right,75,76,left,orange,1232,0
101,1055227,1,22,3380,blue,false,left,22,90,right,orange,954,0
102,1058730,1,23,3357,blue,true,right,26,23,right,blue,1041,0
103,1062302,1,11,3346,blue,false,left,11,68,right,orange,1330,0
104,1066203,1,82,3264,blue,true,left,71,82,left,blue,1579,0
105,1070338,1,86,3178,blue,false,left,86,95,right,orange,1667,0
106,1074557,0,0,3178,blue,false,right,79,88,right,blue,1387,0
107,1078490,0,0,3178,blue,false,left,75,40,left,blue,550,0
108,1081592,0,0,3178,blue,false,right,11,94,right,blue,496,0
109,1084640,1,44,3134,blue,true,left,53,44,left,blue,499,0
110,1087696,0,0,3134,blue,false,left,85,17,left,blue,589,0
111,1090829,1,32,3102,blue,true,right,85,32,right,blue,487,0
112,1093879,1,38,3064,blue,false,right,38,68,left,orange,553,0
113,1096980,1,28,3036,blue,false,left,28,93,right,orange,640,0
114,1100168,1,13,3023,blue,false,right,13,95,left,orange,778,0
115,1103491,0,0,3023,blue,false,left,69,60,left,blue,1181,0
116,1107212,1,95,2928,blue,true,right,56,95,right,blue,1059,0
117,1110817,1,2,2926,blue,false,left,2,41,right,orange,1057,0
118,1114407,0,0,2926,blue,false,right,42,5,right,blue,1060,0
119,1118009,0,0,2926,blue,false,left,44,30,left,blue,1026,0
120,1121594,0,0,2926,blue,false,right,79,4,right,blue,594,0
