Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,130911.36000002734,0,0,5000,blue,true,right,23,10,left,orange,2175,0
2,135614.1400000779,0,0,5000,blue,true,left,45,97,right,orange,1679,0
3,139830.38000005763,0,0,5000,blue,true,left,54,62,right,orange,1278,0
4,143643.15000001807,0,0,5000,blue,false,right,99,16,right,blue,1408,0
5,147582.4100000318,1,40,4960,blue,true,right,72,40,right,blue,1449,0
6,151566.22500007506,0,0,4960,blue,true,right,98,88,left,orange,1126,0
7,155224.9549999833,0,0,4960,blue,true,left,6,54,right,orange,1170,0
8,158926.545000053,0,0,4960,blue,true,right,64,55,left,orange,1558,0
9,163013.41999997385,0,0,4960,blue,false,right,96,45,right,blue,1032,0
10,166576.97000005282,1,19,4941,blue,true,left,28,19,left,blue,1296,0
11,170407.98000001814,1,26,4915,blue,true,right,95,26,right,blue,1120,0
12,174067.1100000618,1,29,4886,blue,true,left,90,29,left,blue,957,0
13,177565.2949999785,1,53,4833,blue,true,right,20,53,right,blue,1025,0
14,181135.3550000349,1,56,4777,blue,true,left,74,56,left,blue,1327,0
15,184997.94500006828,0,0,4777,blue,true,left,18,42,right,orange,1219,0
16,188743.684999994,1,91,4686,blue,true,right,11,91,right,blue,1423,0
17,192706.23999997042,1,32,4654,blue,false,left,32,31,right,orange,1607,0
18,196852.49499999918,1,65,4589,blue,true,left,36,65,left,blue,1263,0
19,200651.76000003703,0,0,4589,blue,false,right,40,30,right,blue,1516,0
20,204700.68000000902,0,0,4589,blue,true,left,29,26,right,orange,1169,0
21,208400.57499997783,1,32,4557,blue,false,right,32,36,left,orange,2557,0
22,213492.84500000067,0,0,4557,blue,true,left,72,81,right,orange,1507,0
23,217532.5550000416,0,0,4557,blue,false,right,95,54,right,blue,1543,0
24,221604.7650000546,1,40,4517,blue,false,right,40,59,left,orange,1676,0
25,225818.73000005726,0,0,4517,blue,false,right,29,24,right,blue,1361,0
26,229710.32499999274,0,0,4517,blue,false,left,60,51,left,blue,2304,0
27,234542.6800000714,0,0,4517,blue,false,left,83,65,left,blue,2001,0
28,239069.690000033,1,98,4419,blue,true,left,78,98,left,blue,2676,0
29,244287.67500002868,0,0,4419,blue,false,right,56,51,right,blue,1004,0
30,247821.6249999823,1,5,4414,blue,false,left,5,20,right,orange,1174,0
31,251531.03000007104,1,67,4347,blue,false,right,67,2,left,orange,1024,0
32,255089.07500002533,0,0,4347,blue,false,right,85,84,right,blue,1830,0
33,259451.63999998476,0,0,4347,blue,true,right,7,49,left,orange,1697,0
34,263677.9450000031,1,37,4310,blue,false,left,37,47,right,orange,2306,0
35,268522.20999996644,0,0,4310,blue,false,left,27,91,left,blue,1527,0
36,272585.3950000601,0,0,4310,blue,false,left,44,42,left,blue,2308,0
37,277423.45000000205,0,0,4310,blue,true,left,31,55,right,orange,1720,0
38,281672.23500006367,0,0,4310,blue,false,right,97,70,right,blue,1564,0
39,285769.6550000692,0,0,4310,blue,false,left,14,9,left,blue,1389,0
40,289687.49500007834,0,0,4310,blue,true,right,23,51,left,orange,1428,0
41,293652.48000004794,1,79,4231,blue,true,left,89,79,left,blue,1793,0
42,297979.92499999236,0,0,4231,blue,true,left,83,86,right,orange,1895,0
43,302406.8449999904,0,0,4231,blue,true,right,40,62,left,orange,1744,0
44,306683.53000003844,1,23,4208,blue,true,left,36,23,left,blue,1384,0
45,310606.18500004057,1,61,4147,blue,true,right,65,61,right,blue,1681,0
46,314825.2100000391,1,67,4080,blue,true,left,74,67,left,blue,1519,0
47,318887.3649999732,1,41,4039,blue,true,left,73,41,left,blue,1689,0
48,327131.56999996863,0,0,4039,blue,false,right,96,54,right,blue,1943,0
49,331606.4300000435,1,88,3951,blue,true,left,86,88,left,blue,1599,0
