Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,210084.91000003414,1,10,4990,blue,true,left,23,10,left,blue,1579,0
2,214196.89000002109,0,0,4990,blue,true,right,45,97,left,orange,2021,0
3,218742.67499998678,0,0,4990,blue,true,left,54,62,right,orange,1246,0
4,222520.279999997,0,0,4990,blue,false,right,99,16,right,blue,986,0
5,226035.10999999708,1,40,4950,blue,true,left,72,40,left,blue,1122,0
6,229695.89500001166,1,88,4862,blue,true,right,98,88,right,blue,1749,0
7,233986.10500001814,0,0,4862,blue,true,left,6,54,right,orange,837,0
8,237353.78000000492,0,0,4862,blue,true,left,64,55,right,orange,1061,0
9,240944.1349999979,1,96,4766,blue,false,left,96,45,right,orange,1714,0
10,245195.00499998685,0,0,4766,blue,true,right,28,19,left,orange,1755,0
11,249481.01500002667,1,26,4740,blue,true,right,95,26,right,blue,1627,0
12,253642.51000003424,1,29,4711,blue,true,right,90,29,right,blue,1630,0
13,257809.21000003582,0,0,4711,blue,true,left,20,53,right,orange,1484,0
14,261821.43499999074,0,0,4711,blue,true,right,74,56,left,orange,990,0
15,265334.3450000393,0,0,4711,blue,true,right,18,42,left,orange,757,0
16,268620.9300000337,0,0,4711,blue,true,right,11,91,left,orange,559,0
17,271712.05999999074,1,32,4679,blue,false,right,32,31,left,orange,927,0
18,275172.6149999886,0,0,4679,blue,true,right,36,65,left,orange,940,0
19,278637.67999998527,1,40,4639,blue,false,right,40,30,left,orange,713,0
20,281880.8650000137,0,0,4639,blue,true,right,29,26,left,orange,940,0
21,285346.29499999573,1,32,4607,blue,false,right,32,36,left,orange,816,0
22,288697.5150000071,0,0,4607,blue,true,left,72,81,right,orange,1540,0
23,292768.41499999864,0,0,4607,blue,false,right,95,54,right,blue,1970,0
24,297266.7300000321,1,40,4567,blue,false,left,40,59,right,orange,1081,0
25,300880.5500000017,0,0,4567,blue,false,left,29,24,left,blue,489,0
26,303898.97500001825,0,0,4567,blue,false,right,60,51,right,blue,822,0
27,307249.06500004,0,0,4567,blue,false,left,83,65,left,blue,897,0
28,310674.8549999902,1,98,4469,blue,true,left,78,98,left,blue,1691,0
29,314906.6050000256,0,0,4469,blue,false,right,56,51,right,blue,1067,0
30,318499.51500003226,0,0,4469,blue,false,left,5,20,left,blue,1174,0
31,322201.4850000269,0,0,4469,blue,false,right,67,2,right,blue,1143,0
32,325871.8949999893,0,0,4469,blue,false,right,85,84,right,blue,1011,0
33,329406.29000001354,0,0,4469,blue,true,right,7,49,left,orange,1549,0
34,333481.13999998895,0,0,4469,blue,false,left,37,47,left,blue,952,0
35,336961.9299999904,1,27,4442,blue,false,left,27,91,right,orange,1071,0
36,340564.8849999998,0,0,4442,blue,false,right,44,42,right,blue,932,0
37,344024.62000004016,1,55,4387,blue,true,right,31,55,right,blue,1065,0
38,347626.4150000061,0,0,4387,blue,false,left,97,70,left,blue,852,0
39,351008.4849999985,0,0,4387,blue,false,left,14,9,left,blue,581,0
40,354118.03000001237,1,51,4336,blue,true,right,23,51,right,blue,890,0
41,357542.69000003114,1,79,4257,blue,true,left,89,79,left,blue,1370,0
42,361444.48000000557,0,0,4257,blue,true,right,83,86,left,orange,704,0
43,364677.13999998523,0,0,4257,blue,true,left,40,62,right,orange,809,0
44,368016.58500003396,0,0,4257,blue,true,left,36,23,right,orange,533,0
45,371078.9199999999,0,0,4257,blue,true,left,65,61,right,orange,838,0
46,374444.07000002684,0,0,4257,blue,true,right,74,67,left,orange,1175,0
47,378143.55500001693,1,41,4216,blue,true,right,73,41,right,blue,1534,0
48,386218.3500000392,0,0,4216,blue,false,left,96,54,left,blue,2630,0
49,391377.5550000137,1,88,4128,blue,true,left,86,88,left,blue,957,0
50,394868.3350000065,0,0,4128,blue,true,left,43,66,right,orange,2100,0
51,399494.70999999903,0,0,4128,blue,true,right,72,79,left,orange,776,0
52,402797.20000003,1,71,4057,blue,false,right,71,13,left,orange,677,0
53,406011.64000004064,1,53,4004,blue,true,right,78,53,right,blue,3056,0
54,411604.4250000268,0,0,4004,blue,true,left,57,90,right,orange,824,0
55,414962.0700000087,1,3,4001,blue,false,left,3,12,right,orange,827,0
56,418322.9300000239,0,0,4001,blue,true,right,2,64,left,orange,1264,0
57,422114.7549999878,1,9,3992,blue,true,left,99,9,left,blue,1175,0
58,425823.25000001583,0,0,3992,blue,true,right,21,42,left,orange,1930,0
59,430281.1150000198,0,0,3992,blue,true,right,83,72,left,orange,1037,0
60,433849.62500003166,1,11,3981,blue,true,left,37,11,left,blue,2894,0
61,439273.87999999337,1,67,3914,blue,false,right,67,81,left,orange,2838,0
62,444640.83500002744,1,14,3900,blue,true,right,12,14,right,blue,496,0
63,447672.424999997,1,78,3822,blue,false,right,78,90,left,orange,1139,0
64,451346.3500000071,0,0,3822,blue,false,left,46,53,left,blue,605,0
65,454476.99500003364,0,0,3822,blue,false,left,30,42,left,blue,597,0
66,457600.28499999316,0,0,3822,blue,false,left,36,65,left,blue,1188,0
67,461315.110000025,0,0,3822,blue,false,right,49,49,right,blue,705,0
68,464550.22999999346,0,0,3822,blue,false,right,44,10,right,blue,960,0
69,468040.4500000295,0,0,3822,blue,false,left,70,64,left,blue,1301,0
70,471865.73000001954,1,68,3754,blue,false,right,68,95,left,orange,982,0
71,475382.13500002166,0,0,3754,blue,false,left,38,46,left,blue,974,0
72,478883.8049999904,0,0,3754,blue,false,left,18,24,left,blue,651,0
73,482062.03000003006,0,0,3754,blue,false,right,82,78,right,blue,941,0
74,485532.94499998447,0,0,3754,blue,false,left,59,54,left,blue,501,0
75,488565.2550000232,0,0,3754,blue,false,right,36,33,right,blue,876,0
76,491964.6650000359,1,56,3698,blue,true,left,49,56,left,blue,783,0
77,495282.8200000222,1,26,3672,blue,false,right,26,83,left,orange,1010,0
78,498830.0300000119,1,38,3634,blue,false,right,38,81,left,orange,922,0
79,502280.700000003,0,0,3634,blue,false,right,12,3,right,blue,787,0
80,505596.79999999935,0,0,3634,blue,false,left,62,38,left,blue,582,0
81,508706.6300000297,0,0,3634,blue,false,left,43,50,left,blue,571,0
82,511805.2449999959,0,0,3634,blue,false,right,50,47,right,blue,402,0
83,514738.69999998715,1,35,3599,blue,true,left,41,35,left,blue,642,0
84,517918.83999999845,1,9,3590,blue,false,left,9,62,right,orange,778,0
85,521230.68000003695,0,0,3590,blue,false,left,60,58,left,blue,1350,0
86,525106.7350000376,0,0,3590,blue,false,right,88,31,right,blue,504,0
87,528138.6749999947,0,0,3590,blue,false,right,56,44,right,blue,494,0
88,531156.5150000388,1,15,3575,blue,true,left,31,15,left,blue,818,0
89,534508.9750000043,0,0,3575,blue,false,left,90,31,left,blue,737,0
90,537774.6449999977,0,0,3575,blue,false,right,80,76,right,blue,563,0
91,540866.9349999982,0,0,3575,blue,false,right,78,4,right,blue,536,0
92,543932.3100000038,0,0,3575,blue,false,left,60,28,left,blue,405,0
93,546865.6000000192,1,99,3476,blue,true,right,56,99,right,blue,385,0
94,553785.1500000106,1,31,3445,blue,false,right,31,45,left,orange,1537,0
95,557854.2950000265,0,0,3445,blue,false,left,55,16,left,blue,491,0
96,560873.0700000306,1,89,3356,blue,true,right,12,89,right,blue,411,0
97,563821.8450000277,0,0,3356,blue,false,left,49,4,left,blue,548,0
98,566899.7349999845,0,0,3356,blue,false,right,69,12,right,blue,423,0
99,569850.8550000261,1,26,3330,blue,true,left,49,26,left,blue,705,0
100,573090.6650000252,1,75,3255,blue,false,right,75,76,left,orange,2074,0
101,577697.1999999951,1,22,3233,blue,false,left,22,90,right,orange,806,0
102,581041.9750000001,1,23,3210,blue,true,right,26,23,right,blue,463,0
103,584038.5450000176,1,11,3199,blue,false,right,11,68,left,orange,601,0
104,587174.0599999903,1,82,3117,blue,true,right,71,82,right,blue,865,0
105,590574.2000000319,1,86,3031,blue,false,right,86,95,left,orange,2130,0
106,595237.3950000037,1,79,2952,blue,false,left,79,88,right,orange,682,0
107,598457.1050000377,0,0,2952,blue,false,left,75,40,left,blue,763,0
108,601751.6949999845,1,11,2941,blue,false,right,11,94,left,orange,979,0
109,605264.1200000071,1,44,2897,blue,true,right,53,44,right,blue,768,0
110,608562.1450000326,0,0,2897,blue,false,right,85,17,right,blue,584,0
111,611673.0700000189,1,32,2865,blue,true,right,85,32,right,blue,438,0
112,614644.6400000132,0,0,2865,blue,false,right,38,68,right,blue,752,0
113,617925.1700000023,1,28,2837,blue,false,right,28,93,left,orange,1502,0
114,621964.9050000007,1,13,2824,blue,false,right,13,95,left,orange,764,0
115,625260.6200000155,0,0,2824,blue,false,left,69,60,left,blue,1176,0
116,628967.650000006,1,95,2729,blue,true,left,56,95,left,blue,1981,0
117,633480.045000033,1,2,2727,blue,false,right,2,41,left,orange,678,0
118,636695.635000011,0,0,2727,blue,false,left,42,5,left,blue,815,0
119,640033.6750000133,0,0,2727,blue,false,left,44,30,left,blue,854,0
120,643410.7749999966,0,0,2727,blue,false,left,79,4,left,blue,607,0
121,646542.134999996,0,0,2727,blue,false,right,83,87,right,blue,787,0
122,649861.4550000057,0,0,2727,blue,false,right,59,44,right,blue,586,0
123,652977.0700000226,1,10,2717,blue,true,right,15,10,right,blue,471,0
124,655976.5400000033,0,0,2717,blue,false,left,60,15,left,blue,497,0
125,659005.0599999959,0,0,2717,blue,false,left,73,25,left,blue,458,0
126,661988.7849999941,0,0,2717,blue,false,right,43,23,right,blue,791,0
