Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,393616,1,10,4990,blue,true,right,23,10,right,blue,2324,0
2,398467,0,0,4990,blue,true,left,45,97,right,orange,1119,0
3,402102.00000000006,0,0,4990,blue,true,left,54,62,right,orange,1016,0
4,405633,0,0,4990,blue,false,left,99,16,left,blue,1024,0
5,409170,1,40,4950,blue,true,left,72,40,left,blue,1847,0
6,413534,0,0,4950,blue,true,right,98,88,left,orange,1630,0
7,417676,0,0,4950,blue,true,left,6,54,right,orange,1248,0
8,421437,0,0,4950,blue,true,left,64,55,right,orange,1467,0
9,425417.00000000006,0,0,4950,blue,false,left,96,45,left,blue,1530,0
10,429461,0,0,4950,blue,true,left,28,19,right,orange,940,0
11,432917.00000000006,1,26,4924,blue,true,left,95,26,left,blue,1016,0
12,436450,1,29,4895,blue,true,right,90,29,right,blue,2038,0
13,441007,0,0,4895,blue,true,left,20,53,right,orange,1281,0
14,444802,0,0,4895,blue,true,right,74,56,left,orange,1035,0
15,448350,0,0,4895,blue,true,left,18,42,right,orange,1121,0
16,451985,0,0,4895,blue,true,left,11,91,right,orange,801,0
17,455299.00000000006,1,32,4863,blue,false,right,32,31,left,orange,1001,0
18,458820,0,0,4863,blue,true,right,36,65,left,orange,1053,0
19,462387,1,40,4823,blue,false,left,40,30,right,orange,943,0
20,465849,0,0,4823,blue,true,left,29,26,right,orange,826,0
21,469187,1,32,4791,blue,false,left,32,36,right,orange,810,0
22,472515,0,0,4791,blue,true,left,72,81,right,orange,749,0
23,475777,0,0,4791,blue,false,left,95,54,left,blue,1305,0
24,479601,1,40,4751,blue,false,right,40,59,left,orange,1039,0
25,483158,1,29,4722,blue,false,right,29,24,left,orange,798,0
26,486474,1,60,4662,blue,false,left,60,51,right,orange,898,0
27,489888.00000000006,0,0,4662,blue,false,left,83,65,left,blue,1727,0
28,494128,0,0,4662,blue,true,right,78,98,left,orange,1462,0
29,498101,1,56,4606,blue,false,right,56,51,left,orange,940,0
30,501560,1,5,4601,blue,false,left,5,20,right,orange,1258,0
31,505335.00000000006,0,0,4601,blue,false,left,67,2,left,blue,744,0
32,508592,0,0,4601,blue,false,right,85,84,right,blue,1033,0
33,512142.00000000006,0,0,4601,blue,true,left,7,49,right,orange,1230,0
34,515884,0,0,4601,blue,false,left,37,47,left,blue,1904,0
35,520297,1,27,4574,blue,false,right,27,91,left,orange,1099,0
36,523912.00000000006,0,0,4574,blue,false,right,44,42,right,blue,1074,0
37,527500,1,55,4519,blue,true,right,31,55,right,blue,796,0
38,530812,0,0,4519,blue,false,left,97,70,left,blue,1817,0
39,535142,0,0,4519,blue,false,left,14,9,left,blue,834,0
40,538492,0,0,4519,blue,true,right,23,51,left,orange,1497,0
41,542503,1,79,4440,blue,true,left,89,79,left,blue,2575,0
42,547596,0,0,4440,blue,true,left,83,86,right,orange,1134,0
43,551243,0,0,4440,blue,true,right,40,62,left,orange,832,0
44,554588,0,0,4440,blue,true,right,36,23,left,orange,667,0
45,557769,0,0,4440,blue,true,left,65,61,right,orange,803,0
46,561087,1,67,4373,blue,true,left,74,67,left,blue,1851,0
47,565452,1,41,4332,blue,true,right,73,41,right,blue,2257,0
48,574229,0,0,4332,blue,false,left,96,54,left,blue,1295,0
49,578037,1,88,4244,blue,true,right,86,88,right,blue,1130,0
50,581684,0,0,4244,blue,true,left,43,66,right,orange,732,0
51,584931,0,0,4244,blue,true,right,72,79,left,orange,872,0
52,588316,1,71,4173,blue,false,right,71,13,left,orange,451,0
53,591284,0,0,4173,blue,true,right,78,53,left,orange,1062,0
54,594859,0,0,4173,blue,true,right,57,90,left,orange,993,0
55,598363,1,3,4170,blue,false,right,3,12,left,orange,652,0
56,601528,0,0,4170,blue,true,right,2,64,left,orange,681,0
57,604722,1,9,4161,blue,true,left,99,9,left,blue,1342,0
58,608580,0,0,4161,blue,true,left,21,42,right,orange,938,0
59,612029,0,0,4161,blue,true,right,83,72,left,orange,970,0
60,615512,0,0,4161,blue,true,right,37,11,left,orange,1257,0
61,619284,1,67,4094,blue,false,left,67,81,right,orange,752,0
62,622551,0,0,4094,blue,true,left,12,14,right,orange,731,0
63,625796,1,78,4016,blue,false,left,78,90,right,orange,814,0
64,629127.0000000001,0,0,4016,blue,false,left,46,53,left,blue,1731,0
65,633371,1,30,3986,blue,false,left,30,42,right,orange,884,0
66,636770,0,0,3986,blue,false,left,36,65,left,blue,568,0
67,639851,0,0,3986,blue,false,right,49,49,right,blue,823,0
68,643187,0,0,3986,blue,false,left,44,10,left,blue,721,0
69,646421,0,0,3986,blue,false,right,70,64,right,blue,1090,0
70,650025,1,68,3918,blue,false,left,68,95,right,orange,1973,0
71,654514,0,0,3918,blue,false,left,38,46,left,blue,1204,0
72,658230,0,0,3918,blue,false,right,18,24,right,blue,669,0
73,661413,0,0,3918,blue,false,right,82,78,right,blue,993,0
74,664921,0,0,3918,blue,false,left,59,54,left,blue,905,0
75,668337,0,0,3918,blue,false,left,36,33,left,blue,1702,0
76,672550.0000000001,1,56,3862,blue,true,left,49,56,left,blue,3283,0
77,678349,1,26,3836,blue,false,right,26,83,left,orange,1946,0
78,682809,0,0,3836,blue,false,left,38,81,left,blue,585,0
79,685910,0,0,3836,blue,false,left,12,3,left,blue,787,0
80,689213,0,0,3836,blue,false,left,62,38,left,blue,530,0
81,692259,0,0,3836,blue,false,left,43,50,left,blue,492,0
82,695264,0,0,3836,blue,false,left,50,47,left,blue,600,0
83,698378,1,35,3801,blue,true,left,41,35,left,blue,482,0
84,701376,1,9,3792,blue,false,left,9,62,right,orange,816,0
85,704707,0,0,3792,blue,false,right,60,58,right,blue,568,0
86,707790,0,0,3792,blue,false,left,88,31,left,blue,598,0
87,710902,0,0,3792,blue,false,left,56,44,left,blue,817,0
88,714231,1,15,3777,blue,true,left,31,15,left,blue,1094,0
89,717844,0,0,3777,blue,false,right,90,31,right,blue,780,0
90,721136,0,0,3777,blue,false,right,80,76,right,blue,1000,0
91,724650,0,0,3777,blue,false,left,78,4,left,blue,908,0
92,728071,0,0,3777,blue,false,left,60,28,left,blue,528,0
93,731109,1,99,3678,blue,true,right,56,99,right,blue,1363,0
94,738998,0,0,3678,blue,false,right,31,45,right,blue,728,0
95,742240,0,0,3678,blue,false,left,55,16,left,blue,506,0
96,745259,0,0,3678,blue,true,right,12,89,left,orange,833,0
97,748602,0,0,3678,blue,false,left,49,4,left,blue,593,0
98,751706,0,0,3678,blue,false,left,69,12,left,blue,446,0
99,754664,1,26,3652,blue,true,right,49,26,right,blue,565,0
100,757745,0,0,3652,blue,false,right,75,76,right,blue,529,0
101,760787,1,22,3630,blue,false,right,22,90,left,orange,888,0
102,764191,1,23,3607,blue,true,right,26,23,right,blue,509,0
103,767214,1,11,3596,blue,false,left,11,68,right,orange,994,0
104,770725,1,82,3514,blue,true,left,71,82,left,blue,508,0
105,773748,0,0,3514,blue,false,right,86,95,right,blue,1254,0
106,777515,0,0,3514,blue,false,left,79,88,left,blue,1954,0
107,781981,0,0,3514,blue,false,left,75,40,left,blue,987,0
108,785480,1,11,3503,blue,false,left,11,94,right,orange,978,0
109,788976,1,44,3459,blue,true,left,53,44,left,blue,901,0
110,792393,0,0,3459,blue,false,left,85,17,left,blue,895,0
111,795799,1,32,3427,blue,true,left,85,32,left,blue,685,0
112,799000,1,38,3389,blue,false,left,38,68,right,orange,1208,0
113,802728.0000000001,1,28,3361,blue,false,right,28,93,left,orange,914,0
114,806157,1,13,3348,blue,false,left,13,95,right,orange,1712,0
115,810384,0,0,3348,blue,false,right,69,60,right,blue,1025,0
116,813924,1,95,3253,blue,true,left,56,95,left,blue,767,0
117,817208,1,2,3251,blue,false,left,2,41,right,orange,851,0
118,820576,0,0,3251,blue,false,right,42,5,right,blue,1068,0
119,824154,0,0,3251,blue,false,left,44,30,left,blue,828,0
120,827497.0000000001,0,0,3251,blue,false,left,79,4,left,blue,695,0
121,830703,0,0,3251,blue,false,right,83,87,right,blue,1258,0
122,834477,0,0,3251,blue,false,right,59,44,right,blue,1193,0
123,838184,1,10,3241,blue,true,left,15,10,left,blue,811,0
124,841513,0,0,3241,blue,false,right,60,15,right,blue,456,0
125,844481,0,0,3241,blue,false,right,73,25,right,blue,700,0
126,847693,0,0,3241,blue,false,left,43,23,left,blue,689,0
127,850894,0,0,3241,blue,false,right,22,87,right,blue,980,0
128,854387,1,77,3164,blue,true,left,27,77,left,blue,3326,0
129,860228.0000000001,0,0,3164,blue,false,left,99,35,left,blue,971,0
130,863714,1,39,3125,blue,true,right,49,39,right,blue,863,0
131,867093.0000000001,1,83,3042,blue,false,left,83,60,right,orange,1391,0
132,871001,1,54,2988,blue,true,right,61,54,right,blue,1347,0
133,874865,0,0,2988,blue,false,left,82,34,left,blue,920,0
134,878297,0,0,2988,blue,false,right,96,86,right,blue,2265,0
135,883073,0,0,2988,blue,false,left,65,27,left,blue,986,0
136,886572,1,63,2925,blue,false,left,63,93,right,orange,1802,0
137,890888,0,0,2925,blue,false,right,65,40,right,blue,892,0
138,894292,0,0,2925,blue,false,left,7,69,left,blue,847,0
139,897649,1,28,2897,blue,true,left,94,28,left,blue,994,0
140,901158,0,0,2897,blue,false,left,90,4,left,blue,674,0
