Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,711593.1799999998,1,37,4963,blue,true,left,44,37,left,blue,1599,0
2,715738.5999999996,1,12,4951,blue,true,left,66,12,left,blue,632,0
3,718921.4549999997,1,9,4942,blue,true,left,98,9,left,blue,505,0
4,721979.715,1,20,4922,blue,false,left,20,91,right,orange,872,0
5,725409.5849999998,1,8,4914,blue,true,right,28,8,right,blue,746,0
6,728707.8899999997,0,0,4914,blue,true,left,30,33,right,orange,1370,0
7,732615.19,1,24,4890,blue,true,left,27,24,left,blue,1155,0
8,736325.1049999999,0,0,4890,blue,false,right,58,43,right,blue,861,0
9,739721.8949999997,1,47,4843,blue,true,right,72,47,right,blue,1142,0
10,743417.9649999996,1,44,4799,blue,false,left,44,44,right,orange,2004,0
11,747974.3449999996,1,26,4773,blue,true,left,69,26,left,blue,864,0
12,751388.9899999999,0,0,4773,blue,true,left,6,41,right,orange,801,0
13,754731.5499999999,1,34,4739,blue,true,right,88,34,right,blue,941,0
14,758228.0999999999,0,0,4739,blue,false,right,73,18,right,blue,755,0
15,761520.4149999999,1,25,4714,blue,true,right,60,25,right,blue,977,0
16,765057.6099999999,1,6,4708,blue,true,left,68,6,left,blue,575,0
17,768188.0649999998,0,0,4708,blue,false,left,48,39,left,blue,1393,0
18,772126.1249999998,0,0,4708,blue,true,left,35,76,right,orange,674,0
19,775332.6799999999,0,0,4708,blue,true,right,23,85,left,orange,838,0
20,778717.4499999996,1,22,4686,blue,true,right,54,22,right,blue,733,0
21,781991.4449999996,0,0,4686,blue,false,left,66,58,left,blue,804,0
22,785331.205,1,41,4645,blue,true,right,98,41,right,blue,767,0
23,788676.755,0,0,4645,blue,true,right,58,80,left,orange,1013,0
24,792230.4999999997,0,0,4645,blue,true,right,32,85,left,orange,765,0
25,795527.5099999999,0,0,4645,blue,false,right,83,15,right,blue,727,0
26,798793.9149999997,1,16,4629,blue,true,right,18,16,right,blue,932,0
27,802273.6199999999,0,0,4629,blue,true,left,56,99,right,orange,1422,0
28,806233.4449999998,0,0,4629,blue,true,left,23,75,right,orange,802,0
29,809579.73,1,18,4611,blue,true,left,68,18,left,blue,417,0
30,812550.6749999999,1,16,4595,blue,true,right,30,16,right,blue,962,0
31,816062.0599999997,1,37,4558,blue,true,right,86,37,right,blue,700,0
32,819307.12,0,0,4558,blue,true,right,47,44,left,orange,1098,0
33,822938.6749999999,0,0,4558,blue,true,right,3,91,left,orange,845,0
34,826322.745,0,0,4558,blue,false,left,60,14,left,blue,898,0
35,829757.4599999998,1,84,4474,blue,true,left,54,84,left,blue,1661,0
36,833974.19,1,23,4451,blue,true,right,34,23,right,blue,802,0
37,837320.7849999999,1,28,4423,blue,true,right,96,28,right,blue,719,0
38,840581.1349999999,1,83,4340,blue,false,left,83,94,right,orange,1953,0
39,845094.9699999996,0,0,4340,blue,true,right,63,86,left,orange,830,0
40,848458.7499999998,1,53,4287,blue,true,left,99,53,left,blue,848,0
41,851851.4499999996,0,0,4287,blue,true,right,29,91,left,orange,792,0
42,855188.7400000001,1,64,4223,blue,true,left,88,64,left,blue,922,0
43,858659.7649999999,1,70,4153,blue,true,right,84,70,right,blue,1210,0
44,862420.0149999997,1,61,4092,blue,false,right,61,88,left,orange,762,0
45,865730.665,1,43,4049,blue,true,right,61,43,right,blue,967,0
46,869255.49,1,54,3995,blue,true,right,87,54,right,blue,621,0
47,872439.7549999999,1,5,3990,blue,false,right,5,90,left,orange,616,0
48,879619.7999999999,1,44,3946,blue,true,right,71,44,right,blue,1480,0
49,883638.9999999997,1,52,3894,blue,true,right,42,52,right,blue,1398,0
50,887588.3749999998,0,0,3894,blue,true,right,39,93,left,orange,1159,0
51,891286.0849999997,1,24,3870,blue,true,left,39,24,left,blue,663,0
52,894496.6599999998,0,0,3870,blue,false,left,20,10,left,blue,665,0
53,897697.8049999998,0,0,3870,blue,false,right,85,43,right,blue,919,0
54,901153.605,0,0,3870,blue,false,left,77,7,left,blue,599,0
55,904288.5449999999,0,0,3870,blue,true,right,95,90,left,orange,1136,0
56,907966.6649999999,1,7,3863,blue,true,right,56,7,right,blue,662,0
57,911173.1549999999,0,0,3863,blue,true,right,50,69,left,orange,1031,0
58,914733.1049999997,0,0,3863,blue,true,left,4,83,right,orange,565,0
59,917832.6799999999,0,0,3863,blue,false,right,40,8,right,blue,592,0
