Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,153369.97999995947,1,37,4963,blue,true,left,44,37,left,blue,1214,0
2,157158.26499997638,1,12,4951,blue,true,right,66,12,right,blue,631,0
3,160365.3199998662,0,0,4951,blue,true,left,98,9,right,orange,286,0
4,163205.88000002317,1,20,4931,blue,false,right,20,91,left,orange,1054,0
5,166828.22499983013,1,8,4923,blue,true,left,28,8,left,blue,726,0
6,170121.71499989927,0,0,4923,blue,true,left,30,33,right,orange,800,0
7,173477.9949998483,1,24,4899,blue,true,right,27,24,right,blue,969,0
8,177009.3699998688,1,58,4841,blue,false,left,58,43,right,orange,496,0
9,180066.45499984734,0,0,4841,blue,true,left,72,47,right,orange,428,0
10,183049.04499999247,1,44,4797,blue,false,right,44,44,left,orange,769,0
11,186406.71499981545,0,0,4797,blue,true,right,69,26,left,orange,735,0
12,189699.8049998656,0,0,4797,blue,true,right,6,41,left,orange,400,0
13,192658.95499987528,0,0,4797,blue,true,left,88,34,right,orange,679,0
14,195898.7799999304,1,73,4724,blue,false,left,73,18,right,orange,851,0
15,199328.2899998594,1,25,4699,blue,true,right,60,25,right,blue,857,0
16,202762.9650000017,0,0,4699,blue,true,left,68,6,right,orange,440,0
17,205775.78999986872,1,48,4651,blue,false,left,48,39,right,orange,392,0
18,208744.13499981165,0,0,4651,blue,true,left,35,76,right,orange,370,0
19,211696.5499999933,0,0,4651,blue,true,right,23,85,left,orange,636,0
20,214887.86999997683,0,0,4651,blue,true,right,54,22,left,orange,603,0
21,218055.5649998132,1,66,4585,blue,false,right,66,58,left,orange,392,0
22,221012.9799998831,0,0,4585,blue,true,right,98,41,left,orange,399,0
23,223973.35499990731,0,0,4585,blue,true,right,58,80,left,orange,355,0
24,226894.064999884,0,0,4585,blue,true,right,32,85,left,orange,342,0
25,229816.33499986492,1,83,4502,blue,false,right,83,15,left,orange,384,0
26,232764.47499985807,0,0,4502,blue,true,right,18,16,left,orange,641,0
27,235962.55999989808,0,0,4502,blue,true,left,56,99,right,orange,386,0
28,238920.32999987714,0,0,4502,blue,true,left,23,75,right,orange,371,0
29,241854.17499998584,0,0,4502,blue,true,right,68,18,left,orange,413,0
30,244835.48999996856,0,0,4502,blue,true,left,30,16,right,orange,352,0
31,247745.96500000916,0,0,4502,blue,true,left,86,37,right,orange,510,0
32,250830.03999991342,0,0,4502,blue,true,right,47,44,left,orange,458,0
33,253855.16999987885,0,0,4502,blue,true,right,3,91,left,orange,488,0
34,256907.46499993838,1,60,4442,blue,false,left,60,14,right,orange,415,0
35,259896.41999988817,0,0,4442,blue,true,right,54,84,left,orange,405,0
36,262862.8050000407,0,0,4442,blue,true,left,34,23,right,orange,449,0
37,265879.43500000983,0,0,4442,blue,true,left,96,28,right,orange,387,0
38,268825.474999845,1,83,4359,blue,false,right,83,94,left,orange,414,0
39,271808.1149999052,1,86,4273,blue,true,right,63,86,right,blue,611,0
40,274997.83999985084,0,0,4273,blue,true,left,99,53,right,orange,363,0
