Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,431001.89999997616,1,37,4963,blue,true,right,44,37,right,blue,2317,0
2,435861.8000000119,0,0,4963,blue,true,right,66,12,left,orange,886,0
3,439283.6999999881,1,9,4954,blue,true,right,98,9,right,blue,1426,0
4,443262.5,1,20,4934,blue,false,right,20,91,left,orange,2639,0
5,448427.39999997616,1,8,4926,blue,true,left,28,8,left,blue,960,0
6,451912,1,33,4893,blue,true,right,30,33,right,blue,3318,0
7,457766.5,1,24,4869,blue,true,left,27,24,left,blue,1921,0
8,462217.09999996424,1,58,4811,blue,false,right,58,43,left,orange,2207,0
9,466962.8000000119,1,47,4764,blue,true,right,72,47,right,blue,1190,0
10,470687.39999997616,1,44,4720,blue,false,right,44,44,left,orange,2010,0
11,475227,1,26,4694,blue,true,right,69,26,right,blue,1246,0
12,479002.6999999881,0,0,4694,blue,true,left,6,41,right,orange,1327,0
13,482862.3000000119,0,0,4694,blue,true,left,88,34,right,orange,1031,0
14,486438.89999997616,1,73,4621,blue,false,right,73,18,left,orange,2974,0
15,491937.09999996424,1,25,4596,blue,true,right,60,25,right,blue,1531,0
16,496006,1,6,4590,blue,true,right,68,6,right,blue,1462,0
17,499999.1999999881,0,0,4590,blue,false,left,48,39,left,blue,2430,0
18,504964.5,1,76,4514,blue,true,left,35,76,left,blue,1128,0
19,508633.59999996424,0,0,4514,blue,true,left,23,85,right,orange,1278,0
20,512440.09999996424,0,0,4514,blue,true,left,54,22,right,orange,852,0
21,515815.1999999881,1,66,4448,blue,false,right,66,58,left,orange,1511,0
22,519885.6999999881,1,41,4407,blue,true,left,98,41,left,blue,1274,0
23,529215.6999999881,0,0,4407,blue,true,left,58,80,right,orange,1591,1
24,533335.5999999642,0,0,4407,blue,true,left,32,85,right,orange,938,0
25,536798.5999999642,0,0,4407,blue,false,right,83,15,right,blue,1851,0
26,541182.3999999762,0,0,4407,blue,true,right,18,16,left,orange,1283,0
27,545012.3999999762,0,0,4407,blue,true,left,56,99,right,orange,1037,0
28,548583.5,0,0,4407,blue,true,right,23,75,left,orange,1133,0
29,552260.8999999762,0,0,4407,blue,true,left,68,18,right,orange,2632,0
30,557437.8999999762,0,0,4407,blue,true,left,30,16,right,orange,1431,0
31,561407.5,1,37,4370,blue,true,left,86,37,left,blue,1197,0
32,565134.1999999881,0,0,4370,blue,true,right,47,44,left,orange,1071,0
33,568729.5,0,0,4370,blue,true,left,3,91,right,orange,852,0
34,572116.1999999881,1,60,4310,blue,false,right,60,14,left,orange,2030,0
35,576679.5999999642,0,0,4310,blue,true,right,54,84,left,orange,1365,0
36,580564.8000000119,0,0,4310,blue,true,right,34,23,left,orange,1299,0
37,584396.6999999881,1,28,4282,blue,true,left,96,28,left,blue,2932,0
38,589864.8999999762,1,83,4199,blue,false,right,83,94,left,orange,1191,0
39,593607.8000000119,0,0,4199,blue,true,left,63,86,right,orange,1185,0
40,597314.8000000119,0,0,4199,blue,true,right,99,53,left,orange,1877,0
41,601720.8000000119,0,0,4199,blue,true,right,29,91,left,orange,1124,0
42,605378.5,0,0,4199,blue,true,left,88,64,right,orange,1057,0
43,608955.8999999762,0,0,4199,blue,true,right,84,70,left,orange,908,0
44,612405.8999999762,1,61,4138,blue,false,left,61,88,right,orange,903,0
45,615864.1999999881,1,43,4095,blue,true,right,61,43,right,blue,3037,0
46,621422,0,0,4095,blue,true,right,87,54,left,orange,1071,0
47,625016.8999999762,1,5,4090,blue,false,right,5,90,left,orange,1484,0
48,633035,0,0,4090,blue,true,right,71,44,left,orange,1467,0
49,637040.5999999642,0,0,4090,blue,true,left,42,52,right,orange,1269,0
50,640831.5999999642,0,0,4090,blue,true,right,39,93,left,orange,889,0
51,644242.5999999642,0,0,4090,blue,true,right,39,24,left,orange,1133,0
52,647907.6999999881,1,20,4070,blue,false,right,20,10,left,orange,1062,0
53,651492.1999999881,0,0,4070,blue,false,right,85,43,right,blue,989,0
54,655002.0999999642,0,0,4070,blue,false,left,77,7,left,blue,1934,0
55,659464.6999999881,1,90,3980,blue,true,right,95,90,right,blue,2800,0
56,664807.3000000119,0,0,3980,blue,true,left,56,7,right,orange,2446,0
57,669799.3000000119,0,0,3980,blue,true,left,50,69,right,orange,934,0
58,673259.1999999881,0,0,3980,blue,true,left,4,83,right,orange,754,0
59,676545.8000000119,1,40,3940,blue,false,right,40,8,left,orange,1491,0
60,680592.1999999881,0,0,3940,blue,true,left,47,86,right,orange,1364,0
61,684498.5,0,0,3940,blue,true,left,15,49,right,orange,818,0
62,687851,0,0,3940,blue,true,left,17,39,right,orange,786,0
63,691171.3000000119,1,76,3864,blue,false,right,76,97,left,orange,1338,0
64,695053.1999999881,1,14,3850,blue,true,left,73,14,left,blue,1420,0
65,699020.8999999762,0,0,3850,blue,true,left,67,29,right,orange,1122,0
66,702667.1999999881,0,0,3850,blue,true,right,48,39,left,orange,1022,0
67,706229.0999999642,0,0,3850,blue,true,left,30,99,right,orange,1084,0
68,709834.5999999642,1,13,3837,blue,false,right,13,20,left,orange,1247,0
69,713606,0,0,3837,blue,true,right,66,59,left,orange,1443,0
70,717566.5,0,0,3837,blue,true,left,20,60,right,orange,867,0
71,720955.3999999762,0,0,3837,blue,true,right,41,25,left,orange,821,0
72,724307.3000000119,1,76,3761,blue,false,left,76,70,right,orange,1027,0
73,727866.3999999762,0,0,3761,blue,false,left,73,18,left,blue,1166,0
74,731558.8999999762,1,41,3720,blue,false,right,41,80,left,orange,832,0
75,734943.0999999642,0,0,3720,blue,true,left,25,76,right,orange,878,0
76,738347.8000000119,1,34,3686,blue,false,left,34,52,right,orange,1017,0
77,741905.8999999762,1,30,3656,blue,false,right,30,60,left,orange,1082,0
78,745514.8000000119,0,0,3656,blue,false,left,91,36,left,blue,1298,0
79,749336.1999999881,1,70,3586,blue,false,right,70,59,left,orange,1356,0
80,753228.3999999762,1,47,3539,blue,true,right,64,47,right,blue,2305,0
81,758061.6999999881,1,28,3511,blue,false,right,28,44,left,orange,834,0
82,761424.6999999881,1,2,3509,blue,false,left,2,80,right,orange,879,0
83,764831.6999999881,1,20,3489,blue,false,right,20,39,left,orange,810,0
84,768175.6999999881,1,32,3457,blue,false,left,32,61,right,orange,1640,0
85,772349.0999999642,0,0,3457,blue,false,right,90,61,right,blue,1003,0
86,775885.0999999642,0,0,3457,blue,true,right,62,70,left,orange,1347,0
87,779754.3999999762,1,17,3440,blue,false,right,17,33,left,orange,846,0
88,783128.8999999762,0,0,3440,blue,false,left,74,17,left,blue,864,0
89,786523.8000000119,1,2,3438,blue,false,right,2,85,left,orange,926,0
90,789987.5999999642,1,39,3399,blue,false,left,39,76,right,orange,3030,0
91,795556.5999999642,0,0,3399,blue,false,left,70,20,left,blue,737,0
92,798824.8999999762,0,0,3399,blue,true,left,24,69,right,orange,2348,0
93,803701.3000000119,0,0,3399,blue,true,right,59,52,left,orange,1072,0
94,811307.5999999642,1,15,3384,blue,false,right,15,43,left,orange,1025,0
95,814871.8999999762,1,34,3350,blue,true,right,50,34,right,blue,1045,0
96,818464.8999999762,1,43,3307,blue,false,left,43,48,right,orange,859,0
97,821860.8999999762,0,0,3307,blue,true,left,14,35,right,orange,985,0
98,825364.1999999881,0,0,3307,blue,true,right,12,42,left,orange,989,0
99,828886.3999999762,0,0,3307,blue,true,right,40,44,left,orange,947,0
100,832365.8000000119,0,0,3307,blue,true,left,88,50,right,orange,1474,0
101,836370.6999999881,0,0,3307,blue,true,right,51,19,left,orange,727,0
102,839628.3000000119,0,0,3307,blue,true,right,44,59,left,orange,812,0
103,842972.5,0,0,3307,blue,true,left,23,9,right,orange,1043,0
104,846533.8999999762,0,0,3307,blue,true,left,23,76,right,orange,746,0
105,849804.6999999881,0,0,3307,blue,true,right,94,47,left,orange,1925,0
106,854265.3000000119,1,67,3240,blue,false,right,67,56,left,orange,910,0
107,857717.6999999881,1,16,3224,blue,true,right,50,16,right,blue,727,0
108,860970.3000000119,1,7,3217,blue,true,left,83,7,left,blue,1618,0
109,865123.5,0,0,3217,blue,true,right,86,41,left,orange,834,0
110,868489.1999999881,0,0,3217,blue,true,left,61,37,right,orange,843,0
111,871857.6999999881,1,82,3135,blue,false,left,82,57,right,orange,818,0
112,875208.8999999762,1,68,3067,blue,false,right,68,28,left,orange,1100,0
113,878835.5999999642,0,0,3067,blue,false,left,65,76,left,blue,625,0
114,881981.3999999762,0,0,3067,blue,false,left,25,19,left,blue,999,0
115,885506.8999999762,1,67,3000,blue,false,left,67,68,right,orange,1430,0
116,889474.3999999762,0,0,3000,blue,false,left,82,68,left,blue,1271,0
117,893282.8999999762,0,0,3000,blue,false,right,88,19,right,blue,1101,0
118,896912.5999999642,1,11,2989,blue,true,left,55,11,left,blue,1623,0
119,901075.6999999881,0,0,2989,blue,true,right,74,36,left,orange,917,0
120,904518.6999999881,1,18,2971,blue,false,left,18,64,right,orange,1049,0
121,908103.0999999642,1,15,2956,blue,false,right,15,3,left,orange,1201,0
122,911845.6999999881,0,0,2956,blue,false,left,91,76,left,blue,2747,0
123,917115.3000000119,0,0,2956,blue,false,right,66,92,right,blue,1922,0
124,921561.3999999762,0,0,2956,blue,false,left,67,14,left,blue,2004,0
125,926096.6999999881,0,0,2956,blue,true,right,11,77,left,orange,1259,0
126,929892.8999999762,1,36,2920,blue,false,right,36,20,left,orange,1120,0
127,933544.5999999642,1,44,2876,blue,false,right,44,61,left,orange,1476,0
128,937550.8000000119,0,0,2876,blue,false,left,4,34,left,blue,854,0
129,940923.5999999642,0,0,2876,blue,false,right,86,63,right,blue,808,0
130,944269.8999999762,0,0,2876,blue,false,left,99,43,left,blue,832,0
131,947631.0999999642,1,56,2820,blue,true,left,95,56,left,blue,1193,0
132,951366.3000000119,1,89,2731,blue,false,left,89,63,right,orange,842,0
133,954735.0999999642,0,0,2731,blue,true,left,88,80,right,orange,1289,0
134,958550.8999999762,1,5,2726,blue,false,left,5,10,right,orange,667,0
135,961744.5999999642,0,0,2726,blue,true,right,35,80,left,orange,2320,0
136,966585.5999999642,0,0,2726,blue,true,right,8,57,left,orange,711,0
137,969820.5999999642,0,0,2726,blue,true,right,78,47,left,orange,1252,0
138,973600.8999999762,0,0,2726,blue,true,left,5,99,right,orange,777,0
139,976900.3999999762,0,0,2726,blue,true,left,62,67,right,orange,984,0
140,980414.6999999881,1,95,2631,blue,false,right,95,27,left,orange,1052,0
