Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1028874.3350000586,0,0,5000,blue,true,left,44,37,right,orange,2962,0
2,1034397.920000134,0,0,5000,blue,true,left,66,12,right,orange,2385,0
3,1039329.575000098,1,9,4991,blue,true,left,98,9,left,blue,1009,0
4,1042920.7900001202,0,0,4991,blue,false,right,20,91,right,blue,2413,0
5,1047881.0499999672,1,8,4983,blue,true,right,28,8,right,blue,3693,0
6,1054154.205000028,0,0,4983,blue,true,right,30,33,left,orange,3049,0
7,1059773.170000175,1,24,4959,blue,true,right,27,24,right,blue,3381,0
8,1065790.38999998,1,58,4901,blue,false,left,58,43,right,orange,1540,0
9,1069913.4250001516,1,47,4854,blue,true,right,72,47,right,blue,1189,0
10,1079216.9149999972,1,44,4810,blue,false,left,44,44,right,orange,3610,1
11,1085386.540000094,0,0,4810,blue,true,right,69,26,left,orange,562,0
12,1088510.0200001616,0,0,4810,blue,true,left,6,41,right,orange,2897,0
13,1093966.6900001466,1,34,4776,blue,true,left,88,34,left,blue,1409,0
14,1097956.4300000202,0,0,4776,blue,false,left,73,18,left,blue,968,0
15,1101470.1350000687,1,25,4751,blue,true,left,60,25,left,blue,1141,0
16,1105200.0400000252,0,0,4751,blue,true,left,68,6,right,orange,1371,0
17,1109129.5350000728,0,0,4751,blue,false,right,48,39,right,blue,2754,0
18,1114444.1200001165,0,0,4751,blue,true,left,35,76,right,orange,1765,0
19,1118763.8150001876,0,0,4751,blue,true,left,23,85,right,orange,1956,0
20,1123270.9100001957,1,22,4729,blue,true,left,54,22,left,blue,1397,0
21,1127232.6650000177,0,0,4729,blue,false,left,66,58,left,blue,3111,0
22,1132890.2600000147,1,41,4688,blue,true,left,98,41,left,blue,1373,0
23,1136812.0300001465,0,0,4688,blue,true,left,58,80,right,orange,2653,0
24,1142028.7200000603,0,0,4688,blue,true,left,32,85,right,orange,1241,0
25,1145823.1250001118,0,0,4688,blue,false,left,83,15,left,blue,930,0
