Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,160138.63499998115,1,37,4963,blue,true,right,44,37,right,blue,2528,0
2,165198.87500000186,0,0,4963,blue,true,left,66,12,right,orange,1356,0
3,169104.20000000158,1,9,4954,blue,true,left,98,9,left,blue,1456,0
4,173102.7199999662,1,20,4934,blue,false,left,20,91,right,orange,1182,0
5,176825.6499999552,1,8,4926,blue,true,right,28,8,right,blue,1134,0
6,180504.28999995347,0,0,4926,blue,true,right,30,33,left,orange,1301,0
7,184354.56000000704,0,0,4926,blue,true,right,27,24,left,orange,832,0
8,187717.94499998214,0,0,4926,blue,false,left,58,43,left,blue,1229,0
9,191476.50499996962,1,47,4879,blue,true,left,72,47,left,blue,1152,0
10,195175.93500000658,1,44,4835,blue,false,right,44,44,left,orange,2845,0
11,200553.54499997338,1,26,4809,blue,true,right,69,26,right,blue,1139,0
12,204232.43499995442,0,0,4809,blue,true,right,6,41,left,orange,1056,0
13,207831.21999999275,1,34,4775,blue,true,left,88,34,left,blue,847,0
14,211217.82499999972,0,0,4775,blue,false,right,73,18,right,blue,919,0
15,214672.4899999681,1,25,4750,blue,true,left,60,25,left,blue,851,0
16,218068.72999999905,1,6,4744,blue,true,right,68,6,right,blue,858,0
17,221468.73999998206,0,0,4744,blue,false,right,48,39,right,blue,1295,0
18,225294.43499998888,0,0,4744,blue,true,right,35,76,left,orange,794,0
19,228616.3949999609,0,0,4744,blue,true,right,23,85,left,orange,629,0
20,231783.38999999687,1,22,4722,blue,true,left,54,22,left,blue,925,0
21,235247.13499995414,0,0,4722,blue,false,left,66,58,left,blue,1024,0
22,238798.41499996837,1,41,4681,blue,true,right,98,41,right,blue,901,0
23,242250.384999963,0,0,4681,blue,true,left,58,80,right,orange,828,0
24,245622.65999999363,0,0,4681,blue,true,left,32,85,right,orange,709,0
25,248875.17499999376,0,0,4681,blue,false,right,83,15,right,blue,752,0
26,252157.5399999856,1,16,4665,blue,true,left,18,16,left,blue,768,0
27,255464.77500000037,0,0,4665,blue,true,right,56,99,left,orange,896,0
28,258904.3449999881,0,0,4665,blue,true,right,23,75,left,orange,695,0
29,262133.96000000648,1,18,4647,blue,true,right,68,18,right,blue,900,0
30,265556.5849999548,1,16,4631,blue,true,right,30,16,right,blue,1081,0
31,269165.24499998195,1,37,4594,blue,true,right,86,37,right,blue,679,0
32,272383.44000000507,1,44,4550,blue,true,right,47,44,right,blue,1043,0
33,275965.5700000003,0,0,4550,blue,true,left,3,91,right,orange,629,0
34,279127.7799999807,0,0,4550,blue,false,right,60,14,right,blue,693,0
35,282362.5349999638,1,84,4466,blue,true,right,54,84,right,blue,754,0
36,285647.724999988,0,0,4466,blue,true,right,34,23,left,orange,1699,0
37,289879.5950000058,1,28,4438,blue,true,right,96,28,right,blue,853,0
38,293272.78999995906,1,83,4355,blue,false,right,83,94,left,orange,726,0
39,296526.75499999896,0,0,4355,blue,true,left,63,86,right,orange,1177,0
40,300248.77999996534,1,53,4302,blue,true,right,99,53,right,blue,907,0
41,303703.2649999601,0,0,4302,blue,true,right,29,91,left,orange,730,0
42,306964.68499995535,1,64,4238,blue,true,left,88,64,left,blue,942,0
43,310451.01499999873,0,0,4238,blue,true,left,84,70,right,orange,903,0
44,313884.80999995954,1,61,4177,blue,false,right,61,88,left,orange,728,0
45,317136.3199999905,0,0,4177,blue,true,right,61,43,left,orange,804,0
46,320470.4049999709,0,0,4177,blue,true,right,87,54,left,orange,622,0
47,323633.3999999915,1,5,4172,blue,false,left,5,90,right,orange,1906,0
48,332079.4149999856,1,44,4128,blue,true,right,71,44,right,blue,2370,0
49,336994.27500000456,0,0,4128,blue,true,left,42,52,right,orange,682,0
50,340212.4949999852,0,0,4128,blue,true,right,39,93,left,orange,784,0
51,343527.61499996996,1,24,4104,blue,true,right,39,24,right,blue,745,0
52,346796.9649999868,0,0,4104,blue,false,left,20,10,left,blue,778,0
53,350117.0449999627,0,0,4104,blue,false,left,85,43,left,blue,724,0
54,353372.42499995045,0,0,4104,blue,false,right,77,7,right,blue,648,0
55,356556.53000000166,1,90,4014,blue,true,left,95,90,left,blue,1158,0
56,360257.799999963,1,7,4007,blue,true,left,56,7,left,blue,675,0
57,363469.0749999718,1,69,3938,blue,true,right,50,69,right,blue,3082,0
58,369098.2849999564,0,0,3938,blue,true,left,4,83,right,orange,592,0
59,372223.1099999626,1,40,3898,blue,false,right,40,8,left,orange,973,0
60,375747.539999953,0,0,3898,blue,true,right,47,86,left,orange,1371,0
61,379651.21499996167,0,0,3898,blue,true,right,15,49,left,orange,879,0
62,383052.42999998154,0,0,3898,blue,true,left,17,39,right,orange,894,0
63,386478.6299999687,1,76,3822,blue,false,left,76,97,right,orange,923,0
64,389934.32999996,1,14,3808,blue,true,right,73,14,right,blue,813,0
65,393296.11499997554,1,29,3779,blue,true,right,67,29,right,blue,678,0
66,396507.7849999652,1,39,3740,blue,true,left,48,39,left,blue,1399,0
67,400445.94000000507,0,0,3740,blue,true,left,30,99,right,orange,703,0
68,403679.5099999872,1,13,3727,blue,false,left,13,20,right,orange,1347,0
69,407571.809999994,1,59,3668,blue,true,right,66,59,right,blue,762,0
70,410855.64999998314,0,0,3668,blue,true,right,20,60,left,orange,974,0
