Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,7260318,0,0,5000,blue,true,right,23,10,left,orange,851,1
2,7263681.000000001,1,97,4903,blue,true,left,45,97,left,blue,597,0
3,7266798,1,62,4841,blue,true,left,54,62,left,blue,810,0
4,7270131,0,0,4841,blue,false,right,99,16,right,blue,563,0
5,7273209,1,40,4801,blue,true,right,72,40,right,blue,1373,0
6,7277100,0,0,4801,blue,true,right,98,88,left,orange,585,0
7,7280200,1,54,4747,blue,true,right,6,54,right,blue,839,0
8,7283559,0,0,4747,blue,true,right,64,55,left,orange,660,0
9,7286736,0,0,4747,blue,false,left,96,45,left,blue,475,0
10,7289728,1,19,4728,blue,true,right,28,19,right,blue,716,0
11,7292964,1,26,4702,blue,true,left,95,26,left,blue,479,0
12,7295963,0,0,4702,blue,true,left,90,29,right,orange,670,0
13,7299150.000000001,0,0,4702,blue,true,left,20,53,right,orange,418,0
14,7302086,1,56,4646,blue,true,right,74,56,right,blue,425,0
15,7305028,1,42,4604,blue,true,right,18,42,right,blue,466,0
16,7308015,0,0,4604,blue,true,left,11,91,right,orange,536,0
17,7311065.000000001,0,0,4604,blue,false,right,32,31,right,blue,400,0
18,7313984,1,65,4539,blue,true,right,36,65,right,blue,1046,0
19,7317551,1,40,4499,blue,false,right,40,30,left,orange,459,0
20,7320529,0,0,4499,blue,true,left,29,26,right,orange,435,0
21,7323480.000000001,1,32,4467,blue,false,left,32,36,right,orange,1138,0
22,7327139,1,81,4386,blue,true,left,72,81,left,blue,433,0
23,7330091,1,95,4291,blue,false,left,95,54,right,orange,521,0
24,7333132.000000001,0,0,4291,blue,false,right,40,59,right,blue,783,0
25,7336434,0,0,4291,blue,false,right,29,24,right,blue,485,0
26,7339434,0,0,4291,blue,false,right,60,51,right,blue,806,0
27,7342760,1,83,4208,blue,false,right,83,65,left,orange,355,0
28,7345632.000000001,0,0,4208,blue,true,left,78,98,right,orange,704,0
29,7348853,0,0,4208,blue,false,left,56,51,left,blue,1298,0
30,7352667,0,0,4208,blue,false,left,5,20,left,blue,784,0
31,7355967.000000001,1,67,4141,blue,false,right,67,2,left,orange,457,0
32,7358943,1,85,4056,blue,false,left,85,84,right,orange,461,0
33,7361923,1,49,4007,blue,true,right,7,49,right,blue,418,0
34,7364858,1,37,3970,blue,false,left,37,47,right,orange,826,0
35,7368203,0,0,3970,blue,false,right,27,91,right,blue,463,0
36,7371179,0,0,3970,blue,false,right,44,42,right,blue,394,0
37,7374090,0,0,3970,blue,true,left,31,55,right,orange,443,0
38,7377051,1,97,3873,blue,false,left,97,70,right,orange,1912,0
39,7381484,1,14,3859,blue,false,right,14,9,left,orange,491,0
40,7384493,0,0,3859,blue,true,right,23,51,left,orange,565,0
41,7387577,0,0,3859,blue,true,right,89,79,left,orange,404,0
42,7390496,1,86,3773,blue,true,left,83,86,left,blue,453,0
43,7393471,0,0,3773,blue,true,right,40,62,left,orange,49,0
44,7396035,0,0,3773,blue,true,right,36,23,left,orange,433,0
45,7398985.000000001,0,0,3773,blue,true,left,65,61,right,orange,593,0
46,7402092.000000001,0,0,3773,blue,true,left,74,67,right,orange,465,0
47,7405074.000000001,1,41,3732,blue,true,right,73,41,right,blue,435,0
48,7412032,1,96,3636,blue,false,left,96,54,right,orange,2123,0
49,7416678,1,88,3548,blue,true,left,86,88,left,blue,443,0
50,7419643,1,66,3482,blue,true,left,43,66,left,blue,380,0
51,7422544,0,0,3482,blue,true,right,72,79,left,orange,601,0
52,7425660,0,0,3482,blue,false,left,71,13,left,blue,329,0
53,7428504,1,53,3429,blue,true,left,78,53,left,blue,529,0
54,7431553,1,90,3339,blue,true,right,57,90,right,blue,402,0
55,7434473,0,0,3339,blue,false,right,3,12,right,blue,656,0
56,7437644,0,0,3339,blue,true,left,2,64,right,orange,413,0
57,7440572,0,0,3339,blue,true,left,99,9,right,orange,663,0
58,7443752,1,42,3297,blue,true,right,21,42,right,blue,544,0
59,7446816,1,72,3225,blue,true,left,83,72,left,blue,393,0
60,7449727,1,11,3214,blue,true,left,37,11,left,blue,499,0
61,7452744.000000001,1,67,3147,blue,false,right,67,81,left,orange,417,0
62,7455681.000000001,1,14,3133,blue,true,left,12,14,left,blue,341,0
63,7458540,1,78,3055,blue,false,right,78,90,left,orange,331,0
64,7461392,0,0,3055,blue,false,left,46,53,left,blue,387,0
65,7464297.000000001,1,30,3025,blue,false,right,30,42,left,orange,337,0
66,7467152,1,36,2989,blue,false,right,36,65,left,orange,336,0
67,7470005,1,49,2940,blue,false,left,49,49,right,orange,426,0
68,7472948,0,0,2940,blue,false,left,44,10,left,blue,277,0
69,7475737,0,0,2940,blue,false,left,70,64,left,blue,508,0
70,7478760,0,0,2940,blue,false,left,68,95,left,blue,329,0
71,7481608,0,0,2940,blue,false,left,38,46,left,blue,414,0
72,7484539,1,18,2922,blue,false,right,18,24,left,orange,329,0
73,7487384,0,0,2922,blue,false,left,82,78,left,blue,920,0
74,7490819,0,0,2922,blue,false,left,59,54,left,blue,600,0
75,7493934,0,0,2922,blue,false,left,36,33,left,blue,388,0
76,7496838,0,0,2922,blue,true,right,49,56,left,orange,422,0
77,7499773,0,0,2922,blue,false,left,26,83,left,blue,337,0
78,7502624,0,0,2922,blue,false,left,38,81,left,blue,295,0
79,7505433,1,12,2910,blue,false,right,12,3,left,orange,294,0
80,7508245,1,62,2848,blue,false,left,62,38,right,orange,373,0
81,7511137,0,0,2848,blue,false,right,43,50,right,blue,458,0
82,7514110.000000001,1,50,2798,blue,false,left,50,47,right,orange,225,0
83,7516852,0,0,2798,blue,true,right,41,35,left,orange,324,0
84,7519690.000000001,1,9,2789,blue,false,right,9,62,left,orange,413,0
85,7522622,0,0,2789,blue,false,right,60,58,right,blue,1207,0
86,7526344,0,0,2789,blue,false,right,88,31,right,blue,848,0
87,7529706,0,0,2789,blue,false,left,56,44,left,blue,900,0
88,7533120,1,15,2774,blue,true,right,31,15,right,blue,618,0
89,7536255,0,0,2774,blue,false,right,90,31,right,blue,438,0
90,7539208.000000001,0,0,2774,blue,false,right,80,76,right,blue,395,0
91,7542117,1,78,2696,blue,false,left,78,4,right,orange,487,0
92,7545126,0,0,2696,blue,false,right,60,28,right,blue,930,0
93,7548574.000000001,0,0,2696,blue,true,left,56,99,right,orange,1005,0
94,7556097,0,0,2696,blue,false,right,31,45,right,blue,732,0
95,7559344,0,0,2696,blue,false,left,55,16,left,blue,727,0
96,7562590,0,0,2696,blue,true,left,12,89,right,orange,554,0
97,7565661,0,0,2696,blue,false,right,49,4,right,blue,651,0
98,7568828,0,0,2696,blue,false,right,69,12,right,blue,677,0
99,7572023,1,26,2670,blue,true,right,49,26,right,blue,410,0
100,7574955,1,75,2595,blue,false,left,75,76,right,orange,1170,0
101,7578644,1,22,2573,blue,false,right,22,90,left,orange,1332,0
102,7582495,0,0,2573,blue,true,right,26,23,left,orange,874,0
103,7585885,0,0,2573,blue,false,left,11,68,left,blue,475,0
104,7588875,0,0,2573,blue,true,right,71,82,left,orange,522,0
105,7591914,0,0,2573,blue,false,left,86,95,left,blue,438,0
106,7594867,0,0,2573,blue,false,left,79,88,left,blue,418,0
107,7597799,0,0,2573,blue,false,left,75,40,left,blue,464,0
108,7600779,1,11,2562,blue,false,right,11,94,left,orange,473,0
109,7603770,0,0,2562,blue,true,left,53,44,right,orange,442,0
110,7606727,0,0,2562,blue,false,right,85,17,right,blue,459,0
111,7609703,0,0,2562,blue,true,left,85,32,right,orange,447,0
112,7612665,0,0,2562,blue,false,right,38,68,right,blue,116,0
113,7615298,1,28,2534,blue,false,left,28,93,right,orange,378,0
114,7618197,1,13,2521,blue,false,right,13,95,left,orange,422,0
115,7621138,0,0,2521,blue,false,right,69,60,right,blue,410,0
116,7624067,1,95,2426,blue,true,left,56,95,left,blue,376,0
117,7626962,1,2,2424,blue,false,left,2,41,right,orange,463,0
118,7629944,1,42,2382,blue,false,left,42,5,right,orange,454,0
119,7632919,1,44,2338,blue,false,left,44,30,right,orange,388,0
120,7635824.000000001,0,0,2338,blue,false,right,79,4,right,blue,446,0
121,7638785,0,0,2338,blue,false,right,83,87,right,blue,511,0
122,7641812,0,0,2338,blue,false,right,59,44,right,blue,359,0
123,7644689,1,10,2328,blue,true,right,15,10,right,blue,367,0
124,7647574.000000001,0,0,2328,blue,false,right,60,15,right,blue,319,0
125,7650407,1,73,2255,blue,false,left,73,25,right,orange,1500,0
126,7654423,0,0,2255,blue,false,left,43,23,left,blue,385,0
127,7657324.000000001,1,22,2233,blue,false,right,22,87,left,orange,408,0
128,7660252,1,77,2156,blue,true,right,27,77,right,blue,392,0
129,7663163,0,0,2156,blue,false,left,99,35,left,blue,367,0
130,7666045,0,0,2156,blue,true,right,49,39,left,orange,1376,0
131,7669941,1,83,2073,blue,false,left,83,60,right,orange,1161,0
