Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,170703.76499998383,0,0,5000,blue,true,left,23,10,right,orange,2194,0
2,175425.90499995276,1,97,4903,blue,true,left,45,97,left,blue,691,0
3,178650.2249999903,1,62,4841,blue,true,right,54,62,right,blue,896,0
4,182078.14999995753,1,99,4742,blue,false,right,99,16,left,orange,806,0
5,185416.0050000064,0,0,4742,blue,true,right,72,40,left,orange,637,0
6,188583.19999999367,1,88,4654,blue,true,left,98,88,left,blue,817,0
7,191939.3750000745,1,54,4600,blue,true,left,6,54,left,blue,716,0
8,195185.11500000022,0,0,4600,blue,true,right,64,55,left,orange,684,0
9,198397.51500007696,1,96,4504,blue,false,right,96,45,left,orange,847,0
10,201775.03499994054,0,0,4504,blue,true,right,28,19,left,orange,959,0
11,205264.13000002503,0,0,4504,blue,true,right,95,26,left,orange,833,0
12,208621.85500003397,0,0,4504,blue,true,left,90,29,right,orange,1065,0
13,212216.40500007197,1,53,4451,blue,true,left,20,53,left,blue,907,0
14,215661.7050000932,0,0,4451,blue,true,left,74,56,right,orange,1283,0
15,219471.70999995433,1,42,4409,blue,true,left,18,42,left,blue,1201,0
16,223206.9349999074,1,91,4318,blue,true,right,11,91,right,blue,1798,0
17,227534.200000111,1,32,4286,blue,false,left,32,31,right,orange,1803,0
18,231875.68500009365,1,65,4221,blue,true,right,36,65,right,blue,1090,0
19,235496.88500002958,1,40,4181,blue,false,left,40,30,right,orange,786,0
20,238816.15999992937,1,26,4155,blue,true,right,29,26,right,blue,881,0
21,242237.54999996163,0,0,4155,blue,false,right,32,36,right,blue,932,0
22,245698.16499995068,1,81,4074,blue,true,right,72,81,right,blue,1413,0
23,249644.18000006117,1,95,3979,blue,false,right,95,54,left,orange,725,0
24,252903.0550001189,0,0,3979,blue,false,left,40,59,left,blue,1178,0
25,256607.97500004992,0,0,3979,blue,false,left,29,24,left,blue,1956,0
26,261094.34000006877,1,60,3919,blue,false,left,60,51,right,orange,1310,0
27,264932.6299999375,1,83,3836,blue,false,left,83,65,right,orange,965,0
28,268433.47000004724,1,98,3738,blue,true,right,78,98,right,blue,788,0
29,271754.3299999088,1,56,3682,blue,false,right,56,51,left,orange,1184,0
30,275467.56000001915,0,0,3682,blue,false,right,5,20,right,blue,817,0
31,278812.44500004686,1,67,3615,blue,false,left,67,2,right,orange,696,0
32,282043.86000009254,0,0,3615,blue,false,left,85,84,left,blue,787,0
33,285355.2250000648,1,49,3566,blue,true,right,7,49,right,blue,924,0
34,288816.2299999967,0,0,3566,blue,false,right,37,47,right,blue,1047,0
35,292390.98499994725,0,0,3566,blue,false,left,27,91,left,blue,831,0
36,295754.3150000274,1,44,3522,blue,false,left,44,42,right,orange,1316,0
37,299602.3200000636,1,55,3467,blue,true,left,31,55,left,blue,1143,0
38,303281.04500006884,0,0,3467,blue,false,left,97,70,left,blue,827,0
39,306633.66000005044,1,14,3453,blue,false,left,14,9,right,orange,1658,0
40,310826.6700000968,1,51,3402,blue,true,right,23,51,right,blue,935,0
41,314291.58499999903,0,0,3402,blue,true,right,89,79,left,orange,1127,0
42,317943.9399999101,1,86,3316,blue,true,right,83,86,right,blue,1263,0
43,321746.79500004277,1,62,3254,blue,true,left,40,62,left,blue,1531,0
44,325815.2199999895,0,0,3254,blue,true,right,36,23,left,orange,906,0
45,329246.33500003256,0,0,3254,blue,true,right,65,61,left,orange,762,0
46,332537.62000007555,0,0,3254,blue,true,right,74,67,left,orange,725,0
47,335788.21999998763,0,0,3254,blue,true,right,73,41,left,orange,667,0
48,343011.0450000502,1,96,3158,blue,false,left,96,54,right,orange,1305,0
