Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,271355.77999999985,1,37,4963,blue,true,right,44,37,right,blue,1230,0
2,275139.545,0,0,4963,blue,true,left,66,12,right,orange,526,0
3,278215.37999999966,0,0,4963,blue,true,left,98,9,right,orange,703,0
4,281459.89499999996,1,20,4943,blue,false,left,20,91,right,orange,480,0
5,284488.36500000017,0,0,4943,blue,true,right,28,8,left,orange,988,0
6,288009.47,0,0,4943,blue,true,left,30,33,right,orange,470,0
7,291038.5249999999,1,24,4919,blue,true,right,27,24,right,blue,797,0
8,294390.37999999983,0,0,4919,blue,false,right,58,43,right,blue,711,0
9,297638.40999999957,0,0,4919,blue,true,left,72,47,right,orange,471,0
10,300650.15500000026,1,44,4875,blue,false,left,44,44,right,orange,1462,0
11,304643.3299999999,1,26,4849,blue,true,right,69,26,right,blue,734,0
12,307921.2900000002,0,0,4849,blue,true,left,6,41,right,orange,1382,0
13,311842.3299999995,0,0,4849,blue,true,right,88,34,left,orange,1030,0
14,315409.3149999999,1,73,4776,blue,false,left,73,18,right,orange,852,0
15,318807.4449999995,0,0,4776,blue,true,right,60,25,left,orange,958,0
16,322299.6349999994,0,0,4776,blue,true,right,68,6,left,orange,1296,0
17,326126.3749999998,0,0,4776,blue,false,right,48,39,right,blue,485,0
18,329157.15,0,0,4776,blue,true,right,35,76,left,orange,1769,0
19,333462.57999999943,0,0,4776,blue,true,left,23,85,right,orange,1404,0
20,337428.1799999999,1,22,4754,blue,true,right,54,22,right,blue,1223,0
21,341191.6249999995,1,66,4688,blue,false,right,66,58,left,orange,1892,0
22,345638.27500000026,0,0,4688,blue,true,right,98,41,left,orange,1638,0
23,349805.2399999997,1,80,4608,blue,true,right,58,80,right,blue,1935,0
24,354280.17999999976,0,0,4608,blue,true,right,32,85,left,orange,1548,0
25,358370.1799999999,0,0,4608,blue,false,right,83,15,right,blue,1043,0
26,361953.9399999994,1,16,4592,blue,true,left,18,16,left,blue,2417,0
27,366919.26999999944,0,0,4592,blue,true,right,56,99,left,orange,1724,0
28,371178.2249999996,0,0,4592,blue,true,left,23,75,right,orange,778,0
29,374514.33999999973,1,18,4574,blue,true,right,68,18,right,blue,1126,0
30,378191.0550000002,1,16,4558,blue,true,left,30,16,left,blue,1123,0
31,381865.9349999998,1,37,4521,blue,true,left,86,37,left,blue,557,0
32,384971.84500000003,1,44,4477,blue,true,right,47,44,right,blue,316,0
33,387829.6499999997,0,0,4477,blue,true,left,3,91,right,orange,1073,0
34,391444.1150000002,1,60,4417,blue,false,right,60,14,left,orange,416,0
35,394396.1049999998,0,0,4417,blue,true,left,54,84,right,orange,1061,0
36,397989.52499999997,0,0,4417,blue,true,left,34,23,right,orange,2222,0
37,402740.76499999955,1,28,4389,blue,true,right,96,28,right,blue,1347,0
38,406620.1350000001,1,83,4306,blue,false,left,83,94,right,orange,650,0
39,409816.00999999954,0,0,4306,blue,true,left,63,86,right,orange,2390,0
40,414738.15000000014,0,0,4306,blue,true,left,99,53,right,orange,2348,0
41,419628.02999999985,0,0,4306,blue,true,right,29,91,left,orange,876,0
42,423039.02000000014,1,64,4242,blue,true,left,88,64,left,blue,1580,0
43,427162.15499999997,0,0,4242,blue,true,right,84,70,left,orange,951,0
44,430652.1299999995,0,0,4242,blue,false,left,61,88,left,blue,1420,0
45,434604.5999999997,0,0,4242,blue,true,right,61,43,left,orange,1382,0
46,438523.2049999995,0,0,4242,blue,true,right,87,54,left,orange,1091,0
47,442154.89999999956,1,5,4237,blue,false,left,5,90,right,orange,1273,0
48,449964.2699999995,0,0,4237,blue,true,left,71,44,right,orange,2038,0
49,454547.03499999957,0,0,4237,blue,true,left,42,52,right,orange,2648,0
50,459744.0500000002,0,0,4237,blue,true,right,39,93,left,orange,1223,0
51,463511.0450000002,1,24,4213,blue,true,left,39,24,left,blue,2727,0
52,468780.70000000024,0,0,4213,blue,false,right,20,10,right,blue,729,0
53,472044.6400000001,1,85,4128,blue,false,left,85,43,right,orange,772,0
54,475365.9799999996,0,0,4128,blue,false,right,77,7,right,blue,826,0
55,478733.0149999998,0,0,4128,blue,true,left,95,90,right,orange,944,0
56,482208.06999999966,1,7,4121,blue,true,right,56,7,right,blue,445,0
57,485206.0999999994,1,69,4052,blue,true,right,50,69,right,blue,431,0
58,488189.14500000025,0,0,4052,blue,true,left,4,83,right,orange,632,0
59,491357.1099999999,1,40,4012,blue,false,left,40,8,right,orange,423,0
60,494324.0450000003,0,0,4012,blue,true,right,47,86,left,orange,1342,0
61,498199.345,0,0,4012,blue,true,left,15,49,right,orange,1106,0
62,501839.09500000026,0,0,4012,blue,true,right,17,39,left,orange,1089,0
63,505472.0299999999,1,76,3936,blue,false,right,76,97,left,orange,1091,0
64,509100.91999999987,0,0,3936,blue,true,left,73,14,right,orange,758,0
65,512391.1399999997,0,0,3936,blue,true,right,67,29,left,orange,1202,0
66,516127.17999999947,0,0,3936,blue,true,left,48,39,right,orange,789,0
67,519465.65499999997,0,0,3936,blue,true,right,30,99,left,orange,132,0
68,522139.99499999953,1,13,3923,blue,false,right,13,20,left,orange,1104,0
69,525779.6399999998,0,0,3923,blue,true,left,66,59,right,orange,391,0
70,528705.0650000001,0,0,3923,blue,true,right,20,60,left,orange,1537,0
71,532779.9450000002,1,25,3898,blue,true,right,41,25,right,blue,1230,0
72,536547.9800000003,0,0,3898,blue,false,left,76,70,left,blue,998,0
73,540080.5449999998,1,73,3825,blue,false,left,73,18,right,orange,646,0
74,543266.02,1,41,3784,blue,false,left,41,80,right,orange,489,0
75,546295.0599999995,0,0,3784,blue,true,left,25,76,right,orange,1972,0
76,550801.8099999999,0,0,3784,blue,false,right,34,52,right,blue,474,0
77,553814.265,0,0,3784,blue,false,right,30,60,right,blue,1139,0
78,557490.8949999999,0,0,3784,blue,false,left,91,36,left,blue,1698,0
79,561733.4499999997,1,70,3714,blue,false,right,70,59,left,orange,892,0
80,565176.8949999996,1,47,3667,blue,true,right,64,47,right,blue,1227,0
81,568943.9700000002,0,0,3667,blue,false,right,28,44,right,blue,408,0
82,571898.3099999996,0,0,3667,blue,false,left,2,80,left,blue,417,0
83,574865.1650000002,0,0,3667,blue,false,right,20,39,right,blue,836,0
84,578246.0599999995,1,32,3635,blue,false,left,32,61,right,orange,2962,0
85,583747.9999999995,0,0,3635,blue,false,right,90,61,right,blue,1662,0
86,587950.2499999999,1,70,3565,blue,true,left,62,70,left,blue,1425,0
87,591916.0000000001,0,0,3565,blue,false,right,17,33,right,blue,481,0
88,594930.6699999997,0,0,3565,blue,false,left,74,17,left,blue,1071,0
89,598542.8649999994,1,2,3563,blue,false,left,2,85,right,orange,439,0
90,601526.03,0,0,3563,blue,false,left,39,76,left,blue,1738,0
91,605796.8549999996,0,0,3563,blue,false,right,70,20,right,blue,1631,0
92,609966.9249999997,1,69,3494,blue,true,right,24,69,right,blue,1082,0
93,613597.1849999996,1,52,3442,blue,true,right,59,52,right,blue,1101,0
94,621233.6800000003,1,15,3427,blue,false,right,15,43,left,orange,1583,0
95,625358.8199999995,1,34,3393,blue,true,right,50,34,right,blue,432,0
96,628337.16,0,0,3393,blue,false,right,43,48,right,blue,420,0
97,631309.0599999996,0,0,3393,blue,true,left,14,35,right,orange,1074,0
98,634918.9649999999,0,0,3393,blue,true,right,12,42,left,orange,723,0
99,638197.0449999999,0,0,3393,blue,true,left,40,44,right,orange,780,0
100,641529.99,1,50,3343,blue,true,right,88,50,right,blue,600,0
101,644672.1849999995,1,19,3324,blue,true,left,51,19,left,blue,628,0
102,647839.755,0,0,3324,blue,true,left,44,59,right,orange,344,0
103,650726.0649999998,0,0,3324,blue,true,left,23,9,right,orange,1089,0
104,654353.3849999994,0,0,3324,blue,true,left,23,76,right,orange,728,0
105,657632.81,1,47,3277,blue,true,left,94,47,left,blue,906,0
106,661076.9650000002,1,67,3210,blue,false,left,67,56,right,orange,818,0
107,664442.4250000002,0,0,3210,blue,true,right,50,16,left,orange,632,0
108,667627.05,1,7,3203,blue,true,right,83,7,right,blue,1534,0
109,671701.9499999997,0,0,3203,blue,true,right,86,41,left,orange,1079,0
110,675330.7800000003,0,0,3203,blue,true,right,61,37,left,orange,590,0
111,678467.0100000002,1,82,3121,blue,false,left,82,57,right,orange,1955,0
112,682956.9350000002,1,68,3053,blue,false,right,68,28,left,orange,927,0
113,686428.0899999994,1,65,2988,blue,false,left,65,76,right,orange,409,0
114,689368.8849999999,0,0,2988,blue,false,right,25,19,right,blue,456,0
115,692367.0299999994,1,67,2921,blue,false,left,67,68,right,orange,422,0
116,695316.2249999996,0,0,2921,blue,false,right,82,68,right,blue,1050,0
117,698901.8699999996,0,0,2921,blue,false,right,88,19,right,blue,1104,0
118,702541.7399999996,1,11,2910,blue,true,right,55,11,right,blue,675,0
119,705759.9149999997,1,36,2874,blue,true,right,74,36,right,blue,750,0
120,709050.0299999994,1,18,2856,blue,false,left,18,64,right,orange,691,0
121,712294.8550000001,0,0,2856,blue,false,left,15,3,left,blue,594,0
122,715431.3299999994,0,0,2856,blue,false,left,91,76,left,blue,990,0
123,718953.7899999996,0,0,2856,blue,false,left,66,92,left,blue,2374,0
124,723853.4849999996,0,0,2856,blue,false,right,67,14,right,blue,962,0
125,727349.5400000002,1,77,2779,blue,true,left,11,77,left,blue,2348,0
126,732236.9799999996,1,36,2743,blue,false,left,36,20,right,orange,1092,0
127,735866.7150000001,0,0,2743,blue,false,left,44,61,left,blue,878,0
128,739275.5699999998,0,0,2743,blue,false,right,4,34,right,blue,1108,0
129,742922.8800000001,0,0,2743,blue,false,left,86,63,left,blue,1553,0
130,747029.6849999995,1,99,2644,blue,false,left,99,43,right,orange,1004,0
131,750580.8099999995,1,56,2588,blue,true,right,95,56,right,blue,835,0
132,753962.8649999995,1,89,2499,blue,false,right,89,63,left,orange,698,0
133,757218.8049999995,1,80,2419,blue,true,right,88,80,right,blue,70,0
134,759836.8049999999,0,0,2419,blue,false,right,5,10,right,blue,346,0
135,762711.84,1,80,2339,blue,true,left,35,80,left,blue,923,0
136,766172.6799999997,0,0,2339,blue,true,left,8,57,right,orange,548,0
137,769261.9349999996,1,47,2292,blue,true,left,78,47,left,blue,1231,0
138,773025.6099999996,0,0,2292,blue,true,right,5,99,left,orange,675,0
139,776245.3699999996,0,0,2292,blue,true,left,62,67,right,orange,2059,0
140,780837.8599999996,0,0,2292,blue,false,left,95,27,left,blue,737,0
