Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,725695.7649999968,1,37,4963,blue,true,left,44,37,left,blue,2731,0
2,731009.1149999935,1,12,4951,blue,true,right,66,12,right,blue,3110,0
3,736643.035000001,0,0,4951,blue,true,right,98,9,left,orange,484,0
4,739660.990000004,1,20,4931,blue,false,right,20,91,left,orange,724,0
5,742909.759999995,1,8,4923,blue,true,right,28,8,right,blue,927,0
6,746361.8500000011,0,0,4923,blue,true,right,30,33,left,orange,429,0
7,749374.6949999913,0,0,4923,blue,true,right,27,24,left,orange,1110,0
8,753004.2749999993,1,58,4865,blue,false,left,58,43,right,orange,3605,0
9,759131.905000002,1,47,4818,blue,true,right,72,47,right,blue,947,0
10,762609.6050000051,0,0,4818,blue,false,left,44,44,left,blue,2383,0
11,767513.6650000059,1,26,4792,blue,true,right,69,26,right,blue,1785,0
12,771822.6500000019,0,0,4792,blue,true,left,6,41,right,orange,900,0
13,775241.3899999956,1,34,4758,blue,true,right,88,34,right,blue,1155,0
14,778922.590000002,0,0,4758,blue,false,left,73,18,left,blue,2155,0
15,783599.2200000037,1,25,4733,blue,true,right,60,25,right,blue,978,0
16,787104.2349999916,1,6,4727,blue,true,left,68,6,left,blue,1265,0
17,790892.6150000043,0,0,4727,blue,false,right,48,39,right,blue,1116,0
18,794527.4649999919,0,0,4727,blue,true,right,35,76,left,orange,888,0
19,797934.3599999993,0,0,4727,blue,true,left,23,85,right,orange,950,0
20,801424.7349999932,1,22,4705,blue,true,right,54,22,right,blue,1030,0
21,804981.7400000029,0,0,4705,blue,false,right,66,58,right,blue,1414,0
22,808913.0949999962,1,41,4664,blue,true,left,98,41,left,blue,1017,0
23,812453.3550000051,0,0,4664,blue,true,left,58,80,right,orange,1255,0
24,816227.3149999965,0,0,4664,blue,true,right,32,85,left,orange,897,0
25,819644.1300000006,0,0,4664,blue,false,left,83,15,left,blue,1175,0
26,823339.6300000022,0,0,4664,blue,true,left,18,16,right,orange,1188,0
27,827046.7999999964,0,0,4664,blue,true,right,56,99,left,orange,2039,0
28,831633.759999997,0,0,4664,blue,true,right,23,75,left,orange,909,0
29,835062.4899999966,1,18,4646,blue,true,left,68,18,left,blue,2076,0
30,839662.1250000026,1,16,4630,blue,true,right,30,16,right,blue,709,0
31,842895.9000000032,1,37,4593,blue,true,left,86,37,left,blue,1403,0
32,846827.5500000018,0,0,4593,blue,true,left,47,44,right,orange,2134,0
33,851480.945000003,0,0,4593,blue,true,left,3,91,right,orange,491,0
34,854490.0999999954,1,60,4533,blue,false,left,60,14,right,orange,361,0
35,857376.6299999988,0,0,4533,blue,true,left,54,84,right,orange,1025,0
36,860919.704999993,1,23,4510,blue,true,right,34,23,right,blue,854,0
37,864298.2999999949,1,28,4482,blue,true,left,96,28,left,blue,1363,0
38,868185.2700000018,1,83,4399,blue,false,left,83,94,right,orange,950,0
39,871660.1349999983,0,0,4399,blue,true,left,63,86,right,orange,1005,0
40,875185.4500000045,1,53,4346,blue,true,left,99,53,left,blue,725,0
41,878437.5250000012,0,0,4346,blue,true,right,29,91,left,orange,730,0
42,881684.2400000023,1,64,4282,blue,true,left,88,64,left,blue,1835,0
43,886048.2849999971,0,0,4282,blue,true,left,84,70,right,orange,883,0
44,889449.7949999932,1,61,4221,blue,false,left,61,88,right,orange,845,0
45,892831.0300000012,1,43,4178,blue,true,left,61,43,left,blue,827,0
46,896181.6249999974,1,54,4124,blue,true,right,87,54,right,blue,917,0
47,899623.8699999958,1,5,4119,blue,false,right,5,90,left,orange,875,0
48,907090.4799999989,0,0,4119,blue,true,left,71,44,right,orange,3200,0
49,912809.0799999918,0,0,4119,blue,true,right,42,52,left,orange,358,0
50,915686.1349999963,0,0,4119,blue,true,left,39,93,right,orange,324,0
51,918527.2450000048,0,0,4119,blue,true,right,39,24,left,orange,362,0
52,921407.8500000032,1,20,4099,blue,false,left,20,10,right,orange,351,0
53,924297.2250000021,1,85,4014,blue,false,left,85,43,right,orange,410,0
54,927231.654999996,0,0,4014,blue,false,right,77,7,right,blue,368,0
55,930120.5199999968,1,90,3924,blue,true,right,95,90,right,blue,394,0
56,933037.2999999963,0,0,3924,blue,true,left,56,7,right,orange,360,0
57,935917.5549999927,0,0,3924,blue,true,left,50,69,right,orange,331,0
58,938776.9450000051,0,0,3924,blue,true,right,4,83,left,orange,416,0
59,941712.5999999989,1,40,3884,blue,false,right,40,8,left,orange,469,0
60,944765.6500000012,0,0,3884,blue,true,left,47,86,right,orange,480,0
61,947765.0250000006,0,0,3884,blue,true,right,15,49,left,orange,386,0
62,950669.3899999955,0,0,3884,blue,true,left,17,39,right,orange,551,0
63,953741.0349999991,1,76,3808,blue,false,left,76,97,right,orange,398,0
