Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1284337.259999942,1,10,4990,blue,true,right,23,10,right,blue,1264,0
2,1288128.7599999923,1,97,4893,blue,true,right,45,97,right,blue,409,0
3,1291069.7300001048,0,0,4893,blue,true,right,54,62,left,orange,2185,0
4,1295779.6650000382,1,99,4794,blue,false,right,99,16,left,orange,374,0
5,1298676.1900000274,0,0,4794,blue,true,left,72,40,right,orange,464,0
6,1301672.4799999502,0,0,4794,blue,true,left,98,88,right,orange,443,0
7,1304635.8149999287,0,0,4794,blue,true,right,6,54,left,orange,452,0
8,1307604.4250000268,0,0,4794,blue,true,left,64,55,right,orange,1346,0
9,1311472.6050000172,1,96,4698,blue,false,right,96,45,left,orange,1888,0
10,1315896.7550001107,0,0,4698,blue,true,right,28,19,left,orange,331,0
11,1318747.704999987,0,0,4698,blue,true,left,95,26,right,orange,347,0
12,1321613.1100000348,0,0,4698,blue,true,right,90,29,left,orange,366,0
13,1324501.4249999076,0,0,4698,blue,true,left,20,53,right,orange,360,0
14,1327382.585000014,0,0,4698,blue,true,left,74,56,right,orange,391,0
15,1330307.659999933,0,0,4698,blue,true,right,18,42,left,orange,420,0
16,1333248.2849999797,0,0,4698,blue,true,left,11,91,right,orange,352,0
17,1336122.2850000486,1,32,4666,blue,false,right,32,31,left,orange,438,0
18,1339088.8449999038,0,0,4666,blue,true,right,36,65,left,orange,464,0
19,1342067.9599998984,1,40,4626,blue,false,right,40,30,left,orange,421,0
20,1345007.3200000916,0,0,4626,blue,true,left,29,26,right,orange,362,0
21,1347883.485000115,1,32,4594,blue,false,right,32,36,left,orange,408,0
22,1350809.304999886,1,81,4513,blue,true,left,72,81,left,blue,497,0
23,1353840.5249998905,0,0,4513,blue,false,right,95,54,right,blue,426,0
24,1356796.7950000893,0,0,4513,blue,false,left,40,59,left,blue,471,0
25,1359783.049999969,0,0,4513,blue,false,right,29,24,right,blue,421,0
26,1362723.1499999762,0,0,4513,blue,false,left,60,51,left,blue,396,0
27,1365653.7200000603,0,0,4513,blue,false,left,83,65,left,blue,368,0
28,1368539.434999926,1,98,4415,blue,true,left,78,98,left,blue,410,0
29,1371471.5150000993,0,0,4415,blue,false,right,56,51,right,blue,442,0
30,1374428.7050000858,0,0,4415,blue,false,right,5,20,right,blue,435,0
31,1377377.245000098,0,0,4415,blue,false,left,67,2,left,blue,512,0
32,1380409.9049998913,0,0,4415,blue,false,left,85,84,left,blue,388,0
33,1383316.2650000304,1,49,4366,blue,true,right,7,49,right,blue,507,0
34,1386343.1349999737,0,0,4366,blue,false,left,37,47,left,blue,406,0
35,1389274.9749999493,0,0,4366,blue,false,left,27,91,left,blue,447,0
36,1392249.904999975,0,0,4366,blue,false,right,44,42,right,blue,362,0
37,1395127.0749999676,1,55,4311,blue,true,left,31,55,left,blue,373,0
38,1398025.859999936,0,0,4311,blue,false,left,97,70,left,blue,747,0
39,1401300.4950000905,0,0,4311,blue,false,left,14,9,left,blue,445,0
40,1404266.030000057,1,51,4260,blue,true,right,23,51,right,blue,342,0
41,1407128.5300001036,1,79,4181,blue,true,left,89,79,left,blue,338,0
42,1409985.4299998842,0,0,4181,blue,true,right,83,86,left,orange,367,0
43,1412877.2299999837,0,0,4181,blue,true,right,40,62,left,orange,371,0
44,1415765.5499998946,0,0,4181,blue,true,right,36,23,left,orange,315,0
45,1418602.190000005,0,0,4181,blue,true,left,65,61,right,orange,437,0
46,1421558.9099999052,0,0,4181,blue,true,right,74,67,left,orange,381,0
47,1424460.5449999217,0,0,4181,blue,true,right,73,41,left,orange,366,0
48,1431369.7800000664,0,0,4181,blue,false,left,96,54,left,blue,987,0
49,1434878.8999998942,1,88,4093,blue,true,left,86,88,left,blue,542,0
50,1437945.289999945,1,66,4027,blue,true,left,43,66,left,blue,346,0
51,1440811.5850000177,0,0,4027,blue,true,left,72,79,right,orange,340,0
52,1443665.2249998879,1,71,3956,blue,false,right,71,13,left,orange,418,0
53,1446602.4700000416,0,0,3956,blue,true,left,78,53,right,orange,471,0
54,1449587.1699999552,0,0,3956,blue,true,left,57,90,right,orange,665,0
55,1452768.5849999543,1,3,3953,blue,false,left,3,12,right,orange,392,0
56,1455685.504999943,0,0,3953,blue,true,left,2,64,right,orange,381,0
57,1458586.7900000885,0,0,3953,blue,true,right,99,9,left,orange,377,0
58,1461482.9949999694,0,0,3953,blue,true,left,21,42,right,orange,334,0
59,1464330.864999909,0,0,3953,blue,true,right,83,72,left,orange,356,0
60,1467205.2649999969,0,0,3953,blue,true,left,37,11,right,orange,360,0
61,1470090.5700000003,1,67,3886,blue,false,left,67,81,right,orange,521,0
62,1473137.4900001101,0,0,3886,blue,true,left,12,14,right,orange,339,0
63,1476007.5199999847,1,78,3808,blue,false,left,78,90,right,orange,321,0
64,1478864.3249999732,1,46,3762,blue,false,right,46,53,left,orange,634,0
65,1482025.8500000928,1,30,3732,blue,false,left,30,42,right,orange,912,0
66,1485460.914999945,1,36,3696,blue,false,right,36,65,left,orange,329,0
67,1488313.0399999209,0,0,3696,blue,false,right,49,49,right,blue,358,0
68,1491189.6100000013,0,0,3696,blue,false,left,44,10,left,blue,356,0
69,1494069.5249999408,0,0,3696,blue,false,right,70,64,right,blue,333,0
70,1496921.4000001084,0,0,3696,blue,false,left,68,95,left,blue,442,0
71,1499878.439999884,0,0,3696,blue,false,right,38,46,right,blue,691,0
72,1519635.9500000253,1,18,3678,blue,false,left,18,24,right,orange,478,3
73,1522634.5999999903,0,0,3678,blue,false,left,82,78,left,blue,246,0
74,1525399.0499998908,0,0,3678,blue,false,right,59,54,right,blue,377,0
75,1528304.0950000286,0,0,3678,blue,false,left,36,33,left,blue,363,0
76,1531186.844999902,1,56,3622,blue,true,right,49,56,right,blue,343,0
77,1534047.569999937,1,26,3596,blue,false,left,26,83,right,orange,392,0
78,1536957.6900000684,1,38,3558,blue,false,right,38,81,left,orange,356,0
79,1539834.0799999423,0,0,3558,blue,false,right,12,3,right,blue,386,0
80,1542739.9949999526,0,0,3558,blue,false,right,62,38,right,blue,342,0
81,1545598.1350000948,0,0,3558,blue,false,right,43,50,right,blue,370,0
82,1548482.0050001144,0,0,3558,blue,false,right,50,47,right,blue,372,0
83,1551381.645000074,1,35,3523,blue,true,left,41,35,left,blue,455,0
84,1554357.0650001056,1,9,3514,blue,false,right,9,62,left,orange,301,0
85,1557182.6800000854,0,0,3514,blue,false,right,60,58,right,blue,443,0
86,1560144.2849999294,0,0,3514,blue,false,right,88,31,right,blue,409,0
87,1563080.6599999778,0,0,3514,blue,false,right,56,44,right,blue,402,0
88,1566013.9649999328,1,15,3499,blue,true,left,31,15,left,blue,401,0
89,1568942.1149999835,1,90,3409,blue,false,left,90,31,right,orange,325,0
90,1571799.5949999895,1,80,3329,blue,false,left,80,76,right,orange,320,0
91,1574642.8849999793,0,0,3329,blue,false,left,78,4,left,blue,320,0
92,1577485.480000032,0,0,3329,blue,false,left,60,28,left,blue,373,0
93,1580378.6299999338,1,99,3230,blue,true,left,56,99,left,blue,396,0
94,1587303.8800000213,0,0,3230,blue,false,left,31,45,left,blue,745,0
95,1590566.5800001007,0,0,3230,blue,false,right,55,16,right,blue,327,0
96,1593409.345000051,1,89,3141,blue,true,right,12,89,right,blue,343,0
97,1596271.1499999277,0,0,3141,blue,false,left,49,4,left,blue,454,0
98,1599245.2400000766,0,0,3141,blue,false,right,69,12,right,blue,388,0
99,1602148.164999904,1,26,3115,blue,true,left,49,26,left,blue,320,0
100,1604987.3599999119,1,75,3040,blue,false,left,75,76,right,orange,271,0
101,1607778.5849999636,1,22,3018,blue,false,left,22,90,right,orange,720,0
102,1611019.3050000817,0,0,3018,blue,true,right,26,23,left,orange,344,0
103,1613875.9900000878,0,0,3018,blue,false,right,11,68,right,blue,388,0
104,1616786.245000083,1,82,2936,blue,true,left,71,82,left,blue,381,0
105,1619685.1749999914,0,0,2936,blue,false,left,86,95,left,blue,422,0
106,1622620.8500000648,0,0,2936,blue,false,right,79,88,right,blue,423,0
107,1625558.8450001087,0,0,2936,blue,false,left,75,40,left,blue,354,0
108,1628426.375000039,0,0,2936,blue,false,left,11,94,left,blue,377,0
109,1631321.9500000123,0,0,2936,blue,true,left,53,44,right,orange,487,0
110,1634328.5099999048,0,0,2936,blue,false,left,85,17,left,blue,304,0
111,1637146.96500008,1,32,2904,blue,true,left,85,32,left,blue,433,0
112,1640100.139999995,1,38,2866,blue,false,right,38,68,left,orange,968,0
