Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,245367.00000000003,1,10,4990,blue,true,right,23,10,right,blue,1719,0
2,249618,0,0,4990,blue,true,right,45,97,left,orange,2478,0
3,254614,0,0,4990,blue,true,right,54,62,left,orange,1271,0
4,258405.00000000003,0,0,4990,blue,false,right,99,16,right,blue,1552,0
5,262476,1,40,4950,blue,true,right,72,40,right,blue,1699,0
6,266700,0,0,4950,blue,true,left,98,88,right,orange,2951,0
7,272170,0,0,4950,blue,true,left,6,54,right,orange,1605,0
8,276293,0,0,4950,blue,true,right,64,55,left,orange,2255,0
9,281069,0,0,4950,blue,false,right,96,45,right,blue,1674,0
10,285260,0,0,4950,blue,true,right,28,19,left,orange,2401,0
11,290175,1,26,4924,blue,true,left,95,26,left,blue,1729,0
12,294424,1,29,4895,blue,true,right,90,29,right,blue,2259,0
13,299203.00000000006,0,0,4895,blue,true,right,20,53,left,orange,3434,0
14,310669,0,0,4895,blue,true,right,74,56,left,orange,2201,1
15,315389,0,0,4895,blue,true,right,18,42,left,orange,1399,0
16,319304.00000000006,0,0,4895,blue,true,right,11,91,left,orange,922,0
17,322743,1,32,4863,blue,false,left,32,31,right,orange,813,0
18,326080,0,0,4863,blue,true,left,36,65,right,orange,1518,0
19,330114.00000000006,1,40,4823,blue,false,right,40,30,left,orange,1184,0
20,333825,0,0,4823,blue,true,left,29,26,right,orange,1537,0
21,337884,1,32,4791,blue,false,right,32,36,left,orange,1255,0
22,341663,0,0,4791,blue,true,right,72,81,left,orange,1391,0
23,345570,0,0,4791,blue,false,right,95,54,right,blue,1239,0
24,349327,1,40,4751,blue,false,right,40,59,left,orange,1527,0
25,353377,1,29,4722,blue,false,right,29,24,left,orange,1706,0
26,357607,1,60,4662,blue,false,left,60,51,right,orange,2682,0
27,362808,0,0,4662,blue,false,left,83,65,left,blue,1046,0
28,366370,0,0,4662,blue,true,right,78,98,left,orange,1703,0
29,370590.00000000006,1,56,4606,blue,false,right,56,51,left,orange,1289,0
30,374400.00000000006,1,5,4601,blue,false,right,5,20,left,orange,2043,0
31,378965.00000000006,0,0,4601,blue,false,left,67,2,left,blue,2358,0
32,383844,1,85,4516,blue,false,right,85,84,left,orange,1595,0
33,387960.00000000006,0,0,4516,blue,true,left,7,49,right,orange,2988,0
34,393522,1,37,4479,blue,false,left,37,47,right,orange,1214,0
