Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,163426.19999998808,1,10,4990,blue,true,left,23,10,left,blue,3126,0
2,169075.19999998808,0,0,4990,blue,true,right,45,97,left,orange,1996,0
3,173590.59999999404,0,0,4990,blue,true,right,54,62,left,orange,1343,0
4,177450,0,0,4990,blue,false,right,99,16,right,blue,1083,0
5,181049.09999999404,1,40,4950,blue,true,left,72,40,left,blue,3357,0
6,186932.90000000596,1,88,4862,blue,true,right,98,88,right,blue,2031,0
7,191478.69999998808,0,0,4862,blue,true,left,6,54,right,orange,2336,0
8,196333.79999998212,1,55,4807,blue,true,right,64,55,right,blue,1337,0
9,200197.09999999404,0,0,4807,blue,false,right,96,45,right,blue,1096,0
10,203822.69999998808,1,19,4788,blue,true,left,28,19,left,blue,2224,0
11,208575.40000000596,1,26,4762,blue,true,left,95,26,left,blue,922,0
12,212020.29999998212,0,0,4762,blue,true,right,90,29,left,orange,2500,0
13,217043.40000000596,1,53,4709,blue,true,left,20,53,left,blue,1316,0
14,220889.19999998808,1,56,4653,blue,true,right,74,56,right,blue,1034,0
15,224456.40000000596,1,42,4611,blue,true,left,18,42,left,blue,941,0
16,227918.5,0,0,4611,blue,true,left,11,91,right,orange,1622,0
17,232062,1,32,4579,blue,false,right,32,31,left,orange,2277,0
18,236871.29999998212,0,0,4579,blue,true,right,36,65,left,orange,882,0
19,240276.69999998808,0,0,4579,blue,false,left,40,30,left,blue,2698,0
20,245498.90000000596,1,26,4553,blue,true,left,29,26,left,blue,795,0
21,248816.19999998808,1,32,4521,blue,false,left,32,36,right,orange,1865,0
22,253202.79999998212,1,81,4440,blue,true,left,72,81,left,blue,338,0
23,256061.19999998808,0,0,4440,blue,false,right,95,54,right,blue,1086,0
24,259665.09999999404,1,40,4400,blue,false,left,40,59,right,orange,1133,0
25,263320.09999999404,0,0,4400,blue,false,left,29,24,left,blue,813,0
26,266667.2999999821,0,0,4400,blue,false,left,60,51,left,blue,951,0
