Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,188525,1,10,4990,blue,true,left,23,10,left,blue,1559,0
2,192607,1,97,4893,blue,true,right,45,97,right,blue,1082,0
3,196209,0,0,4893,blue,true,right,54,62,left,orange,1136,0
4,199860,1,99,4794,blue,false,left,99,16,right,orange,1013,0
5,203391,0,0,4794,blue,true,left,72,40,right,orange,1117,0
6,207024,0,0,4794,blue,true,right,98,88,left,orange,561,0
7,210100,0,0,4794,blue,true,right,6,54,left,orange,2135,0
8,214750,1,55,4739,blue,true,right,64,55,right,blue,1499,0
9,218766,1,96,4643,blue,false,left,96,45,right,orange,1895,0
10,223182.00000000003,0,0,4643,blue,true,left,28,19,right,orange,1316,0
11,227015.00000000003,0,0,4643,blue,true,right,95,26,left,orange,635,0
12,230165,0,0,4643,blue,true,left,90,29,right,orange,1524,0
13,234204,0,0,4643,blue,true,right,20,53,left,orange,1349,0
14,238067,0,0,4643,blue,true,right,74,56,left,orange,1120,0
15,241703,0,0,4643,blue,true,left,18,42,right,orange,1082,0
16,245300,1,91,4552,blue,true,right,11,91,right,blue,856,0
17,248673,0,0,4552,blue,false,left,32,31,left,blue,992,0
18,252180,1,65,4487,blue,true,left,36,65,left,blue,695,0
19,255392,1,40,4447,blue,false,left,40,30,right,orange,2449,0
20,260358.99999999997,1,26,4421,blue,true,right,29,26,right,blue,836,0
21,263714,0,0,4421,blue,false,left,32,36,left,blue,462,0
22,266692,1,81,4340,blue,true,left,72,81,left,blue,729,0
23,269937,0,0,4340,blue,false,left,95,54,left,blue,895,0
24,273347,0,0,4340,blue,false,left,40,59,left,blue,1497,0
25,277356,0,0,4340,blue,false,left,29,24,left,blue,1688,0
26,281559,0,0,4340,blue,false,left,60,51,left,blue,744,0
27,284817,0,0,4340,blue,false,right,83,65,right,blue,675,0
28,288006,1,98,4242,blue,true,right,78,98,right,blue,722,0
29,291246,0,0,4242,blue,false,left,56,51,left,blue,510,0
30,294270,0,0,4242,blue,false,right,5,20,right,blue,438,0
31,297223,0,0,4242,blue,false,right,67,2,right,blue,400,0
32,300137,0,0,4242,blue,false,left,85,84,left,blue,685,0
33,303336,1,49,4193,blue,true,right,7,49,right,blue,909,0
34,306764,0,0,4193,blue,false,right,37,47,right,blue,613,0
35,309892,0,0,4193,blue,false,right,27,91,right,blue,561,0
36,312967,0,0,4193,blue,false,right,44,42,right,blue,609,0
37,316092,0,0,4193,blue,true,right,31,55,left,orange,552,0
38,319159,1,97,4096,blue,false,right,97,70,left,orange,489,0
39,322165,1,14,4082,blue,false,right,14,9,left,orange,528,0
40,325212,1,51,4031,blue,true,left,23,51,left,blue,516,0
41,328249,0,0,4031,blue,true,right,89,79,left,orange,397,0
42,331159,0,0,4031,blue,true,right,83,86,left,orange,680,0
43,334353,0,0,4031,blue,true,right,40,62,left,orange,700,0
44,337568,0,0,4031,blue,true,left,36,23,right,orange,740,0
45,340826,0,0,4031,blue,true,left,65,61,right,orange,421,0
46,343761,0,0,4031,blue,true,right,74,67,left,orange,563,0
47,346839,0,0,4031,blue,true,right,73,41,left,orange,448,0
48,353804.00000000006,1,96,3935,blue,false,right,96,54,left,orange,898,0
49,357220,1,88,3847,blue,true,right,86,88,right,blue,610,0
50,360348,0,0,3847,blue,true,right,43,66,left,orange,330,0
51,363191.00000000006,0,0,3847,blue,true,right,72,79,left,orange,339,0
52,366044,1,71,3776,blue,false,right,71,13,left,orange,674,0
53,369234,1,53,3723,blue,true,left,78,53,left,blue,1735,0
54,373489.00000000006,0,0,3723,blue,true,left,57,90,right,orange,381,0
55,376384,1,3,3720,blue,false,right,3,12,left,orange,1467,0
56,380368,1,64,3656,blue,true,left,2,64,left,blue,1246,0
57,384132,0,0,3656,blue,true,right,99,9,left,orange,998,0
58,387645,1,42,3614,blue,true,left,21,42,left,blue,1301,0
59,391464,0,0,3614,blue,true,left,83,72,right,orange,846,0
60,394824,0,0,3614,blue,true,right,37,11,left,orange,879,0
61,398215.00000000006,0,0,3614,blue,false,left,67,81,left,blue,1322,0
62,402052,1,14,3600,blue,true,right,12,14,right,blue,1514,0
63,406083,0,0,3600,blue,false,left,78,90,left,blue,1476,0
64,410083,0,0,3600,blue,false,right,46,53,right,blue,815,0
65,413411,0,0,3600,blue,false,right,30,42,right,blue,579,0
66,416506,0,0,3600,blue,false,right,36,65,right,blue,832,0
67,419852.00000000006,0,0,3600,blue,false,left,49,49,left,blue,652,0
68,423018,0,0,3600,blue,false,right,44,10,right,blue,453,0
69,425985,0,0,3600,blue,false,left,70,64,left,blue,429,0
70,428928,0,0,3600,blue,false,right,68,95,right,blue,488,0
71,431931,0,0,3600,blue,false,right,38,46,right,blue,600,0
72,435050,0,0,3600,blue,false,right,18,24,right,blue,429,0
73,437997,0,0,3600,blue,false,right,82,78,right,blue,446,0
74,440958,0,0,3600,blue,false,left,59,54,left,blue,681,0
75,444152,0,0,3600,blue,false,right,36,33,right,blue,463,0
76,447129,1,56,3544,blue,true,right,49,56,right,blue,441,0
77,450088,0,0,3544,blue,false,left,26,83,left,blue,839,0
78,453443,0,0,3544,blue,false,right,38,81,right,blue,468,0
79,456430,0,0,3544,blue,false,left,12,3,left,blue,481,0
80,459430,0,0,3544,blue,false,left,62,38,left,blue,459,0
81,462405.00000000006,0,0,3544,blue,false,right,43,50,right,blue,637,0
82,465554.00000000006,0,0,3544,blue,false,left,50,47,left,blue,453,0
83,468523,1,35,3509,blue,true,left,41,35,left,blue,478,0
84,471522,0,0,3509,blue,false,left,9,62,left,blue,798,0
85,474839,0,0,3509,blue,false,left,60,58,left,blue,539,0
86,477893,0,0,3509,blue,false,left,88,31,left,blue,402,0
87,480810,1,56,3453,blue,false,right,56,44,left,orange,1538,0
88,484864.00000000006,1,15,3438,blue,true,left,31,15,left,blue,1312,0
89,488698.00000000006,0,0,3438,blue,false,right,90,31,right,blue,559,0
90,491771,0,0,3438,blue,false,left,80,76,left,blue,549,0
91,494833,0,0,3438,blue,false,left,78,4,left,blue,466,0
92,497813,0,0,3438,blue,false,right,60,28,right,blue,636,0
93,500964,1,99,3339,blue,true,right,56,99,right,blue,535,0
94,508019,1,31,3308,blue,false,left,31,45,right,orange,684,0
95,511221,0,0,3308,blue,false,left,55,16,left,blue,420,0
96,514156.00000000006,1,89,3219,blue,true,left,12,89,left,blue,464,0
97,517135.99999999994,0,0,3219,blue,false,right,49,4,right,blue,441,0
98,520090.00000000006,0,0,3219,blue,false,left,69,12,left,blue,494,0
99,523097.99999999994,1,26,3193,blue,true,right,49,26,right,blue,478,0
100,526095,0,0,3193,blue,false,left,75,76,left,blue,505,0
101,529114,0,0,3193,blue,false,right,22,90,right,blue,462,0
102,532091,1,23,3170,blue,true,right,26,23,right,blue,424,0
103,535036,0,0,3170,blue,false,left,11,68,left,blue,411,0
104,537963,1,82,3088,blue,true,left,71,82,left,blue,929,0
105,541410,0,0,3088,blue,false,right,86,95,right,blue,496,0
106,544420,0,0,3088,blue,false,right,79,88,right,blue,455,0
107,547389,0,0,3088,blue,false,right,75,40,right,blue,428,0
108,550333,0,0,3088,blue,false,right,11,94,right,blue,478,0
109,553324,1,44,3044,blue,true,left,53,44,left,blue,636,0
110,556476,0,0,3044,blue,false,left,85,17,left,blue,656,0
111,559647,1,32,3012,blue,true,right,85,32,right,blue,369,0
112,562535,0,0,3012,blue,false,left,38,68,left,blue,489,0
113,565538,0,0,3012,blue,false,left,28,93,left,blue,593,0
114,568649,0,0,3012,blue,false,left,13,95,left,blue,631,0
115,571797,1,69,2943,blue,false,right,69,60,left,orange,1022,0
116,575337,1,95,2848,blue,true,right,56,95,right,blue,1255,0
117,579111,0,0,2848,blue,false,right,2,41,right,blue,652,0
118,582278,0,0,2848,blue,false,left,42,5,left,blue,497,0
119,585292,0,0,2848,blue,false,left,44,30,left,blue,451,0
120,588264,0,0,2848,blue,false,right,79,4,right,blue,640,0
121,591417,0,0,2848,blue,false,right,83,87,right,blue,587,0
