Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,239096.10500000417,1,37,4963,blue,true,left,44,37,left,blue,1023,0
2,242667.9450001102,0,0,4963,blue,true,right,66,12,left,orange,532,0
3,245732.17500001192,0,0,4963,blue,true,left,98,9,right,orange,420,0
4,248708.3650000859,0,0,4963,blue,false,left,20,91,left,blue,334,0
5,251572.41500006057,1,8,4955,blue,true,right,28,8,right,blue,674,0
6,254795.12999998406,0,0,4955,blue,true,right,30,33,left,orange,317,0
7,257652.26500015706,1,24,4931,blue,true,left,27,24,left,blue,626,0
8,260828.47000006586,0,0,4931,blue,false,left,58,43,left,blue,377,0
9,263739.0799999703,1,47,4884,blue,true,left,72,47,left,blue,316,0
10,266597.37000009045,0,0,4884,blue,false,right,44,44,right,blue,498,0
11,269637.1700000018,1,26,4858,blue,true,right,69,26,right,blue,490,0
12,272668.7700001057,1,41,4817,blue,true,left,6,41,left,blue,370,0
13,275584.1000000946,0,0,4817,blue,true,left,88,34,right,orange,284,0
14,278409.0899999719,1,73,4744,blue,false,left,73,18,right,orange,263,0
15,281223.53500011377,1,25,4719,blue,true,right,60,25,right,blue,259,0
16,284029.0850000456,0,0,4719,blue,true,left,68,6,right,orange,307,0
17,286885.5600000825,1,48,4671,blue,false,right,48,39,left,orange,315,0
18,289736.7100000847,1,76,4595,blue,true,right,35,76,right,blue,372,0
19,292641.12500008196,0,0,4595,blue,true,left,23,85,right,orange,509,0
20,295689.29000012577,1,22,4573,blue,true,right,54,22,right,blue,367,0
21,298595.5199999735,0,0,4573,blue,false,left,66,58,left,blue,297,0
22,301428.6950000096,0,0,4573,blue,true,right,98,41,left,orange,341,0
23,304317.5550000742,0,0,4573,blue,true,left,58,80,right,orange,1426,0
24,308275.9500001557,1,85,4488,blue,true,left,32,85,left,blue,8,0
25,310831.269999966,1,83,4405,blue,false,right,83,15,left,orange,99,0
26,313479.5650001615,0,0,4405,blue,true,left,18,16,right,orange,248,0
27,316260.3450000752,0,0,4405,blue,true,left,56,99,right,orange,251,0
28,319042.03999997117,0,0,4405,blue,true,right,23,75,left,orange,69,0
29,321641.16999995895,0,0,4405,blue,true,left,68,18,right,orange,310,0
30,324482.0700001437,0,0,4405,blue,true,right,30,16,left,orange,425,0
31,327438.7250000145,1,37,4368,blue,true,left,86,37,left,blue,479,0
32,330464.0349999536,1,44,4324,blue,true,right,47,44,right,blue,2,0
33,333009.48500004597,0,0,4324,blue,true,left,3,91,right,orange,1353,0
34,336905.8550000191,1,60,4264,blue,false,left,60,14,right,orange,402,0
35,339846.7099999543,1,84,4180,blue,true,right,54,84,right,blue,389,0
