Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1580490,1,37,4963,blue,true,right,44,37,right,blue,3235,0
2,1586239,0,0,4963,blue,true,left,66,12,right,orange,1988,0
3,1590736,0,0,4963,blue,true,left,98,9,right,orange,1708,0
4,1594955,1,20,4943,blue,false,left,20,91,right,orange,1878,0
5,1599344,0,0,4943,blue,true,left,28,8,right,orange,1775,0
6,1603630,0,0,4943,blue,true,right,30,33,left,orange,516,0
7,1606654,0,0,4943,blue,true,right,27,24,left,orange,2622,0
8,1611785,0,0,4943,blue,false,right,58,43,right,blue,3262,0
9,1617557,1,47,4896,blue,true,left,72,47,left,blue,1799,0
10,1621867,1,44,4852,blue,false,left,44,44,right,orange,988,0
11,1625367,0,0,4852,blue,true,right,69,26,left,orange,762,0
12,1628638.0000000002,1,41,4811,blue,true,left,6,41,left,blue,742,0
13,1631891,0,0,4811,blue,true,left,88,34,right,orange,673,0
14,1635071.0000000002,1,73,4738,blue,false,right,73,18,left,orange,520,0
15,1638103,0,0,4738,blue,true,left,60,25,right,orange,502,0
16,1641114,0,0,4738,blue,true,left,68,6,right,orange,472,0
17,1644095,1,48,4690,blue,false,right,48,39,left,orange,1699,0
18,1648306,1,76,4614,blue,true,right,35,76,right,blue,582,0
19,1651399,0,0,4614,blue,true,right,23,85,left,orange,931,0
20,1654841.0000000002,0,0,4614,blue,true,right,54,22,left,orange,1101,0
21,1658453,1,66,4548,blue,false,left,66,58,right,orange,1764,0
22,1662729,1,41,4507,blue,true,left,98,41,left,blue,593,0
23,1665832,0,0,4507,blue,true,left,58,80,right,orange,359,0
24,1668700,0,0,4507,blue,true,left,32,85,right,orange,956,0
25,1672166,1,83,4424,blue,false,left,83,15,right,orange,1957,0
26,1676634,1,16,4408,blue,true,left,18,16,left,blue,560,0
27,1679705,0,0,4408,blue,true,left,56,99,right,orange,493,0
28,1682707,1,75,4333,blue,true,left,23,75,left,blue,2699,0
29,1687918.0000000002,1,18,4315,blue,true,right,68,18,right,blue,514,0
30,1690944,0,0,4315,blue,true,left,30,16,right,orange,492,0
31,1693946.0000000002,0,0,4315,blue,true,right,86,37,left,orange,461,0
32,1696916,0,0,4315,blue,true,left,47,44,right,orange,775,0
33,1700201,0,0,4315,blue,true,left,3,91,right,orange,2384,0
34,1705094,1,60,4255,blue,false,right,60,14,left,orange,1294,0
35,1708900,0,0,4255,blue,true,right,54,84,left,orange,976,0
36,1712385,0,0,4255,blue,true,right,34,23,left,orange,799,0
37,1715693,1,28,4227,blue,true,left,96,28,left,blue,1799,0
38,1720003,1,83,4144,blue,false,left,83,94,right,orange,358,0
39,1722872,0,0,4144,blue,true,left,63,86,right,orange,368,0
40,1725750,0,0,4144,blue,true,left,99,53,right,orange,552,0
41,1728810,1,91,4053,blue,true,left,29,91,left,blue,2218,0
42,1733544,0,0,4053,blue,true,left,88,64,right,orange,295,0
43,1736349,0,0,4053,blue,true,left,84,70,right,orange,584,0
44,1739441,1,61,3992,blue,false,right,61,88,left,orange,1238,0
45,1743190,0,0,3992,blue,true,left,61,43,right,orange,527,0
46,1746227,0,0,3992,blue,true,right,87,54,left,orange,955,0
47,1749691,1,5,3987,blue,false,right,5,90,left,orange,540,0
48,1756744.0000000002,0,0,3987,blue,true,right,71,44,left,orange,3061,0
