Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1357057.1000000346,0,0,5000,blue,true,right,23,10,left,orange,2882,0
2,1362460.875000048,0,0,5000,blue,true,left,45,97,right,orange,1166,0
3,1366148.675000004,0,0,5000,blue,true,left,54,62,right,orange,896,0
4,1369565.3950000415,0,0,5000,blue,false,left,99,16,left,blue,1302,0
5,1373384.3000000343,0,0,5000,blue,true,right,72,40,left,orange,1516,0
6,1377419.3050000467,0,0,5000,blue,true,right,98,88,left,orange,1081,0
7,1381018.5850000125,0,0,5000,blue,true,right,6,54,left,orange,1081,0
8,1384619.3050000002,0,0,5000,blue,true,right,64,55,left,orange,1754,0
9,1388893.00000004,0,0,5000,blue,false,left,96,45,left,blue,2602,0
10,1394011.0350000323,0,0,5000,blue,true,left,28,19,right,orange,2269,0
11,1404320.7700000494,0,0,5000,blue,true,right,95,26,left,orange,2276,1
12,1409113.330000022,0,0,5000,blue,true,left,90,29,right,orange,698,0
13,1412330.2350000013,0,0,5000,blue,true,right,20,53,left,orange,721,0
14,1415566.8150000274,0,0,5000,blue,true,left,74,56,right,orange,539,0
15,1418624.2850000272,0,0,5000,blue,true,left,18,42,right,orange,725,0
16,1421866.170000052,0,0,5000,blue,true,left,11,91,right,orange,1158,0
17,1425546.8150000088,1,32,4968,blue,false,left,32,31,right,orange,743,0
18,1428814.8100000108,0,0,4968,blue,true,left,36,65,right,orange,997,0
19,1432329.2500000098,1,40,4928,blue,false,left,40,30,right,orange,775,0
20,1435629.830000049,0,0,4928,blue,true,left,29,26,right,orange,811,0
21,1438961.035000044,1,32,4896,blue,false,right,32,36,left,orange,592,0
22,1442073.2150000404,0,0,4896,blue,true,left,72,81,right,orange,554,0
23,1445144.5250000106,1,95,4801,blue,false,right,95,54,left,orange,1066,0
24,1448732.8750000452,1,40,4761,blue,false,right,40,59,left,orange,1414,0
25,1452667.4250000506,1,29,4732,blue,false,right,29,24,left,orange,820,0
26,1456011.2500000396,1,60,4672,blue,false,right,60,51,left,orange,1330,0
27,1459866.4550000103,1,83,4589,blue,false,left,83,65,right,orange,594,0
28,1462982.340000046,0,0,4589,blue,true,left,78,98,right,orange,911,0
29,1466412.5100000529,1,56,4533,blue,false,right,56,51,left,orange,568,0
30,1469500.715000031,1,5,4528,blue,false,right,5,20,left,orange,848,0
31,1472871.1250000051,0,0,4528,blue,false,left,67,2,left,blue,604,0
32,1475996.6650000424,0,0,4528,blue,false,left,85,84,left,blue,513,0
33,1479026.7100000056,1,49,4479,blue,true,left,7,49,left,blue,433,0
34,1481982.810000016,0,0,4479,blue,false,right,37,47,right,blue,590,0
35,1485090.2600000263,0,0,4479,blue,false,right,27,91,right,blue,537,0
36,1488143.5750000528,0,0,4479,blue,false,right,44,42,right,blue,525,0
37,1491187.2150000418,1,55,4424,blue,true,left,31,55,left,blue,521,0
38,1494229.3449999997,1,97,4327,blue,false,left,97,70,right,orange,879,0
39,1497630.3350000526,1,14,4313,blue,false,left,14,9,right,orange,622,0
40,1500771.3750000112,0,0,4313,blue,true,right,23,51,left,orange,778,0
41,1504067.9500000551,0,0,4313,blue,true,left,89,79,right,orange,568,0
42,1507150.7500000298,0,0,4313,blue,true,left,83,86,right,orange,494,0
43,1510161.3550000475,0,0,4313,blue,true,left,40,62,right,orange,465,0
44,1513143.2800000184,0,0,4313,blue,true,left,36,23,right,orange,439,0
45,1516103.6050000112,0,0,4313,blue,true,right,65,61,left,orange,605,0
46,1519227.6050000219,0,0,4313,blue,true,right,74,67,left,orange,545,0
47,1522291.8850000133,0,0,4313,blue,true,right,73,41,left,orange,560,0
48,1529376.8000000273,1,96,4217,blue,false,left,96,54,right,orange,964,0
49,1532864.8700000485,0,0,4217,blue,true,right,86,88,left,orange,457,0
50,1535839.3150000484,0,0,4217,blue,true,left,43,66,right,orange,404,0
51,1538759.5350000192,0,0,4217,blue,true,left,72,79,right,orange,419,0
52,1541696.2449999992,1,71,4146,blue,false,right,71,13,left,orange,412,0
53,1544633.6700000102,0,0,4146,blue,true,left,78,53,right,orange,416,0
54,1547565.110000025,0,0,4146,blue,true,left,57,90,right,orange,485,0
55,1550567.3700000043,1,3,4143,blue,false,left,3,12,right,orange,680,0
56,1553770.7050000317,1,64,4079,blue,true,right,2,64,right,blue,879,0
57,1557172.0800000476,1,9,4070,blue,true,right,99,9,right,blue,1237,0
58,1560929.9450000399,0,0,4070,blue,true,right,21,42,left,orange,504,0
59,1563950.3150000237,0,0,4070,blue,true,left,83,72,right,orange,435,0
60,1566901.7350000213,0,0,4070,blue,true,right,37,11,left,orange,437,0
61,1569854.970000044,1,67,4003,blue,false,right,67,81,left,orange,498,0
62,1572876.8600000185,0,0,4003,blue,true,left,12,14,right,orange,372,0
63,1575766.4950000471,1,78,3925,blue,false,right,78,90,left,orange,443,0
64,1578730.2150000469,0,0,3925,blue,false,right,46,53,right,blue,376,0
65,1581627.1150000393,0,0,3925,blue,false,right,30,42,right,blue,462,0
66,1584607.4200000148,0,0,3925,blue,false,left,36,65,left,blue,819,0
67,1587947.2050000331,0,0,3925,blue,false,left,49,49,left,blue,462,0
68,1590931.6300000064,0,0,3925,blue,false,left,44,10,left,blue,415,0
69,1593862.8350000363,0,0,3925,blue,false,left,70,64,left,blue,427,0
70,1596805.4500000435,1,68,3857,blue,false,left,68,95,right,orange,1500,0
71,1600828.3200000296,0,0,3857,blue,false,right,38,46,right,blue,542,0
72,1603892.6900000079,0,0,3857,blue,false,left,18,24,left,blue,493,0
73,1606901.2650000514,0,0,3857,blue,false,left,82,78,left,blue,459,0
74,1609877.1000000415,0,0,3857,blue,false,right,59,54,right,blue,469,0
75,1612861.670000013,0,0,3857,blue,false,right,36,33,right,blue,437,0
76,1615815.1599999983,1,56,3801,blue,true,left,49,56,left,blue,387,0
