Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,200583,1,37,4963,blue,true,left,44,37,left,blue,1386,0
2,204500,1,12,4951,blue,true,left,66,12,left,blue,1774,0
3,208800,1,9,4942,blue,true,left,98,9,left,blue,1902,0
4,213228,1,20,4922,blue,false,left,20,91,right,orange,941,0
5,216697,1,8,4914,blue,true,right,28,8,right,blue,1787,0
6,221009,0,0,4914,blue,true,left,30,33,right,orange,1404,0
7,224934,0,0,4914,blue,true,right,27,24,left,orange,1549,0
8,229004,1,58,4856,blue,false,right,58,43,left,orange,2121,0
9,233651,1,47,4809,blue,true,right,72,47,right,blue,1218,0
10,237399,1,44,4765,blue,false,left,44,44,right,orange,1806,0
11,241731,1,26,4739,blue,true,left,69,26,left,blue,1744,0
12,246006,0,0,4739,blue,true,left,6,41,right,orange,929,0
13,249454,1,34,4705,blue,true,left,88,34,left,blue,1877,0
14,253860,0,0,4705,blue,false,left,73,18,left,blue,908,0
15,257289,1,25,4680,blue,true,left,60,25,left,blue,1111,0
16,260928,1,6,4674,blue,true,left,68,6,left,blue,1026,0
17,264481,0,0,4674,blue,false,right,48,39,right,blue,574,0
18,267575,1,76,4598,blue,true,right,35,76,right,blue,503,0
19,270604,0,0,4598,blue,true,right,23,85,left,orange,598,0
20,273724,0,0,4598,blue,true,left,54,22,right,orange,1206,0
21,277452,1,66,4532,blue,false,left,66,58,right,orange,1084,0
22,281067,1,41,4491,blue,true,left,98,41,left,blue,854,0
23,284446,0,0,4491,blue,true,left,58,80,right,orange,865,0
24,287836,0,0,4491,blue,true,left,32,85,right,orange,784,0
25,291143,1,83,4408,blue,false,left,83,15,right,orange,712,0
26,294389,0,0,4408,blue,true,left,18,16,right,orange,1407,0
27,298317,0,0,4408,blue,true,left,56,99,right,orange,929,0
28,301767,0,0,4408,blue,true,right,23,75,left,orange,705,0
29,304994,0,0,4408,blue,true,left,68,18,right,orange,411,0
