Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,446402.38500002306,1,10,4990,blue,true,right,23,10,right,blue,996,0
2,449941.5700000245,0,0,4990,blue,true,left,45,97,right,orange,868,0
3,453346.5749999741,0,0,4990,blue,true,left,54,62,right,orange,925,0
4,456808.1949999323,0,0,4990,blue,false,right,99,16,right,blue,1045,0
5,460384.8449999932,1,40,4950,blue,true,right,72,40,right,blue,1270,0
6,464204.81999998447,1,88,4862,blue,true,right,98,88,right,blue,1282,0
7,468031.6149999853,0,0,4862,blue,true,left,6,54,right,orange,957,0
8,471528.81499996874,0,0,4862,blue,true,left,64,55,right,orange,1064,0
9,475135.34999999683,0,0,4862,blue,false,right,96,45,right,blue,1035,0
10,478705.91499994043,1,19,4843,blue,true,right,28,19,right,blue,977,0
11,482232.4200000148,1,26,4817,blue,true,left,95,26,left,blue,1454,0
12,486237.22499993164,1,29,4788,blue,true,right,90,29,right,blue,1796,0
13,490582.5649999315,0,0,4788,blue,true,left,20,53,right,orange,1103,0
14,494215.98999993876,0,0,4788,blue,true,left,74,56,right,orange,1229,0
15,497980.5899999337,0,0,4788,blue,true,left,18,42,right,orange,1242,0
16,501750.88499998674,0,0,4788,blue,true,right,11,91,left,orange,968,0
17,505252.3999999976,1,32,4756,blue,false,right,32,31,left,orange,1066,0
18,508857.3349999497,0,0,4756,blue,true,right,36,65,left,orange,1111,0
19,512502.71000002977,1,40,4716,blue,false,left,40,30,right,orange,1277,0
20,516320.134999929,1,26,4690,blue,true,right,29,26,right,blue,1360,0
21,520233.31999999937,1,32,4658,blue,false,left,32,36,right,orange,1103,0
22,523873.0799999321,0,0,4658,blue,true,left,72,81,right,orange,966,0
23,527371.6199999908,0,0,4658,blue,false,left,95,54,left,blue,1370,0
24,531276.579999947,1,40,4618,blue,false,right,40,59,left,orange,1158,0
25,534969.5300000021,0,0,4618,blue,false,right,29,24,right,blue,1274,0
26,538778.4149999497,0,0,4618,blue,false,left,60,51,left,blue,1494,0
27,542797.174999956,0,0,4618,blue,false,left,83,65,left,blue,973,0
28,546301.7400000244,1,98,4520,blue,true,left,78,98,left,blue,840,0
29,549682.3050000239,0,0,4520,blue,false,right,56,51,right,blue,1285,0
30,553497.9649999877,1,5,4515,blue,false,right,5,20,left,orange,929,0
31,556969.369999948,0,0,4515,blue,false,left,67,2,left,blue,807,0
32,560305.4199999897,0,0,4515,blue,false,left,85,84,left,blue,965,0
33,563798.5149999149,0,0,4515,blue,true,left,7,49,right,orange,1047,0
34,567378.4599999199,0,0,4515,blue,false,left,37,47,left,blue,1163,0
35,571077.5549999671,1,27,4488,blue,false,right,27,91,left,orange,1143,0
36,574759.5449999208,0,0,4488,blue,false,right,44,42,right,blue,1420,0
37,578711.9049999164,1,55,4433,blue,true,right,31,55,right,blue,1075,0
38,582320.4749999568,0,0,4433,blue,false,left,97,70,left,blue,1526,0
39,586378.6550000077,0,0,4433,blue,false,right,14,9,right,blue,1493,0
40,590409.1949999565,0,0,4433,blue,true,right,23,51,left,orange,1138,0
41,594078.7299999502,1,79,4354,blue,true,right,89,79,right,blue,887,0
42,597508.5449999897,0,0,4354,blue,true,right,83,86,left,orange,1216,0
43,601252.8600000078,0,0,4354,blue,true,left,40,62,right,orange,1016,0
