Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,171182.4,0,0,5000,blue,true,right,23,10,left,orange,702,0
2,174405.2,0,0,5000,blue,true,right,45,97,left,orange,428,0
3,177354.7,1,62,4938,blue,true,left,54,62,left,blue,433,0
4,180315.2,1,99,4839,blue,false,right,99,16,left,orange,471,0
5,183312.6,0,0,4839,blue,true,left,72,40,right,orange,523,0
6,186356.9,1,88,4751,blue,true,left,98,88,left,blue,435,0
7,189318,1,54,4697,blue,true,left,6,54,left,blue,527,0
8,192371.90000000002,1,55,4642,blue,true,left,64,55,left,blue,515,0
9,195415.00000000003,1,96,4546,blue,false,left,96,45,right,orange,661,0
10,198602.2,1,19,4527,blue,true,right,28,19,right,blue,605,0
11,201734.40000000002,0,0,4527,blue,true,left,95,26,right,orange,748,0
12,205004.6,0,0,4527,blue,true,left,90,29,right,orange,651,0
13,208178,1,53,4474,blue,true,left,20,53,left,blue,772,0
14,211476.30000000002,0,0,4474,blue,true,left,74,56,right,orange,711,0
15,214708.7,1,42,4432,blue,true,right,18,42,right,blue,715,0
16,217950.00000000003,0,0,4432,blue,true,right,11,91,left,orange,513,0
17,220986.00000000003,1,32,4400,blue,false,left,32,31,right,orange,764,0
18,224275.1,0,0,4400,blue,true,right,36,65,left,orange,642,0
19,227439.2,1,40,4360,blue,false,left,40,30,right,orange,823,0
20,230789.7,0,0,4360,blue,true,left,29,26,right,orange,918,0
21,234228.50000000003,1,32,4328,blue,false,left,32,36,right,orange,700,0
22,237453.7,0,0,4328,blue,true,right,72,81,left,orange,288,0
23,240262.8,1,95,4233,blue,false,right,95,54,left,orange,459,0
24,243247.4,0,0,4233,blue,false,right,40,59,right,blue,497,0
25,246266.3,0,0,4233,blue,false,left,29,24,left,blue,299,0
26,249087.00000000003,0,0,4233,blue,false,right,60,51,right,blue,119,0
27,251728.1,0,0,4233,blue,false,right,83,65,right,blue,127,0
28,254374.80000000002,0,0,4233,blue,true,left,78,98,right,orange,650,0
29,257545.00000000003,0,0,4233,blue,false,right,56,51,right,blue,68,0
30,260134.09999999998,0,0,4233,blue,false,left,5,20,left,blue,274,0
31,262929.1,0,0,4233,blue,false,right,67,2,right,blue,375,0
32,265824.4,1,85,4148,blue,false,right,85,84,left,orange,68,0
33,268417.00000000006,0,0,4148,blue,true,left,7,49,right,orange,204,0
34,271141.7,1,37,4111,blue,false,left,37,47,right,orange,622,0
35,274288.9,0,0,4111,blue,false,left,27,91,left,blue,34,0
36,276845.9,0,0,4111,blue,false,right,44,42,right,blue,64,0
37,279430.7,0,0,4111,blue,true,right,31,55,left,orange,222,0
38,282173.4,1,97,4014,blue,false,left,97,70,right,orange,258,0
39,284958.7,0,0,4014,blue,false,right,14,9,right,blue,140,0
40,287618.10000000003,1,51,3963,blue,true,left,23,51,left,blue,327,0
41,290468.9,0,0,3963,blue,true,left,89,79,right,orange,300,0
42,293290.5,0,0,3963,blue,true,right,83,86,left,orange,51,0
43,295862.3,1,62,3901,blue,true,right,40,62,right,blue,489,0
44,298874.9,1,23,3878,blue,true,left,36,23,left,blue,133,0
45,301533.60000000003,1,61,3817,blue,true,right,65,61,right,blue,531,0
46,304589.5,1,67,3750,blue,true,left,74,67,left,blue,474,0
47,307590.10000000003,1,41,3709,blue,true,left,73,41,left,blue,285,0
48,314404.9,1,96,3613,blue,false,left,96,54,right,orange,1522,0
49,318448.7,0,0,3613,blue,true,right,86,88,left,orange,646,0
50,321615.2,0,0,3613,blue,true,right,43,66,left,orange,2594,0
51,326729.8,1,79,3534,blue,true,right,72,79,right,blue,2031,0
52,331286,1,71,3463,blue,false,left,71,13,right,orange,1604,0
53,335416.10000000003,1,53,3410,blue,true,left,78,53,left,blue,1258,0
54,339198.20000000007,1,90,3320,blue,true,left,57,90,left,blue,575,0
55,342299.8,1,3,3317,blue,false,right,3,12,left,orange,1196,0
56,346019.80000000005,0,0,3317,blue,true,right,2,64,left,orange,1136,0
57,349678.60000000003,1,9,3308,blue,true,right,99,9,right,blue,315,0
58,352519.4,1,42,3266,blue,true,left,21,42,left,blue,544,0
59,355588.9,1,72,3194,blue,true,right,83,72,right,blue,237,0
60,358355.4,1,11,3183,blue,true,right,37,11,right,blue,510,0
61,361392.4,1,67,3116,blue,false,left,67,81,right,orange,2347,0
62,366265.60000000003,0,0,3116,blue,true,left,12,14,right,orange,377,0
63,369163.3,0,0,3116,blue,false,left,78,90,left,blue,1747,0
64,373431.5,1,46,3070,blue,false,left,46,53,right,orange,419,0
65,376376.6,1,30,3040,blue,false,right,30,42,left,orange,137,0
66,379038.80000000005,1,36,3004,blue,false,left,36,65,right,orange,72,0
67,381635,1,49,2955,blue,false,left,49,49,right,orange,424,0
68,384584.7,0,0,2955,blue,false,left,44,10,left,blue,317,0
69,387420.80000000005,1,70,2885,blue,false,left,70,64,right,orange,28,0
70,389973.7,1,68,2817,blue,false,right,68,95,left,orange,206,0
71,392703.5,0,0,2817,blue,false,left,38,46,left,blue,131,0
72,395354.9,0,0,2817,blue,false,left,18,24,left,blue,161,0
73,398035.60000000003,1,82,2735,blue,false,left,82,78,right,orange,260,0
74,400820.4,0,0,2735,blue,false,left,59,54,left,blue,189,0
75,403530.2,1,36,2699,blue,false,right,36,33,left,orange,154,0
76,406208.60000000003,1,56,2643,blue,true,right,49,56,right,blue,168,0
77,408903.3,0,0,2643,blue,false,left,26,83,left,blue,274,0
78,411696.8,1,38,2605,blue,false,right,38,81,left,orange,246,0
79,414465.8,1,12,2593,blue,false,left,12,3,right,orange,200,0
80,417191.3,1,62,2531,blue,false,left,62,38,right,orange,217,0
81,419932.2,1,43,2488,blue,false,right,43,50,left,orange,2414,0
82,424871.6,0,0,2488,blue,false,right,50,47,right,blue,185,0
83,427578.10000000003,0,0,2488,blue,true,right,41,35,left,orange,272,0
84,430374.4,0,0,2488,blue,false,right,9,62,right,blue,532,0
85,433424.9,0,0,2488,blue,false,left,60,58,left,blue,71,0
86,436016.1,1,88,2400,blue,false,left,88,31,right,orange,91,0
87,438631.5,0,0,2400,blue,false,left,56,44,left,blue,692,0
88,441846.4,0,0,2400,blue,true,left,31,15,right,orange,350,0
89,444753.20000000007,1,90,2310,blue,false,left,90,31,right,orange,57,0
90,447337.10000000003,0,0,2310,blue,false,right,80,76,right,blue,155,0
91,450011.60000000003,0,0,2310,blue,false,left,78,4,left,blue,154,0
92,452686.3,0,0,2310,blue,false,left,60,28,left,blue,289,0
93,455498.70000000007,0,0,2310,blue,true,left,56,99,right,orange,215,0
94,462237,1,31,2279,blue,false,left,31,45,right,orange,334,0
95,465096.50000000006,0,0,2279,blue,false,left,55,16,left,blue,252,0
96,467869.5,1,89,2190,blue,true,right,12,89,right,blue,136,0
97,470529.50000000006,0,0,2190,blue,false,left,49,4,left,blue,148,0
98,473196.7,1,69,2121,blue,false,right,69,12,left,orange,230,0
99,475949.2,1,26,2095,blue,true,left,49,26,left,blue,256,0
100,478731.10000000003,0,0,2095,blue,false,right,75,76,right,blue,55,0
101,481303.50000000006,0,0,2095,blue,false,right,22,90,right,blue,230,0
102,484054.5,1,23,2072,blue,true,right,26,23,right,blue,305,0
103,486884.7,1,11,2061,blue,false,right,11,68,left,orange,395,0
104,489804.60000000003,0,0,2061,blue,true,left,71,82,right,orange,181,0
105,492504,0,0,2061,blue,false,right,86,95,right,blue,245,0
106,495270.5,0,0,2061,blue,false,right,79,88,right,blue,279,0
107,498070.80000000005,0,0,2061,blue,false,right,75,40,right,blue,228,0
108,500819.9,0,0,2061,blue,false,left,11,94,left,blue,226,0
109,503566.4,1,44,2017,blue,true,left,53,44,left,blue,392,0
110,506484.30000000005,1,85,1932,blue,false,left,85,17,right,orange,148,0
111,509154.70000000007,0,0,1932,blue,true,right,85,32,left,orange,288,0
112,511963.1,0,0,1932,blue,false,right,38,68,right,blue,671,0
113,515153.9,0,0,1932,blue,false,left,28,93,left,blue,6,0
114,517679.89999999997,1,13,1919,blue,false,right,13,95,left,orange,80,0
115,520283.4,1,69,1850,blue,false,left,69,60,right,orange,46,0
116,522851.6000000001,1,95,1755,blue,true,left,56,95,left,blue,106,0
117,525480.9,0,0,1755,blue,false,left,2,41,left,blue,684,0
118,528686.4,1,42,1713,blue,false,left,42,5,right,orange,433,0
119,531644,1,44,1669,blue,false,right,44,30,left,orange,493,0
120,534661.7,1,79,1590,blue,false,left,79,4,right,orange,189,0
121,537373.8,1,83,1507,blue,false,left,83,87,right,orange,1210,0
122,541107.5000000001,0,0,1507,blue,false,right,59,44,right,blue,723,0
123,544352.6000000001,0,0,1507,blue,true,left,15,10,right,orange,78,0
124,546949.9,1,60,1447,blue,false,left,60,15,right,orange,920,0
125,550399.7000000001,0,0,1447,blue,false,left,73,25,left,blue,273,0
126,553193.8,0,0,1447,blue,false,right,43,23,right,blue,304,0
127,556018.1,0,0,1447,blue,false,right,22,87,right,blue,31,0
128,558567.9,1,77,1370,blue,true,right,27,77,right,blue,362,0
129,561453.3,0,0,1370,blue,false,left,99,35,left,blue,255,0
130,564230.2000000001,0,0,1370,blue,true,left,49,39,right,orange,684,0
131,567431.8,0,0,1370,blue,false,right,83,60,right,blue,260,0
132,570208.9,1,54,1316,blue,true,right,61,54,right,blue,637,0
133,573371.3,1,82,1234,blue,false,left,82,34,right,orange,1376,0
