Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,220457.10000002384,1,37,4963,blue,true,right,44,37,right,blue,2009,0
2,225010.30000001192,0,0,4963,blue,true,left,66,12,right,orange,658,0
3,228202.60000002384,1,9,4954,blue,true,left,98,9,left,blue,1346,0
4,232081.5,1,20,4934,blue,false,right,20,91,left,orange,612,0
5,235225.30000001192,0,0,4934,blue,true,left,28,8,right,orange,715,0
6,238473.60000002384,0,0,4934,blue,true,right,30,33,left,orange,545,0
7,241562.40000003576,0,0,4934,blue,true,left,27,24,right,orange,1211,0
8,245326.10000002384,1,58,4876,blue,false,left,58,43,right,orange,1314,0
9,249186.80000001192,0,0,4876,blue,true,left,72,47,right,orange,998,0
10,252723.5,1,44,4832,blue,false,left,44,44,right,orange,821,0
11,256097.90000003576,0,0,4832,blue,true,right,69,26,left,orange,627,0
12,259277.70000004768,0,0,4832,blue,true,left,6,41,right,orange,698,0
13,262512.2000000477,1,34,4798,blue,true,left,88,34,left,blue,1348,0
14,266390.7000000477,1,73,4725,blue,false,left,73,18,right,orange,575,0
15,269503,0,0,4725,blue,true,left,60,25,right,orange,835,0
16,272900,0,0,4725,blue,true,left,68,6,right,orange,484,0
17,275916.5,1,48,4677,blue,false,left,48,39,right,orange,787,0
18,279243,0,0,4677,blue,true,left,35,76,right,orange,800,0
19,282582.60000002384,0,0,4677,blue,true,right,23,85,left,orange,565,0
20,285691.3000000119,1,22,4655,blue,true,right,54,22,right,blue,1076,0
21,289313.8000000119,1,66,4589,blue,false,right,66,58,left,orange,439,0
22,292277.40000003576,0,0,4589,blue,true,left,98,41,right,orange,935,0
23,295736.3000000119,0,0,4589,blue,true,right,58,80,left,orange,812,0
24,299090.40000003576,0,0,4589,blue,true,right,32,85,left,orange,640,0
25,302257.40000003576,0,0,4589,blue,false,left,83,15,left,blue,772,0
26,305585.7000000477,0,0,4589,blue,true,right,18,16,left,orange,566,0
27,308677.10000002384,0,0,4589,blue,true,right,56,99,left,orange,469,0
28,311684,0,0,4589,blue,true,right,23,75,left,orange,731,0
29,314945,1,18,4571,blue,true,right,68,18,right,blue,1660,0
30,319145.10000002384,0,0,4571,blue,true,right,30,16,left,orange,443,0
31,322124.8000000119,1,37,4534,blue,true,right,86,37,right,blue,990,0
32,325657.3000000119,0,0,4534,blue,true,left,47,44,right,orange,532,0
33,328724.90000003576,0,0,4534,blue,true,left,3,91,right,orange,685,0
34,331938,0,0,4534,blue,false,right,60,14,right,blue,880,0
35,335342.5,0,0,4534,blue,true,right,54,84,left,orange,443,0
36,338321.5,0,0,4534,blue,true,right,34,23,left,orange,472,0
37,341326.90000003576,0,0,4534,blue,true,left,96,28,right,orange,512,0
38,344364.8000000119,1,83,4451,blue,false,left,83,94,right,orange,1128,0
39,348021.2000000477,0,0,4451,blue,true,right,63,86,left,orange,730,0
40,351306.7000000477,0,0,4451,blue,true,right,99,53,left,orange,432,0
41,354280.10000002384,0,0,4451,blue,true,left,29,91,right,orange,796,0
42,357601.3000000119,1,64,4387,blue,true,left,88,64,left,blue,1005,0
43,361145.90000003576,0,0,4387,blue,true,left,84,70,right,orange,438,0
44,364126.10000002384,1,61,4326,blue,false,right,61,88,left,orange,686,0
45,367359.7000000477,0,0,4326,blue,true,left,61,43,right,orange,648,0
46,370539.60000002384,0,0,4326,blue,true,left,87,54,right,orange,498,0
47,373588.40000003576,1,5,4321,blue,false,left,5,90,right,orange,857,0
48,380998.8000000119,0,0,4321,blue,true,right,71,44,left,orange,845,0
49,384364.3000000119,0,0,4321,blue,true,right,42,52,left,orange,341,0
50,387235.2000000477,0,0,4321,blue,true,left,39,93,right,orange,822,0
51,390579.5,0,0,4321,blue,true,left,39,24,right,orange,753,0
52,393860.8000000119,1,20,4301,blue,false,right,20,10,left,orange,527,0
53,396931.5,1,85,4216,blue,false,left,85,43,right,orange,449,0
54,399922.8000000119,1,77,4139,blue,false,left,77,7,right,orange,574,0
55,403043.8000000119,0,0,4139,blue,true,right,95,90,left,orange,478,0
56,406062.7000000477,0,0,4139,blue,true,right,56,7,left,orange,474,0
57,409062.5,0,0,4139,blue,true,right,50,69,left,orange,395,0
58,411981.5,0,0,4139,blue,true,right,4,83,left,orange,480,0
59,415005.90000003576,0,0,4139,blue,false,left,40,8,left,blue,1610,0
60,419153.5,0,0,4139,blue,true,left,47,86,right,orange,600,0
61,422290.3000000119,0,0,4139,blue,true,right,15,49,left,orange,513,0
62,425339.90000003576,0,0,4139,blue,true,left,17,39,right,orange,592,0
63,428468.3000000119,1,76,4063,blue,false,right,76,97,left,orange,706,0
64,431712.8000000119,0,0,4063,blue,true,right,73,14,left,orange,1286,0
65,435537.60000002384,0,0,4063,blue,true,right,67,29,left,orange,452,0
66,438537.60000002384,0,0,4063,blue,true,right,48,39,left,orange,861,0
67,441929.7000000477,0,0,4063,blue,true,right,30,99,left,orange,883,0
68,445348.40000003576,1,13,4050,blue,false,left,13,20,right,orange,1466,0
69,449357.7000000477,0,0,4050,blue,true,left,66,59,right,orange,466,0
70,452355.60000002384,0,0,4050,blue,true,right,20,60,left,orange,475,0
71,455354.5,0,0,4050,blue,true,left,41,25,right,orange,911,0
72,458801.8000000119,1,76,3974,blue,false,left,76,70,right,orange,975,0
73,462304.7000000477,1,73,3901,blue,false,right,73,18,left,orange,534,0
74,465367.2000000477,1,41,3860,blue,false,right,41,80,left,orange,497,0
75,468401.5,0,0,3860,blue,true,left,25,76,right,orange,544,0
76,471494.90000003576,1,34,3826,blue,false,left,34,52,right,orange,451,0
77,474480.90000003576,1,30,3796,blue,false,right,30,60,left,orange,621,0
78,477639.3000000119,0,0,3796,blue,false,left,91,36,left,blue,1335,0
79,481505.10000002384,1,70,3726,blue,false,right,70,59,left,orange,642,0
80,484698,0,0,3726,blue,true,left,64,47,right,orange,1511,0
81,488736.5,1,28,3698,blue,false,right,28,44,left,orange,457,0
82,491741.8000000119,0,0,3698,blue,false,right,2,80,right,blue,390,0
83,494667.7000000477,0,0,3698,blue,false,right,20,39,right,blue,445,0
84,497643.90000003576,0,0,3698,blue,false,right,32,61,right,blue,502,0
85,500685.60000002384,0,0,3698,blue,false,left,90,61,left,blue,1092,0
86,504319.5,1,70,3628,blue,true,right,62,70,right,blue,2141,0
87,509002,0,0,3628,blue,false,left,17,33,left,blue,790,0
88,512319.5,0,0,3628,blue,false,left,74,17,left,blue,489,0
89,515341.60000002384,0,0,3628,blue,false,left,2,85,left,blue,502,0
90,518368.2000000477,1,39,3589,blue,false,right,39,76,left,orange,1349,0
91,522253.10000002384,0,0,3589,blue,false,left,70,20,left,blue,486,0
92,525261,1,69,3520,blue,true,left,24,69,left,blue,752,0
93,528556.6000000238,1,52,3468,blue,true,right,59,52,right,blue,517,0
94,535608.8000000119,0,0,3468,blue,false,right,15,43,right,blue,3997,0
95,542144.3000000119,1,34,3434,blue,true,left,50,34,left,blue,709,0
96,545397.1000000238,0,0,3434,blue,false,right,43,48,right,blue,532,0
97,548459.3000000119,1,35,3399,blue,true,left,14,35,left,blue,517,0
98,551526.2000000477,1,42,3357,blue,true,right,12,42,right,blue,462,0
99,554534.9000000358,0,0,3357,blue,true,left,40,44,right,orange,472,0
100,557529.9000000358,0,0,3357,blue,true,left,88,50,right,orange,421,0
101,560485.3000000119,0,0,3357,blue,true,right,51,19,left,orange,510,0
102,563532.2000000477,0,0,3357,blue,true,left,44,59,right,orange,484,0
103,566551.2000000477,0,0,3357,blue,true,left,23,9,right,orange,494,0
104,569571.5,0,0,3357,blue,true,right,23,76,left,orange,977,0
105,573084.1000000238,0,0,3357,blue,true,left,94,47,right,orange,461,0
106,576076.2000000477,1,67,3290,blue,false,left,67,56,right,orange,1675,0
107,580294.4000000358,1,16,3274,blue,true,left,50,16,left,blue,1101,0
108,583932.9000000358,0,0,3274,blue,true,right,83,7,left,orange,537,0
109,586997.9000000358,0,0,3274,blue,true,left,86,41,right,orange,527,0
110,590067.3000000119,0,0,3274,blue,true,right,61,37,left,orange,541,0
111,593146.5,1,82,3192,blue,false,left,82,57,right,orange,491,0
112,596174.2000000477,1,68,3124,blue,false,left,68,28,right,orange,1234,0
113,599936.8000000119,0,0,3124,blue,false,right,65,76,right,blue,1235,0
114,603695.5,0,0,3124,blue,false,left,25,19,left,blue,384,0
