Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,194586.0349999857,1,37,4963,blue,true,left,44,37,left,blue,1270,0
2,198380.20499999402,1,12,4951,blue,true,left,66,12,left,blue,2395,0
3,203294.51499998686,1,9,4942,blue,true,left,98,9,left,blue,1830,0
4,207644.3749999744,1,20,4922,blue,false,right,20,91,left,orange,1332,0
5,211495.62499998137,0,0,4922,blue,true,left,28,8,right,orange,1664,0
6,215678.10499999905,0,0,4922,blue,true,left,30,33,right,orange,857,0
7,219053.75999998068,0,0,4922,blue,true,right,27,24,left,orange,582,0
8,222153.97999997367,1,58,4864,blue,false,left,58,43,right,orange,967,0
9,225642.91999998386,0,0,4864,blue,true,right,72,47,left,orange,1181,0
10,229340.65499997814,1,44,4820,blue,false,left,44,44,right,orange,760,0
11,232623.91499997466,1,26,4794,blue,true,left,69,26,left,blue,989,0
12,236133.53499997174,0,0,4794,blue,true,right,6,41,left,orange,642,0
13,239293.8649999851,1,34,4760,blue,true,right,88,34,right,blue,1892,0
14,243703.64999998128,0,0,4760,blue,false,left,73,18,left,blue,1697,0
15,247921.14500000025,1,25,4735,blue,true,right,60,25,right,blue,2059,0
16,252497.78499998502,1,6,4729,blue,true,left,68,6,left,blue,1379,0
17,256399.17499999865,1,48,4681,blue,false,right,48,39,left,orange,501,0
18,259420.09999998845,0,0,4681,blue,true,right,35,76,left,orange,724,0
19,262663.7799999735,0,0,4681,blue,true,right,23,85,left,orange,843,0
20,266025.4149999819,0,0,4681,blue,true,left,54,22,right,orange,1220,0
21,269758.42999998713,1,66,4615,blue,false,right,66,58,left,orange,912,0
22,273192.8499999922,0,0,4615,blue,true,left,98,41,right,orange,1975,0
23,277682.86499998067,0,0,4615,blue,true,left,58,80,right,orange,954,0
24,281156.1249999795,0,0,4615,blue,true,right,32,85,left,orange,726,0
25,284398.09999999125,0,0,4615,blue,false,right,83,15,right,blue,1627,0
26,288538.1949999719,0,0,4615,blue,true,left,18,16,right,orange,1164,0
27,292216.8399999791,0,0,4615,blue,true,right,56,99,left,orange,1104,0
28,295837.7299999993,0,0,4615,blue,true,right,23,75,left,orange,749,0
29,299103.1699999876,0,0,4615,blue,true,left,68,18,right,orange,1999,0
30,303623.60999998054,0,0,4615,blue,true,right,30,16,left,orange,702,0
31,306844.7199999937,0,0,4615,blue,true,right,86,37,left,orange,1415,0
32,310776.4999999781,0,0,4615,blue,true,left,47,44,right,orange,1203,0
33,314494.76999999024,0,0,4615,blue,true,right,3,91,left,orange,982,0
34,317995.45999997645,0,0,4615,blue,false,left,60,14,left,blue,2138,0
35,322653.01499998895,0,0,4615,blue,true,left,54,84,right,orange,1367,0
36,326537.4849999789,0,0,4615,blue,true,right,34,23,left,orange,930,0
37,329992.7299999981,1,28,4587,blue,true,left,96,28,left,blue,2135,0
38,334644.174999994,1,83,4504,blue,false,right,83,94,left,orange,1285,0
39,338447.01999999234,0,0,4504,blue,true,left,63,86,right,orange,1665,0
40,342626.92999999854,0,0,4504,blue,true,left,99,53,right,orange,2424,0
41,347566.0949999874,0,0,4504,blue,true,left,29,91,right,orange,1173,0
42,351260.19499998074,0,0,4504,blue,true,right,88,64,left,orange,1316,0
43,355091.34499999345,0,0,4504,blue,true,right,84,70,left,orange,1282,0
44,358888.0249999929,1,61,4443,blue,false,left,61,88,right,orange,961,0
45,362368.51000000024,0,0,4443,blue,true,right,61,43,left,orange,1252,0
46,366141.4999999979,0,0,4443,blue,true,right,87,54,left,orange,1231,0
47,369891.0199999809,1,5,4438,blue,false,right,5,90,left,orange,1043,0
48,377458.59999998356,0,0,4438,blue,true,left,71,44,right,orange,1159,0
49,381139.8249999911,0,0,4438,blue,true,right,42,52,left,orange,994,0
50,384650.33999999287,0,0,4438,blue,true,right,39,93,left,orange,459,0
51,387627.7349999873,0,0,4438,blue,true,left,39,24,right,orange,694,0
52,390837.7899999905,1,20,4418,blue,false,right,20,10,left,orange,753,0
53,394109.16499997256,1,85,4333,blue,false,left,85,43,right,orange,1689,0
54,398318.2899999956,0,0,4333,blue,false,left,77,7,left,blue,441,0
55,401276.9299999927,1,90,4243,blue,true,left,95,90,left,blue,783,0
56,404577.26999997976,1,7,4236,blue,true,right,56,7,right,blue,521,0
57,407618.209999986,0,0,4236,blue,true,right,50,69,left,orange,1164,0
58,411295.78999997466,0,0,4236,blue,true,right,4,83,left,orange,590,0
59,414405.0849999767,1,40,4196,blue,false,left,40,8,right,orange,1497,0
60,418421.69999997714,0,0,4196,blue,true,right,47,86,left,orange,1093,0
61,422032.8349999909,0,0,4196,blue,true,left,15,49,right,orange,921,0
62,425473.74999997555,0,0,4196,blue,true,left,17,39,right,orange,976,0
63,428967.1099999978,1,76,4120,blue,false,left,76,97,right,orange,1103,0
64,432591.3949999958,1,14,4106,blue,true,right,73,14,right,blue,1357,0
65,436469.8749999807,0,0,4106,blue,true,right,67,29,left,orange,2007,0
66,440994.30500000017,0,0,4106,blue,true,left,48,39,right,orange,1052,0
67,444561.7599999823,0,0,4106,blue,true,right,30,99,left,orange,778,0
68,447857.8349999734,1,13,4093,blue,false,left,13,20,right,orange,580,0
69,450956.35999998194,0,0,4093,blue,true,right,66,59,left,orange,1047,0
70,454520.9449999966,0,0,4093,blue,true,left,20,60,right,orange,542,0
71,457580.2099999855,0,0,4093,blue,true,left,41,25,right,orange,1243,0
72,461340.3999999864,1,76,4017,blue,false,right,76,70,left,orange,807,0
73,464670.9049999772,0,0,4017,blue,false,left,73,18,left,blue,869,0
74,468055.29999997816,1,41,3976,blue,false,right,41,80,left,orange,1692,0
75,472271.2299999839,0,0,3976,blue,true,right,25,76,left,orange,2414,0
76,477200.914999994,1,34,3942,blue,false,left,34,52,right,orange,1803,0
77,481521.0299999744,1,30,3912,blue,false,right,30,60,left,orange,1340,0
78,485379.105,0,0,3912,blue,false,left,91,36,left,blue,645,0
79,488538.41499998816,0,0,3912,blue,false,left,70,59,left,blue,777,0
80,491833.4999999788,1,47,3865,blue,true,right,64,47,right,blue,701,0
81,495058.7199999718,0,0,3865,blue,false,left,28,44,left,blue,885,0
82,498460.91999998316,1,2,3863,blue,false,right,2,80,left,orange,1154,0
83,502135.4799999972,1,20,3843,blue,false,left,20,39,right,orange,922,0
84,505578.0949999753,0,0,3843,blue,false,left,32,61,left,blue,759,0
85,508854.5049999957,0,0,3843,blue,false,right,90,61,right,blue,1208,0
86,512576.39499998186,1,70,3773,blue,true,left,62,70,left,blue,873,0
87,515970.6199999782,0,0,3773,blue,false,left,17,33,left,blue,633,0
88,519116.1499999871,0,0,3773,blue,false,left,74,17,left,blue,508,0
89,522139.519999997,1,2,3771,blue,false,left,2,85,right,orange,1049,0
90,525708.6349999881,0,0,3771,blue,false,left,39,76,left,blue,624,0
91,528850.3449999844,0,0,3771,blue,false,left,70,20,left,blue,676,0
92,532043.4399999795,1,69,3702,blue,true,left,24,69,left,blue,1584,0
93,536150.1349999744,1,52,3650,blue,true,left,59,52,left,blue,920,0
94,543589.7849999892,1,15,3635,blue,false,right,15,43,left,orange,1721,0
95,547829.7199999797,1,34,3601,blue,true,right,50,34,right,blue,626,0
96,550971.354999987,1,43,3558,blue,false,right,43,48,left,orange,1356,0
97,554842.9649999889,1,35,3523,blue,true,right,14,35,right,blue,702,0
98,558064.229999989,0,0,3523,blue,true,right,12,42,left,orange,544,0
99,561126.0049999983,0,0,3523,blue,true,right,40,44,left,orange,1092,0
100,564737.5549999997,0,0,3523,blue,true,left,88,50,right,orange,1310,0
101,568568.5399999784,0,0,3523,blue,true,left,51,19,right,orange,1807,0
102,572892.2749999911,0,0,3523,blue,true,right,44,59,left,orange,981,0
103,576389.3649999809,0,0,3523,blue,true,left,23,9,right,orange,886,0
104,579794.2499999772,0,0,3523,blue,true,left,23,76,right,orange,725,0
105,583035.3349999932,1,47,3476,blue,true,left,94,47,left,blue,2379,0
106,587937.2249999724,1,67,3409,blue,false,right,67,56,left,orange,1300,0
107,591754.6799999836,1,16,3393,blue,true,left,50,16,left,blue,898,0
108,595173.1249999721,1,7,3386,blue,true,left,83,7,left,blue,1246,0
109,598933.0249999766,1,41,3345,blue,true,right,86,41,right,blue,862,0
110,602315.8799999801,1,37,3308,blue,true,left,61,37,left,blue,1051,0
111,605888.5099999898,1,82,3226,blue,false,left,82,57,right,orange,1194,0
112,609599.4199999841,1,68,3158,blue,false,left,68,28,right,orange,642,0
113,612757.3549999797,0,0,3158,blue,false,left,65,76,left,blue,938,0
114,616215.744999994,0,0,3158,blue,false,left,25,19,left,blue,1636,0
115,620368.8249999832,0,0,3158,blue,false,left,67,68,left,blue,850,0
116,623736.7899999954,0,0,3158,blue,false,right,82,68,right,blue,782,0
117,627038.1849999831,0,0,3158,blue,false,left,88,19,left,blue,562,0
118,630114.1599999974,1,11,3147,blue,true,left,55,11,left,blue,541,0
119,633172.6949999866,1,36,3111,blue,true,right,74,36,right,blue,714,0
120,636406.329999998,0,0,3111,blue,false,left,18,64,left,blue,1208,0
121,640137.0049999969,0,0,3111,blue,false,left,15,3,left,blue,450,0
122,643103.0899999896,0,0,3111,blue,false,right,91,76,right,blue,894,0
123,646511.6449999914,0,0,3111,blue,false,right,66,92,right,blue,2077,0
124,651103.0199999805,0,0,3111,blue,false,right,67,14,right,blue,637,0
125,654258.8099999994,0,0,3111,blue,true,right,11,77,left,orange,1444,0
126,658221.274999989,0,0,3111,blue,false,right,36,20,right,blue,919,0
127,661654.5649999753,0,0,3111,blue,false,left,44,61,left,blue,1325,0
128,665495.9449999733,0,0,3111,blue,false,left,4,34,left,blue,1434,0
129,669446.6350000002,0,0,3111,blue,false,right,86,63,right,blue,722,0
130,672681.6849999886,0,0,3111,blue,false,left,99,43,left,blue,1102,0
131,676301.2399999716,1,56,3055,blue,true,left,95,56,left,blue,842,0
132,679664.3949999998,0,0,3055,blue,false,left,89,63,left,blue,698,0
133,682881.7249999847,1,80,2975,blue,true,right,88,80,right,blue,1339,0
134,686736.8449999776,0,0,2975,blue,false,left,5,10,left,blue,789,0
135,690044.5499999914,1,80,2895,blue,true,right,35,80,right,blue,1474,0
136,694046.0549999843,0,0,2895,blue,true,right,8,57,left,orange,859,0
