Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,393487.0299999602,0,0,5000,blue,true,right,23,10,left,orange,2686,0
2,398684.86499995925,0,0,5000,blue,true,right,45,97,left,orange,1648,0
3,402843.67999993265,1,62,4938,blue,true,left,54,62,left,blue,1855,0
4,407213.6000000173,1,99,4839,blue,false,right,99,16,left,orange,1159,0
5,410885.6649999507,0,0,4839,blue,true,left,72,40,right,orange,2871,0
6,416265.19999990705,0,0,4839,blue,true,right,98,88,left,orange,1705,0
7,420483.1649999833,0,0,4839,blue,true,right,6,54,left,orange,2233,0
8,425224.7150000185,0,0,4839,blue,true,left,64,55,right,orange,1906,0
9,429642.6049999427,1,96,4743,blue,false,left,96,45,right,orange,2282,0
10,434435.7049999526,0,0,4743,blue,true,left,28,19,right,orange,1424,0
11,438370.18500000704,0,0,4743,blue,true,left,95,26,right,orange,907,0
12,441787.96999994665,0,0,4743,blue,true,right,90,29,left,orange,2425,0
13,446744.51999994926,1,53,4690,blue,true,left,20,53,left,blue,1771,0
14,451028.8249999285,0,0,4690,blue,true,left,74,56,right,orange,560,0
15,454098.38500001933,0,0,4690,blue,true,left,18,42,right,orange,824,0
16,457434.50999993365,0,0,4690,blue,true,left,11,91,right,orange,553,0
17,460497.5749999285,1,32,4658,blue,false,left,32,31,right,orange,1106,0
18,464116.5000000037,0,0,4658,blue,true,right,36,65,left,orange,1256,0
19,467881.77999993786,1,40,4618,blue,false,right,40,30,left,orange,595,0
20,470990.1049999753,0,0,4618,blue,true,left,29,26,right,orange,606,0
21,474105.11000000406,1,32,4586,blue,false,left,32,36,right,orange,523,0
22,477141.90499996766,1,81,4505,blue,true,left,72,81,left,blue,374,0
23,480027.3899999447,1,95,4410,blue,false,left,95,54,right,orange,745,0
24,483283.51500001736,0,0,4410,blue,false,right,40,59,right,blue,848,0
25,486641.44499995746,0,0,4410,blue,false,left,29,24,left,blue,507,0
26,489657.56500000134,0,0,4410,blue,false,left,60,51,left,blue,699,0
27,492867.159999907,0,0,4410,blue,false,right,83,65,right,blue,745,0
28,496122.9749999475,1,98,4312,blue,true,right,78,98,right,blue,896,0
29,499531.2350000022,0,0,4312,blue,false,left,56,51,left,blue,920,0
30,502961.7299999809,0,0,4312,blue,false,left,5,20,left,blue,1283,0
31,506754.1049999418,0,0,4312,blue,false,left,67,2,left,blue,1337,0
32,510602.6950000087,1,85,4227,blue,false,right,85,84,left,orange,1048,0
33,514163.01999997813,1,49,4178,blue,true,right,7,49,right,blue,569,0
34,517241.79999995977,0,0,4178,blue,false,left,37,47,left,blue,417,0
35,520169.249999919,1,27,4151,blue,false,right,27,91,left,orange,587,0
36,523269.70499998424,0,0,4151,blue,false,left,44,42,left,blue,509,0
37,526288.5450000176,1,55,4096,blue,true,left,31,55,left,blue,739,0
38,667281.5649999538,1,97,3999,blue,false,left,97,70,right,orange,446,25
39,670240.9650000045,0,0,3999,blue,false,left,14,9,left,blue,455,0
40,673206.1850000173,1,51,3948,blue,true,right,23,51,right,blue,1156,0
41,676875.5149999633,1,79,3869,blue,true,right,89,79,right,blue,1999,0
42,681385.9699999448,0,0,3869,blue,true,left,83,86,right,orange,1065,0
43,684959.8349999869,0,0,3869,blue,true,right,40,62,left,orange,404,0
44,687872.0299999695,0,0,3869,blue,true,right,36,23,left,orange,603,0
45,690983.6949999444,1,61,3808,blue,true,right,65,61,right,blue,507,0
46,694002.9549999163,1,67,3741,blue,true,right,74,67,right,blue,623,0
47,697137.999999919,1,41,3700,blue,true,left,73,41,left,blue,464,0
48,704119.9599999236,0,0,3700,blue,false,right,96,54,right,blue,1827,0
49,708456.4549999777,1,88,3612,blue,true,left,86,88,left,blue,651,0
50,722633.3549999399,1,66,3546,blue,true,left,43,66,left,blue,862,2
51,726007.6949999202,1,79,3467,blue,true,left,72,79,left,blue,620,0
52,729139.450000017,1,71,3396,blue,false,left,71,13,right,orange,512,0
53,732163.3199999342,0,0,3396,blue,true,left,78,53,right,orange,413,0
54,735088.2349999156,0,0,3396,blue,true,left,57,90,right,orange,537,0
55,738138.324999949,1,3,3393,blue,false,left,3,12,right,orange,817,0
56,741465.6899999827,1,64,3329,blue,true,right,2,64,right,blue,1105,0
57,745081.0699999565,1,9,3320,blue,true,left,99,9,left,blue,930,0
58,748521.9449999277,1,42,3278,blue,true,right,21,42,right,blue,359,0
