Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,281895.70499997353,1,10,4990,blue,true,right,23,10,right,blue,1657,0
2,286082.6099999831,1,97,4893,blue,true,right,45,97,right,blue,1295,0
3,289921.2599999737,1,62,4831,blue,true,right,54,62,right,blue,1336,0
4,293792.85999998683,1,99,4732,blue,false,right,99,16,left,orange,700,0
5,297036.19000001345,0,0,4732,blue,true,right,72,40,left,orange,1015,0
6,300585.02999995835,0,0,4732,blue,true,right,98,88,left,orange,1268,0
7,304382.83999997657,0,0,4732,blue,true,left,6,54,right,orange,1279,0
8,308187.41499999305,0,0,4732,blue,true,right,64,55,left,orange,1015,0
9,311733.15499996534,1,96,4636,blue,false,left,96,45,right,orange,1544,0
10,315809.2150000157,1,19,4617,blue,true,right,28,19,right,blue,1308,0
11,319652.5350000011,1,26,4591,blue,true,right,95,26,right,blue,1325,0
12,323512.7199999988,0,0,4591,blue,true,left,90,29,right,orange,1909,0
13,327951.7599999672,1,53,4538,blue,true,right,20,53,right,blue,1470,0
14,331952.96500000404,0,0,4538,blue,true,left,74,56,right,orange,576,0
15,335056.9399999804,0,0,4538,blue,true,left,18,42,right,orange,1005,0
16,338589.3849999993,0,0,4538,blue,true,left,11,91,right,orange,1168,0
17,342287.2299999581,1,32,4506,blue,false,right,32,31,left,orange,3026,0
18,347850.3550000023,0,0,4506,blue,true,left,36,65,right,orange,675,0
19,351054.26999996416,1,40,4466,blue,false,left,40,30,right,orange,623,0
20,354202.2349999752,0,0,4466,blue,true,right,29,26,left,orange,2854,0
21,359585.49500000663,1,32,4434,blue,false,right,32,36,left,orange,1516,0
22,363633.1399999908,1,81,4353,blue,true,left,72,81,left,blue,711,0
23,366877.49499996426,0,0,4353,blue,false,right,95,54,right,blue,755,0
24,370161.13999998197,1,40,4313,blue,false,right,40,59,left,orange,1516,0
25,374213.0649999599,0,0,4313,blue,false,left,29,24,left,blue,535,0
26,377273.909999989,0,0,4313,blue,false,right,60,51,right,blue,1655,0
27,381454.17499996256,0,0,4313,blue,false,right,83,65,right,blue,1263,0
28,385243.0399999721,0,0,4313,blue,true,right,78,98,left,orange,1537,0
29,394823.98499996634,0,0,4313,blue,false,right,56,51,right,blue,1015,1
30,398365.92499999097,0,0,4313,blue,false,right,5,20,right,blue,2731,0
31,403625.8449999732,1,67,4246,blue,false,left,67,2,right,orange,1571,0
32,407728.21999998996,0,0,4246,blue,false,left,85,84,left,blue,1152,0
33,411406.97999997064,0,0,4246,blue,true,left,7,49,right,orange,3006,0
