Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,399100,0,0,5000,blue,true,right,44,37,left,orange,3787,0
2,405409,1,12,4988,blue,true,left,66,12,left,blue,1021,0
3,408955,1,9,4979,blue,true,left,98,9,left,blue,863,0
4,412338,1,20,4959,blue,false,left,20,91,right,orange,827,0
5,415688,0,0,4959,blue,true,right,28,8,left,orange,544,0
6,418750,0,0,4959,blue,true,right,30,33,left,orange,740,0
7,422008,0,0,4959,blue,true,right,27,24,left,orange,1288,0
8,425816.00000000006,1,58,4901,blue,false,right,58,43,left,orange,1039,0
9,429380,1,47,4854,blue,true,left,72,47,left,blue,1372,0
10,433273,1,44,4810,blue,false,left,44,44,right,orange,844,0
11,436643,0,0,4810,blue,true,right,69,26,left,orange,857,0
12,440018,0,0,4810,blue,true,right,6,41,left,orange,1089,0
13,443625,0,0,4810,blue,true,left,88,34,right,orange,1267,0
14,447411,1,73,4737,blue,false,left,73,18,right,orange,1121,0
15,451053,0,0,4737,blue,true,right,60,25,left,orange,736,0
16,454311.00000000006,0,0,4737,blue,true,left,68,6,right,orange,786,0
17,457616,1,48,4689,blue,false,left,48,39,right,orange,778,0
18,460921,0,0,4689,blue,true,left,35,76,right,orange,479,0
19,463915,0,0,4689,blue,true,right,23,85,left,orange,874,0
20,467305,0,0,4689,blue,true,right,54,22,left,orange,1600,0
21,471426,1,66,4623,blue,false,right,66,58,left,orange,1025,0
22,474973,0,0,4623,blue,true,right,98,41,left,orange,951,0
23,478440,0,0,4623,blue,true,left,58,80,right,orange,1033,0
24,481990,0,0,4623,blue,true,left,32,85,right,orange,790,0
25,485299.00000000006,1,83,4540,blue,false,left,83,15,right,orange,1724,0
26,489551,0,0,4540,blue,true,left,18,16,right,orange,641,0
27,492716,0,0,4540,blue,true,left,56,99,right,orange,1437,0
28,496671,0,0,4540,blue,true,left,23,75,right,orange,788,0
29,499979,1,18,4522,blue,true,right,68,18,right,blue,1753,0
30,504259,1,16,4506,blue,true,left,30,16,left,blue,1855,0
31,508638.00000000006,0,0,4506,blue,true,right,86,37,left,orange,726,0
32,511883.00000000006,0,0,4506,blue,true,left,47,44,right,orange,461,0
33,514860,0,0,4506,blue,true,right,3,91,left,orange,436,0
34,517813.99999999994,1,60,4446,blue,false,right,60,14,left,orange,601,0
35,520940.00000000006,0,0,4446,blue,true,right,54,84,left,orange,1052,0
36,524509,0,0,4446,blue,true,left,34,23,right,orange,1453,0
37,528488,1,28,4418,blue,true,right,96,28,right,blue,1338,0
38,532349,1,83,4335,blue,false,right,83,94,left,orange,2118,0
39,536989,0,0,4335,blue,true,left,63,86,right,orange,1132,0
40,540637,1,53,4282,blue,true,left,99,53,left,blue,1456,0
41,544621,0,0,4282,blue,true,left,29,91,right,orange,1280,0
42,548418,0,0,4282,blue,true,right,88,64,left,orange,1453,0
43,552389,0,0,4282,blue,true,right,84,70,left,orange,1458,0
44,556366,1,61,4221,blue,false,left,61,88,right,orange,582,0
45,559471,0,0,4221,blue,true,right,61,43,left,orange,698,0
46,562687,0,0,4221,blue,true,right,87,54,left,orange,428,0
47,565636,1,5,4216,blue,false,left,5,90,right,orange,576,0
48,572744,1,44,4172,blue,true,left,71,44,left,blue,1347,0
49,576615,0,0,4172,blue,true,right,42,52,left,orange,1036,0
50,580166,0,0,4172,blue,true,left,39,93,right,orange,898,0
51,583582,0,0,4172,blue,true,left,39,24,right,orange,762,0
52,586860,1,20,4152,blue,false,right,20,10,left,orange,1737,0
53,591119,0,0,4152,blue,false,right,85,43,right,blue,1116,0
54,594758,0,0,4152,blue,false,right,77,7,right,blue,1215,0
