Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,255554.00999999983,1,10,4990,blue,true,right,23,10,right,blue,1639,0
2,259737.29500000263,0,0,4990,blue,true,left,45,97,right,orange,954,0
3,263236.3150000019,0,0,4990,blue,true,right,54,62,left,orange,1229,0
4,267018.62000000256,0,0,4990,blue,false,right,99,16,right,blue,908,0
5,270469.6949999998,1,40,4950,blue,true,left,72,40,left,blue,1150,0
6,274168.80500000116,1,88,4862,blue,true,right,98,88,right,blue,1002,0
7,277719.2800000012,0,0,4862,blue,true,left,6,54,right,orange,952,0
8,281218.59500000207,1,55,4807,blue,true,left,64,55,left,blue,1062,0
9,284835.615,1,96,4711,blue,false,right,96,45,left,orange,953,0
10,288336.10000000044,0,0,4711,blue,true,right,28,19,left,orange,766,0
11,291651.5400000026,1,26,4685,blue,true,right,95,26,right,blue,1052,0
12,295252.0350000013,1,29,4656,blue,true,right,90,29,right,blue,897,0
13,298702.6050000022,0,0,4656,blue,true,left,20,53,right,orange,739,0
14,301984.9050000012,1,56,4600,blue,true,left,74,56,left,blue,1051,0
15,305586.09000000067,0,0,4600,blue,true,right,18,42,left,orange,854,0
16,308986.5950000021,0,0,4600,blue,true,left,11,91,right,orange,851,0
17,312385.33500000264,0,0,4600,blue,false,right,32,31,right,blue,756,0
18,315680.13500000234,0,0,4600,blue,true,left,36,65,right,orange,764,0
19,318984.3600000022,0,0,4600,blue,false,left,40,30,left,blue,974,0
20,322502.0150000019,1,26,4574,blue,true,left,29,26,left,blue,1264,0
21,326318.89500000037,1,32,4542,blue,false,right,32,36,left,orange,1169,0
22,330035.3400000022,0,0,4542,blue,true,right,72,81,left,orange,895,0
23,333485.01000000036,0,0,4542,blue,false,right,95,54,right,blue,1040,0
24,337067.6200000016,0,0,4542,blue,false,left,40,59,left,blue,868,0
25,340484.20500000066,0,0,4542,blue,false,left,29,24,left,blue,788,0
26,343818.3000000026,0,0,4542,blue,false,left,60,51,left,blue,1159,0
27,347520.36500000034,1,83,4459,blue,false,right,83,65,left,orange,1069,0
28,351135.6799999994,0,0,4459,blue,true,left,78,98,right,orange,1012,0
29,354683.90500000166,0,0,4459,blue,false,left,56,51,left,blue,932,0
30,358167.30500000267,1,5,4454,blue,false,right,5,20,left,orange,612,0
31,361334.02500000014,0,0,4454,blue,false,right,67,2,right,blue,677,0
32,364552.3300000023,0,0,4454,blue,false,right,85,84,right,blue,571,0
33,367668.28499999974,0,0,4454,blue,true,left,7,49,right,orange,645,0
34,370852.32499999984,1,37,4417,blue,false,left,37,47,right,orange,773,0
35,374185.36500000115,1,27,4390,blue,false,right,27,91,left,orange,547,0
36,377283.9249999997,0,0,4390,blue,false,left,44,42,left,blue,1766,0
37,381602.3200000018,0,0,4390,blue,true,right,31,55,left,orange,908,0
38,385051.06000000157,0,0,4390,blue,false,left,97,70,left,blue,736,0
39,388333.5299999999,0,0,4390,blue,false,left,14,9,left,blue,473,0
40,391350.4649999995,1,51,4339,blue,true,right,23,51,right,blue,785,0
41,394685.4600000006,1,79,4260,blue,true,left,89,79,left,blue,625,0
42,397850.3100000016,0,0,4260,blue,true,right,83,86,left,orange,785,0
43,401184.24500000034,0,0,4260,blue,true,left,40,62,right,orange,898,0
44,404635.6400000004,1,23,4237,blue,true,left,36,23,left,blue,720,0
45,407918.64500000153,1,61,4176,blue,true,right,65,61,right,blue,1303,0
46,411767.8100000012,0,0,4176,blue,true,left,74,67,right,orange,971,0
47,415275.7400000009,1,41,4135,blue,true,right,73,41,right,blue,680,0
48,422518.5700000002,0,0,4135,blue,false,right,96,54,right,blue,997,0
49,426067.2200000008,0,0,4135,blue,true,left,86,88,right,orange,592,0
50,429201.1200000015,1,66,4069,blue,true,right,43,66,right,blue,754,0
51,432499.4700000025,1,79,3990,blue,true,left,72,79,left,blue,747,0
52,435800.3100000024,0,0,3990,blue,false,right,71,13,right,blue,736,0
53,439085.3550000029,1,53,3937,blue,true,left,78,53,left,blue,911,0
54,442551.8450000018,1,90,3847,blue,true,right,57,90,right,blue,645,0
55,445750.3550000001,1,3,3844,blue,false,right,3,12,left,orange,504,0
56,448800.0549999997,0,0,3844,blue,true,left,2,64,right,orange,785,0
57,452134.72499999986,1,9,3835,blue,true,right,99,9,right,blue,837,0
58,455520.14000000054,1,42,3793,blue,true,right,21,42,right,blue,741,0
59,458817.0400000017,0,0,3793,blue,true,left,83,72,right,orange,724,0
60,462083.0100000021,1,11,3782,blue,true,right,37,11,right,blue,627,0
61,465270.62500000105,1,67,3715,blue,false,left,67,81,right,orange,729,0
62,468552.380000001,0,0,3715,blue,true,right,12,14,left,orange,1017,0
63,472118.0249999998,0,0,3715,blue,false,right,78,90,right,blue,804,0
64,475467.560000001,0,0,3715,blue,false,left,46,53,left,blue,966,0
65,478984.4699999994,0,0,3715,blue,false,right,30,42,right,blue,552,0
66,482084.2100000009,0,0,3715,blue,false,right,36,65,right,blue,600,0
67,485234.2549999994,0,0,3715,blue,false,right,49,49,right,blue,912,0
68,488679.0600000022,1,44,3671,blue,false,left,44,10,right,orange,973,0
69,492200.925000001,0,0,3671,blue,false,right,70,64,right,blue,604,0
70,495349.67999999935,0,0,3671,blue,false,right,68,95,right,blue,640,0
71,498525.4300000015,0,0,3671,blue,false,left,38,46,left,blue,1022,0
72,502084.5100000006,0,0,3671,blue,false,left,18,24,left,blue,520,0
73,505149.4700000003,0,0,3671,blue,false,left,82,78,left,blue,580,0
74,508271.2300000021,0,0,3671,blue,false,left,59,54,left,blue,395,0
75,511216.28500000224,0,0,3671,blue,false,right,36,33,right,blue,569,0
76,514332.9150000027,1,56,3615,blue,true,right,49,56,right,blue,544,0
77,517416.75000000035,0,0,3615,blue,false,left,26,83,left,blue,592,0
78,520550.3600000011,0,0,3615,blue,false,left,38,81,left,blue,540,0
79,523634.2250000016,0,0,3615,blue,false,right,12,3,right,blue,531,0
80,526717.9300000025,0,0,3615,blue,false,right,62,38,right,blue,535,0
81,529799.4550000003,0,0,3615,blue,false,right,43,50,right,blue,718,0
82,533066.9600000001,0,0,3615,blue,false,left,50,47,left,blue,576,0
83,536188.5600000024,1,35,3580,blue,true,right,41,35,right,blue,439,0
84,539183.395,0,0,3580,blue,false,left,9,62,left,blue,466,0
