Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,282942.9200000013,1,10,4990,blue,true,right,23,10,right,blue,1104,0
2,286607.90500001167,0,0,4990,blue,true,left,45,97,right,orange,1048,0
3,290227.70500001207,0,0,4990,blue,true,left,54,62,right,orange,1474,0
4,294251.27000000793,0,0,4990,blue,false,right,99,16,right,blue,1348,0
5,298147.4450000096,1,40,4950,blue,true,left,72,40,left,blue,1396,0
6,302106.2200000015,1,88,4862,blue,true,left,98,88,left,blue,2348,0
7,307015.44000000285,0,0,4862,blue,true,left,6,54,right,orange,1168,0
8,310753.7650000013,1,55,4807,blue,true,right,64,55,right,blue,1398,0
9,314725.9650000051,0,0,4807,blue,false,left,96,45,left,blue,1854,0
10,319147.94000000984,0,0,4807,blue,true,right,28,19,left,orange,1545,0
11,323255.0049999991,1,26,4781,blue,true,left,95,26,left,blue,1260,0
12,327068.96499999857,1,29,4752,blue,true,left,90,29,left,blue,1180,0
13,330812.2149999981,0,0,4752,blue,true,right,20,53,left,orange,1001,0
14,334387.0500000048,0,0,4752,blue,true,left,74,56,right,orange,1491,0
15,338442.9650000093,0,0,4752,blue,true,left,18,42,right,orange,832,0
16,341827.95000000624,0,0,4752,blue,true,right,11,91,left,orange,768,0
17,345154.4649999996,1,32,4720,blue,false,left,32,31,right,orange,1000,0
18,348731.52500001015,0,0,4720,blue,true,left,36,65,right,orange,972,0
19,352257.2300000029,1,40,4680,blue,false,right,40,30,left,orange,1556,0
20,356372.6549999992,0,0,4680,blue,true,left,29,26,right,orange,1077,0
21,360003.89000000723,1,32,4648,blue,false,left,32,36,right,orange,875,0
22,363435.48500000907,0,0,4648,blue,true,right,72,81,left,orange,1735,0
23,367718.89000000374,0,0,4648,blue,false,left,95,54,left,blue,1141,0
24,371425.38500000956,1,40,4608,blue,false,right,40,59,left,orange,980,0
25,374980.8950000006,1,29,4579,blue,false,right,29,24,left,orange,678,0
26,378230.5600000109,0,0,4579,blue,false,right,60,51,right,blue,1509,0
27,382290.5400000018,0,0,4579,blue,false,right,83,65,right,blue,2178,0
28,387017.97500000976,0,0,4579,blue,true,right,78,98,left,orange,1140,0
29,390705.9450000088,1,56,4523,blue,false,left,56,51,right,orange,1136,0
30,394416.17500000575,1,5,4518,blue,false,left,5,20,right,orange,958,0
31,397949.9450000003,0,0,4518,blue,false,left,67,2,left,blue,691,0
32,401193.62000000547,0,0,4518,blue,false,left,85,84,left,blue,1168,0
33,404915.38500000024,0,0,4518,blue,true,left,7,49,right,orange,1236,0
34,408702.2900000011,1,37,4481,blue,false,left,37,47,right,orange,1177,0
35,412451.22000000265,1,27,4454,blue,false,right,27,91,left,orange,1204,0
36,416218.6500000098,0,0,4454,blue,false,right,44,42,right,blue,1371,0
37,420148.7000000052,0,0,4454,blue,true,left,31,55,right,orange,1093,0
38,423791.49000000325,0,0,4454,blue,false,left,97,70,left,blue,1147,0
39,427506.5850000101,0,0,4454,blue,false,right,14,9,right,blue,1272,0
40,431333.8950000034,0,0,4454,blue,true,left,23,51,right,orange,1451,0
41,435350.5850000074,1,79,4375,blue,true,right,89,79,right,blue,1448,0
42,439352.8900000092,0,0,4375,blue,true,right,83,86,left,orange,1272,0
43,443181.9150000083,0,0,4375,blue,true,right,40,62,left,orange,1022,0
44,446758.5800000088,1,23,4352,blue,true,left,36,23,left,blue,1576,0
45,450895.5450000067,0,0,4352,blue,true,right,65,61,left,orange,1434,0
46,454883.17500000994,0,0,4352,blue,true,left,74,67,right,orange,1680,0
47,459117.0800000109,1,41,4311,blue,true,right,73,41,right,blue,1776,0
48,467498.4800000093,1,96,4215,blue,false,left,96,54,right,orange,837,0
49,470907.6350000105,0,0,4215,blue,true,left,86,88,right,orange,1236,0
50,474704.190000004,0,0,4215,blue,true,left,43,66,right,orange,994,0
51,478259.93500000914,0,0,4215,blue,true,left,72,79,right,orange,1307,0
52,482119.91000000853,0,0,4215,blue,false,left,71,13,left,blue,850,0
53,485533.96000000066,1,53,4162,blue,true,right,78,53,right,blue,815,0
54,488914.22500000044,0,0,4162,blue,true,left,57,90,right,orange,1090,0
55,492567.3250000109,1,3,4159,blue,false,right,3,12,left,orange,645,0
56,495784.6900000004,0,0,4159,blue,true,right,2,64,left,orange,637,0
57,498972.740000012,1,9,4150,blue,true,right,99,9,right,blue,799,0
58,502330.3500000038,0,0,4150,blue,true,left,21,42,right,orange,1156,0
59,506038.7300000002,0,0,4150,blue,true,right,83,72,left,orange,1676,0
60,510276.8650000071,1,11,4139,blue,true,right,37,11,right,blue,1433,0
61,514278.79500000563,1,67,4072,blue,false,left,67,81,right,orange,765,0
62,517604.9849999981,0,0,4072,blue,true,left,12,14,right,orange,772,0
63,520926.59000000276,1,78,3994,blue,false,left,78,90,right,orange,862,0
64,524356.7049999983,1,46,3948,blue,false,left,46,53,right,orange,860,0
65,527780.4949999991,1,30,3918,blue,false,right,30,42,left,orange,1822,0
66,532166.4650000021,1,36,3882,blue,false,left,36,65,right,orange,1695,0
67,536428.5450000025,0,0,3882,blue,false,right,49,49,right,blue,1650,0
68,540631.9300000032,0,0,3882,blue,false,right,44,10,right,blue,822,0
69,544010.5350000085,0,0,3882,blue,false,left,70,64,left,blue,1083,0
70,547657.7550000075,1,68,3814,blue,false,left,68,95,right,orange,1089,0
71,551323.3850000106,0,0,3814,blue,false,left,38,46,left,blue,1811,0
72,555679.1599999997,0,0,3814,blue,false,left,18,24,left,blue,1121,0
73,559359.2650000064,0,0,3814,blue,false,right,82,78,right,blue,1232,0
74,563134.6350000094,0,0,3814,blue,false,left,59,54,left,blue,1034,0
75,566711.850000007,0,0,3814,blue,false,right,36,33,right,blue,808,0
76,570082.7550000104,1,56,3758,blue,true,left,49,56,left,blue,1309,0
77,573950.7250000024,1,26,3732,blue,false,left,26,83,right,orange,1143,0
78,577642.6350000111,1,38,3694,blue,false,right,38,81,left,orange,2326,0
79,582532.6250000071,0,0,3694,blue,false,right,12,3,right,blue,773,0
80,585867.6350000023,0,0,3694,blue,false,right,62,38,right,blue,909,0
81,589318.4750000073,0,0,3694,blue,false,right,43,50,right,blue,974,0
82,592834.240000011,0,0,3694,blue,false,right,50,47,right,blue,898,0
83,596282.5850000081,1,35,3659,blue,true,left,41,35,left,blue,829,0
84,599674.2599999998,1,9,3650,blue,false,left,9,62,right,orange,850,0
85,603081.9699999993,0,0,3650,blue,false,left,60,58,left,blue,1134,0
86,606766.4750000113,0,0,3650,blue,false,right,88,31,right,blue,731,0
87,610051.2799999997,0,0,3650,blue,false,left,56,44,left,blue,671,0
88,613287.1100000048,1,15,3635,blue,true,right,31,15,right,blue,758,0
89,616608.4400000109,0,0,3635,blue,false,left,90,31,left,blue,902,0
90,620064.4949999987,0,0,3635,blue,false,right,80,76,right,blue,717,0
91,623334.0500000049,0,0,3635,blue,false,left,78,4,left,blue,585,0
92,626473.5000000073,0,0,3635,blue,false,left,60,28,left,blue,789,0
93,629821.5449999989,1,99,3536,blue,true,right,56,99,right,blue,1697,0
94,638087.0100000029,0,0,3536,blue,false,left,31,45,left,blue,898,0
95,641537.3300000065,0,0,3536,blue,false,left,55,16,left,blue,643,0
96,644737.9000000074,0,0,3536,blue,true,left,12,89,right,orange,986,0
97,648285.705000002,0,0,3536,blue,false,right,49,4,right,blue,952,0
98,651782.400000011,0,0,3536,blue,false,right,69,12,right,blue,893,0
99,655232.0000000036,1,26,3510,blue,true,left,49,26,left,blue,801,0
100,658604.0950000024,0,0,3510,blue,false,right,75,76,right,blue,2142,0
101,663293.2650000002,1,22,3488,blue,false,right,22,90,left,orange,1113,0
102,666976.9500000111,1,23,3465,blue,true,right,26,23,right,blue,862,0
103,670406.130000003,1,11,3454,blue,false,right,11,68,left,orange,944,0
104,673915.1150000107,1,82,3372,blue,true,right,71,82,right,blue,990,0
105,677462.1550000011,1,86,3286,blue,false,left,86,95,right,orange,1261,0
