Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,224811,0,0,5000,blue,true,right,44,37,left,orange,1685,0
2,229018,0,0,5000,blue,true,right,66,12,left,orange,1846,0
3,233382,0,0,5000,blue,true,left,98,9,right,orange,1048,0
4,236948,1,20,4980,blue,false,left,20,91,right,orange,1081,0
5,240549,1,8,4972,blue,true,left,28,8,left,blue,2081,0
6,245149,1,33,4939,blue,true,left,30,33,left,blue,1712,0
7,249382,0,0,4939,blue,true,right,27,24,left,orange,1203,0
8,253103,1,58,4881,blue,false,left,58,43,right,orange,599,0
9,256221,1,47,4834,blue,true,right,72,47,right,blue,1305,0
10,260045.00000000003,0,0,4834,blue,false,right,44,44,right,blue,1239,0
11,263799,1,26,4808,blue,true,left,69,26,left,blue,500,0
12,266817,0,0,4808,blue,true,left,6,41,right,orange,1948,0
13,271280.00000000006,1,34,4774,blue,true,left,88,34,left,blue,961,0
14,274761,1,73,4701,blue,false,left,73,18,right,orange,1427,0
15,278710,1,25,4676,blue,true,right,60,25,right,blue,1462,0
16,282692,0,0,4676,blue,true,left,68,6,right,orange,1496,0
17,286705,1,48,4628,blue,false,left,48,39,right,orange,970,0
18,290195,0,0,4628,blue,true,left,35,76,right,orange,1485,0
19,294197,1,85,4543,blue,true,left,23,85,left,blue,2073,0
20,298790,1,22,4521,blue,true,right,54,22,right,blue,2915,0
21,304224,1,66,4455,blue,false,left,66,58,right,orange,2441,0
22,309198,1,41,4414,blue,true,right,98,41,right,blue,2634,0
23,314352.00000000006,0,0,4414,blue,true,right,58,80,left,orange,1121,0
24,317990,0,0,4414,blue,true,right,32,85,left,orange,938,0
25,321444,1,83,4331,blue,false,right,83,15,left,orange,2985,0
26,326950,0,0,4331,blue,true,left,18,16,right,orange,1786,0
27,331253,0,0,4331,blue,true,right,56,99,left,orange,691,0
28,334461,0,0,4331,blue,true,right,23,75,left,orange,769,0
29,337748,1,18,4313,blue,true,right,68,18,right,blue,958,0
30,341229,0,0,4313,blue,true,right,30,16,left,orange,550,0
31,344298,0,0,4313,blue,true,right,86,37,left,orange,764,0
32,347580,0,0,4313,blue,true,left,47,44,right,orange,1116,0
33,351213,1,91,4222,blue,true,right,3,91,right,blue,1477,0
34,355210,1,60,4162,blue,false,left,60,14,right,orange,1191,0
35,358921,1,84,4078,blue,true,left,54,84,left,blue,541,0
36,361981,1,23,4055,blue,true,right,34,23,right,blue,788,0
37,365290,1,28,4027,blue,true,left,96,28,left,blue,538,0
38,368352.00000000006,1,83,3944,blue,false,right,83,94,left,orange,1835,0
39,372704,1,86,3858,blue,true,left,63,86,left,blue,640,0
40,375863,1,53,3805,blue,true,right,99,53,right,blue,809,0
41,379193,0,0,3805,blue,true,right,29,91,left,orange,2836,0
42,384550,0,0,3805,blue,true,left,88,64,right,orange,594,0
43,387659,0,0,3805,blue,true,right,84,70,left,orange,459,0
44,390635,1,61,3744,blue,false,left,61,88,right,orange,720,0
45,393875,1,43,3701,blue,true,right,61,43,right,blue,651,0
46,397049.00000000006,0,0,3701,blue,true,left,87,54,right,orange,1506,0
47,401076,1,5,3696,blue,false,right,5,90,left,orange,583,0
48,408186.00000000006,0,0,3696,blue,true,right,71,44,left,orange,1068,0
49,411771,1,52,3644,blue,true,left,42,52,left,blue,1637,0
50,415933,0,0,3644,blue,true,left,39,93,right,orange,836,0
51,419286,1,24,3620,blue,true,left,39,24,left,blue,2152,0
52,423959,1,20,3600,blue,false,left,20,10,right,orange,683,0
53,427162.00000000006,1,85,3515,blue,false,left,85,43,right,orange,1498,0
54,431181,0,0,3515,blue,false,right,77,7,right,blue,661,0
55,434363,1,90,3425,blue,true,right,95,90,right,blue,506,0
56,437392,1,7,3418,blue,true,right,56,7,right,blue,717,0
57,440630,0,0,3418,blue,true,right,50,69,left,orange,686,0
58,443834,0,0,3418,blue,true,left,4,83,right,orange,463,0
59,446815,1,40,3378,blue,false,right,40,8,left,orange,486,0
60,449822,1,86,3292,blue,true,right,47,86,right,blue,438,0
61,452778,1,49,3243,blue,true,left,15,49,left,blue,539,0
62,455840.00000000006,0,0,3243,blue,true,right,17,39,left,orange,719,0
63,459074,1,76,3167,blue,false,left,76,97,right,orange,726,0
64,462325,0,0,3167,blue,true,right,73,14,left,orange,623,0
65,465465.00000000006,0,0,3167,blue,true,right,67,29,left,orange,576,0
66,468558,0,0,3167,blue,true,left,48,39,right,orange,421,0
67,471495,0,0,3167,blue,true,left,30,99,right,orange,453,0
68,474464,0,0,3167,blue,false,right,13,20,right,blue,445,0
69,477425,1,59,3108,blue,true,left,66,59,left,blue,554,0
70,480498,0,0,3108,blue,true,left,20,60,right,orange,393,0
71,483410,0,0,3108,blue,true,right,41,25,left,orange,588,0
72,486515,1,76,3032,blue,false,left,76,70,right,orange,666,0
73,489702,1,73,2959,blue,false,right,73,18,left,orange,495,0
74,492716,0,0,2959,blue,false,left,41,80,left,blue,484,0
75,495721,0,0,2959,blue,true,left,25,76,right,orange,471,0
76,498711,1,34,2925,blue,false,right,34,52,left,orange,924,0
77,502159,0,0,2925,blue,false,left,30,60,left,blue,1008,0
78,505683,1,91,2834,blue,false,left,91,36,right,orange,465,0
79,508668,1,70,2764,blue,false,right,70,59,left,orange,834,0
80,512020,0,0,2764,blue,true,right,64,47,left,orange,642,0
81,515183,1,28,2736,blue,false,right,28,44,left,orange,404,0
82,518110,1,2,2734,blue,false,right,2,80,left,orange,683,0
83,521312,1,20,2714,blue,false,left,20,39,right,orange,464,0
84,524301,1,32,2682,blue,false,right,32,61,left,orange,444,0
85,527267,1,90,2592,blue,false,left,90,61,right,orange,380,0
86,530173,0,0,2592,blue,true,right,62,70,left,orange,690,0
87,533380,1,17,2575,blue,false,right,17,33,left,orange,478,0
88,536379,1,74,2501,blue,false,left,74,17,right,orange,516,0
89,539414,1,2,2499,blue,false,left,2,85,right,orange,450,0
90,542383,0,0,2499,blue,false,left,39,76,left,blue,452,0
91,545352,1,70,2429,blue,false,left,70,20,right,orange,430,0
92,548301,0,0,2429,blue,true,right,24,69,left,orange,462,0
93,551282,1,52,2377,blue,true,left,59,52,left,blue,519,0
94,558327,1,15,2362,blue,false,right,15,43,left,orange,776,0
95,561628,1,34,2328,blue,true,left,50,34,left,blue,703,0
96,564853.0000000001,1,43,2285,blue,false,right,43,48,left,orange,616,0
97,567989,1,35,2250,blue,true,left,14,35,left,blue,473,0
98,570984,0,0,2250,blue,true,right,12,42,left,orange,560,0
99,574061,1,44,2206,blue,true,left,40,44,left,blue,339,0
100,576923,0,0,2206,blue,true,right,88,50,left,orange,393,0
101,579833,0,0,2206,blue,true,right,51,19,left,orange,550,0
102,582903,1,59,2147,blue,true,right,44,59,right,blue,431,0
103,585854,1,9,2138,blue,true,right,23,9,right,blue,352,0
104,588724,0,0,2138,blue,true,left,23,76,right,orange,324,0
105,591566,0,0,2138,blue,true,left,94,47,right,orange,340,0
106,594422,0,0,2138,blue,false,right,67,56,right,blue,375,0
107,597319,1,16,2122,blue,true,left,50,16,left,blue,438,0
108,600276.0000000001,1,7,2115,blue,true,left,83,7,left,blue,361,0
109,603155,0,0,2115,blue,true,right,86,41,left,orange,293,0
110,605963,1,37,2078,blue,true,left,61,37,left,blue,377,0
111,608858.0000000001,0,0,2078,blue,false,left,82,57,left,blue,396,0
112,611769,0,0,2078,blue,false,left,68,28,left,blue,871,0
113,615155,0,0,2078,blue,false,right,65,76,right,blue,433,0
114,618104,1,25,2053,blue,false,left,25,19,right,orange,364,0
115,620989,1,67,1986,blue,false,left,67,68,right,orange,314,0
116,623822,0,0,1986,blue,false,left,82,68,left,blue,1158,0
117,627495,0,0,1986,blue,false,left,88,19,left,blue,884,0
118,630893,1,11,1975,blue,true,right,55,11,right,blue,567,0
119,633979,1,36,1939,blue,true,left,74,36,left,blue,305,0
120,636805.0000000001,0,0,1939,blue,false,right,18,64,right,blue,527,0
121,639848.0000000001,1,15,1924,blue,false,left,15,3,right,orange,511,0
122,642877.0000000001,1,91,1833,blue,false,right,91,76,left,orange,340,0
123,645738,0,0,1833,blue,false,right,66,92,right,blue,383,0
124,648638,1,67,1766,blue,false,left,67,14,right,orange,329,0
125,651486,1,77,1689,blue,true,left,11,77,left,blue,563,0
126,654571,0,0,1689,blue,false,right,36,20,right,blue,392,0
127,657478.0000000001,0,0,1689,blue,false,right,44,61,right,blue,330,0
128,660324.0000000001,1,4,1685,blue,false,left,4,34,right,orange,386,0
129,663228.0000000001,0,0,1685,blue,false,right,86,63,right,blue,442,0
130,666186,1,99,1586,blue,false,left,99,43,right,orange,588,0
131,669295,1,56,1530,blue,true,right,95,56,right,blue,461,0
132,672275,0,0,1530,blue,false,left,89,63,left,blue,561,0
133,675351,0,0,1530,blue,true,right,88,80,left,orange,1322,0
134,679189,1,5,1525,blue,false,right,5,10,left,orange,769,0
135,682477,1,80,1445,blue,true,right,35,80,right,blue,542,0
136,685539,0,0,1445,blue,true,left,8,57,right,orange,327,0
137,688381,1,47,1398,blue,true,right,78,47,right,blue,341,0
138,691241,1,99,1299,blue,true,right,5,99,right,blue,361,0
139,694121,1,67,1232,blue,true,left,62,67,left,blue,351,0
140,696989,1,95,1137,blue,false,left,95,27,right,orange,350,0
