Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,551845.7999999523,1,37,4963,blue,true,right,44,37,right,blue,2713,0
2,557088.6999999285,1,12,4951,blue,true,left,66,12,left,blue,825,0
3,560439,1,9,4942,blue,true,left,98,9,left,blue,710,0
4,563687,1,20,4922,blue,false,left,20,91,right,orange,1063,0
5,567289,1,8,4914,blue,true,left,28,8,left,blue,635,0
6,570452.7999999523,0,0,4914,blue,true,right,30,33,left,orange,981,0
7,573970.1999999285,1,24,4890,blue,true,right,27,24,right,blue,1098,0
8,577604.0999999046,0,0,4890,blue,false,right,58,43,right,blue,1178,0
9,581309.8999999762,1,47,4843,blue,true,left,72,47,left,blue,746,0
10,584583.2999999523,1,44,4799,blue,false,right,44,44,left,orange,1673,0
11,588784.6999999285,1,26,4773,blue,true,left,69,26,left,blue,956,0
12,592269.7999999523,0,0,4773,blue,true,right,6,41,left,orange,795,0
13,595600.0999999046,1,34,4739,blue,true,left,88,34,left,blue,1159,0
14,599298.5999999046,0,0,4739,blue,false,right,73,18,right,blue,886,0
15,602716.0999999046,1,25,4714,blue,true,left,60,25,left,blue,1132,0
16,606383.2999999523,1,6,4708,blue,true,left,68,6,left,blue,636,0
17,609547.7999999523,0,0,4708,blue,false,right,48,39,right,blue,1140,0
18,613214.5,0,0,4708,blue,true,right,35,76,left,orange,1092,0
19,616847.8999999762,0,0,4708,blue,true,right,23,85,left,orange,771,0
20,620147.2999999523,1,22,4686,blue,true,left,54,22,left,blue,897,0
21,623579.6999999285,1,66,4620,blue,false,right,66,58,left,orange,3043,0
22,629161.6999999285,1,41,4579,blue,true,right,98,41,right,blue,877,0
23,632561.5,0,0,4579,blue,true,left,58,80,right,orange,1095,0
24,636195.8999999762,0,0,4579,blue,true,right,32,85,left,orange,936,0
25,639659.5999999046,0,0,4579,blue,false,right,83,15,right,blue,909,0
26,643095.0999999046,0,0,4579,blue,true,right,18,16,left,orange,1053,0
27,646676.2999999523,0,0,4579,blue,true,left,56,99,right,orange,912,0
28,650126.0999999046,0,0,4579,blue,true,left,23,75,right,orange,874,0
29,653525.1999999285,1,18,4561,blue,true,left,68,18,left,blue,849,0
30,656908.8999999762,1,16,4545,blue,true,right,30,16,right,blue,28,0
31,659476,1,37,4508,blue,true,right,86,37,right,blue,917,0
32,662922.8999999762,1,44,4464,blue,true,right,47,44,right,blue,1817,0
33,667272.7999999523,0,0,4464,blue,true,left,3,91,right,orange,718,0
34,670524.3999999762,0,0,4464,blue,false,right,60,14,right,blue,882,0
35,673932.6999999285,0,0,4464,blue,true,left,54,84,right,orange,943,0
36,677404.1999999285,1,23,4441,blue,true,left,34,23,left,blue,748,0
37,680683.6999999285,1,28,4413,blue,true,right,96,28,right,blue,829,0
38,684042.1999999285,1,83,4330,blue,false,left,83,94,right,orange,3334,0
39,689902.0999999046,0,0,4330,blue,true,left,63,86,right,orange,985,0
40,693419.5999999046,1,53,4277,blue,true,right,99,53,right,blue,692,0
41,696652.3999999762,0,0,4277,blue,true,left,29,91,right,orange,560,0
42,699751,0,0,4277,blue,true,left,88,64,right,orange,643,0
43,702917.5999999046,0,0,4277,blue,true,right,84,70,left,orange,454,0
44,705904.5,1,61,4216,blue,false,right,61,88,left,orange,921,0
45,709349.5,0,0,4216,blue,true,left,61,43,right,orange,549,0
46,712433.3999999762,1,54,4162,blue,true,right,87,54,right,blue,1279,0
47,716250.1999999285,1,5,4157,blue,false,left,5,90,right,orange,743,0
48,723536.1999999285,1,44,4113,blue,true,left,71,44,left,blue,1529,0
49,727598.5999999046,1,52,4061,blue,true,left,42,52,left,blue,1006,0
50,731125,0,0,4061,blue,true,left,39,93,right,orange,765,0
51,734409.7999999523,1,24,4037,blue,true,right,39,24,right,blue,2247,0
52,739197.5999999046,0,0,4037,blue,false,left,20,10,left,blue,895,0
53,742630,0,0,4037,blue,false,right,85,43,right,blue,1018,0
54,746179.6999999285,0,0,4037,blue,false,left,77,7,left,blue,639,0
55,749343.7999999523,1,90,3947,blue,true,right,95,90,right,blue,1115,0
56,752992.5999999046,1,7,3940,blue,true,left,56,7,left,blue,655,0
57,756178.0999999046,1,69,3871,blue,true,left,50,69,left,blue,674,0
58,759391.7999999523,0,0,3871,blue,true,left,4,83,right,orange,562,0
59,762477.6999999285,0,0,3871,blue,false,left,40,8,left,blue,793,0
60,765809.2999999523,0,0,3871,blue,true,right,47,86,left,orange,1176,0
61,769524.7999999523,0,0,3871,blue,true,left,15,49,right,orange,976,0
62,773023.5999999046,0,0,3871,blue,true,left,17,39,right,orange,1496,0
63,777057.2999999523,1,76,3795,blue,false,left,76,97,right,orange,1353,0
64,780940.3999999762,1,14,3781,blue,true,right,73,14,right,blue,940,0
65,784406.1999999285,1,29,3752,blue,true,right,67,29,right,blue,915,0
66,787855.3999999762,1,39,3713,blue,true,right,48,39,right,blue,1022,0
67,791406.5,0,0,3713,blue,true,right,30,99,left,orange,712,0
68,794655.0999999046,1,13,3700,blue,false,left,13,20,right,orange,800,0
69,797988.6999999285,1,59,3641,blue,true,right,66,59,right,blue,1022,0
70,801555.2999999523,0,0,3641,blue,true,right,20,60,left,orange,890,0
71,804970.6999999285,1,25,3616,blue,true,right,41,25,right,blue,2222,0
72,809735.5,0,0,3616,blue,false,right,76,70,right,blue,1158,0
73,813417.8999999762,0,0,3616,blue,false,left,73,18,left,blue,971,0
