Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,234659.52999994624,1,10,4990,blue,true,right,23,10,right,blue,866,0
2,238104.00499997195,0,0,4990,blue,true,left,45,97,right,orange,946,0
3,241606.82999994606,0,0,4990,blue,true,right,54,62,left,orange,854,0
4,245008.18000000436,0,0,4990,blue,false,left,99,16,left,blue,1064,0
5,248635.90999995358,0,0,4990,blue,true,right,72,40,left,orange,1055,0
6,252237.97500005458,0,0,4990,blue,true,left,98,88,right,orange,919,0
7,255723.72500004712,0,0,4990,blue,true,right,6,54,left,orange,1020,0
8,259310.93000003602,1,55,4935,blue,true,left,64,55,left,blue,954,0
9,262838.0350000225,1,96,4839,blue,false,right,96,45,left,orange,1441,0
10,266842.40500000305,1,19,4820,blue,true,right,28,19,right,blue,582,0
11,269968.86500006076,0,0,4820,blue,true,left,95,26,right,orange,834,0
12,273345.16999998596,0,0,4820,blue,true,right,90,29,left,orange,584,0
13,276495.5899999477,0,0,4820,blue,true,right,20,53,left,orange,595,0
14,279648.984999978,0,0,4820,blue,true,left,74,56,right,orange,1149,0
15,283359.7099999897,0,0,4820,blue,true,right,18,42,left,orange,618,0
16,286552.4100000039,0,0,4820,blue,true,left,11,91,right,orange,636,0
17,289742.515000049,1,32,4788,blue,false,right,32,31,left,orange,1096,0
18,293425.58499996085,1,65,4723,blue,true,left,36,65,left,blue,650,0
19,296644.4800000172,1,40,4683,blue,false,right,40,30,left,orange,713,0
20,299943.014999968,0,0,4683,blue,true,left,29,26,right,orange,452,0
21,302959.3050000258,1,32,4651,blue,false,left,32,36,right,orange,503,0
22,306042.1599999536,0,0,4651,blue,true,right,72,81,left,orange,776,0
23,309370.92000001576,0,0,4651,blue,false,right,95,54,right,blue,864,0
24,312793.4149999637,1,40,4611,blue,false,right,40,59,left,orange,1025,0
25,316389.6850000601,1,29,4582,blue,false,right,29,24,left,orange,492,0
26,319456.97499997914,0,0,4582,blue,false,right,60,51,right,blue,544,0
27,322554.8799999524,0,0,4582,blue,false,left,83,65,left,blue,552,0
28,325672.6150000468,1,98,4484,blue,true,left,78,98,left,blue,394,0
29,328625.69999997504,0,0,4484,blue,false,right,56,51,right,blue,559,0
30,331756.3099999679,0,0,4484,blue,false,right,5,20,right,blue,1061,0
31,335389.06499999575,0,0,4484,blue,false,left,67,2,left,blue,445,0
32,338385.035000043,0,0,4484,blue,false,right,85,84,right,blue,427,0
33,341374.8899999773,0,0,4484,blue,true,left,7,49,right,orange,821,0
34,344765.60000004247,0,0,4484,blue,false,right,37,47,right,blue,723,0
35,348047.98499995377,1,27,4457,blue,false,right,27,91,left,orange,902,0
36,351507.6050000498,0,0,4457,blue,false,left,44,42,left,blue,961,0
37,355017.71000004373,1,55,4402,blue,true,left,31,55,left,blue,763,0
38,358355.11000000406,0,0,4402,blue,false,left,97,70,left,blue,409,0
39,361335.42999997735,0,0,4402,blue,false,right,14,9,right,blue,475,0
40,364373.59500001185,1,51,4351,blue,true,left,23,51,left,blue,483,0
41,367418.4649999952,1,79,4272,blue,true,right,89,79,right,blue,451,0
42,370423.94000000786,0,0,4272,blue,true,right,83,86,left,orange,577,0
43,373569.0000000177,0,0,4272,blue,true,left,40,62,right,orange,570,0
44,376702.9099999927,0,0,4272,blue,true,left,36,23,right,orange,718,0
45,379974.5549999643,0,0,4272,blue,true,right,65,61,left,orange,963,0
46,383495.8549999865,0,0,4272,blue,true,right,74,67,left,orange,742,0
47,386793.3999999659,0,0,4272,blue,true,left,73,41,right,orange,599,0
48,393966.8000000529,0,0,4272,blue,false,right,96,54,right,blue,2106,0
49,398618.05000004824,1,88,4184,blue,true,left,86,88,left,blue,485,0
50,401676.8800000427,1,66,4118,blue,true,right,43,66,right,blue,419,0
51,404667.604999966,0,0,4118,blue,true,left,72,79,right,orange,552,0
52,407790.76999996323,1,71,4047,blue,false,right,71,13,left,orange,341,0
53,410705.0299999537,0,0,4047,blue,true,left,78,53,right,orange,549,0
54,413832.95499999076,0,0,4047,blue,true,right,57,90,left,orange,1139,0
55,417538.3750000037,1,3,4044,blue,false,left,3,12,right,orange,417,0
56,420534.6150000114,0,0,4044,blue,true,left,2,64,right,orange,420,0
57,423520.0500000501,0,0,4044,blue,true,right,99,9,left,orange,368,0
58,426450.130000012,0,0,4044,blue,true,right,21,42,left,orange,568,0
59,429567.47000000905,0,0,4044,blue,true,left,83,72,right,orange,832,0
60,432956.845000037,0,0,4044,blue,true,left,37,11,right,orange,567,0
61,436074.58500005305,1,67,3977,blue,false,left,67,81,right,orange,901,0
62,439547.95999999624,0,0,3977,blue,true,left,12,14,right,orange,537,0
63,442640.49500005785,1,78,3899,blue,false,left,78,90,right,orange,521,0
