Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,453713.06500000355,1,37,4963,blue,true,left,44,37,left,blue,1483,0
2,457754.3850000002,1,12,4951,blue,true,right,66,12,right,blue,1386,0
3,461680.08499999996,1,9,4942,blue,true,right,98,9,right,blue,972,0
4,465185.7400000008,1,20,4922,blue,false,left,20,91,right,orange,1843,0
5,469593.1400000045,1,8,4914,blue,true,left,28,8,left,blue,642,0
6,472766.40000000043,1,33,4881,blue,true,right,30,33,right,blue,1862,0
7,477174.93500000273,1,24,4857,blue,true,left,27,24,left,blue,1101,0
8,480815.82499999786,1,58,4799,blue,false,right,58,43,left,orange,529,0
9,483893.5550000024,1,47,4752,blue,true,left,72,47,left,blue,879,0
10,487325.8050000004,1,44,4708,blue,false,left,44,44,right,orange,3167,0
11,493043.4250000035,1,26,4682,blue,true,right,69,26,right,blue,1950,0
12,497538.29000000405,0,0,4682,blue,true,left,6,41,right,orange,727,0
13,500814.99500000064,1,34,4648,blue,true,left,88,34,left,blue,1765,0
14,505139.08000000083,1,73,4575,blue,false,right,73,18,left,orange,1110,0
15,508789.99000000476,1,25,4550,blue,true,left,60,25,left,blue,746,0
16,512074.20500000444,1,6,4544,blue,true,right,68,6,right,blue,440,0
17,515062.4150000003,0,0,4544,blue,false,right,48,39,right,blue,1214,0
18,518808.7349999987,0,0,4544,blue,true,right,35,76,left,orange,3327,0
19,524678.0250000011,0,0,4544,blue,true,right,23,85,left,orange,1207,0
20,528421.405000001,1,22,4522,blue,true,left,54,22,left,blue,1313,0
21,537778.7500000049,1,66,4456,blue,false,right,66,58,left,orange,595,1
22,540903.9049999992,1,41,4415,blue,true,right,98,41,right,blue,732,0
23,544163.099999998,0,0,4415,blue,true,left,58,80,right,orange,980,0
24,547672.6600000039,0,0,4415,blue,true,left,32,85,right,orange,811,0
25,551034.7299999994,1,83,4332,blue,false,right,83,15,left,orange,1707,0
26,555276.3550000018,1,16,4316,blue,true,right,18,16,right,blue,1096,0
27,558902.4250000003,0,0,4316,blue,true,left,56,99,right,orange,2963,0
28,564393.2950000017,0,0,4316,blue,true,left,23,75,right,orange,864,0
29,567804.3350000007,1,18,4298,blue,true,left,68,18,left,blue,1964,0
30,572317.3450000031,1,16,4282,blue,true,left,30,16,left,blue,2324,0
31,577181.8700000003,1,37,4245,blue,true,left,86,37,left,blue,2182,0
32,581902.320000001,0,0,4245,blue,true,right,47,44,left,orange,1820,0
33,586253.9400000023,0,0,4245,blue,true,left,3,91,right,orange,1257,0
34,590053.0500000023,0,0,4245,blue,false,left,60,14,left,blue,1737,0
35,594317.3949999982,0,0,4245,blue,true,right,54,84,left,orange,915,0
36,597753.3150000018,1,23,4222,blue,true,right,34,23,right,blue,1531,0
37,601807.4449999986,1,28,4194,blue,true,right,96,28,right,blue,868,0
38,605203.4899999999,0,0,4194,blue,false,left,83,94,left,blue,2273,0
39,610001.4900000023,1,86,4108,blue,true,right,63,86,right,blue,2910,0
40,615444.9349999996,1,53,4055,blue,true,left,99,53,left,blue,783,0
41,618781.4100000032,0,0,4055,blue,true,right,29,91,left,orange,894,0
42,622199.195000001,0,0,4055,blue,true,left,88,64,right,orange,2009,0
43,626739.5900000047,0,0,4055,blue,true,right,84,70,left,orange,1524,0
44,630803.5099999979,1,61,3994,blue,false,right,61,88,left,orange,1490,0
45,634837.8950000042,0,0,3994,blue,true,right,61,43,left,orange,1496,0
