Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,194668.69999999925,1,37,4963,blue,true,right,44,37,right,blue,1287,1
2,198548.19999999925,0,0,4963,blue,true,left,66,12,right,orange,3138,0
3,204256.59999999963,0,0,4963,blue,true,right,98,9,left,orange,1652,0
4,208478.59999999963,0,0,4963,blue,false,left,20,91,left,blue,2281,0
5,213320.69999999925,1,8,4955,blue,true,right,28,8,right,blue,1237,0
6,217135.59999999963,1,33,4922,blue,true,right,30,33,right,blue,1299,0
7,221017.19999999925,0,0,4922,blue,true,left,27,24,right,orange,1285,0
8,224876.8999999985,1,58,4864,blue,false,left,58,43,right,orange,775,0
9,228226.3999999985,0,0,4864,blue,true,right,72,47,left,orange,345,0
10,231122.59999999963,0,0,4864,blue,false,left,44,44,left,blue,1770,0
11,235458.09999999963,1,26,4838,blue,true,right,69,26,right,blue,1029,0
12,239067.79999999888,0,0,4838,blue,true,left,6,41,right,orange,1499,0
13,243143.59999999963,1,34,4804,blue,true,left,88,34,left,blue,637,0
14,246360.59999999963,0,0,4804,blue,false,left,73,18,left,blue,417,0
15,249330.19999999925,0,0,4804,blue,true,right,60,25,left,orange,922,0
16,252812.19999999925,1,6,4798,blue,true,right,68,6,right,blue,604,0
17,255999,0,0,4798,blue,false,right,48,39,right,blue,1806,0
18,260360.79999999888,1,76,4722,blue,true,left,35,76,left,blue,1235,0
19,264180.5,0,0,4722,blue,true,right,23,85,left,orange,1031,0
20,267783,0,0,4722,blue,true,right,54,22,left,orange,615,0
21,270957.2999999989,1,66,4656,blue,false,left,66,58,right,orange,530,0
22,274062.3999999985,0,0,4656,blue,true,left,98,41,right,orange,1189,0
23,277802.69999999925,0,0,4656,blue,true,right,58,80,left,orange,489,0
24,280853.7999999989,0,0,4656,blue,true,right,32,85,left,orange,567,0
25,283982.5,0,0,4656,blue,false,left,83,15,left,blue,599,0
26,287151.19999999925,0,0,4656,blue,true,left,18,16,right,orange,571,0
27,290283.7999999989,1,99,4557,blue,true,left,56,99,left,blue,585,0
28,293448.5999999996,0,0,4557,blue,true,right,23,75,left,orange,1503,0
29,297511.19999999925,0,0,4557,blue,true,right,68,18,left,orange,379,0
30,300460.8999999985,0,0,4557,blue,true,right,30,16,left,orange,363,0
31,303394.3999999985,1,37,4520,blue,true,right,86,37,right,blue,399,0
32,306381.7999999989,0,0,4520,blue,true,left,47,44,right,orange,521,0
33,309465.0999999996,0,0,4520,blue,true,left,3,91,right,orange,628,0
34,312654.69999999925,0,0,4520,blue,false,right,60,14,right,blue,684,0
35,315902.19999999925,0,0,4520,blue,true,right,54,84,left,orange,931,0
36,319393.69999999925,0,0,4520,blue,true,right,34,23,left,orange,678,0
37,322629.69999999925,1,28,4492,blue,true,left,96,28,left,blue,1063,0
38,326265.69999999925,1,83,4409,blue,false,right,83,94,left,orange,1239,0
39,330076.5999999996,1,86,4323,blue,true,left,63,86,left,blue,493,0
40,333136.3999999985,1,53,4270,blue,true,left,99,53,left,blue,914,0
41,336627.7999999989,1,91,4179,blue,true,left,29,91,left,blue,432,0
42,339632.19999999925,1,64,4115,blue,true,right,88,64,right,blue,365,0
43,342594,1,70,4045,blue,true,left,84,70,left,blue,755,0
44,345912.69999999925,0,0,4045,blue,false,left,61,88,left,blue,828,0
45,349301.0999999996,0,0,4045,blue,true,right,61,43,left,orange,751,0
46,352619.2999999989,0,0,4045,blue,true,right,87,54,left,orange,631,0
47,355812.19999999925,1,5,4040,blue,false,right,5,90,left,orange,851,0
48,368818.3999999985,1,44,3996,blue,true,right,71,44,right,blue,567,1
49,371961.7999999989,1,52,3944,blue,true,right,42,52,right,blue,881,0
50,375431.5,1,93,3851,blue,true,right,39,93,right,blue,426,0
51,378421.3999999985,1,24,3827,blue,true,right,39,24,right,blue,479,0
52,381475.8999999985,1,20,3807,blue,false,left,20,10,right,orange,464,0
53,384521.8999999985,1,85,3722,blue,false,right,85,43,left,orange,423,0
54,387517.7999999989,0,0,3722,blue,false,left,77,7,left,blue,759,0
55,390831.8999999985,1,90,3632,blue,true,left,95,90,left,blue,429,0
56,393856.2999999989,0,0,3632,blue,true,left,56,7,right,orange,850,0
57,397267.5999999996,1,69,3563,blue,true,left,50,69,left,blue,394,0
58,400244.3999999985,1,83,3480,blue,true,left,4,83,left,blue,831,0
59,403647.2999999989,0,0,3480,blue,false,right,40,8,right,blue,825,0
60,407027.69999999925,1,86,3394,blue,true,right,47,86,right,blue,524,0
61,410130.7999999989,1,49,3345,blue,true,right,15,49,right,blue,540,0
62,413252.8999999985,0,0,3345,blue,true,left,17,39,right,orange,454,0
63,416273.5999999996,1,76,3269,blue,false,left,76,97,right,orange,550,0
64,419407.8999999985,0,0,3269,blue,true,right,73,14,left,orange,752,0
65,422723.5999999996,1,29,3240,blue,true,left,67,29,left,blue,1440,0
66,426746.5999999996,1,39,3201,blue,true,left,48,39,left,blue,324,0
67,429650.7999999989,1,99,3102,blue,true,right,30,99,right,blue,447,0
68,432672.0999999996,0,0,3102,blue,false,left,13,20,left,blue,301,0
69,435535.19999999925,1,59,3043,blue,true,left,66,59,left,blue,3383,0
70,441513.5,0,0,3043,blue,true,right,20,60,left,orange,605,0
71,444690.5999999996,1,25,3018,blue,true,right,41,25,right,blue,407,0
72,447665.7999999989,1,76,2942,blue,false,left,76,70,right,orange,524,0
73,450768.5999999996,0,0,2942,blue,false,left,73,18,left,blue,589,0
74,453916,0,0,2942,blue,false,left,41,80,left,blue,459,0
75,456930.3999999985,1,76,2866,blue,true,left,25,76,left,blue,514,0
76,460017.5,0,0,2866,blue,false,right,34,52,right,blue,444,0
77,463016.5999999996,1,30,2836,blue,false,right,30,60,left,orange,920,0
78,466517.3999999985,0,0,2836,blue,false,left,91,36,left,blue,932,0
79,470005.7999999989,1,70,2766,blue,false,left,70,59,right,orange,837,0
80,473421.0999999996,1,47,2719,blue,true,right,64,47,right,blue,843,0
81,476838.3999999985,1,28,2691,blue,false,left,28,44,right,orange,704,0
