Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,335719,1,37,4963,blue,true,right,44,37,right,blue,1309,0
2,339593,1,12,4951,blue,true,right,66,12,right,blue,739,0
3,342900,1,9,4942,blue,true,left,98,9,left,blue,838,0
4,346295,1,20,4922,blue,false,left,20,91,right,orange,939,0
5,349783,0,0,4922,blue,true,left,28,8,right,orange,1122,0
6,353448,0,0,4922,blue,true,left,30,33,right,orange,682,0
7,356673,0,0,4922,blue,true,left,27,24,right,orange,527,0
8,359747,1,58,4864,blue,false,right,58,43,left,orange,1336,0
9,363626,0,0,4864,blue,true,right,72,47,left,orange,1600,0
10,367775,1,44,4820,blue,false,right,44,44,left,orange,642,0
11,370987,0,0,4820,blue,true,left,69,26,right,orange,688,0
12,374211,0,0,4820,blue,true,right,6,41,left,orange,925,0
13,377692,1,34,4786,blue,true,right,88,34,right,blue,1870,0
14,382120,1,73,4713,blue,false,left,73,18,right,orange,1353,0
15,386033,0,0,4713,blue,true,right,60,25,left,orange,1000,0
16,389575,0,0,4713,blue,true,left,68,6,right,orange,715,0
17,392838,1,48,4665,blue,false,left,48,39,right,orange,777,0
18,396179,0,0,4665,blue,true,right,35,76,left,orange,1252,0
19,399976,0,0,4665,blue,true,left,23,85,right,orange,730,0
20,403248,0,0,4665,blue,true,right,54,22,left,orange,785,0
21,406580,1,66,4599,blue,false,right,66,58,left,orange,937,0
22,415640,1,41,4558,blue,true,left,98,41,left,blue,2381,1
23,420585,0,0,4558,blue,true,right,58,80,left,orange,971,0
24,424111,1,85,4473,blue,true,left,32,85,left,blue,721,0
25,427390,1,83,4390,blue,false,right,83,15,left,orange,546,0
26,430484,0,0,4390,blue,true,right,18,16,left,orange,1044,0
27,434081,0,0,4390,blue,true,right,56,99,left,orange,369,0
28,436989,0,0,4390,blue,true,left,23,75,right,orange,548,0
29,440083,0,0,4390,blue,true,left,68,18,right,orange,669,0
30,443292,0,0,4390,blue,true,left,30,16,right,orange,700,0
31,446534,0,0,4390,blue,true,right,86,37,left,orange,571,0
32,449644,0,0,4390,blue,true,left,47,44,right,orange,478,0
33,452668,0,0,4390,blue,true,left,3,91,right,orange,390,0
34,455608,1,60,4330,blue,false,right,60,14,left,orange,392,0
35,458556,0,0,4330,blue,true,left,54,84,right,orange,428,0
36,461527,0,0,4330,blue,true,right,34,23,left,orange,409,0
37,464473,0,0,4330,blue,true,right,96,28,left,orange,455,0
38,467467,1,83,4247,blue,false,right,83,94,left,orange,454,0
39,470492,0,0,4247,blue,true,right,63,86,left,orange,460,0
40,473501,0,0,4247,blue,true,right,99,53,left,orange,395,0
41,476441,0,0,4247,blue,true,left,29,91,right,orange,511,0
42,479503,0,0,4247,blue,true,left,88,64,right,orange,478,0
43,482529,0,0,4247,blue,true,right,84,70,left,orange,351,0
44,485418,1,61,4186,blue,false,right,61,88,left,orange,333,0
45,488311,0,0,4186,blue,true,left,61,43,right,orange,401,0
46,491258,0,0,4186,blue,true,left,87,54,right,orange,1095,0
47,494901,1,5,4181,blue,false,left,5,90,right,orange,436,0
48,501907,0,0,4181,blue,true,left,71,44,right,orange,1424,0
49,505873,0,0,4181,blue,true,left,42,52,right,orange,501,0
50,508912,0,0,4181,blue,true,left,39,93,right,orange,935,0
51,512385,0,0,4181,blue,true,left,39,24,right,orange,559,0
52,515479,1,20,4161,blue,false,left,20,10,right,orange,401,0
53,518441,1,85,4076,blue,false,right,85,43,left,orange,830,0
54,521814,1,77,3999,blue,false,right,77,7,left,orange,433,0
55,524808,0,0,3999,blue,true,left,95,90,right,orange,432,0
56,527785,0,0,3999,blue,true,right,56,7,left,orange,399,0
57,530725,0,0,3999,blue,true,left,50,69,right,orange,2682,0
58,535964,0,0,3999,blue,true,left,4,83,right,orange,443,0
59,538957,1,40,3959,blue,false,right,40,8,left,orange,396,0
60,541905,0,0,3959,blue,true,left,47,86,right,orange,366,0
61,544814,0,0,3959,blue,true,left,15,49,right,orange,386,0
62,547743,0,0,3959,blue,true,left,17,39,right,orange,361,0
63,550654,1,76,3883,blue,false,left,76,97,right,orange,376,0
64,553593,0,0,3883,blue,true,right,73,14,left,orange,358,0
65,556486,0,0,3883,blue,true,left,67,29,right,orange,424,0
66,559459,0,0,3883,blue,true,left,48,39,right,orange,555,0
67,562552,0,0,3883,blue,true,right,30,99,left,orange,531,0
68,565631,1,13,3870,blue,false,right,13,20,left,orange,470,0
69,568657,0,0,3870,blue,true,left,66,59,right,orange,472,0
70,571679,0,0,3870,blue,true,right,20,60,left,orange,441,0
71,574658,0,0,3870,blue,true,right,41,25,left,orange,420,0
72,577614,1,76,3794,blue,false,left,76,70,right,orange,401,0
73,580593,1,73,3721,blue,false,left,73,18,right,orange,528,0
74,583688,1,41,3680,blue,false,left,41,80,right,orange,422,0
75,586681,0,0,3680,blue,true,right,25,76,left,orange,561,0
76,589790,1,34,3646,blue,false,left,34,52,right,orange,385,0
77,592761,1,30,3616,blue,false,right,30,60,left,orange,426,0
78,595758,1,91,3525,blue,false,left,91,36,right,orange,381,0
79,598717,0,0,3525,blue,false,left,70,59,left,blue,1356,0
80,602613,1,47,3478,blue,true,left,64,47,left,blue,1536,0
81,606704,1,28,3450,blue,false,left,28,44,right,orange,645,0
82,609951,1,2,3448,blue,false,right,2,80,left,orange,450,0
83,612978,1,20,3428,blue,false,left,20,39,right,orange,466,0
84,616016,1,32,3396,blue,false,left,32,61,right,orange,711,0
85,619295,1,90,3306,blue,false,left,90,61,right,orange,557,0
86,622414,0,0,3306,blue,true,right,62,70,left,orange,404,0
87,625401,1,17,3289,blue,false,right,17,33,left,orange,503,0
88,628470,1,74,3215,blue,false,left,74,17,right,orange,424,0
89,631448,1,2,3213,blue,false,right,2,85,left,orange,599,0
90,634627,1,39,3174,blue,false,right,39,76,left,orange,485,0
91,637683,1,70,3104,blue,false,left,70,20,right,orange,479,0
92,640732,0,0,3104,blue,true,left,24,69,right,orange,459,0
93,643742,0,0,3104,blue,true,left,59,52,right,orange,397,0
94,650708,1,15,3089,blue,false,right,15,43,left,orange,626,0
95,653903,0,0,3089,blue,true,right,50,34,left,orange,456,0
96,656912,1,43,3046,blue,false,right,43,48,left,orange,383,0
97,659868,0,0,3046,blue,true,right,14,35,left,orange,514,0
98,662929,0,0,3046,blue,true,right,12,42,left,orange,477,0
99,665954,0,0,3046,blue,true,right,40,44,left,orange,419,0
100,668915,0,0,3046,blue,true,right,88,50,left,orange,436,0
101,671902,0,0,3046,blue,true,right,51,19,left,orange,496,0
102,674949,0,0,3046,blue,true,left,44,59,right,orange,555,0
103,678043,0,0,3046,blue,true,right,23,9,left,orange,976,0
104,681572,0,0,3046,blue,true,left,23,76,right,orange,474,0
