Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,256887.3049999993,1,37,4963,blue,true,right,44,37,right,blue,1658,0
2,261069.88999999975,1,12,4951,blue,true,left,66,12,left,blue,2236,0
3,265830.465,1,9,4942,blue,true,right,98,9,right,blue,1454,0
4,269811.6199999995,1,20,4922,blue,false,right,20,91,left,orange,903,0
5,273238.0699999994,1,8,4914,blue,true,right,28,8,right,blue,853,0
6,276615.7949999997,0,0,4914,blue,true,right,30,33,left,orange,1861,0
7,280997.58499999915,0,0,4914,blue,true,left,27,24,right,orange,786,0
8,284307.12999999925,1,58,4856,blue,false,left,58,43,right,orange,1202,0
9,288034.8449999992,1,47,4809,blue,true,left,72,47,left,blue,1418,0
10,291972.59999999916,1,44,4765,blue,false,right,44,44,left,orange,1682,0
11,296184.68499999924,1,26,4739,blue,true,right,69,26,right,blue,710,0
12,299419.38499999925,1,41,4698,blue,true,left,6,41,left,blue,1956,0
13,303896.2099999999,1,34,4664,blue,true,right,88,34,right,blue,1628,0
14,308048.19499999937,1,73,4591,blue,false,left,73,18,right,orange,1706,0
15,312275.5099999995,1,25,4566,blue,true,right,60,25,right,blue,1259,0
16,321575.8299999998,1,6,4560,blue,true,left,68,6,left,blue,1475,1
17,325576.7649999998,1,48,4512,blue,false,right,48,39,left,orange,1380,0
18,329482.32999999984,1,76,4436,blue,true,right,35,76,right,blue,625,0
19,332631.0199999998,0,0,4436,blue,true,left,23,85,right,orange,830,0
20,335981.70499999926,0,0,4436,blue,true,left,54,22,right,orange,786,0
21,339288.2549999995,1,66,4370,blue,false,right,66,58,left,orange,1597,0
22,343405.3299999996,0,0,4370,blue,true,right,98,41,left,orange,1408,0
23,347330.5249999994,0,0,4370,blue,true,left,58,80,right,orange,1929,0
24,351781.98499999964,0,0,4370,blue,true,left,32,85,right,orange,625,0
25,354925.32499999925,0,0,4370,blue,false,left,83,15,left,blue,2368,0
26,359816.04999999946,0,0,4370,blue,true,left,18,16,right,orange,1663,0
27,363995.285,0,0,4370,blue,true,right,56,99,left,orange,1383,0
28,367896.1849999996,0,0,4370,blue,true,right,23,75,left,orange,1745,0
29,372166.07999999996,1,18,4352,blue,true,right,68,18,right,blue,2028,0
30,376857.8849999994,1,16,4336,blue,true,right,30,16,right,blue,3023,0
31,382398.69499999983,1,37,4299,blue,true,left,86,37,left,blue,1444,0
32,386364.4949999998,1,44,4255,blue,true,left,47,44,left,blue,1683,0
33,390573.4749999992,0,0,4255,blue,true,right,3,91,left,orange,873,0
34,393966.37999999983,0,0,4255,blue,false,left,60,14,left,blue,1665,0
35,398152.5149999998,0,0,4255,blue,true,left,54,84,right,orange,1342,0
36,402016.75999999954,0,0,4255,blue,true,right,34,23,left,orange,1613,0
37,406151.4649999999,0,0,4255,blue,true,left,96,28,right,orange,1251,0
38,409923.76999999944,1,83,4172,blue,false,right,83,94,left,orange,862,0
39,413311.7599999996,0,0,4172,blue,true,right,63,86,left,orange,1388,0
40,417221.8649999995,0,0,4172,blue,true,left,99,53,right,orange,1834,0
41,421576.0299999993,0,0,4172,blue,true,right,29,91,left,orange,967,0
42,425063.185,1,64,4108,blue,true,left,88,64,left,blue,1834,0
43,429421.9149999999,0,0,4108,blue,true,right,84,70,left,orange,1200,0
44,433142.81499999925,1,61,4047,blue,false,right,61,88,left,orange,674,0
45,436336.81499999965,0,0,4047,blue,true,left,61,43,right,orange,685,0
46,439543.12499999924,1,54,3993,blue,true,left,87,54,left,blue,1771,0
47,443832.60499999963,1,5,3988,blue,false,right,5,90,left,orange,729,0
48,451094.39999999997,0,0,3988,blue,true,right,71,44,left,orange,1838,0
49,455449.6249999993,0,0,3988,blue,true,left,42,52,right,orange,750,0
50,458716.88499999983,0,0,3988,blue,true,right,39,93,left,orange,763,0
51,462002.7749999999,0,0,3988,blue,true,left,39,24,right,orange,1696,0
52,466215.2549999992,0,0,3988,blue,false,left,20,10,left,blue,633,0
