Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,91990.89999999705,1,10,4990,blue,true,left,23,10,left,blue,2027,0
2,96670.29999999795,0,0,4990,blue,true,right,45,97,left,orange,1072,0
3,100343.4999999954,1,62,4928,blue,true,right,54,62,right,blue,668,0
4,103673.09999999998,1,99,4829,blue,false,left,99,16,right,orange,624,0
5,106936.79999999586,0,0,4829,blue,true,right,72,40,left,orange,748,0
6,110326.90000000002,0,0,4829,blue,true,right,98,88,left,orange,294,0
7,113245.79999999696,0,0,4829,blue,true,right,6,54,left,orange,563,0
8,116450.39999999426,0,0,4829,blue,true,right,64,55,left,orange,418,0
9,119526.0999999955,1,96,4733,blue,false,right,96,45,left,orange,419,0
10,122630.1999999996,1,19,4714,blue,true,right,28,19,right,blue,442,0
11,125748.59999999899,0,0,4714,blue,true,right,95,26,left,orange,478,0
12,128847.99999999814,0,0,4714,blue,true,left,90,29,right,orange,668,0
13,132154.09999999974,0,0,4714,blue,true,right,20,53,left,orange,531,0
14,135327.99999999406,0,0,4714,blue,true,left,74,56,right,orange,448,0
15,138417.79999999562,1,42,4672,blue,true,left,18,42,left,blue,334,0
16,141427.79999999766,1,91,4581,blue,true,right,11,91,right,blue,392,0
17,144473.3999999953,1,32,4549,blue,false,right,32,31,left,orange,401,0
18,147534.4999999943,0,0,4549,blue,true,left,36,65,right,orange,601,0
19,150767.6999999967,1,40,4509,blue,false,left,40,30,right,orange,515,0
20,153928.59999999928,0,0,4509,blue,true,right,29,26,left,orange,616,0
21,157183.79999999888,1,32,4477,blue,false,left,32,36,right,orange,798,0
22,160622.9999999996,1,81,4396,blue,true,left,72,81,left,blue,372,0
23,163646.60000000003,1,95,4301,blue,false,right,95,54,left,orange,17,0
24,166281.69999999955,0,0,4301,blue,false,right,40,59,right,blue,337,0
25,169248.39999999676,0,0,4301,blue,false,right,29,24,right,blue,450,0
26,172330.1999999967,1,60,4241,blue,false,left,60,51,right,orange,409,0
27,175398.60000000044,0,0,4241,blue,false,left,83,65,left,blue,363,0
28,178396.00000000064,0,0,4241,blue,true,left,78,98,right,orange,407,0
29,181443.79999999364,1,56,4185,blue,false,right,56,51,left,orange,338,0
30,184419.5999999938,0,0,4185,blue,false,right,5,20,right,blue,305,0
31,192965.2999999962,0,0,4185,blue,false,right,67,2,right,blue,552,1
32,196128.7999999986,1,85,4100,blue,false,left,85,84,right,orange,608,0
33,199407.1999999942,1,49,4051,blue,true,left,7,49,left,blue,1130,0
34,203182.99999999726,0,0,4051,blue,false,right,37,47,right,blue,2707,0
35,208523.4999999957,1,27,4024,blue,false,right,27,91,left,orange,2550,0
36,213695.69999999658,1,44,3980,blue,false,left,44,42,right,orange,1651,0
37,217993.0999999997,1,55,3925,blue,true,left,31,55,left,blue,946,0
38,221592.3999999941,0,0,3925,blue,false,right,97,70,right,blue,316,0
39,224554.19999999867,1,14,3911,blue,false,right,14,9,left,orange,329,0
40,227507.29999999749,1,51,3860,blue,true,left,23,51,left,blue,494,0
41,230628.09999999445,0,0,3860,blue,true,left,89,79,right,orange,452,0
42,233715.49999999843,1,86,3774,blue,true,left,83,86,left,blue,493,0
43,236809.69999999797,1,62,3712,blue,true,right,40,62,right,blue,386,0
44,239746.49999999383,0,0,3712,blue,true,right,36,23,left,orange,255,0
45,242574.30000000022,1,61,3651,blue,true,right,65,61,right,blue,430,0
46,245645.5999999962,1,67,3584,blue,true,left,74,67,left,blue,837,0
47,249123.39999999676,1,41,3543,blue,true,right,73,41,right,blue,352,0
48,256125.79999999434,1,96,3447,blue,false,left,96,54,right,orange,929,0
49,259683.59999999666,1,88,3359,blue,true,left,86,88,left,blue,572,0
50,262884.5999999976,1,66,3293,blue,true,left,43,66,left,blue,395,0
51,265898.3999999982,0,0,3293,blue,true,left,72,79,right,orange,427,0
52,268947.0000000001,0,0,3293,blue,false,right,71,13,right,blue,311,0
53,271858.89999999927,1,53,3240,blue,true,right,78,53,right,blue,345,0
54,274860.4999999952,0,0,3240,blue,true,right,57,90,left,orange,299,0
55,277781.8999999945,0,0,3240,blue,false,left,3,12,left,blue,384,0
56,280778.80000000005,0,0,3240,blue,true,left,2,64,right,orange,327,0
57,283710.699999996,0,0,3240,blue,true,left,99,9,right,orange,353,0
58,286710.9999999957,1,42,3198,blue,true,left,21,42,left,blue,367,0
59,289703.0999999988,1,72,3126,blue,true,right,83,72,right,blue,357,0
60,292706.0999999958,1,11,3115,blue,true,left,37,11,left,blue,321,0
61,295669.79999999603,0,0,3115,blue,false,left,67,81,left,blue,291,0
62,298564.5000000004,1,14,3101,blue,true,right,12,14,right,blue,324,0
63,301545.5000000002,0,0,3101,blue,false,left,78,90,left,blue,201,0
64,304393.799999998,0,0,3101,blue,false,left,46,53,left,blue,389,0
65,307404.7999999966,0,0,3101,blue,false,left,30,42,left,blue,376,0
66,310425.8999999947,1,36,3065,blue,false,left,36,65,right,orange,345,0
67,313401.20000000024,0,0,3065,blue,false,left,49,49,left,blue,315,0
68,316314.2000000007,0,0,3065,blue,false,left,44,10,left,blue,472,0
69,319358.59999999957,1,70,2995,blue,false,left,70,64,right,orange,384,0
70,322345.4999999958,1,68,2927,blue,false,right,68,95,left,orange,415,0
71,325369.39999999595,1,38,2889,blue,false,right,38,46,left,orange,372,0
72,328362.49999999563,0,0,2889,blue,false,right,18,24,right,blue,296,0
73,331237.19999999594,1,82,2807,blue,false,left,82,78,right,orange,341,0
74,334168.399999995,1,59,2748,blue,false,right,59,54,left,orange,81,0
75,336842.5999999963,0,0,2748,blue,false,right,36,33,right,blue,356,0
76,339790.89999999997,1,56,2692,blue,true,left,49,56,left,blue,648,0
77,343032.29999999894,0,0,2692,blue,false,right,26,83,right,blue,485,0
78,346103.69999999966,1,38,2654,blue,false,left,38,81,right,orange,653,0
79,349411.00000000006,1,12,2642,blue,false,right,12,3,left,orange,402,0
80,352448.09999999416,1,62,2580,blue,false,right,62,38,left,orange,571,0
81,355643.70000000054,1,43,2537,blue,false,left,43,50,right,orange,388,0
82,358687.8999999972,1,50,2487,blue,false,right,50,47,left,orange,678,0
83,362001.59999999596,0,0,2487,blue,true,left,41,35,right,orange,395,0
84,365027.69999999873,0,0,2487,blue,false,right,9,62,right,blue,469,0
