Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,407797.87999999826,0,0,5000,blue,true,right,44,37,left,orange,1322,1
2,411647.3049999986,1,12,4988,blue,true,left,66,12,left,blue,1692,0
3,415862.99999999756,1,9,4979,blue,true,left,98,9,left,blue,1437,0
4,419826.86999999714,1,20,4959,blue,false,left,20,91,right,orange,1103,0
5,423448.8199999978,1,8,4951,blue,true,left,28,8,left,blue,1793,0
6,427771.0749999969,0,0,4951,blue,true,left,30,33,right,orange,999,0
7,431301.14499999763,0,0,4951,blue,true,left,27,24,right,orange,686,0
8,434519.48000000266,1,58,4893,blue,false,right,58,43,left,orange,700,0
9,437743.8200000033,1,47,4846,blue,true,left,72,47,left,blue,1186,0
10,441464.6900000007,1,44,4802,blue,false,left,44,44,right,orange,1860,0
11,445851.0000000024,1,26,4776,blue,true,left,69,26,left,blue,1068,0
12,449447.0250000013,0,0,4776,blue,true,right,6,41,left,orange,929,0
13,452904.12500000093,1,34,4742,blue,true,left,88,34,left,blue,958,0
14,456388.9849999978,0,0,4742,blue,false,right,73,18,right,blue,1753,0
15,460675.6099999984,1,25,4717,blue,true,right,60,25,right,blue,1102,0
16,464318.12000000355,1,6,4711,blue,true,right,68,6,right,blue,793,0
17,467631.55499999993,0,0,4711,blue,false,right,48,39,right,blue,2559,0
18,472724.69499999715,1,76,4635,blue,true,right,35,76,right,blue,750,0
19,476000.11000000086,0,0,4635,blue,true,right,23,85,left,orange,1087,0
20,479612.13000000134,1,22,4613,blue,true,right,54,22,right,blue,1240,0
21,483383.9250000019,0,0,4613,blue,false,left,66,58,left,blue,1279,0
22,487187.7000000022,1,41,4572,blue,true,left,98,41,left,blue,747,0
23,490458.81499999814,0,0,4572,blue,true,left,58,80,right,orange,1053,0
24,494032.59999999864,0,0,4572,blue,true,right,32,85,left,orange,964,0
25,497521.0700000025,0,0,4572,blue,false,right,83,15,right,blue,1017,0
