Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,219695.5,1,37,4963,blue,true,left,44,37,left,blue,1644,0
2,223867,1,12,4951,blue,true,left,66,12,left,blue,770,0
3,227162.40000000037,1,9,4942,blue,true,right,98,9,right,blue,1706,0
4,231392.5,1,20,4922,blue,false,right,20,91,left,orange,1061,0
5,234985.59999999963,1,8,4914,blue,true,right,28,8,right,blue,1468,0
6,238978,0,0,4914,blue,true,right,30,33,left,orange,2733,0
7,244230.2999999998,0,0,4914,blue,true,right,27,24,left,orange,1103,0
8,247853.7999999998,1,58,4856,blue,false,right,58,43,left,orange,1024,0
9,251406.2999999998,0,0,4856,blue,true,left,72,47,right,orange,1330,0
10,255255.7999999998,1,44,4812,blue,false,left,44,44,right,orange,1640,0
11,259414.2999999998,1,26,4786,blue,true,left,69,26,left,blue,1262,0
12,263194.5999999996,0,0,4786,blue,true,left,6,41,right,orange,979,0
13,266691.2000000002,1,34,4752,blue,true,right,88,34,right,blue,1111,0
14,270324.9000000004,0,0,4752,blue,false,left,73,18,left,blue,1182,0
15,274023.0999999996,1,25,4727,blue,true,right,60,25,right,blue,1964,0
16,278509.2999999998,1,6,4721,blue,true,right,68,6,right,blue,708,0
17,281754.0999999996,1,48,4673,blue,false,left,48,39,right,orange,1575,0
18,285864,0,0,4673,blue,true,left,35,76,right,orange,1016,0
19,289406.5999999996,0,0,4673,blue,true,left,23,85,right,orange,715,0
20,292640.5999999996,1,22,4651,blue,true,right,54,22,right,blue,1593,0
21,296759.7999999998,1,66,4585,blue,false,right,66,58,left,orange,1331,0
22,300617.7999999998,1,41,4544,blue,true,left,98,41,left,blue,1067,0
23,304207.4000000004,0,0,4544,blue,true,left,58,80,right,orange,1237,0
24,307970.0999999996,0,0,4544,blue,true,right,32,85,left,orange,794,0
25,311283.9000000004,0,0,4544,blue,false,right,83,15,right,blue,880,0
26,314692.2999999998,0,0,4544,blue,true,left,18,16,right,orange,757,0
27,317973.7000000002,0,0,4544,blue,true,right,56,99,left,orange,911,0
28,321411.0999999996,0,0,4544,blue,true,right,23,75,left,orange,835,0
29,324769.7000000002,1,18,4526,blue,true,right,68,18,right,blue,931,0
30,328219,1,16,4510,blue,true,right,30,16,right,blue,1325,0
31,332064.4000000004,1,37,4473,blue,true,right,86,37,right,blue,898,0
32,335477.5,0,0,4473,blue,true,left,47,44,right,orange,1332,0
33,339331.5999999996,0,0,4473,blue,true,left,3,91,right,orange,964,0
34,342824.4000000004,0,0,4473,blue,false,left,60,14,left,blue,1805,0
35,347159.5,0,0,4473,blue,true,right,54,84,left,orange,1384,0
36,351068.9000000004,0,0,4473,blue,true,left,34,23,right,orange,1484,0
37,355076.4000000004,1,28,4445,blue,true,right,96,28,right,blue,1178,0
