Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,378750.7949999999,1,10,4990,blue,true,right,23,10,right,blue,3143,0
2,384437.1800000081,0,0,4990,blue,true,right,45,97,left,orange,1899,0
3,388871.5150000062,0,0,4990,blue,true,right,54,62,left,orange,739,0
4,392138.70999997016,1,99,4891,blue,false,right,99,16,left,orange,3392,0
5,398067.82499991823,1,40,4851,blue,true,left,72,40,left,blue,1517,0
6,402126.63499999326,0,0,4851,blue,true,right,98,88,left,orange,721,0
7,405385.19499998074,0,0,4851,blue,true,left,6,54,right,orange,1573,0
8,409498.93000000156,0,0,4851,blue,true,right,64,55,left,orange,503,0
9,412524.4449999882,1,96,4755,blue,false,left,96,45,right,orange,838,0
10,415906.00999991875,0,0,4755,blue,true,right,28,19,left,orange,777,0
11,419218.96999992896,0,0,4755,blue,true,right,95,26,left,orange,1599,0
12,423347.2499999916,0,0,4755,blue,true,right,90,29,left,orange,902,0
13,426788.24499994516,0,0,4755,blue,true,right,20,53,left,orange,1026,0
14,430347.8350000223,0,0,4755,blue,true,left,74,56,right,orange,1409,0
15,434291.01499996614,0,0,4755,blue,true,right,18,42,left,orange,559,0
16,437400.87999997195,0,0,4755,blue,true,right,11,91,left,orange,554,0
17,440511.9199999608,1,32,4723,blue,false,left,32,31,right,orange,3592,0
18,446648.659999948,0,0,4723,blue,true,right,36,65,left,orange,1157,0
19,450353.4750000108,1,40,4683,blue,false,right,40,30,left,orange,705,0
20,453618.94999991637,0,0,4683,blue,true,left,29,26,right,orange,999,0
21,457158.65499991924,1,32,4651,blue,false,right,32,36,left,orange,555,0
22,460254.4249999337,0,0,4651,blue,true,left,72,81,right,orange,939,0
23,463731.9600000046,0,0,4651,blue,false,left,95,54,left,blue,499,0
24,466768.27499992214,1,40,4611,blue,false,left,40,59,right,orange,653,0
25,469950.70499996655,0,0,4611,blue,false,right,29,24,right,blue,868,0
26,473356.0849999776,0,0,4611,blue,false,left,60,51,left,blue,582,0
27,476477.05499990843,0,0,4611,blue,false,right,83,65,right,blue,834,0
28,479865.9950000001,1,98,4513,blue,true,left,78,98,left,blue,1757,0
29,484181.99499999173,1,56,4457,blue,false,left,56,51,right,orange,700,0
30,487438.70499997865,1,5,4452,blue,false,right,5,20,left,orange,1237,0
31,491203.1199999619,0,0,4452,blue,false,left,67,2,left,blue,572,0
32,494316.7249999242,0,0,4452,blue,false,right,85,84,right,blue,876,0
33,497724.6199999936,1,49,4403,blue,true,right,7,49,right,blue,1491,0
34,501774.7400000226,0,0,4403,blue,false,right,37,47,right,blue,1147,0
35,505455.6899999734,1,27,4376,blue,false,right,27,91,left,orange,462,0
36,508468.2299999986,0,0,4376,blue,false,right,44,42,right,blue,485,0
37,511497.69999994896,1,55,4321,blue,true,right,31,55,right,blue,412,0
38,514474.0499999607,1,97,4224,blue,false,left,97,70,right,orange,1032,0
39,518048.9599999273,0,0,4224,blue,false,right,14,9,right,blue,512,0
40,521090.0899999542,1,51,4173,blue,true,left,23,51,left,blue,985,0
41,524613.1549999118,1,79,4094,blue,true,right,89,79,right,blue,710,0
42,527873.424999998,1,86,4008,blue,true,left,83,86,left,blue,1190,0
43,531603.9800000144,0,0,4008,blue,true,left,40,62,right,orange,472,0
44,534627.8649999294,0,0,4008,blue,true,right,36,23,left,orange,1003,0
45,538157.3849999113,0,0,4008,blue,true,right,65,61,left,orange,456,0
46,541148.1500000227,0,0,4008,blue,true,left,74,67,right,orange,685,0
47,544359.4399999129,0,0,4008,blue,true,left,73,41,right,orange,538,0
48,551444.5050000213,1,96,3912,blue,false,right,96,54,left,orange,1004,0
49,555005.8449999196,1,88,3824,blue,true,left,86,88,left,blue,755,0
50,558295.5099999672,1,66,3758,blue,true,left,43,66,left,blue,571,0
51,561433.9499999769,0,0,3758,blue,true,left,72,79,right,orange,468,0
52,564438.3149999194,1,71,3687,blue,false,left,71,13,right,orange,651,0
53,567635.3649999946,0,0,3687,blue,true,right,78,53,left,orange,817,0
54,571002.2500000196,0,0,3687,blue,true,right,57,90,left,orange,459,0
55,573996.7150000157,1,3,3684,blue,false,left,3,12,right,orange,755,0
56,577289.3749999348,0,0,3684,blue,true,right,2,64,left,orange,426,0
57,580248.9849999547,0,0,3684,blue,true,left,99,9,right,orange,627,0
58,583402.0499999169,0,0,3684,blue,true,right,21,42,left,orange,518,0
59,586448.6249999609,0,0,3684,blue,true,left,83,72,right,orange,473,0
60,589456.0349999228,0,0,3684,blue,true,left,37,11,right,orange,688,0
61,592707.6099999249,1,67,3617,blue,false,left,67,81,right,orange,623,0
62,595873.2099999906,0,0,3617,blue,true,right,12,14,left,orange,676,0
63,599084.7549999598,1,78,3539,blue,false,right,78,90,left,orange,512,0
64,602145.0900000054,1,46,3493,blue,false,right,46,53,left,orange,412,0
65,605108.4499999415,1,30,3463,blue,false,right,30,42,left,orange,464,0
66,608114.1349999234,1,36,3427,blue,false,left,36,65,right,orange,795,0
67,611454.2449999135,1,49,3378,blue,false,right,49,49,left,orange,641,0
68,614637.1649999637,0,0,3378,blue,false,left,44,10,left,blue,882,0
69,618064.5099999383,0,0,3378,blue,false,left,70,64,left,blue,362,0
70,620953.5749999341,1,68,3310,blue,false,right,68,95,left,orange,560,0
71,624077.500000014,0,0,3310,blue,false,right,38,46,right,blue,466,0
72,627082.764999941,0,0,3310,blue,false,left,18,24,left,blue,556,0
73,630174.844999914,0,0,3310,blue,false,left,82,78,left,blue,563,0
74,633268.369999947,0,0,3310,blue,false,right,59,54,right,blue,1071,0
75,636876.5600000042,0,0,3310,blue,false,right,36,33,right,blue,587,0
76,640016.9799999567,1,56,3254,blue,true,left,49,56,left,blue,909,0
77,643458.4799999138,1,26,3228,blue,false,left,26,83,right,orange,379,0
78,646385.1399999112,1,38,3190,blue,false,left,38,81,right,orange,421,0
79,649345.7049999852,0,0,3190,blue,false,left,12,3,left,blue,957,0
80,652833.9949999936,0,0,3190,blue,false,right,62,38,right,blue,2055,0
81,657428.6950000096,0,0,3190,blue,false,right,43,50,right,blue,909,0
