Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,535424.700000003,1,10,4990,blue,true,left,23,10,left,blue,1285,0
2,539248.200000003,0,0,4990,blue,true,right,45,97,left,orange,2437,0
3,544210.8999999911,0,0,4990,blue,true,right,54,62,left,orange,1282,0
4,548019.0000000149,0,0,4990,blue,false,right,99,16,right,blue,1451,0
5,552001.5000000149,1,40,4950,blue,true,right,72,40,right,blue,1849,0
6,556391.8999999911,0,0,4950,blue,true,left,98,88,right,orange,3284,0
7,562207.3999999911,0,0,4950,blue,true,right,6,54,left,orange,1536,0
8,566269.700000003,0,0,4950,blue,true,right,64,55,left,orange,2547,0
9,571350.6000000089,0,0,4950,blue,false,right,96,45,right,blue,2202,0
10,576089.1000000089,0,0,4950,blue,true,right,28,19,left,orange,1417,0
11,580034.0000000149,1,26,4924,blue,true,right,95,26,right,blue,3259,0
12,585819.8999999911,1,29,4895,blue,true,right,90,29,right,blue,2947,0
13,591305.5000000149,0,0,4895,blue,true,right,20,53,left,orange,929,0
14,594756.0000000149,0,0,4895,blue,true,right,74,56,left,orange,1209,0
15,598499.6000000089,0,0,4895,blue,true,right,18,42,left,orange,1563,0
16,602580.1000000089,0,0,4895,blue,true,right,11,91,left,orange,1185,0
17,606296.8999999911,1,32,4863,blue,false,right,32,31,left,orange,1318,0
18,610147.299999997,0,0,4863,blue,true,left,36,65,right,orange,2190,0
19,614870.0000000149,1,40,4823,blue,false,left,40,30,right,orange,2480,0
20,619873.0000000149,0,0,4823,blue,true,left,29,26,right,orange,3379,0
21,625773.700000003,1,32,4791,blue,false,right,32,36,left,orange,1824,0
22,630128.0000000149,0,0,4791,blue,true,right,72,81,left,orange,1893,0
23,634548.799999997,0,0,4791,blue,false,right,95,54,right,blue,1582,0
24,638659.700000003,1,40,4751,blue,false,left,40,59,right,orange,1012,0
