Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,147463.90000009537,1,37,4963,blue,true,right,44,37,right,blue,986,0
2,150984,1,12,4951,blue,true,left,66,12,left,blue,1056,0
3,154591.70000004768,0,0,4951,blue,true,right,98,9,left,orange,383,0
4,157503.80000019073,1,20,4931,blue,false,left,20,91,right,orange,508,0
5,160562.30000019073,0,0,4931,blue,true,right,28,8,left,orange,1599,0
6,164696.5,0,0,4931,blue,true,left,30,33,right,orange,493,0
7,167729.30000019073,1,24,4907,blue,true,left,27,24,left,blue,1109,0
8,171387.10000014305,1,58,4849,blue,false,right,58,43,left,orange,491,0
9,174428.90000009537,1,47,4802,blue,true,right,72,47,right,blue,430,0
10,177405.40000009537,0,0,4802,blue,false,left,44,44,left,blue,401,0
11,180342.90000009537,1,26,4776,blue,true,right,69,26,right,blue,374,0
12,183258.70000004768,0,0,4776,blue,true,right,6,41,left,orange,1104,0
13,186895.10000014305,1,34,4742,blue,true,left,88,34,left,blue,718,0
14,190149.90000009537,1,73,4669,blue,false,right,73,18,left,orange,1167,0
15,193867,1,25,4644,blue,true,left,60,25,left,blue,607,0
16,197023.10000014305,1,6,4638,blue,true,right,68,6,right,blue,620,0
17,200199.10000014305,0,0,4638,blue,false,right,48,39,right,blue,369,0
18,203105.10000014305,0,0,4638,blue,true,right,35,76,left,orange,890,0
19,206525.40000009537,0,0,4638,blue,true,left,23,85,right,orange,1132,0
20,210204.70000004768,1,22,4616,blue,true,left,54,22,left,blue,394,0
21,213136.30000019073,1,66,4550,blue,false,right,66,58,left,orange,1512,0
22,217187,1,41,4509,blue,true,right,98,41,right,blue,321,0
23,220048.30000019073,0,0,4509,blue,true,left,58,80,right,orange,514,0
24,223098.30000019073,1,85,4424,blue,true,right,32,85,right,blue,1134,0
25,226778.70000004768,1,83,4341,blue,false,left,83,15,right,orange,575,0
26,229912.70000004768,1,16,4325,blue,true,left,18,16,left,blue,1090,0
27,233538.30000019073,0,0,4325,blue,true,left,56,99,right,orange,852,0
28,236927.20000004768,0,0,4325,blue,true,right,23,75,left,orange,669,0
29,240135,1,18,4307,blue,true,left,68,18,left,blue,666,0
30,243358,1,16,4291,blue,true,left,30,16,left,blue,739,0
31,246630.30000019073,1,37,4254,blue,true,right,86,37,right,blue,766,0
32,249933.80000019073,1,44,4210,blue,true,right,47,44,right,blue,988,0
33,253464.40000009537,0,0,4210,blue,true,right,3,91,left,orange,563,0
34,256575.60000014305,0,0,4210,blue,false,left,60,14,left,blue,614,0
35,259726.90000009537,0,0,4210,blue,true,left,54,84,right,orange,727,0
36,262980.2000000477,1,23,4187,blue,true,right,34,23,right,blue,714,0
37,266229.80000019073,1,28,4159,blue,true,right,96,28,right,blue,620,0
38,269390.5,0,0,4159,blue,false,left,83,94,left,blue,1259,0
39,273193.30000019073,0,0,4159,blue,true,left,63,86,right,orange,706,0
40,276429.5,1,53,4106,blue,true,right,99,53,right,blue,849,0
41,279830.90000009537,1,91,4015,blue,true,right,29,91,right,blue,658,0
42,283036.60000014305,1,64,3951,blue,true,right,88,64,right,blue,824,0
43,286402.90000009537,1,70,3881,blue,true,left,84,70,left,blue,754,0
44,289694.30000019073,1,61,3820,blue,false,right,61,88,left,orange,719,0
45,292960,1,43,3777,blue,true,left,61,43,left,blue,713,0
46,296213,1,54,3723,blue,true,left,87,54,left,blue,709,0
47,299459.80000019073,1,5,3718,blue,false,right,5,90,left,orange,531,0
48,306534.30000019073,1,44,3674,blue,true,left,71,44,left,blue,1655,0
49,310736.90000009537,1,52,3622,blue,true,right,42,52,right,blue,640,0
50,313903.80000019073,0,0,3622,blue,true,left,39,93,right,orange,647,0
51,317088.80000019073,0,0,3622,blue,true,left,39,24,right,orange,417,0
52,320029.5,0,0,3622,blue,false,left,20,10,left,blue,338,0
53,322890.60000014305,0,0,3622,blue,false,left,85,43,left,blue,260,0
54,325685,1,77,3545,blue,false,left,77,7,right,orange,488,0
55,328721.2000000477,1,90,3455,blue,true,right,95,90,right,blue,636,0
56,331894.80000019073,1,7,3448,blue,true,right,56,7,right,blue,507,0
57,334947.7000000477,0,0,3448,blue,true,right,50,69,left,orange,855,0
