Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,443433.7349999987,0,0,5000,blue,true,left,23,10,right,orange,3386,0
2,449378.1200000012,0,0,5000,blue,true,right,45,97,left,orange,1050,0
3,452966.3949999958,0,0,5000,blue,true,right,54,62,left,orange,537,0
4,456043.0899999992,0,0,5000,blue,false,left,99,16,left,blue,1815,0
5,482508.0349999989,0,0,5000,blue,true,left,72,40,right,orange,1706,4
6,486752.15500000195,1,88,4912,blue,true,left,98,88,left,blue,2021,0
7,491325.06499999727,0,0,4912,blue,true,left,6,54,right,orange,702,0
8,494567.9549999986,0,0,4912,blue,true,right,64,55,left,orange,856,0
9,497963.73999999923,1,96,4816,blue,false,left,96,45,right,orange,934,0
10,501451.84000000154,0,0,4816,blue,true,left,28,19,right,orange,438,0
11,504429.57000000024,1,26,4790,blue,true,left,95,26,left,blue,1030,0
12,508006.3349999982,0,0,4790,blue,true,left,90,29,right,orange,1895,0
13,512449.059999999,1,53,4737,blue,true,right,20,53,right,blue,1835,0
14,516821.7549999972,0,0,4737,blue,true,right,74,56,left,orange,542,0
15,519906.2149999954,0,0,4737,blue,true,left,18,42,right,orange,2859,0
16,530831.3699999999,0,0,4737,blue,true,right,11,91,left,orange,785,1
17,534157.2349999987,1,32,4705,blue,false,right,32,31,left,orange,928,0
18,537632.7600000005,0,0,4705,blue,true,right,36,65,left,orange,1362,0
19,541531.879999995,1,40,4665,blue,false,right,40,30,left,orange,631,0
20,544717.7599999995,0,0,4665,blue,true,right,29,26,left,orange,1272,0
21,548529.2550000013,1,32,4633,blue,false,left,32,36,right,orange,2042,0
22,553122.7749999962,0,0,4633,blue,true,right,72,81,left,orange,1903,0
23,557566.9699999999,0,0,4633,blue,false,right,95,54,right,blue,1316,0
24,561422.8000000003,0,0,4633,blue,false,right,40,59,right,blue,1381,0
25,565352.2099999973,0,0,4633,blue,false,left,29,24,left,blue,1739,0
26,569641.2349999954,0,0,4633,blue,false,right,60,51,right,blue,1589,0
27,573769.7899999984,0,0,4633,blue,false,left,83,65,left,blue,1723,0
28,578036.4499999996,1,98,4535,blue,true,left,78,98,left,blue,1270,0
29,581845.3299999965,1,56,4479,blue,false,left,56,51,right,orange,788,0
30,585182.5049999971,0,0,4479,blue,false,left,5,20,left,blue,670,0
31,588402.1749999956,0,0,4479,blue,false,left,67,2,left,blue,463,0
32,591396.560000001,0,0,4479,blue,false,right,85,84,right,blue,1467,0
33,595407.1199999962,0,0,4479,blue,true,left,7,49,right,orange,947,0
34,598895.0100000002,0,0,4479,blue,false,left,37,47,left,blue,1187,0
35,602631.5949999989,1,27,4452,blue,false,left,27,91,right,orange,1242,0
36,606421.5399999957,0,0,4452,blue,false,left,44,42,left,blue,586,0
37,609550.804999999,1,55,4397,blue,true,left,31,55,left,blue,680,0
38,612779.6499999968,1,97,4300,blue,false,right,97,70,left,orange,1004,0
39,616334.3349999995,1,14,4286,blue,false,right,14,9,left,orange,378,0
40,619265.2349999989,1,51,4235,blue,true,right,23,51,right,blue,260,0
41,622075.1949999976,0,0,4235,blue,true,left,89,79,right,orange,281,0
42,624900.3850000008,0,0,4235,blue,true,left,83,86,right,orange,545,0
43,627986.6249999977,0,0,4235,blue,true,left,40,62,right,orange,1200,0
44,631729.6649999989,0,0,4235,blue,true,right,36,23,left,orange,1581,0
45,635842.104999996,0,0,4235,blue,true,left,65,61,right,orange,737,0
46,639116.4300000018,0,0,4235,blue,true,right,74,67,left,orange,653,0
47,642303.5600000003,0,0,4235,blue,true,left,73,41,right,orange,955,0
48,649826.3699999952,1,96,4139,blue,false,left,96,54,right,orange,1666,0
49,654046.4500000016,0,0,4139,blue,true,left,86,88,right,orange,602,0
50,657189.4249999968,0,0,4139,blue,true,right,43,66,left,orange,893,0
51,660619.160000002,0,0,4139,blue,true,right,72,79,left,orange,765,0
52,663923.2750000011,1,71,4068,blue,false,left,71,13,right,orange,726,0
53,667196.0649999965,1,53,4015,blue,true,right,78,53,right,blue,584,0
54,670334.974999998,1,90,3925,blue,true,right,57,90,right,blue,391,0
55,673280.5499999959,1,3,3922,blue,false,right,3,12,left,orange,355,0
56,676184.7249999992,1,64,3858,blue,true,right,2,64,right,blue,576,0
57,679309.9349999975,0,0,3858,blue,true,left,99,9,right,orange,996,0
58,682841.4100000008,1,42,3816,blue,true,right,21,42,right,blue,888,0
59,686277.8199999956,0,0,3816,blue,true,right,83,72,left,orange,491,0
60,689310.089999999,1,11,3805,blue,true,left,37,11,left,blue,669,0
61,692534.8000000012,0,0,3805,blue,false,right,67,81,right,blue,521,0
62,695594.8449999996,1,14,3791,blue,true,right,12,14,right,blue,680,0
63,698816.9699999999,0,0,3791,blue,false,right,78,90,right,blue,412,0
64,701774.9049999984,0,0,3791,blue,false,left,46,53,left,blue,963,0
65,705281.1599999986,1,30,3761,blue,false,left,30,42,right,orange,810,0
66,708642.3949999954,0,0,3761,blue,false,left,36,65,left,blue,505,0
67,711686.5049999978,0,0,3761,blue,false,left,49,49,left,blue,494,0
68,714723.1299999985,0,0,3761,blue,false,right,44,10,right,blue,1177,0
69,718444.2399999971,0,0,3761,blue,false,right,70,64,right,blue,517,0
70,721504.9700000018,1,68,3693,blue,false,right,68,95,left,orange,770,0
71,724827.5900000008,0,0,3693,blue,false,right,38,46,right,blue,727,0
72,728093.8899999964,0,0,3693,blue,false,left,18,24,left,blue,684,0
73,731322.5899999961,0,0,3693,blue,false,right,82,78,right,blue,533,0
74,734428.7299999996,0,0,3693,blue,false,right,59,54,right,blue,607,0
75,737577.3249999983,0,0,3693,blue,false,right,36,33,right,blue,419,0
76,740538.7750000008,1,56,3637,blue,true,left,49,56,left,blue,795,0
77,743875.254999999,0,0,3637,blue,false,left,26,83,left,blue,481,0
78,746884.8299999954,0,0,3637,blue,false,right,38,81,right,blue,394,0
79,749816.7400000021,0,0,3637,blue,false,left,12,3,left,blue,394,0
80,752753.0599999954,0,0,3637,blue,false,right,62,38,right,blue,755,0
81,756051.9849999982,0,0,3637,blue,false,right,43,50,right,blue,542,0
82,759127.2249999966,1,50,3587,blue,false,left,50,47,right,orange,1027,0
83,762707.4999999967,1,35,3552,blue,true,left,41,35,left,blue,433,0
84,765704.7099999981,0,0,3552,blue,false,right,9,62,right,blue,521,0
85,768763.7749999994,0,0,3552,blue,false,right,60,58,right,blue,470,0
86,771775.4549999954,0,0,3552,blue,false,left,88,31,left,blue,441,0
87,774754.3000000005,0,0,3552,blue,false,right,56,44,right,blue,385,0
88,777684.325000002,1,15,3537,blue,true,right,31,15,right,blue,487,0
89,780718.7149999954,0,0,3537,blue,false,left,90,31,left,blue,467,0
90,783727.2799999991,0,0,3537,blue,false,left,80,76,left,blue,392,0
91,786663.8850000018,0,0,3537,blue,false,right,78,4,right,blue,425,0
92,789636.2149999987,0,0,3537,blue,false,right,60,28,right,blue,386,0
93,792562.9649999973,1,99,3438,blue,true,left,56,99,left,blue,413,0
94,799536.0499999952,0,0,3438,blue,false,left,31,45,left,blue,1230,0
95,803301.6799999969,0,0,3438,blue,false,right,55,16,right,blue,582,0
96,806422.0849999983,0,0,3438,blue,true,left,12,89,right,orange,1177,0
