Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,228313.00000002375,1,37,4963,blue,true,left,44,37,left,blue,2044,0
2,232896.21000003535,1,12,4951,blue,true,right,66,12,right,blue,770,0
3,236195.57500001974,0,0,4951,blue,true,left,98,9,right,orange,776,0
4,239507.84500001464,1,20,4931,blue,false,left,20,91,right,orange,704,0
5,242753.3500000136,0,0,4931,blue,true,left,28,8,right,orange,1050,0
6,246328.65999999922,0,0,4931,blue,true,right,30,33,left,orange,547,0
7,249410.16000002855,0,0,4931,blue,true,left,27,24,right,orange,680,0
8,252616.39999999898,1,58,4873,blue,false,right,58,43,left,orange,1228,0
9,256365.37000001408,0,0,4873,blue,true,left,72,47,right,orange,791,0
10,259679.0500000352,1,44,4829,blue,false,right,44,44,left,orange,694,0
11,262907.39500004565,0,0,4829,blue,true,right,69,26,left,orange,1137,0
12,266590.30000003986,0,0,4829,blue,true,left,6,41,right,orange,884,0
13,270008.00000003073,1,34,4795,blue,true,right,88,34,right,blue,868,0
14,273410.48000002047,1,73,4722,blue,false,left,73,18,right,orange,1625,0
15,277569.2300000228,0,0,4722,blue,true,left,60,25,right,orange,490,0
16,280579.51500004856,0,0,4722,blue,true,left,68,6,right,orange,481,0
17,283596.82999999495,1,48,4674,blue,false,left,48,39,right,orange,656,0
18,286784.82000000076,0,0,4674,blue,true,left,35,76,right,orange,923,0
19,290234.5300000161,0,0,4674,blue,true,right,23,85,left,orange,754,0
20,293518.5100000235,1,22,4652,blue,true,left,54,22,left,blue,863,0
21,296920.8300000173,1,66,4586,blue,false,right,66,58,left,orange,907,0
22,300358.0200000433,0,0,4586,blue,true,left,98,41,right,orange,494,0
23,303375.5200000014,0,0,4586,blue,true,right,58,80,left,orange,765,0
24,306670.0350000174,0,0,4586,blue,true,right,32,85,left,orange,1039,0
25,310227.4949999992,0,0,4586,blue,false,left,83,15,left,blue,954,0
26,313699.9100000248,0,0,4586,blue,true,left,18,16,right,orange,1080,0
27,317312.4400000088,0,0,4586,blue,true,right,56,99,left,orange,822,0
28,320672.74500004714,0,0,4586,blue,true,left,23,75,right,orange,796,0
29,323998.8500000327,1,18,4568,blue,true,left,68,18,left,blue,1197,0
30,327738.645000034,0,0,4568,blue,true,left,30,16,right,orange,1000,0
31,331257.9100000439,0,0,4568,blue,true,left,86,37,right,orange,664,0
32,334455.60500002466,0,0,4568,blue,true,right,47,44,left,orange,685,0
33,337665.100000042,0,0,4568,blue,true,right,3,91,left,orange,740,0
34,340932.53000004916,0,0,4568,blue,false,right,60,14,right,blue,1288,0
35,344742.16000002343,0,0,4568,blue,true,left,54,84,right,orange,782,0
36,348038.77000004286,0,0,4568,blue,true,left,34,23,right,orange,629,0
37,351210.1200000034,1,28,4540,blue,true,right,96,28,right,blue,939,0
38,354674.9650000129,1,83,4457,blue,false,right,83,94,left,orange,1040,0
39,358254.50999999885,0,0,4457,blue,true,left,63,86,right,orange,644,0
40,361439.59500000346,1,53,4404,blue,true,right,99,53,right,blue,1045,0
41,365025.33999999287,0,0,4404,blue,true,left,29,91,right,orange,619,0
42,368174.9750000308,0,0,4404,blue,true,left,88,64,right,orange,538,0
43,371235.8349999995,0,0,4404,blue,true,left,84,70,right,orange,1376,0
44,375145.0349999941,1,61,4343,blue,false,right,61,88,left,orange,1260,0
45,378929.12000004435,0,0,4343,blue,true,right,61,43,left,orange,1675,0
46,383143.37000000523,0,0,4343,blue,true,right,87,54,left,orange,525,0
47,386190.7000000356,1,5,4338,blue,false,right,5,90,left,orange,942,0
48,393679.61000005016,1,44,4294,blue,true,right,71,44,right,blue,2158,0
49,398358.53500000667,0,0,4294,blue,true,right,42,52,left,orange,459,0
50,401350.32000002684,0,0,4294,blue,true,right,39,93,left,orange,528,0
