Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,305298.8815,1,10,4990,blue,true,right,23,10,right,blue,1133,0
2,308960.3815,0,0,4990,blue,true,left,45,97,right,orange,705,0
3,312202.9815,1,62,4928,blue,true,left,54,62,left,blue,826,0
4,315569.4815,1,99,4829,blue,false,right,99,16,left,orange,1452,0
5,319570.6815,1,40,4789,blue,true,left,72,40,left,blue,830,0
6,322952.8815,0,0,4789,blue,true,left,98,88,right,orange,781,0
7,326259.6815,0,0,4789,blue,true,right,6,54,left,orange,1202,0
8,329989.6815,0,0,4789,blue,true,left,64,55,right,orange,1043,0
9,333573.8815,0,0,4789,blue,false,right,96,45,right,blue,835,0
10,336935.1815,1,19,4770,blue,true,left,28,19,left,blue,751,0
11,340218.5815,1,26,4744,blue,true,right,95,26,right,blue,851,0
12,343616.1815,0,0,4744,blue,true,right,90,29,left,orange,795,0
13,346958.4815,0,0,4744,blue,true,left,20,53,right,orange,1169,0
14,350654.8815,0,0,4744,blue,true,right,74,56,left,orange,784,0
15,353971.7815,0,0,4744,blue,true,right,18,42,left,orange,816,0
16,357313.9815,0,0,4744,blue,true,right,11,91,left,orange,611,0
17,360475.4815,0,0,4744,blue,false,right,32,31,right,blue,764,0
18,363774.0815,0,0,4744,blue,true,left,36,65,right,orange,1084,0
19,367387.3815,0,0,4744,blue,false,left,40,30,left,blue,777,0
20,370700.1815,1,26,4718,blue,true,left,29,26,left,blue,692,0
21,373948.7815,1,32,4686,blue,false,left,32,36,right,orange,561,0
22,377045.7815,1,81,4605,blue,true,left,72,81,left,blue,650,0
23,380224.5815,0,0,4605,blue,false,left,95,54,left,blue,828,0
24,383584.9815,1,40,4565,blue,false,left,40,59,right,orange,537,0
25,386667.7815,1,29,4536,blue,false,right,29,24,left,orange,595,0
26,389796.8815,1,60,4476,blue,false,left,60,51,right,orange,593,0
27,392925.8815,0,0,4476,blue,false,right,83,65,right,blue,520,0
28,395985.0815,1,98,4378,blue,true,right,78,98,right,blue,633,0
29,399148.8815,0,0,4378,blue,false,right,56,51,right,blue,647,0
30,402325.1815,0,0,4378,blue,false,right,5,20,right,blue,512,0
31,405370.7815,1,67,4311,blue,false,right,67,2,left,orange,561,0
32,408470.3815,0,0,4311,blue,false,left,85,84,left,blue,600,0
33,411611.8815,0,0,4311,blue,true,left,7,49,right,orange,452,0
34,414590.3815,1,37,4274,blue,false,left,37,47,right,orange,666,0
35,417805.1815,0,0,4274,blue,false,left,27,91,left,blue,519,0
36,420864.6815,1,44,4230,blue,false,left,44,42,right,orange,891,0
37,424306.1815,1,55,4175,blue,true,left,31,55,left,blue,625,0
38,427462.4815,1,97,4078,blue,false,left,97,70,right,orange,585,0
39,430588.7815,1,14,4064,blue,false,left,14,9,right,orange,574,0
40,433719.5815,1,51,4013,blue,true,left,23,51,left,blue,399,0
41,436664.6815,0,0,4013,blue,true,left,89,79,right,orange,668,0
42,439856.8815,1,86,3927,blue,true,right,83,86,right,blue,627,0
43,443022.2815,1,62,3865,blue,true,right,40,62,right,blue,360,0
44,445932.8815,0,0,3865,blue,true,left,36,23,right,orange,611,0
45,449093.0815,0,0,3865,blue,true,left,65,61,right,orange,572,0
46,452204.0815,0,0,3865,blue,true,right,74,67,left,orange,367,0
47,455099.9815,0,0,3865,blue,true,left,73,41,right,orange,406,0
48,462060.4815,1,96,3769,blue,false,right,96,54,left,orange,739,0
49,465343.1815,0,0,3769,blue,true,left,86,88,right,orange,356,0
50,468236.7815,0,0,3769,blue,true,right,43,66,left,orange,360,0
51,471131.9815,0,0,3769,blue,true,left,72,79,right,orange,405,0
52,474057.4815,0,0,3769,blue,false,right,71,13,right,blue,397,0
53,476985.8815,0,0,3769,blue,true,right,78,53,left,orange,482,0
54,479998.6815,1,90,3679,blue,true,right,57,90,right,blue,301,0
55,482845.0815,1,3,3676,blue,false,left,3,12,right,orange,318,0
56,485706.3815,1,64,3612,blue,true,left,2,64,left,blue,361,0
57,488617.8815,1,9,3603,blue,true,right,99,9,right,blue,391,0
58,491564.6815,0,0,3603,blue,true,right,21,42,left,orange,568,0
59,494656.0815,0,0,3603,blue,true,left,83,72,right,orange,294,0
60,497483.7815,0,0,3603,blue,true,left,37,11,right,orange,318,0
61,500329.3815,1,67,3536,blue,false,left,67,81,right,orange,344,0
62,503224.7815,0,0,3536,blue,true,left,12,14,right,orange,772,0
63,506534.5815,1,78,3458,blue,false,right,78,90,left,orange,489,0
64,509551.2815,1,46,3412,blue,false,right,46,53,left,orange,525,0
65,512630.2815,0,0,3412,blue,false,right,30,42,right,blue,311,0
66,515471.5815,0,0,3412,blue,false,right,36,65,right,blue,304,0
67,518299.3815,1,49,3363,blue,false,left,49,49,right,orange,352,0
68,521181.2815,0,0,3363,blue,false,right,44,10,right,blue,366,0
69,524072.7815,0,0,3363,blue,false,left,70,64,left,blue,332,0
70,526949.6815,0,0,3363,blue,false,right,68,95,right,blue,436,0
71,529915.6815,0,0,3363,blue,false,left,38,46,left,blue,366,0
72,532823.1815,1,18,3345,blue,false,right,18,24,left,orange,357,0
73,535723.0815,1,82,3263,blue,false,right,82,78,left,orange,313,0
74,538565.8815,0,0,3263,blue,false,right,59,54,right,blue,279,0
75,541374.8815,1,36,3227,blue,false,right,36,33,left,orange,272,0
76,544203.9815,1,56,3171,blue,true,right,49,56,right,blue,339,0
77,547081.8815,0,0,3171,blue,false,right,26,83,right,blue,327,0
78,549940.7815,0,0,3171,blue,false,left,38,81,left,blue,474,0
79,552955.4815,0,0,3171,blue,false,left,12,3,left,blue,353,0
80,555832.8815,1,62,3109,blue,false,right,62,38,left,orange,312,0
81,558678.3815,0,0,3109,blue,false,right,43,50,right,blue,335,0
82,561552.9815,0,0,3109,blue,false,left,50,47,left,blue,506,0
83,564581.6815,0,0,3109,blue,true,right,41,35,left,orange,415,0
84,567526.7815,1,9,3100,blue,false,left,9,62,right,orange,424,0
85,570492.4815,0,0,3100,blue,false,left,60,58,left,blue,261,0
86,573284.1815,0,0,3100,blue,false,left,88,31,left,blue,371,0
87,576194.6815,0,0,3100,blue,false,left,56,44,left,blue,266,0
88,579004.5815,1,15,3085,blue,true,right,31,15,right,blue,408,0
89,581952.6815,1,90,2995,blue,false,left,90,31,right,orange,429,0
90,584915.4815,0,0,2995,blue,false,left,80,76,left,blue,339,0
