Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,240187.86499998532,1,10,4990,blue,true,right,23,10,right,blue,3503,0
2,246260.10000007227,0,0,4990,blue,true,left,45,97,right,orange,2771,0
3,251571.07000006363,0,0,4990,blue,true,right,54,62,left,orange,3496,0
4,257623.7100000726,0,0,4990,blue,false,left,99,16,left,blue,2473,0
5,262647.5250000367,0,0,4990,blue,true,left,72,40,right,orange,3454,0
6,268627.54500005394,0,0,4990,blue,true,right,98,88,left,orange,2938,0
7,274110.3550000116,0,0,4990,blue,true,right,6,54,left,orange,2356,0
8,279017.1050000936,0,0,4990,blue,true,left,64,55,right,orange,2130,0
9,283679.33499999344,0,0,4990,blue,false,right,96,45,right,blue,3944,0
10,290155.72000003885,0,0,4990,blue,true,left,28,19,right,orange,2732,0
11,295420.61000003014,1,26,4964,blue,true,left,95,26,left,blue,2571,0
12,300550.6850000238,1,29,4935,blue,true,right,90,29,right,blue,2719,0
13,305805.02500000875,0,0,4935,blue,true,right,20,53,left,orange,2300,0
14,316180.87000004016,0,0,4935,blue,true,left,74,56,right,orange,2903,1
15,321622.4149999907,0,0,4935,blue,true,right,18,42,left,orange,1241,0
16,325409.6750000026,0,0,4935,blue,true,right,11,91,left,orange,1335,0
17,329280.18000000156,1,32,4903,blue,false,right,32,31,left,orange,1681,0
18,333514.73000005353,0,0,4903,blue,true,right,36,65,left,orange,1125,0
19,337189.77000005543,1,40,4863,blue,false,right,40,30,left,orange,1617,0
20,341347.620000015,0,0,4863,blue,true,left,29,26,right,orange,1544,0
21,345431.8650000496,1,32,4831,blue,false,right,32,36,left,orange,1497,0
22,349488.3350000018,0,0,4831,blue,true,right,72,81,left,orange,1556,0
23,353577.7399999788,0,0,4831,blue,false,right,95,54,right,blue,2712,0
24,358827.3700000718,1,40,4791,blue,false,left,40,59,right,orange,1744,0
25,363114.295000094,1,29,4762,blue,false,right,29,24,left,orange,2359,0
26,368004.1450000135,1,60,4702,blue,false,left,60,51,right,orange,1711,0
27,372251.06999999844,0,0,4702,blue,false,left,83,65,left,blue,2798,0
28,377601.0050000623,0,0,4702,blue,true,right,78,98,left,orange,2681,0
29,382835.2750000777,1,56,4646,blue,false,right,56,51,left,orange,1559,0
30,386947.0999999903,1,5,4641,blue,false,left,5,20,right,orange,1220,0
