Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,137911,1,10,4990,blue,true,left,23,10,left,blue,2043,0
2,142486,0,0,4990,blue,true,right,45,97,left,orange,1684,0
3,146682.00000000003,0,0,4990,blue,true,right,54,62,left,orange,1438,0
4,150635,1,99,4891,blue,false,right,99,16,left,orange,1596,0
5,154749,0,0,4891,blue,true,right,72,40,left,orange,2002,0
6,159263,0,0,4891,blue,true,right,98,88,left,orange,2246,0
7,164022,0,0,4891,blue,true,left,6,54,right,orange,1722,0
8,168257,0,0,4891,blue,true,right,64,55,left,orange,1294,0
9,172065,1,96,4795,blue,false,right,96,45,left,orange,1257,0
10,175838,1,19,4776,blue,true,left,28,19,left,blue,2190,0
11,180542,0,0,4776,blue,true,left,95,26,right,orange,1193,0
12,184249,0,0,4776,blue,true,left,90,29,right,orange,1115,0
13,187876,0,0,4776,blue,true,left,20,53,right,orange,768,0
14,191157,0,0,4776,blue,true,right,74,56,left,orange,1014,0
15,194686,0,0,4776,blue,true,left,18,42,right,orange,854,0
16,198052,0,0,4776,blue,true,right,11,91,left,orange,831,0
17,201397,1,32,4744,blue,false,right,32,31,left,orange,1707,0
18,205621,0,0,4744,blue,true,right,36,65,left,orange,1013,0
19,209146.00000000003,0,0,4744,blue,false,right,40,30,right,blue,1726,0
20,213387,1,26,4718,blue,true,left,29,26,left,blue,1519,0
21,217424,1,32,4686,blue,false,left,32,36,right,orange,1258,0
22,221200.00000000003,0,0,4686,blue,true,right,72,81,left,orange,1333,0
23,225050,1,95,4591,blue,false,left,95,54,right,orange,1238,0
24,228805,1,40,4551,blue,false,right,40,59,left,orange,1075,0
25,232396.00000000003,0,0,4551,blue,false,right,29,24,right,blue,772,0
26,235680,0,0,4551,blue,false,right,60,51,right,blue,760,0
27,238955,0,0,4551,blue,false,left,83,65,left,blue,1083,0
28,242552,1,98,4453,blue,true,right,78,98,right,blue,862,0
29,245930,0,0,4453,blue,false,right,56,51,right,blue,1777,0
30,250219,0,0,4453,blue,false,right,5,20,right,blue,1423,0
31,254155,0,0,4453,blue,false,left,67,2,left,blue,1279,0
32,257947,0,0,4453,blue,false,right,85,84,right,blue,1637,0
33,262096,0,0,4453,blue,true,right,7,49,left,orange,1809,0
34,266421,1,37,4416,blue,false,left,37,47,right,orange,1030,0
35,269966,0,0,4416,blue,false,left,27,91,left,blue,1038,0
36,273519,0,0,4416,blue,false,right,44,42,right,blue,1051,0
37,277083,1,55,4361,blue,true,left,31,55,left,blue,1049,0
38,280649,0,0,4361,blue,false,right,97,70,right,blue,1048,0
39,284213,0,0,4361,blue,false,left,14,9,left,blue,571,0
40,287298,1,51,4310,blue,true,left,23,51,left,blue,779,0
41,290593,1,79,4231,blue,true,right,89,79,right,blue,965,0
42,294074,0,0,4231,blue,true,right,83,86,left,orange,723,0
43,297311,0,0,4231,blue,true,left,40,62,right,orange,831,0
44,300654,0,0,4231,blue,true,left,36,23,right,orange,1204,0
45,304371,1,61,4170,blue,true,right,65,61,right,blue,1108,0
46,307996,0,0,4170,blue,true,right,74,67,left,orange,1193,0
47,311706,0,0,4170,blue,true,right,73,41,left,orange,709,0
48,318933,1,96,4074,blue,false,right,96,54,left,orange,1112,0
49,322561,0,0,4074,blue,true,right,86,88,left,orange,1282,0
50,326355,0,0,4074,blue,true,right,43,66,left,orange,549,0
51,329419,0,0,4074,blue,true,right,72,79,left,orange,845,0
52,332780.00000000006,1,71,4003,blue,false,right,71,13,left,orange,563,0
53,335862,1,53,3950,blue,true,left,78,53,left,blue,1949,0
54,340328.00000000006,0,0,3950,blue,true,right,57,90,left,orange,1198,0
55,344038,1,3,3947,blue,false,right,3,12,left,orange,711,0
56,347266,0,0,3947,blue,true,right,2,64,left,orange,563,0
57,350341,0,0,3947,blue,true,right,99,9,left,orange,600,0
58,353454,0,0,3947,blue,true,left,21,42,right,orange,703,0
59,356671,0,0,3947,blue,true,right,83,72,left,orange,710,0
60,359893,0,0,3947,blue,true,right,37,11,left,orange,616,0
61,363023,1,67,3880,blue,false,left,67,81,right,orange,719,0
62,366258,0,0,3880,blue,true,right,12,14,left,orange,699,0
63,369471,1,78,3802,blue,false,right,78,90,left,orange,814,0
64,372802,1,46,3756,blue,false,left,46,53,right,orange,628,0
65,375946,0,0,3756,blue,false,left,30,42,left,blue,659,0
66,379118,0,0,3756,blue,false,right,36,65,right,blue,790,0
67,382425,0,0,3756,blue,false,right,49,49,right,blue,860,0
68,385799.00000000006,0,0,3756,blue,false,right,44,10,right,blue,719,0
69,389030.00000000006,0,0,3756,blue,false,left,70,64,left,blue,1047,0
70,392590.00000000006,0,0,3756,blue,false,left,68,95,left,blue,1286,0
71,396391,0,0,3756,blue,false,left,38,46,left,blue,575,0
72,399486,0,0,3756,blue,false,right,18,24,right,blue,573,0
73,402572,0,0,3756,blue,false,right,82,78,right,blue,935,0
74,406024,0,0,3756,blue,false,left,59,54,left,blue,924,0
75,409462,0,0,3756,blue,false,left,36,33,left,blue,709,0
76,412683,1,56,3700,blue,true,right,49,56,right,blue,1467,0
77,416668,0,0,3700,blue,false,left,26,83,left,blue,1151,0
78,420334,0,0,3700,blue,false,right,38,81,right,blue,785,0
79,423633,0,0,3700,blue,false,right,12,3,right,blue,750,0
80,426896,0,0,3700,blue,false,left,62,38,left,blue,687,0
81,430096,0,0,3700,blue,false,right,43,50,right,blue,623,0
82,433233,0,0,3700,blue,false,right,50,47,right,blue,775,0
83,436526,1,35,3665,blue,true,left,41,35,left,blue,881,0
84,439924.00000000006,1,9,3656,blue,false,left,9,62,right,orange,1211,0
85,443652,0,0,3656,blue,false,left,60,58,left,blue,539,0
86,446705,0,0,3656,blue,false,left,88,31,left,blue,574,0
87,449791,0,0,3656,blue,false,right,56,44,right,blue,1353,0
88,453662.00000000006,1,15,3641,blue,true,right,31,15,right,blue,1013,0
89,457195,0,0,3641,blue,false,left,90,31,left,blue,797,0
90,460504,0,0,3641,blue,false,right,80,76,right,blue,808,0
91,463825,0,0,3641,blue,false,right,78,4,right,blue,639,0
92,466979,0,0,3641,blue,false,right,60,28,right,blue,757,0
93,470251.00000000006,1,99,3542,blue,true,right,56,99,right,blue,1303,0
94,478074,0,0,3542,blue,false,left,31,45,left,blue,799,0
95,481386,0,0,3542,blue,false,right,55,16,right,blue,871,0
96,484770,1,89,3453,blue,true,left,12,89,left,blue,782,0
97,488069,0,0,3453,blue,false,left,49,4,left,blue,476,0
98,491058,0,0,3453,blue,false,right,69,12,right,blue,1194,0
99,494765,1,26,3427,blue,true,left,49,26,left,blue,751,0
100,498034,0,0,3427,blue,false,right,75,76,right,blue,1200,0
101,501747,0,0,3427,blue,false,left,22,90,left,blue,1174,0
102,505435,1,23,3404,blue,true,left,26,23,left,blue,662,0
103,508615,0,0,3404,blue,false,right,11,68,right,blue,2004,0
104,513132.00000000006,1,82,3322,blue,true,right,71,82,right,blue,806,0
105,516453,0,0,3322,blue,false,left,86,95,left,blue,2292,0
106,521262.00000000006,0,0,3322,blue,false,left,79,88,left,blue,691,0
107,524469,0,0,3322,blue,false,left,75,40,left,blue,598,0
108,527579.0000000001,1,11,3311,blue,false,right,11,94,left,orange,1345,0
109,531441,1,44,3267,blue,true,left,53,44,left,blue,684,0
110,534642,0,0,3267,blue,false,right,85,17,right,blue,730,0
111,537884,1,32,3235,blue,true,right,85,32,right,blue,648,0
112,541048,0,0,3235,blue,false,right,38,68,right,blue,1771,0
113,545333,0,0,3235,blue,false,right,28,93,right,blue,790,0
114,548638,0,0,3235,blue,false,right,13,95,right,blue,709,0
115,551863,0,0,3235,blue,false,left,69,60,left,blue,660,0
116,555038,1,95,3140,blue,true,left,56,95,left,blue,1398,0
117,558952,0,0,3140,blue,false,left,2,41,left,blue,1265,0
118,562729,0,0,3140,blue,false,left,42,5,left,blue,768,0
119,566010,0,0,3140,blue,false,left,44,30,left,blue,767,0
120,569290,0,0,3140,blue,false,right,79,4,right,blue,631,0
121,572434,0,0,3140,blue,false,left,83,87,left,blue,903,0
122,575851,0,0,3140,blue,false,right,59,44,right,blue,614,0
123,578980,1,10,3130,blue,true,left,15,10,left,blue,740,0
124,582238,0,0,3130,blue,false,left,60,15,left,blue,635,0
125,585388,0,0,3130,blue,false,right,73,25,right,blue,701,0
126,588602,0,0,3130,blue,false,right,43,23,right,blue,742,0
127,591859,1,22,3108,blue,false,right,22,87,left,orange,1935,0
128,596309,0,0,3108,blue,true,left,27,77,right,orange,717,0
129,599543,0,0,3108,blue,false,left,99,35,left,blue,1295,0
130,603353.0000000001,1,39,3069,blue,true,left,49,39,left,blue,910,0
131,606780,0,0,3069,blue,false,left,83,60,left,blue,1608,0
132,610903,1,54,3015,blue,true,left,61,54,left,blue,740,0
133,614160,0,0,3015,blue,false,left,82,34,left,blue,788,0
134,617462,0,0,3015,blue,false,left,96,86,left,blue,1020,0
135,620999,0,0,3015,blue,false,left,65,27,left,blue,652,0
136,624165,1,63,2952,blue,false,left,63,93,right,orange,2040,0
137,628720,0,0,2952,blue,false,left,65,40,left,blue,661,0
138,631893,0,0,2952,blue,false,left,7,69,left,blue,752,0
139,635159,1,28,2924,blue,true,right,94,28,right,blue,822,0
140,638498,0,0,2924,blue,false,left,90,4,left,blue,891,0
