Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,236994.79500000598,1,37,4963,blue,true,left,44,37,left,blue,2656,0
2,242186.19999999646,1,12,4951,blue,true,left,66,12,left,blue,887,0
3,245607.04499995336,1,9,4942,blue,true,right,98,9,right,blue,792,0
4,248936.8249999825,1,20,4922,blue,false,right,20,91,left,orange,1721,0
5,253191.04000000516,1,8,4914,blue,true,right,28,8,right,blue,1006,0
6,256725.96000001067,1,33,4881,blue,true,right,30,33,right,blue,1216,0
7,260475.96000001067,0,0,4881,blue,true,right,27,24,left,orange,2398,0
8,265399.6549999574,1,58,4823,blue,false,left,58,43,right,orange,2916,0
9,270848.7099999911,1,47,4776,blue,true,right,72,47,right,blue,2632,0
10,276013.0249999929,1,44,4732,blue,false,right,44,44,left,orange,3963,0
11,282515.07999998285,1,26,4706,blue,true,right,69,26,right,blue,3303,0
12,288352.0499999868,0,0,4706,blue,true,right,6,41,left,orange,1305,0
13,292189.3599999603,1,34,4672,blue,true,right,88,34,right,blue,993,0
14,295712.45499997167,0,0,4672,blue,false,left,73,18,left,blue,832,0
15,299066.4300000062,1,25,4647,blue,true,right,60,25,right,blue,1578,0
16,303180.11999997543,1,6,4641,blue,true,right,68,6,right,blue,886,0
17,306603.7849999848,0,0,4641,blue,false,right,48,39,right,blue,1563,0
18,310693.7099999632,0,0,4641,blue,true,right,35,76,left,orange,2674,0
19,315897.86999998614,0,0,4641,blue,true,right,23,85,left,orange,711,0
20,319141.5799999959,1,22,4619,blue,true,right,54,22,right,blue,826,0
21,322501.74499995774,0,0,4619,blue,false,right,66,58,right,blue,1466,0
22,326495.5099999788,1,41,4578,blue,true,left,98,41,left,blue,1211,0
23,330243.6349999625,0,0,4578,blue,true,right,58,80,left,orange,1182,0
24,333952.08999997703,0,0,4578,blue,true,left,32,85,right,orange,843,0
25,337323.55500000995,0,0,4578,blue,false,left,83,15,left,blue,705,0
26,340559.6749999677,1,16,4562,blue,true,left,18,16,left,blue,2041,0
27,345128.64999996964,0,0,4562,blue,true,left,56,99,right,orange,1175,0
28,348829.29999998305,0,0,4562,blue,true,right,23,75,left,orange,838,0
29,352191.4199999883,1,18,4544,blue,true,right,68,18,right,blue,896,0
30,355623.46999999136,0,0,4544,blue,true,left,30,16,right,orange,1333,0
31,359486.57999996794,1,37,4507,blue,true,right,86,37,right,blue,2070,0
32,364093.9500000095,0,0,4507,blue,true,right,47,44,left,orange,3909,0
33,370525.35999997053,0,0,4507,blue,true,right,3,91,left,orange,1832,0
34,374879.4399999897,0,0,4507,blue,false,right,60,14,right,blue,1203,0
35,378601.5400000033,0,0,4507,blue,true,left,54,84,right,orange,849,0
36,381975.2499999595,0,0,4507,blue,true,left,34,23,right,orange,1789,0
37,386293.16499998095,1,28,4479,blue,true,left,96,28,left,blue,1144,0
38,389972.9149999912,0,0,4479,blue,false,right,83,94,right,blue,2110,0
39,394610.28999998234,0,0,4479,blue,true,right,63,86,left,orange,2629,0
40,399762.27000000654,1,53,4426,blue,true,left,99,53,left,blue,2648,0
41,404946.06499996735,0,0,4426,blue,true,right,29,91,left,orange,1864,0
42,409338.85499997996,1,64,4362,blue,true,left,88,64,left,blue,2504,0
43,414372.1999999834,0,0,4362,blue,true,right,84,70,left,orange,1637,0
44,418534.9350000033,0,0,4362,blue,false,right,61,88,right,blue,3878,0
45,424942.5249999622,0,0,4362,blue,true,left,61,43,right,orange,2456,0
46,429927.6949999621,0,0,4362,blue,true,left,87,54,right,orange,3387,0
